timestamp|symbol|open|high|low|close|volume|timeframe|tema|hrma|smma|Z-Score of body size|Candle classification|diag_asc_line_1|diag_asc_line_2|diag_asc_line_3|diag_desc_line_1|diag_desc_line_2|diag_desc_line_3|diag_high_map|diag_low_map|horiz_peak_line_1|horiz_peak_line_2|horiz_peak_line_3|horiz_bottom_line_1|horiz_bottom_line_2|horiz_bottom_line_3|horiz_high_map|horiz_low_map|ha_open|ha_high|ha_low|ha_close|ha_classification|ha_body_size|ha_body_zscore|kc_ultra_extreme_upper|kc_extreme_upper|kc_uppermost|kc_upper|kc_upper_middle|kc_lower_middle|kc_lower|kc_lowermost|kc_extreme_lower|kc_ultra_extreme_lower|sr_support_4|sr_support_3|sr_support_2|sr_support_1|sr_resistance_1|sr_resistance_2|sr_resistance_3|sr_resistance_4|zigzag_high|zigzag_low|ema|dual_tema_high|dual_tema_low|pinbar|collected_at
1770595200|XAUUSD|2649.67|2656.69|2649.66|2653.61|3247|M5|2657.22125|2646.97035|2654.46099|2.18523|1|2650.73277|2639.90464|2657.66216|2661.49468|2662.3738|2667.56714|0.0|0.0|2654.69683|2655.13965|2655.04923|2651.74262|2646.27565|2647.11462|0.0|2648.88426|2651.64|2656.69|2649.66|2652.4075|1|0.7675|1.34626|2681.73|2674.7|2667.67|2660.64|2657.125|2650.095|2646.58|2639.55|2632.52|2625.49|2635.6|2639.115|2642.63|2646.145|2660.205|2663.72|2667.235|2670.75|2658.89478|0.0|2640.31958|2655.8507|2650.08008|0|1770869869
1770595500|XAUUSD|2655.5|2663.49|2651.79|2658.56|6697|M5|2661.77174|2648.45974|2655.63425|0.98492|-2|2655.28704|2647.96479|2639.24921|2659.52069|2666.59761|2670.19911|0.0|0.0|2665.19156|2663.57058|2659.72286|2649.33584|2647.3114|2644.88832|0.0|0.0|2657.03|2663.49|2651.79|2657.335|1|0.305|-0.55272|2705.36|2693.66|2681.96|2670.26|2664.41|2652.71|2646.86|2635.16|2623.46|2611.76|2628.39|2634.24|2640.09|2645.94|2669.34|2675.19|2681.04|2686.89|0.0|0.0|2669.78622|2663.23357|2652.67047|0|1770869869
1770595800|XAUUSD|2655.97|2663.41|2651.64|2660.64|8987|M5|2661.7607|2666.30202|2668.80812|1.21053|2|2648.27679|2650.56612|2653.2138|2668.20102|2656.43853|2674.53052|0.0|2650.32338|2664.9444|2663.13313|2662.512|2652.60958|2655.84897|2650.18786|0.0|0.0|2658.305|2663.41|2651.64|2657.915|-1|0.39|1.26933|2707.72|2695.95|2684.18|2672.41|2666.525|2654.755|2648.87|2637.1|2625.33|2613.56|2628.1|2633.985|2639.87|2645.755|2669.295|2675.18|2681.065|2686.95|0.0|0.0|2671.19197|2662.90778|2651.036|0|1770869869
1770596100|XAUUSD|2662.36|2665.59|2661.51|2664.06|8930|M5|2657.74292|2668.79155|2652.84085|-0.41682|2|2663.97913|2666.43086|2663.57828|2661.75505|2675.58544|2667.80937|0.0|0.0|2665.87729|2668.3455|2659.98134|2661.65063|2659.48868|2655.15862|0.0|0.0|2663.21|2665.59|2661.51|2663.38|1|0.17|0.11177|2680.38|2676.3|2672.22|2668.14|2666.1|2662.02|2659.98|2655.9|2651.82|2647.74|2653.35|2655.39|2657.43|2659.47|2667.63|2669.67|2671.71|2673.75|0.0|0.0|2674.83452|2665.75185|2662.22837|0|1770869869
1770596400|XAUUSD|2664.76|2670.66|2661.82|2666.25|4576|M5|2661.47528|2662.95569|2663.98677|-1.32203|-1|2658.7568|2661.39767|2653.36399|2673.31111|2665.13792|2686.39574|0.0|0.0|2669.19785|2673.70708|2671.61911|2661.23422|2658.54668|2665.31105|0.0|0.0|2665.505|2670.66|2661.82|2665.8725|1|0.3675|-0.19851|2701.61|2692.77|2683.93|2675.09|2670.67|2661.83|2657.41|2648.57|2639.73|2630.89|2644.14|2648.56|2652.98|2657.4|2675.08|2679.5|2683.92|2688.34|0.0|0.0|2676.48445|2670.80773|2662.54443|0|1770869869
1770596700|XAUUSD|2660.91|2666.6|2658.83|2665.16|1152|M5|2670.97604|2655.63779|2664.21229|-0.17725|2|2655.49113|2666.56442|2659.0456|2661.55452|2668.19303|2671.35997|2666.87047|2657.90896|2667.19304|2661.56671|2661.5042|2659.32927|2655.2898|2654.54398|0.0|0.0|2663.035|2666.6|2658.83|2662.875|-1|0.16|-0.49839|2696.24|2688.47|2680.7|2672.93|2669.045|2661.275|2657.39|2649.62|2641.85|2634.08|2643.29|2647.175|2651.06|2654.945|2670.485|2674.37|2678.255|2682.14|0.0|0.0|2675.39283|2666.45188|2659.74889|0|1770869869
1770597000|XAUUSD|2659.96|2664.18|2654.28|2656.51|6976|M5|2652.4647|2649.49916|2654.59251|-2.74261|-2|2653.89028|2656.10558|2647.73064|2662.04542|2663.35296|2649.82406|0.0|0.0|2663.85772|2662.05934|2664.03712|2654.11153|2658.25954|2660.85844|0.0|2653.95971|2658.235|2664.18|2654.28|2658.7325|1|0.4975|1.46644|2696.11|2686.21|2676.31|2666.41|2661.46|2651.56|2646.61|2636.71|2626.81|2616.91|2634.48|2639.43|2644.38|2649.33|2669.13|2674.08|2679.03|2683.98|2667.7387|0.0|2665.87462|2663.43433|2654.053|0|1770869869
1770597300|XAUUSD|2656.52|2660.75|2642.84|2647.83|4334|M5|2642.77512|2655.40844|2656.4472|0.34912|0|2646.02386|2638.47902|2651.56677|2662.15105|2667.22142|2649.25356|0.0|2640.9738|2658.78996|2658.08777|2658.4939|2641.426|2639.43417|2644.75647|0.0|0.0|2652.175|2660.75|2642.84|2651.985|-1|0.19|-0.94747|2719.47|2701.56|2683.65|2665.74|2656.785|2638.875|2629.92|2612.01|2594.1|2576.19|2607.02|2615.975|2624.93|2633.885|2669.705|2678.66|2687.615|2696.57|0.0|2640.50599|2657.53186|2660.15751|2643.22402|0|1770869869
1770597600|XAUUSD|2647.51|2652.9|2646.1|2651.56|2087|M5|2647.65366|2656.80109|2655.88294|-0.18199|-2|2646.23955|2654.62666|2636.46507|2656.2204|2650.17595|2646.68599|2654.7219|0.0|2651.78556|2657.89842|2655.95238|2643.92071|2647.66032|2645.03717|0.0|0.0|2649.535|2652.9|2646.1|2649.5175|-1|0.0175|-0.04753|2678.76|2671.96|2665.16|2658.36|2654.96|2648.16|2644.76|2637.96|2631.16|2624.36|2632.5|2635.9|2639.3|2642.7|2656.3|2659.7|2663.1|2666.5|2655.54029|0.0|2664.27989|2653.44408|2646.27912|0|1770869869
1770597900|XAUUSD|2649.85|2659.68|2647.42|2659.53|3153|M5|2655.56096|2658.588|2654.53578|-0.86852|1|2650.87229|2653.71685|2636.88571|2663.00674|2665.24807|2658.21118|2660.54497|0.0|2659.66349|2663.47219|2661.02256|2649.40592|2650.17029|2652.36473|0.0|0.0|2654.69|2659.68|2647.42|2654.12|-1|0.57|-0.11831|2708.57|2696.31|2684.05|2671.79|2665.66|2653.4|2647.27|2635.01|2622.75|2610.49|2622.9|2629.03|2635.16|2641.29|2665.81|2671.94|2678.07|2684.2|0.0|0.0|2654.15259|2659.55213|2646.71834|0|1770869869
