timestamp	symbol	timeframe	close	ssa	ema_ssa	ssa_high	ssa_low	SSA Crossing
1773802803	XAUUSD	H3	4997.77	4945.24795	4945.24795	4985.40702	4941.71351	0
1773813603	XAUUSD	H3	4987.52	4921.89462	4933.57128	4965.01761	4912.83588	1
1773824403	XAUUSD	H3	4930.17	4905.81862	4919.69495	4946.13048	4888.39004	0
1773835203	XAUUSD	H3	4869.56	4899.65700	4909.67597	4933.80547	4873.79650	0
1773846003	XAUUSD	H3	4890.22	4897.32569	4903.50083	4927.98068	4870.77345	0
1773856803	XAUUSD	H3	4818.77	4885.55019	4894.52551	4921.25128	4862.27474	0
1773867603	XAUUSD	H3	4836.88	4862.50633	4878.51592	4904.47552	4843.67133	0
1773878403	XAUUSD	H3	4858.76	4823.40211	4850.95901	4875.55571	4807.44250	0
1773889203	XAUUSD	H3	4827.59	4769.04804	4810.00353	4831.39708	4751.99307	0
1773900003	XAUUSD	H3	4708.97	4709.03535	4759.51944	4776.50254	4684.91262	0
1773910803	XAUUSD	H3	4652.42	4658.76624	4709.14284	4720.83291	4624.98787	0
1773921603	XAUUSD	H3	4602.20	4628.22264	4668.68274	4678.81409	4583.46937	0
1773932403	XAUUSD	H3	4616.14	4621.84433	4645.26354	4659.02651	4572.08466	0
1773943203	XAUUSD	H3	4651.05	4635.62881	4640.44617	4662.06636	4585.29994	0
1773954003	XAUUSD	H3	4643.76	4660.23977	4650.34297	4681.73936	4613.86814	1
1773964803	XAUUSD	H3	4697.44	4685.28766	4667.81532	4708.08417	4644.87881	0
1773975603	XAUUSD	H3	4688.47	4698.45268	4683.13400	4729.08406	4666.78642	0
1773986403	XAUUSD	H3	4693.84	4691.77501	4687.45450	4734.11923	4668.53513	0
1773997203	XAUUSD	H3	4671.78	4661.21972	4674.33711	4717.25807	4645.50344	1
1774008003	XAUUSD	H3	4564.02	4609.19182	4641.76447	4678.61597	4597.83065	0
1774018803	XAUUSD	H3	4573.49	4544.64229	4593.20338	4622.99314	4531.98933	0
1774029603	XAUUSD	H3	4497.96	4476.40497	4534.80418	4560.61541	4455.49287	0
1774213203	XAUUSD	H3	4464.67	4415.81084	4475.30751	4501.88741	4379.79696	0
1774224003	XAUUSD	H3	4360.82	4371.60074	4423.45412	4456.00612	4315.50349	0
1774234803	XAUUSD	H3	4310.09	4349.50986	4386.48199	4428.96106	4272.88489	0
1774245603	XAUUSD	H3	4251.06	4348.79547	4367.63873	4422.03206	4254.55092	0
1774256403	XAUUSD	H3	4378.88	4364.24282	4365.94078	4431.06533	4261.55820	0
1774267203	XAUUSD	H3	4461.92	4384.95114	4375.44596	4445.27750	4283.35630	1
1774278003	XAUUSD	H3	4426.30	4401.88789	4388.66693	4456.32516	4308.71583	0
1774288803	XAUUSD	H3	4406.67	4410.94140	4399.80416	4459.96614	4330.09714	0
1774299603	XAUUSD	H3	4441.22	4412.36643	4406.08529	4456.19825	4344.95925	0
1774310403	XAUUSD	H3	4366.15	4405.32837	4405.70683	4445.30642	4350.38515	1
1774321203	XAUUSD	H3	4347.21	4396.05432	4400.88058	4431.83693	4350.06948	0
1774332003	XAUUSD	H3	4412.06	4391.18772	4396.03415	4423.20652	4348.74722	0
1774342803	XAUUSD	H3	4408.20	4394.76799	4395.40107	4423.65483	4351.65565	0
1774353603	XAUUSD	H3	4415.63	4409.83618	4402.61862	4435.88653	4362.30729	1
1774364403	XAUUSD	H3	4388.64	4436.60462	4419.61162	4459.93265	4383.57762	0
1774375203	XAUUSD	H3	4474.24	4472.67495	4446.14329	4492.92265	4414.40470	0
1774386003	XAUUSD	H3	4546.83	4511.15891	4478.65110	4528.66351	4451.41407	0
1774396803	XAUUSD	H3	4583.92	4544.86304	4511.75707	4560.28292	4488.20192	0
1774407603	XAUUSD	H3	4555.99	4568.46816	4540.11261	4582.53898	4518.36928	0
1774418403	XAUUSD	H3	4556.38	4579.95063	4560.03162	4593.85536	4537.83080	0
1774429203	XAUUSD	H3	4578.97	4578.93579	4569.48371	4594.76842	4545.55560	0
1774440003	XAUUSD	H3	4567.06	4566.65437	4568.06904	4587.03631	4541.70768	1
1774450803	XAUUSD	H3	4550.74	4546.34235	4557.20570	4573.51676	4528.46788	0
1774461603	XAUUSD	H3	4506.69	4521.88430	4539.54500	4557.17806	4508.64345	0
1774472403	XAUUSD	H3	4498.37	4497.09791	4518.32146	4539.77899	4486.03554	0
1774483203	XAUUSD	H3	4508.94	4474.08263	4496.20204	4522.69119	4462.74544	0
1774494003	XAUUSD	H3	4438.93	4453.63858	4474.92031	4505.75338	4440.17815	0
1774504803	XAUUSD	H3	4428.02	4437.49148	4456.20590	4489.18010	4420.52973	0
1774515603	XAUUSD	H3	4423.07	4425.88870	4441.04730	4474.07126	4404.94772	0
1774526403	XAUUSD	H3	4465.33	4418.25590	4429.65160	4461.09255	4393.31579	0
1774537203	XAUUSD	H3	4381.58	4413.18049	4421.41604	4450.39547	4385.52688	0
1774548003	XAUUSD	H3	4378.25	4411.95699	4416.68652	4443.07048	4382.24103	0
1774558803	XAUUSD	H3	4404.92	4414.63446	4415.66049	4441.06398	4383.67668	0
1774569603	XAUUSD	H3	4432.30	4420.49282	4418.07665	4445.02302	4388.84923	1
1774580403	XAUUSD	H3	4454.72	4428.76600	4423.42133	4454.16925	4397.69800	0
1774591203	XAUUSD	H3	4424.20	4438.30624	4430.86378	4466.37266	4408.33190	0
1774602003	XAUUSD	H3	4420.18	4449.45044	4440.15711	4480.26516	4420.01225	0
1774612803	XAUUSD	H3	4509.86	4462.19086	4451.17399	4495.43620	4432.63076	0
1774623603	XAUUSD	H3	4486.95	4474.17127	4462.67263	4509.36150	4445.50301	0
1774634403	XAUUSD	H3	4495.12	4485.37456	4474.02359	4520.56900	4456.70028	0
1774818003	XAUUSD	H3	4448.21	4495.40914	4484.71637	4529.28868	4466.36337	0
1774828803	XAUUSD	H3	4481.40	4505.15706	4494.93672	4536.22034	4475.35104	0
1774839603	XAUUSD	H3	4522.59	4513.49970	4504.21821	4541.92249	4484.16039	0
1774850403	XAUUSD	H3	4538.07	4519.71768	4511.96794	4546.23067	4491.48656	0
1774861203	XAUUSD	H3	4559.53	4523.83922	4517.90358	4549.23766	4496.72210	0
1774872003	XAUUSD	H3	4538.32	4526.45752	4522.18055	4551.10501	4500.01121	0
1774882803	XAUUSD	H3	4515.03	4529.01333	4525.59694	4552.73148	4502.42648	0
1774893603	XAUUSD	H3	4511.09	4533.18961	4529.39327	4555.61128	4504.89283	0
1774904403	XAUUSD	H3	4513.89	4540.02231	4534.70779	4561.44403	4508.86054	0
1774915203	XAUUSD	H3	4568.48	4550.17756	4542.44268	4570.98316	4515.36726	0
1774926003	XAUUSD	H3	4568.88	4562.63440	4552.53854	4582.68007	4525.42440	0
1774936803	XAUUSD	H3	4568.63	4577.16333	4564.85093	4597.11277	4538.15203	0
1774947603	XAUUSD	H3	4582.35	4593.69807	4579.27450	4614.10768	4554.10768	0
1774958403	XAUUSD	H3	4599.33	4612.08529	4595.67990	4632.94054	4573.78443	0
1774969203	XAUUSD	H3	4654.99	4632.20347	4613.94168	4652.51563	4596.48598	0
1774980003	XAUUSD	H3	4667.25	4653.18419	4633.56294	4672.14912	4621.15792	0
1774990803	XAUUSD	H3	4696.32	4674.91782	4654.24038	4691.72944	4646.08053	0
1775001603	XAUUSD	H3	4685.14	4696.65876	4675.44957	4711.31015	4670.16797	0
1775012403	XAUUSD	H3	4684.58	4717.77361	4696.61159	4730.53987	4691.96072	0
1775023203	XAUUSD	H3	4728.68	4736.51265	4716.56212	4749.10873	4710.11512	0
1775034003	XAUUSD	H3	4752.57	4750.03061	4733.29637	4764.97419	4722.66757	0
1775044803	XAUUSD	H3	4760.79	4756.11198	4744.70417	4776.27894	4727.59785	0
1775055603	XAUUSD	H3	4774.29	4753.42491	4749.06454	4781.35657	4723.93815	0
1775066403	XAUUSD	H3	4758.20	4741.46813	4745.26634	4778.62253	4710.77017	1
1775077203	XAUUSD	H3	4784.22	4721.81851	4733.54242	4768.00612	4689.74380	0
1775088003	XAUUSD	H3	4687.46	4696.49285	4715.01764	4750.06605	4663.09103	0
1775098803	XAUUSD	H3	4594.18	4670.95700	4692.98732	4727.14293	4636.39988	0
1775109603	XAUUSD	H3	4620.85	4650.43432	4671.71082	4704.30025	4614.40847	0
1775120403	XAUUSD	H3	4600.20	4636.51975	4654.11529	4685.28917	4600.18539	0
1775131203	XAUUSD	H3	4681.32	4630.60871	4642.36200	4672.46193	4593.73065	0
1775142003	XAUUSD	H3	4648.81	4630.70237	4636.53218	4665.56067	4595.03007	0
1775152803	XAUUSD	H3	4676.09	4636.23102	4636.38160	4664.66246	4601.65208	0
1775422803	XAUUSD	H3	4610.53	4644.75947	4640.57053	4668.66175	4611.93524	1
1775433603	XAUUSD	H3	4648.06	4655.44496	4648.00774	4675.93049	4624.72457	0
1775444403	XAUUSD	H3	4652.57	4665.53811	4656.77293	4684.11229	4638.12968	0
1775455203	XAUUSD	H3	4695.84	4673.12725	4664.95009	4690.90674	4649.63033	0
1775466003	XAUUSD	H3	4678.09	4676.17529	4670.56269	4694.26397	4657.24376	0
1775476803	XAUUSD	H3	4682.66	4674.63260	4672.59765	4693.20023	4659.10407	0
1775487603	XAUUSD	H3	4653.52	4668.89747	4670.74756	4688.04236	4655.47952	1
1775498403	XAUUSD	H3	4650.67	4660.73569	4665.74162	4680.09418	4647.44317	0
1775509203	XAUUSD	H3	4658.88	4651.97943	4658.86053	4671.30056	4636.69708	0
1775520003	XAUUSD	H3	4650.53	4644.98953	4651.92503	4664.23032	4625.41717	0
1775530803	XAUUSD	H3	4642.99	4642.66907	4647.29705	4661.77111	4617.20331	0
1775541603	XAUUSD	H3	4683.07	4647.67176	4647.48440	4666.49894	4614.91027	1
1775552403	XAUUSD	H3	4659.81	4660.53271	4654.00856	4679.42724	4620.36865	0
1775563203	XAUUSD	H3	4633.43	4681.62335	4667.81595	4700.70506	4634.66797	0
1775574003	XAUUSD	H3	4675.87	4709.87048	4688.84322	4729.40176	4657.74144	0
1775584803	XAUUSD	H3	4705.56	4741.09165	4714.96743	4762.17177	4687.06740	0
1775595603	XAUUSD	H3	4833.20	4770.26433	4742.61588	4793.96846	4718.26085	0
1775606403	XAUUSD	H3	4804.17	4790.53481	4766.57535	4817.98098	4745.73199	0
1775617203	XAUUSD	H3	4827.79	4799.50328	4783.03931	4830.27023	4764.06828	0
1775628003	XAUUSD	H3	4794.23	4796.00349	4789.52140	4829.69204	4770.90846	0
1775638803	XAUUSD	H3	4798.30	4782.45761	4785.98950	4817.41712	4766.38767	1
1775649603	XAUUSD	H3	4736.57	4762.53492	4774.26221	4797.30762	4753.09587	0
1775660403	XAUUSD	H3	4733.81	4742.09028	4758.17625	4773.97592	4735.57727	0
1775671203	XAUUSD	H3	4719.30	4725.52658	4741.85141	4752.98885	4718.02960	0
1775682003	XAUUSD	H3	4715.66	4716.34947	4729.10044	4738.47926	4704.98200	0
1775692803	XAUUSD	H3	4719.30	4715.87617	4722.48830	4732.79550	4698.77549	0
1775703603	XAUUSD	H3	4713.20	4723.11333	4722.80082	4735.83830	4700.23087	1
1775714403	XAUUSD	H3	4726.40	4735.78702	4729.29392	4745.72902	4708.26866	0
1775725203	XAUUSD	H3	4756.57	4750.26074	4739.77733	4759.02287	4720.87438	0
1775736003	XAUUSD	H3	4768.77	4762.88588	4751.33160	4772.07275	4734.78754	0
1775746803	XAUUSD	H3	4797.82	4771.23532	4761.28346	4781.97685	4747.15398	0
1775757603	XAUUSD	H3	4765.58	4774.23303	4767.75824	4787.10317	4755.66891	0
1775768403	XAUUSD	H3	4763.71	4773.02468	4770.39146	4787.63164	4759.47795	0
1775779203	XAUUSD	H3	4753.28	4769.02595	4769.70871	4785.04814	4758.77021	1
1775790003	XAUUSD	H3	4765.79	4763.74840	4766.72855	4780.80176	4754.60323	0
1775800803	XAUUSD	H3	4741.04	4757.95202	4762.34029	4776.09965	4747.51710	0
1775811603	XAUUSD	H3	4768.19	4752.59309	4757.46669	4771.60174	4738.82933	0
