Fractal_timestamp	Fractal_symbol	Fractal_timeframe	Fractal_close	Fractal_Best_FL	Fractal_UOEDT	Fractal_LOEDT
1789646700	XAUUSD	M5	4353.36			
1789647000	XAUUSD	M5	4354.67			
1789647300	XAUUSD	M5	4365.59			
1789647600	XAUUSD	M5	4368.66			
1789647900	XAUUSD	M5	4381.09			
1789648200	XAUUSD	M5	4370.39			
1789648500	XAUUSD	M5	4369.57			
1789648800	XAUUSD	M5	4360.63			
1789649100	XAUUSD	M5	4366.46			
1789649400	XAUUSD	M5	4374.33			
1789649700	XAUUSD	M5	4373.34			
1789650000	XAUUSD	M5	4366.19			
1789650300	XAUUSD	M5	4366.13			
1789650600	XAUUSD	M5	4366.23			
1789650900	XAUUSD	M5	4372.49			
1789651200	XAUUSD	M5	4366.84			
1789651500	XAUUSD	M5	4366.94			
1789651800	XAUUSD	M5	4371.88			
1789652100	XAUUSD	M5	4361.51			
1789652400	XAUUSD	M5	4358.10			
1789652700	XAUUSD	M5	4367.54			
1789653000	XAUUSD	M5	4366.48			
1789653300	XAUUSD	M5	4366.75			
1789653600	XAUUSD	M5	4369.45			
1789653900	XAUUSD	M5	4377.16			
1789654200	XAUUSD	M5	4371.77			
1789654500	XAUUSD	M5	4368.88			
1789654800	XAUUSD	M5	4369.72			
1789655100	XAUUSD	M5	4366.62			
1789655400	XAUUSD	M5	4366.96			
1789655700	XAUUSD	M5	4361.15			
1789656000	XAUUSD	M5	4361.10			
1789656300	XAUUSD	M5	4361.43			
1789656600	XAUUSD	M5	4357.15			
1789656900	XAUUSD	M5	4354.09			
1789657200	XAUUSD	M5	4355.88			
1789657500	XAUUSD	M5	4356.42			
1789657800	XAUUSD	M5	4361.91			
1789658100	XAUUSD	M5	4363.21			
1789658400	XAUUSD	M5	4359.58			
1789658700	XAUUSD	M5	4358.16			
1789659000	XAUUSD	M5	4358.86			
1789659300	XAUUSD	M5	4362.56			
1789659600	XAUUSD	M5	4365.77			
1789659900	XAUUSD	M5	4365.55			
1789660200	XAUUSD	M5	4366.49			
1789660500	XAUUSD	M5	4369.99			
1789660800	XAUUSD	M5	4369.77	4372.44000	4385.19952	4346.92095
1789661100	XAUUSD	M5	4369.69	4372.52178	4385.28130	4347.00273
1789661400	XAUUSD	M5	4368.04	4372.60356	4385.36308	4347.08451
1789661700	XAUUSD	M5	4367.17	4372.68534	4385.44486	4347.16629
1789662000	XAUUSD	M5	4367.63	4372.76711	4385.52664	4347.24807
1789662300	XAUUSD	M5	4367.76	4372.84889	4385.60842	4347.32984
1789662600	XAUUSD	M5	4358.70	4372.93067	4385.69019	4347.41162
1789662900	XAUUSD	M5	4360.10	4373.01245	4385.77197	4347.49340
1789663200	XAUUSD	M5	4359.97	4373.09423	4385.85375	4347.57518
1789663500	XAUUSD	M5	4358.04	4373.17601	4385.93553	4347.65696
1789663800	XAUUSD	M5	4360.37	4373.25779	4386.01731	4347.73874
1789664100	XAUUSD	M5	4362.37	4373.33956	4386.09909	4347.82052
1789664400	XAUUSD	M5	4362.42	4373.42134	4386.18087	4347.90229
1789664700	XAUUSD	M5	4363.84	4373.50312	4386.26264	4347.98407
1789665000	XAUUSD	M5	4361.92	4373.58490	4386.34442	4348.06585
1789665300	XAUUSD	M5	4360.33	4373.66668	4386.42620	4348.14763
1789665600	XAUUSD	M5	4360.01	4373.74846	4386.50798	4348.22941
1789665900	XAUUSD	M5	4360.55	4373.83023	4386.58976	4348.31119
1789666200	XAUUSD	M5	4362.22	4373.91201	4386.67154	4348.39297
1789666500	XAUUSD	M5	4358.17	4373.99379	4386.75332	4348.47474
1789666800	XAUUSD	M5	4360.49	4374.07557	4386.83509	4348.55652
1789667100	XAUUSD	M5	4359.51	4374.15735	4386.91687	4348.63830
1789667400	XAUUSD	M5	4360.45	4374.23913	4386.99865	4348.72008
1789667700	XAUUSD	M5	4361.29	4374.32091	4387.08043	4348.80186
1789668000	XAUUSD	M5	4363.31	4374.40268	4387.16221	4348.88364
1789668300	XAUUSD	M5	4362.15	4374.48446	4387.24399	4348.96542
1789668600	XAUUSD	M5	4364.71	4374.56624	4387.32577	4349.04719
1789668900	XAUUSD	M5	4360.97	4374.64802	4387.40754	4349.12897
1789669200	XAUUSD	M5	4357.74	4374.72980	4387.48932	4349.21075
1789669500	XAUUSD	M5	4356.32	4374.81158	4387.57110	4349.29253
1789669800	XAUUSD	M5	4349.64	4374.89336	4387.65288	4349.37431
1789670100	XAUUSD	M5	4351.60	4374.97513	4387.73466	4349.45609
1789670400	XAUUSD	M5	4352.17	4375.05691	4387.81644	4349.53787
1789670700	XAUUSD	M5	4352.16	4375.13869	4387.89822	4349.61964
1789671000	XAUUSD	M5	4350.82	4375.22047	4387.97999	4349.70142
1789671300	XAUUSD	M5	4351.65	4375.30225	4388.06177	4349.78320
1789671600	XAUUSD	M5	4354.23	4375.38403	4388.14355	4349.86498
1789671900	XAUUSD	M5	4354.70	4375.46581	4388.22533	4349.94676
1789672200	XAUUSD	M5	4354.64	4375.54758	4388.30711	4350.02854
1789672500	XAUUSD	M5	4352.05	4375.62936	4388.38889	4350.11031
1789672800	XAUUSD	M5	4347.54	4375.71114	4388.47066	4350.19209
1789673100	XAUUSD	M5	4343.35	4375.79292	4388.55244	4350.27387
1789673400	XAUUSD	M5	4343.95	4375.87470	4388.63422	4350.35565
1789673700	XAUUSD	M5	4344.36	4375.95648	4388.71600	4350.43743
1789674000	XAUUSD	M5	4345.25	4376.03826	4388.79778	4350.51921
1789674300	XAUUSD	M5	4345.31	4376.12003	4388.87956	4350.60099
1789674600	XAUUSD	M5	4347.85	4376.20181	4388.96134	4350.68276
1789674900	XAUUSD	M5	4346.22	4376.28359	4389.04311	4350.76454
1789675200	XAUUSD	M5	4344.36	4376.36537	4389.12489	4350.84632
1789675500	XAUUSD	M5	4345.09	4376.44715	4389.20667	4350.92810
1789675800	XAUUSD	M5	4343.06	4376.52893	4389.28845	4351.00988
1789676100	XAUUSD	M5	4343.28	4376.61070	4389.37023	4351.09166
1789676400	XAUUSD	M5	4344.04	4376.69248	4389.45201	4351.17344
1789676700	XAUUSD	M5	4342.17	4376.77426	4389.53379	4351.25521
1789677000	XAUUSD	M5	4341.34	4376.85604	4389.61556	4351.33699
1789677300	XAUUSD	M5	4342.15	4376.93782	4389.69734	4351.41877
1789677600	XAUUSD	M5	4341.37	4377.01960	4389.77912	4351.50055
1789677900	XAUUSD	M5	4342.09	4377.10138	4389.86090	4351.58233
1789678200	XAUUSD	M5	4341.80	4377.18315	4389.94268	4351.66411
1789678500	XAUUSD	M5	4341.70	4377.26493	4390.02446	4351.74589
1789682400	XAUUSD	M5	4342.97	4377.34671	4390.10624	4351.82766
1789682700	XAUUSD	M5	4342.68	4377.42849	4390.18801	4351.90944
1789683000	XAUUSD	M5	4344.46	4377.51027	4390.26979	4351.99122
1789683300	XAUUSD	M5	4341.96	4377.59205	4390.35157	4352.07300
1789683600	XAUUSD	M5	4342.75	4377.67383	4390.43335	4352.15478
1789683900	XAUUSD	M5	4344.92	4377.75560	4390.51513	4352.23656
1789684200	XAUUSD	M5	4347.11	4377.83738	4390.59691	4352.31833
1789684500	XAUUSD	M5	4348.82	4377.91916	4390.67868	4352.40011
1789684800	XAUUSD	M5	4344.46	4378.00094	4390.76046	4352.48189
1789685100	XAUUSD	M5	4342.43	4378.08272	4390.84224	4352.56367
1789685400	XAUUSD	M5	4344.86	4378.16450	4390.92402	4352.64545
1789685700	XAUUSD	M5	4344.45	4378.24628	4391.00580	4352.72723
1789686000	XAUUSD	M5	4343.77	4378.32805	4391.08758	4352.80901
1789686300	XAUUSD	M5	4344.39	4378.40983	4391.16936	4352.89078
1789686600	XAUUSD	M5	4345.04	4378.49161	4391.25113	4352.97256
1789686900	XAUUSD	M5	4344.75	4378.57339	4391.33291	4353.05434
1789687200	XAUUSD	M5	4346.35	4378.65517	4391.41469	4353.13612
1789687500	XAUUSD	M5	4344.24	4378.73695	4391.49647	4353.21790
1789687800	XAUUSD	M5	4344.76	4378.81872	4391.57825	4353.29968
1789688100	XAUUSD	M5	4343.77	4378.90050	4391.66003	4353.38146
1789688400	XAUUSD	M5	4344.33	4378.98228	4391.74181	4353.46323
1789688700	XAUUSD	M5	4344.99	4379.06406	4391.82358	4353.54501
1789689000	XAUUSD	M5	4347.57	4379.14584	4391.90536	4353.62679
1789689300	XAUUSD	M5	4346.35	4379.22762	4391.98714	4353.70857
1789689600	XAUUSD	M5	4344.93	4379.30940	4392.06892	4353.79035
1789689900	XAUUSD	M5	4346.95	4379.39117	4392.15070	4353.87213
1789690200	XAUUSD	M5	4354.38	4379.47295	4392.23248	4353.95391
1789690500	XAUUSD	M5	4352.98	4379.55473	4392.31426	4354.03568
1789690800	XAUUSD	M5	4355.86	4379.63651	4392.39603	4354.11746
1789691100	XAUUSD	M5	4353.45	4379.71829	4392.47781	4354.19924
1789691400	XAUUSD	M5	4358.23	4379.80007	4392.55959	4354.28102
1789691700	XAUUSD	M5	4358.46	4379.88185	4392.64137	4354.36280
1789692000	XAUUSD	M5	4358.76	4379.96362	4392.72315	4354.44458
1789692300	XAUUSD	M5	4353.61	4380.04540	4392.80493	4354.52636
1789692600	XAUUSD	M5	4353.71	4380.12718	4392.88671	4354.60813
1789692900	XAUUSD	M5	4356.44	4380.20896	4392.96848	4354.68991
1789693200	XAUUSD	M5	4362.42	4380.29074	4393.05026	4354.77169
1789693500	XAUUSD	M5	4361.40	4380.37252	4393.13204	4354.85347
1789693800	XAUUSD	M5	4358.20	4380.45430	4393.21382	4354.93525
1789694100	XAUUSD	M5	4360.62	4380.53607	4393.29560	4355.01703
1789694400	XAUUSD	M5	4362.24	4380.61785	4393.37738	4355.09880
1789694700	XAUUSD	M5	4359.84	4380.69963	4393.45915	4355.18058
1789695000	XAUUSD	M5	4351.96	4380.78141	4393.54093	4355.26236
1789695300	XAUUSD	M5	4350.60	4380.86319	4393.62271	4355.34414
1789695600	XAUUSD	M5	4347.39	4380.94497	4393.70449	4355.42592
1789695900	XAUUSD	M5	4348.25	4381.02674	4393.78627	4355.50770
1789696200	XAUUSD	M5	4349.17	4381.10852	4393.86805	4355.58948
1789696500	XAUUSD	M5	4348.36	4381.19030	4393.94983	4355.67125
1789696800	XAUUSD	M5	4348.64	4381.27208	4394.03160	4355.75303
1789697100	XAUUSD	M5	4349.38	4381.35386	4394.11338	4355.83481
1789697400	XAUUSD	M5	4350.45	4381.43564	4394.19516	4355.91659
1789697700	XAUUSD	M5	4348.94	4381.51742	4394.27694	4355.99837
1789698000	XAUUSD	M5	4352.10	4381.59919	4394.35872	4356.08015
1789698300	XAUUSD	M5	4352.99	4381.68097	4394.44050	4356.16193
1789698600	XAUUSD	M5	4355.92	4381.76275	4394.52228	4356.24370
1789698900	XAUUSD	M5	4352.15	4381.84453	4394.60405	4356.32548
1789699200	XAUUSD	M5	4351.67	4381.92631	4394.68583	4356.40726
1789699500	XAUUSD	M5	4354.47	4382.00809	4394.76761	4356.48904
1789699800	XAUUSD	M5	4348.81	4382.08987	4394.84939	4356.57082
1789700100	XAUUSD	M5	4346.86	4382.17164	4394.93117	4356.65260
1789700400	XAUUSD	M5	4349.06	4382.25342	4395.01295	4356.73438
1789700700	XAUUSD	M5	4345.67	4382.33520	4395.09473	4356.81615
1789701000	XAUUSD	M5	4344.81	4382.41698	4395.17650	4356.89793
1789701300	XAUUSD	M5	4337.46	4382.49876	4395.25828	4356.97971
1789701600	XAUUSD	M5	4336.10	4382.58054	4395.34006	4357.06149
1789701900	XAUUSD	M5	4340.96	4382.66232	4395.42184	4357.14327
1789702200	XAUUSD	M5	4350.36	4382.74409	4395.50362	4357.22505
1789702500	XAUUSD	M5	4352.73	4382.82587	4395.58540	4357.30682
1789702800	XAUUSD	M5	4357.51	4382.90765	4395.66717	4357.38860
1789703100	XAUUSD	M5	4358.73	4382.98943	4395.74895	4357.47038
1789703400	XAUUSD	M5	4358.62	4383.07121	4395.83073	4357.55216
1789703700	XAUUSD	M5	4359.31	4383.15299	4395.91251	4357.63394
1789704000	XAUUSD	M5	4360.89	4383.23477	4395.99429	4357.71572
1789704300	XAUUSD	M5	4359.64	4383.31654	4396.07607	4357.79750
1789704600	XAUUSD	M5	4356.96	4383.39832	4396.15785	4357.87927
1789704900	XAUUSD	M5	4353.57	4383.48010	4396.23962	4357.96105
1789705200	XAUUSD	M5	4355.60	4383.56188	4396.32140	4358.04283
1789705500	XAUUSD	M5	4357.91	4383.64366	4396.40318	4358.12461
1789705800	XAUUSD	M5	4358.54	4383.72544	4396.48496	4358.20639
1789706100	XAUUSD	M5	4359.77	4383.80721	4396.56674	4358.28817
1789706400	XAUUSD	M5	4364.59	4383.88899	4396.64852	4358.36995
1789706700	XAUUSD	M5	4365.30	4383.97077	4396.73030	4358.45172
1789707000	XAUUSD	M5	4361.57	4384.05255	4396.81207	4358.53350
1789707300	XAUUSD	M5	4366.99	4384.13433	4396.89385	4358.61528
1789707600	XAUUSD	M5	4366.22	4384.21611	4396.97563	4358.69706
1789707900	XAUUSD	M5	4368.09	4384.29789	4397.05741	4358.77884
1789708200	XAUUSD	M5	4365.46	4384.37966	4397.13919	4358.86062
1789708500	XAUUSD	M5	4368.74	4384.46144	4397.22097	4358.94240
1789708800	XAUUSD	M5	4366.76	4384.54322	4397.30275	4359.02417
1789709100	XAUUSD	M5	4364.66	4384.62500	4397.38452	4359.10595
1789709400	XAUUSD	M5	4362.79	4384.70678	4397.46630	4359.18773
