Non_B_timestamp	Non_B_symbol	Non_B_timeframe	Non_B_close	Non_B_Base_FL	Non_B_UOEDT	Non_B_LOEDT	Non_B_horiz_high_map	Non_B_horiz_low_map	Non_B_ssa	Non_B_ema_ssa	Non_B_crossing
1785904200	XAUUSD	M15	4134.63						4129.04555457	4129.04555457	0
1785905100	XAUUSD	M15	4135.53						4133.52016878	4131.28286168	1
1785906000	XAUUSD	M15	4137.30						4139.98042055	4135.63164111	0
1785906900	XAUUSD	M15	4139.62						4147.92650951	4141.77907531	0
1785907800	XAUUSD	M15	4156.55						4156.38834926	4149.08371229	0
1785908700	XAUUSD	M15	4161.50						4163.31729592	4156.20050410	0
1785909600	XAUUSD	M15	4173.24						4168.23000301	4162.21525356	0
1785910500	XAUUSD	M15	4168.89						4170.71277490	4166.46401423	0
1785911400	XAUUSD	M15	4175.64						4171.50505347	4168.98453385	0
1785912300	XAUUSD	M15	4177.57						4170.85305727	4169.91879556	0
1785913200	XAUUSD	M15	4166.19						4169.45483171	4169.68681363	1
1785914100	XAUUSD	M15	4164.33						4168.32588906	4169.00635135	0
1785915000	XAUUSD	M15	4166.64						4167.76574655	4168.38604895	0
1785915900	XAUUSD	M15	4170.82						4167.56436688	4167.97520791	0
1785916800	XAUUSD	M15	4165.55						4167.31645373	4167.64583082	0
1785917700	XAUUSD	M15	4164.57						4166.78718308	4167.21650695	0
1785918600	XAUUSD	M15	4166.17						4165.68176517	4166.44913606	0
1785919500	XAUUSD	M15	4160.53						4163.70820377	4165.07866991	0
1785920400	XAUUSD	M15	4162.90						4160.99729736	4163.03798363	0
1785921300	XAUUSD	M15	4157.65						4157.83602427	4160.43700395	0
1785922200	XAUUSD	M15	4158.15						4154.95281799	4157.69491097	0
1785923100	XAUUSD	M15	4157.93						4153.06631808	4155.38061453	0
1785924000	XAUUSD	M15	4151.09						4152.84545703	4154.11303578	0
1785924900	XAUUSD	M15	4156.88					4150.21000	4154.82693124	4154.46998351	1
1785925800	XAUUSD	M15	4155.11						4158.96694441	4156.71846396	0
1785926700	XAUUSD	M15	4161.52						4164.94611169	4160.83228782	0
1785927600	XAUUSD	M15	4170.88						4171.95765357	4166.39497070	0
1785928500	XAUUSD	M15	4175.98						4179.00860972	4172.70179021	0
1785929400	XAUUSD	M15	4184.96						4185.17384321	4178.93781671	0
1785930300	XAUUSD	M15	4188.79						4189.70498484	4184.32140077	0
1785931200	XAUUSD	M15	4197.54						4192.46890401	4188.39515239	0
1785932100	XAUUSD	M15	4205.27						4193.25212714	4190.82363977	0
1785933000	XAUUSD	M15	4194.78						4192.64715585	4191.73539781	0
1785933900	XAUUSD	M15	4183.90						4192.10289855	4191.91914818	0
1785934800	XAUUSD	M15	4187.86						4193.16799166	4192.54356992	0
1785935700	XAUUSD	M15	4197.09						4196.69520691	4194.61938841	0
1785936600	XAUUSD	M15	4197.54						4202.91880097	4198.76909469	0
1785937500	XAUUSD	M15	4206.10						4211.70625943	4205.23767706	0
1785938400	XAUUSD	M15	4229.62						4222.17588607	4213.70678157	0
1785939300	XAUUSD	M15	4237.05						4232.64851145	4223.17764651	0
1785940200	XAUUSD	M15	4243.19						4241.79464225	4232.48614438	0
1785941100	XAUUSD	M15	4244.28						4248.54850988	4240.51732713	0
1785942000	XAUUSD	M15	4257.95						4252.36607948	4246.44170330	0
1785942900	XAUUSD	M15	4257.34						4252.86764580	4249.65467455	0
1785943800	XAUUSD	M15	4255.90						4250.63243403	4250.14355429	0
1785944700	XAUUSD	M15	4232.87						4246.70992350	4248.42673889	1
1785945600	XAUUSD	M15	4234.33						4242.85101387	4245.63887638	0
1785946500	XAUUSD	M15	4241.45						4239.99497566	4242.81692602	0
1785947400	XAUUSD	M15	4244.60						4238.62999125	4240.72345863	0
1785948300	XAUUSD	M15	4242.39						4238.98817333	4239.85581598	0
1785949200	XAUUSD	M15	4242.06						4241.07865552	4240.46723575	1
1785950100	XAUUSD	M15	4244.70						4244.50519695	4242.48621635	0
1785951000	XAUUSD	M15	4248.16						4248.62595665	4245.55608650	0
1785951900	XAUUSD	M15	4250.27						4252.73315632	4249.14462141	0
