ohlcv_timestamp	ohlcv_symbol	ohlcv_timeframe	ohlcv_close	ohlcv_open	ohlcv_high	ohlcv_low	ohlcv_volume
1785904200	XAUUSD	M15	4134.63000	4138.60000	4138.80000	4133.39000	1046
1785905100	XAUUSD	M15	4135.53000	4134.63000	4135.94000	4132.59000	944
1785906000	XAUUSD	M15	4137.30000	4135.53000	4138.21000	4134.75000	1245
1785906900	XAUUSD	M15	4139.62000	4137.29000	4142.14000	4135.54000	1227
1785907800	XAUUSD	M15	4156.55000	4139.57000	4158.88000	4139.57000	2329
1785908700	XAUUSD	M15	4161.50000	4156.60000	4172.88000	4156.47000	2377
1785909600	XAUUSD	M15	4173.24000	4161.50000	4174.35000	4160.30000	1957
1785910500	XAUUSD	M15	4168.89000	4173.30000	4173.48000	4161.11000	1844
1785911400	XAUUSD	M15	4175.64000	4168.77000	4178.23000	4167.01000	1903
1785912300	XAUUSD	M15	4177.57000	4175.68000	4178.41000	4172.48000	1677
1785913200	XAUUSD	M15	4166.19000	4177.84000	4179.57000	4166.16000	1876
1785914100	XAUUSD	M15	4164.33000	4166.19000	4169.30000	4163.27000	1748
1785915000	XAUUSD	M15	4166.64000	4164.37000	4166.71000	4162.25000	1486
1785915900	XAUUSD	M15	4170.82000	4166.63000	4171.97000	4164.19000	1472
1785916800	XAUUSD	M15	4165.55000	4170.83000	4172.52000	4164.91000	1597
1785917700	XAUUSD	M15	4164.57000	4165.55000	4168.13000	4162.23000	1538
1785918600	XAUUSD	M15	4166.17000	4164.55000	4167.26000	4161.47000	1634
1785919500	XAUUSD	M15	4160.53000	4166.24000	4166.27000	4159.15000	1656
1785920400	XAUUSD	M15	4162.90000	4160.53000	4167.15000	4160.53000	1645
1785921300	XAUUSD	M15	4157.65000	4162.91000	4162.91000	4155.27000	1408
1785922200	XAUUSD	M15	4158.15000	4157.59000	4159.18000	4154.50000	1532
1785923100	XAUUSD	M15	4157.93000	4158.15000	4159.16000	4153.10000	1257
1785924000	XAUUSD	M15	4151.09000	4157.94000	4157.94000	4150.38000	1233
1785924900	XAUUSD	M15	4156.88000	4151.13000	4158.59000	4150.21000	1234
1785925800	XAUUSD	M15	4155.11000	4156.68000	4157.82000	4153.93000	1039
1785926700	XAUUSD	M15	4161.52000	4155.11000	4161.57000	4153.93000	1287
1785927600	XAUUSD	M15	4170.88000	4161.42000	4170.92000	4160.88000	1467
1785928500	XAUUSD	M15	4175.98000	4170.81000	4180.68000	4169.41000	1628
1785929400	XAUUSD	M15	4184.96000	4176.11000	4188.64000	4174.05000	2112
1785930300	XAUUSD	M15	4188.79000	4184.99000	4192.59000	4183.07000	1792
