Resistance_timestamp	Resistance_symbol	Resistance_timeframe	Resistance_close	Best_Resistance
1789646400	XAUUSD	M5	4345.64	
1789646700	XAUUSD	M5	4353.36	
1789647000	XAUUSD	M5	4354.67	
1789647300	XAUUSD	M5	4365.59	
1789647600	XAUUSD	M5	4368.66	
1789647900	XAUUSD	M5	4381.09	
1789648200	XAUUSD	M5	4370.39	
1789648500	XAUUSD	M5	4369.57	
1789648800	XAUUSD	M5	4360.63	
1789649100	XAUUSD	M5	4366.46	
1789649400	XAUUSD	M5	4374.33	
1789649700	XAUUSD	M5	4373.34	
1789650000	XAUUSD	M5	4366.19	
1789650300	XAUUSD	M5	4366.13	
1789650600	XAUUSD	M5	4366.23	
1789650900	XAUUSD	M5	4372.49	
1789651200	XAUUSD	M5	4366.84	
1789651500	XAUUSD	M5	4366.94	
1789651800	XAUUSD	M5	4371.88	
1789652100	XAUUSD	M5	4361.51	
1789652400	XAUUSD	M5	4358.10	
1789652700	XAUUSD	M5	4367.54	
1789653000	XAUUSD	M5	4366.48	
1789653300	XAUUSD	M5	4366.75	
1789653600	XAUUSD	M5	4369.45	
1789653900	XAUUSD	M5	4377.16	
1789654200	XAUUSD	M5	4371.77	
1789654500	XAUUSD	M5	4368.88	
1789654800	XAUUSD	M5	4369.72	
1789655100	XAUUSD	M5	4366.62	
1789655400	XAUUSD	M5	4366.96	
1789655700	XAUUSD	M5	4361.15	
1789656000	XAUUSD	M5	4361.10	
1789656300	XAUUSD	M5	4361.43	
1789656600	XAUUSD	M5	4357.15	
1789656900	XAUUSD	M5	4354.09	
1789657200	XAUUSD	M5	4355.88	
1789657500	XAUUSD	M5	4356.42	
1789657800	XAUUSD	M5	4361.91	
1789658100	XAUUSD	M5	4363.21	
1789658400	XAUUSD	M5	4359.58	
1789658700	XAUUSD	M5	4358.16	
1789659000	XAUUSD	M5	4358.86	
1789659300	XAUUSD	M5	4362.56	
1789659600	XAUUSD	M5	4365.77	
1789659900	XAUUSD	M5	4365.55	
1789660200	XAUUSD	M5	4366.49	
1789660500	XAUUSD	M5	4369.99	
1789660800	XAUUSD	M5	4369.77	
1789661100	XAUUSD	M5	4369.69	
1789661400	XAUUSD	M5	4368.04	
1789661700	XAUUSD	M5	4367.17	
1789662000	XAUUSD	M5	4367.63	
1789662300	XAUUSD	M5	4367.76	
1789662600	XAUUSD	M5	4358.70	
1789662900	XAUUSD	M5	4360.10	
1789663200	XAUUSD	M5	4359.97	
1789663500	XAUUSD	M5	4358.04	
1789663800	XAUUSD	M5	4360.37	
1789664100	XAUUSD	M5	4362.37	
1789664400	XAUUSD	M5	4362.42	
1789664700	XAUUSD	M5	4363.84	4365.83000
1789665000	XAUUSD	M5	4361.92	4365.89724
1789665300	XAUUSD	M5	4360.33	4365.96449
1789665600	XAUUSD	M5	4360.01	4366.03173
1789665900	XAUUSD	M5	4360.55	4366.09897
1789666200	XAUUSD	M5	4362.22	4366.16621
1789666500	XAUUSD	M5	4358.17	4366.23346
1789666800	XAUUSD	M5	4360.49	4366.30070
1789667100	XAUUSD	M5	4359.51	4366.36794
1789667400	XAUUSD	M5	4360.45	4366.43518
1789667700	XAUUSD	M5	4361.29	4366.50243
1789668000	XAUUSD	M5	4363.31	4366.56967
1789668300	XAUUSD	M5	4362.15	4366.63691
1789668600	XAUUSD	M5	4364.71	4366.70415
1789668900	XAUUSD	M5	4360.97	4366.77140
1789669200	XAUUSD	M5	4357.74	4366.83864
1789669500	XAUUSD	M5	4356.32	4366.90588
1789669800	XAUUSD	M5	4349.64	4366.97312
1789670100	XAUUSD	M5	4351.60	4367.04037
1789670400	XAUUSD	M5	4352.17	4367.10761
1789670700	XAUUSD	M5	4352.16	4367.17485
1789671000	XAUUSD	M5	4350.82	4367.24209
1789671300	XAUUSD	M5	4351.65	4367.30934
1789671600	XAUUSD	M5	4354.23	4367.37658
1789671900	XAUUSD	M5	4354.70	4367.44382
1789672200	XAUUSD	M5	4354.64	4367.51106
1789672500	XAUUSD	M5	4352.05	4367.57831
1789672800	XAUUSD	M5	4347.54	4367.64555
1789673100	XAUUSD	M5	4343.35	4367.71279
1789673400	XAUUSD	M5	4343.95	4367.78003
1789673700	XAUUSD	M5	4344.36	4367.84728
1789674000	XAUUSD	M5	4345.25	4367.91452
1789674300	XAUUSD	M5	4345.31	4367.98176
1789674600	XAUUSD	M5	4347.85	4368.04900
1789674900	XAUUSD	M5	4346.22	4368.11625
1789675200	XAUUSD	M5	4344.36	4368.18349
1789675500	XAUUSD	M5	4345.09	4368.25073
1789675800	XAUUSD	M5	4343.06	4368.31797
1789676100	XAUUSD	M5	4343.28	4368.38522
1789676400	XAUUSD	M5	4344.04	4368.45246
1789676700	XAUUSD	M5	4342.17	4368.51970
1789677000	XAUUSD	M5	4341.34	4368.58694
1789677300	XAUUSD	M5	4342.15	4368.65419
1789677600	XAUUSD	M5	4341.37	4368.72143
1789677900	XAUUSD	M5	4342.09	4368.78867
1789678200	XAUUSD	M5	4341.80	4368.85591
1789678500	XAUUSD	M5	4341.70	4368.92316
1789682400	XAUUSD	M5	4342.97	4368.99040
1789682700	XAUUSD	M5	4342.68	4369.05764
1789683000	XAUUSD	M5	4344.46	4369.12488
1789683300	XAUUSD	M5	4341.96	4369.19213
1789683600	XAUUSD	M5	4342.75	4369.25937
1789683900	XAUUSD	M5	4344.92	4369.32661
1789684200	XAUUSD	M5	4347.11	4369.39385
1789684500	XAUUSD	M5	4348.82	4369.46110
1789684800	XAUUSD	M5	4344.46	4369.52834
1789685100	XAUUSD	M5	4342.43	4369.59558
1789685400	XAUUSD	M5	4344.86	4369.66282
1789685700	XAUUSD	M5	4344.45	4369.73007
1789686000	XAUUSD	M5	4343.77	4369.79731
1789686300	XAUUSD	M5	4344.39	4369.86455
1789686600	XAUUSD	M5	4345.04	4369.93179
1789686900	XAUUSD	M5	4344.75	4369.99904
1789687200	XAUUSD	M5	4346.35	4370.06628
1789687500	XAUUSD	M5	4344.24	4370.13352
1789687800	XAUUSD	M5	4344.76	4370.20076
1789688100	XAUUSD	M5	4343.77	4370.26801
1789688400	XAUUSD	M5	4344.33	4370.33525
1789688700	XAUUSD	M5	4344.99	4370.40249
1789689000	XAUUSD	M5	4347.57	4370.46973
1789689300	XAUUSD	M5	4346.35	4370.53698
1789689600	XAUUSD	M5	4344.93	4370.60422
1789689900	XAUUSD	M5	4346.95	4370.67146
1789690200	XAUUSD	M5	4354.38	4370.73870
1789690500	XAUUSD	M5	4352.98	4370.80595
1789690800	XAUUSD	M5	4355.86	4370.87319
1789691100	XAUUSD	M5	4353.45	4370.94043
1789691400	XAUUSD	M5	4358.23	4371.00767
1789691700	XAUUSD	M5	4358.46	4371.07492
1789692000	XAUUSD	M5	4358.76	4371.14216
1789692300	XAUUSD	M5	4353.61	4371.20940
1789692600	XAUUSD	M5	4353.71	4371.27664
1789692900	XAUUSD	M5	4356.44	4371.34389
1789693200	XAUUSD	M5	4362.42	4371.41113
1789693500	XAUUSD	M5	4361.40	4371.47837
1789693800	XAUUSD	M5	4358.20	4371.54561
1789694100	XAUUSD	M5	4360.62	4371.61286
1789694400	XAUUSD	M5	4362.24	4371.68010
1789694700	XAUUSD	M5	4359.84	4371.74734
1789695000	XAUUSD	M5	4351.96	4371.81458
1789695300	XAUUSD	M5	4350.60	4371.88183
1789695600	XAUUSD	M5	4347.39	4371.94907
1789695900	XAUUSD	M5	4348.25	4372.01631
1789696200	XAUUSD	M5	4349.17	4372.08355
1789696500	XAUUSD	M5	4348.36	4372.15080
1789696800	XAUUSD	M5	4348.64	4372.21804
1789697100	XAUUSD	M5	4349.38	4372.28528
1789697400	XAUUSD	M5	4350.45	4372.35252
1789697700	XAUUSD	M5	4348.94	4372.41977
1789698000	XAUUSD	M5	4352.10	4372.48701
1789698300	XAUUSD	M5	4352.99	4372.55425
1789698600	XAUUSD	M5	4355.92	4372.62150
1789698900	XAUUSD	M5	4352.15	4372.68874
1789699200	XAUUSD	M5	4351.67	4372.75598
1789699500	XAUUSD	M5	4354.47	4372.82322
1789699800	XAUUSD	M5	4348.81	4372.89047
1789700100	XAUUSD	M5	4346.86	4372.95771
1789700400	XAUUSD	M5	4349.06	4373.02495
1789700700	XAUUSD	M5	4345.67	4373.09219
1789701000	XAUUSD	M5	4344.81	4373.15944
1789701300	XAUUSD	M5	4337.46	4373.22668
1789701600	XAUUSD	M5	4336.10	4373.29392
1789701900	XAUUSD	M5	4340.96	4373.36116
1789702200	XAUUSD	M5	4350.36	4373.42841
1789702500	XAUUSD	M5	4352.73	4373.49565
1789702800	XAUUSD	M5	4357.51	4373.56289
1789703100	XAUUSD	M5	4358.73	4373.63013
1789703400	XAUUSD	M5	4358.62	4373.69738
1789703700	XAUUSD	M5	4359.31	4373.76462
1789704000	XAUUSD	M5	4360.89	4373.83186
1789704300	XAUUSD	M5	4359.64	4373.89910
1789704600	XAUUSD	M5	4356.96	4373.96635
1789704900	XAUUSD	M5	4353.57	4374.03359
1789705200	XAUUSD	M5	4355.60	4374.10083
1789705500	XAUUSD	M5	4357.91	4374.16807
1789705800	XAUUSD	M5	4358.54	4374.23532
1789706100	XAUUSD	M5	4359.77	4374.30256
1789706400	XAUUSD	M5	4364.59	4374.36980
1789706700	XAUUSD	M5	4365.30	4374.43704
1789707000	XAUUSD	M5	4361.57	4374.50429
1789707300	XAUUSD	M5	4366.99	4374.57153
1789707600	XAUUSD	M5	4366.22	4374.63877
1789707900	XAUUSD	M5	4368.09	4374.70601
1789708200	XAUUSD	M5	4365.46	4374.77326
1789708500	XAUUSD	M5	4368.74	4374.84050
1789708800	XAUUSD	M5	4366.76	4374.90774
1789709100	XAUUSD	M5	4364.66	4374.97498
1789709400	XAUUSD	M5	4362.79	4375.04223
1789709700	XAUUSD	M5	4372.28	4375.10947
1789710000	XAUUSD	M5	4377.09	4375.17671
1789710300	XAUUSD	M5	4370.79	4375.24395
1789710600	XAUUSD	M5	4373.43	4375.31120
1789710900	XAUUSD	M5	4377.38	4375.37844
1789711200	XAUUSD	M5	4382.37	4375.44568
1789711500	XAUUSD	M5	4387.42	4375.51292
1789711800	XAUUSD	M5	4389.04	4375.58017
1789712100	XAUUSD	M5	4384.81	4375.64741
1789712400	XAUUSD	M5	4391.53	4375.71465
1789712700	XAUUSD	M5	4392.43	4375.78189
1789713000	XAUUSD	M5	4393.17	4375.84914
1789713300	XAUUSD	M5	4394.51	4375.91638
1789713600	XAUUSD	M5	4396.12	4375.98362
1789713900	XAUUSD	M5	4395.31	4376.05086
1789714200	XAUUSD	M5	4391.20	4376.11811
