Support_timestamp	Support_symbol	Support_timeframe	Support_close	Best_Support
1789646400	XAUUSD	M5	4345.64	
1789646700	XAUUSD	M5	4353.36	
1789647000	XAUUSD	M5	4354.67	
1789647300	XAUUSD	M5	4365.59	
1789647600	XAUUSD	M5	4368.66	
1789647900	XAUUSD	M5	4381.09	
1789648200	XAUUSD	M5	4370.39	
1789648500	XAUUSD	M5	4369.57	
1789648800	XAUUSD	M5	4360.63	
1789649100	XAUUSD	M5	4366.46	
1789649400	XAUUSD	M5	4374.33	
1789649700	XAUUSD	M5	4373.34	
1789650000	XAUUSD	M5	4366.19	
1789650300	XAUUSD	M5	4366.13	
1789650600	XAUUSD	M5	4366.23	
1789650900	XAUUSD	M5	4372.49	
1789651200	XAUUSD	M5	4366.84	
1789651500	XAUUSD	M5	4366.94	
1789651800	XAUUSD	M5	4371.88	
1789652100	XAUUSD	M5	4361.51	
1789652400	XAUUSD	M5	4358.10	
1789652700	XAUUSD	M5	4367.54	
1789653000	XAUUSD	M5	4366.48	
1789653300	XAUUSD	M5	4366.75	
1789653600	XAUUSD	M5	4369.45	
1789653900	XAUUSD	M5	4377.16	
1789654200	XAUUSD	M5	4371.77	
1789654500	XAUUSD	M5	4368.88	
1789654800	XAUUSD	M5	4369.72	
1789655100	XAUUSD	M5	4366.62	
1789655400	XAUUSD	M5	4366.96	
1789655700	XAUUSD	M5	4361.15	
1789656000	XAUUSD	M5	4361.10	
1789656300	XAUUSD	M5	4361.43	
1789656600	XAUUSD	M5	4357.15	
1789656900	XAUUSD	M5	4354.09	
1789657200	XAUUSD	M5	4355.88	
1789657500	XAUUSD	M5	4356.42	
1789657800	XAUUSD	M5	4361.91	
1789658100	XAUUSD	M5	4363.21	
1789658400	XAUUSD	M5	4359.58	
1789658700	XAUUSD	M5	4358.16	
1789659000	XAUUSD	M5	4358.86	
1789659300	XAUUSD	M5	4362.56	
1789659600	XAUUSD	M5	4365.77	
1789659900	XAUUSD	M5	4365.55	
1789660200	XAUUSD	M5	4366.49	
1789660500	XAUUSD	M5	4369.99	
1789660800	XAUUSD	M5	4369.77	
1789661100	XAUUSD	M5	4369.69	
1789661400	XAUUSD	M5	4368.04	
1789661700	XAUUSD	M5	4367.17	
1789662000	XAUUSD	M5	4367.63	
1789662300	XAUUSD	M5	4367.76	
1789662600	XAUUSD	M5	4358.70	
1789662900	XAUUSD	M5	4360.10	
1789663200	XAUUSD	M5	4359.97	
1789663500	XAUUSD	M5	4358.04	
1789663800	XAUUSD	M5	4360.37	
1789664100	XAUUSD	M5	4362.37	
1789664400	XAUUSD	M5	4362.42	
1789664700	XAUUSD	M5	4363.84	
1789665000	XAUUSD	M5	4361.92	
1789665300	XAUUSD	M5	4360.33	
1789665600	XAUUSD	M5	4360.01	
1789665900	XAUUSD	M5	4360.55	
1789666200	XAUUSD	M5	4362.22	
1789666500	XAUUSD	M5	4358.17	
1789666800	XAUUSD	M5	4360.49	
1789667100	XAUUSD	M5	4359.51	
1789667400	XAUUSD	M5	4360.45	
1789667700	XAUUSD	M5	4361.29	
1789668000	XAUUSD	M5	4363.31	
1789668300	XAUUSD	M5	4362.15	
1789668600	XAUUSD	M5	4364.71	
1789668900	XAUUSD	M5	4360.97	
1789669200	XAUUSD	M5	4357.74	
1789669500	XAUUSD	M5	4356.32	
1789669800	XAUUSD	M5	4349.64	
1789670100	XAUUSD	M5	4351.60	4348.52000
1789670400	XAUUSD	M5	4352.17	4348.56086
1789670700	XAUUSD	M5	4352.16	4348.60171
1789671000	XAUUSD	M5	4350.82	4348.64257
1789671300	XAUUSD	M5	4351.65	4348.68343
1789671600	XAUUSD	M5	4354.23	4348.72429
1789671900	XAUUSD	M5	4354.70	4348.76514
1789672200	XAUUSD	M5	4354.64	4348.80600
1789672500	XAUUSD	M5	4352.05	4348.84686
1789672800	XAUUSD	M5	4347.54	4348.88771
1789673100	XAUUSD	M5	4343.35	4348.92857
1789673400	XAUUSD	M5	4343.95	4348.96943
1789673700	XAUUSD	M5	4344.36	4349.01029
1789674000	XAUUSD	M5	4345.25	4349.05114
1789674300	XAUUSD	M5	4345.31	4349.09200
1789674600	XAUUSD	M5	4347.85	4349.13286
1789674900	XAUUSD	M5	4346.22	4349.17371
1789675200	XAUUSD	M5	4344.36	4349.21457
1789675500	XAUUSD	M5	4345.09	4349.25543
1789675800	XAUUSD	M5	4343.06	4349.29629
1789676100	XAUUSD	M5	4343.28	4349.33714
1789676400	XAUUSD	M5	4344.04	4349.37800
1789676700	XAUUSD	M5	4342.17	4349.41886
1789677000	XAUUSD	M5	4341.34	4349.45971
1789677300	XAUUSD	M5	4342.15	4349.50057
1789677600	XAUUSD	M5	4341.37	4349.54143
1789677900	XAUUSD	M5	4342.09	4349.58229
1789678200	XAUUSD	M5	4341.80	4349.62314
1789678500	XAUUSD	M5	4341.70	4349.66400
1789682400	XAUUSD	M5	4342.97	4349.70486
1789682700	XAUUSD	M5	4342.68	4349.74571
1789683000	XAUUSD	M5	4344.46	4349.78657
1789683300	XAUUSD	M5	4341.96	4349.82743
1789683600	XAUUSD	M5	4342.75	4349.86829
1789683900	XAUUSD	M5	4344.92	4349.90914
1789684200	XAUUSD	M5	4347.11	4349.95000
1789684500	XAUUSD	M5	4348.82	4349.99086
1789684800	XAUUSD	M5	4344.46	4350.03171
1789685100	XAUUSD	M5	4342.43	4350.07257
1789685400	XAUUSD	M5	4344.86	4350.11343
1789685700	XAUUSD	M5	4344.45	4350.15429
1789686000	XAUUSD	M5	4343.77	4350.19514
1789686300	XAUUSD	M5	4344.39	4350.23600
1789686600	XAUUSD	M5	4345.04	4350.27686
1789686900	XAUUSD	M5	4344.75	4350.31771
1789687200	XAUUSD	M5	4346.35	4350.35857
1789687500	XAUUSD	M5	4344.24	4350.39943
1789687800	XAUUSD	M5	4344.76	4350.44029
1789688100	XAUUSD	M5	4343.77	4350.48114
1789688400	XAUUSD	M5	4344.33	4350.52200
1789688700	XAUUSD	M5	4344.99	4350.56286
1789689000	XAUUSD	M5	4347.57	4350.60371
1789689300	XAUUSD	M5	4346.35	4350.64457
1789689600	XAUUSD	M5	4344.93	4350.68543
1789689900	XAUUSD	M5	4346.95	4350.72629
1789690200	XAUUSD	M5	4354.38	4350.76714
1789690500	XAUUSD	M5	4352.98	4350.80800
1789690800	XAUUSD	M5	4355.86	4350.84886
1789691100	XAUUSD	M5	4353.45	4350.88971
1789691400	XAUUSD	M5	4358.23	4350.93057
1789691700	XAUUSD	M5	4358.46	4350.97143
1789692000	XAUUSD	M5	4358.76	4351.01229
1789692300	XAUUSD	M5	4353.61	4351.05314
1789692600	XAUUSD	M5	4353.71	4351.09400
1789692900	XAUUSD	M5	4356.44	4351.13486
1789693200	XAUUSD	M5	4362.42	4351.17571
1789693500	XAUUSD	M5	4361.40	4351.21657
1789693800	XAUUSD	M5	4358.20	4351.25743
1789694100	XAUUSD	M5	4360.62	4351.29829
1789694400	XAUUSD	M5	4362.24	4351.33914
1789694700	XAUUSD	M5	4359.84	4351.38000
1789695000	XAUUSD	M5	4351.96	4351.42086
1789695300	XAUUSD	M5	4350.60	4351.46171
1789695600	XAUUSD	M5	4347.39	4351.50257
1789695900	XAUUSD	M5	4348.25	4351.54343
1789696200	XAUUSD	M5	4349.17	4351.58429
1789696500	XAUUSD	M5	4348.36	4351.62514
1789696800	XAUUSD	M5	4348.64	4351.66600
1789697100	XAUUSD	M5	4349.38	4351.70686
1789697400	XAUUSD	M5	4350.45	4351.74771
1789697700	XAUUSD	M5	4348.94	4351.78857
1789698000	XAUUSD	M5	4352.10	4351.82943
1789698300	XAUUSD	M5	4352.99	4351.87029
1789698600	XAUUSD	M5	4355.92	4351.91114
1789698900	XAUUSD	M5	4352.15	4351.95200
1789699200	XAUUSD	M5	4351.67	4351.99286
1789699500	XAUUSD	M5	4354.47	4352.03371
1789699800	XAUUSD	M5	4348.81	4352.07457
1789700100	XAUUSD	M5	4346.86	4352.11543
1789700400	XAUUSD	M5	4349.06	4352.15629
1789700700	XAUUSD	M5	4345.67	4352.19714
1789701000	XAUUSD	M5	4344.81	4352.23800
1789701300	XAUUSD	M5	4337.46	4352.27886
1789701600	XAUUSD	M5	4336.10	4352.31971
1789701900	XAUUSD	M5	4340.96	4352.36057
1789702200	XAUUSD	M5	4350.36	4352.40143
1789702500	XAUUSD	M5	4352.73	4352.44229
1789702800	XAUUSD	M5	4357.51	4352.48314
1789703100	XAUUSD	M5	4358.73	4352.52400
1789703400	XAUUSD	M5	4358.62	4352.56486
1789703700	XAUUSD	M5	4359.31	4352.60571
1789704000	XAUUSD	M5	4360.89	4352.64657
1789704300	XAUUSD	M5	4359.64	4352.68743
1789704600	XAUUSD	M5	4356.96	4352.72829
1789704900	XAUUSD	M5	4353.57	4352.76914
1789705200	XAUUSD	M5	4355.60	4352.81000
1789705500	XAUUSD	M5	4357.91	4352.85086
1789705800	XAUUSD	M5	4358.54	4352.89171
1789706100	XAUUSD	M5	4359.77	4352.93257
1789706400	XAUUSD	M5	4364.59	4352.97343
1789706700	XAUUSD	M5	4365.30	4353.01429
1789707000	XAUUSD	M5	4361.57	4353.05514
1789707300	XAUUSD	M5	4366.99	4353.09600
1789707600	XAUUSD	M5	4366.22	4353.13686
1789707900	XAUUSD	M5	4368.09	4353.17771
1789708200	XAUUSD	M5	4365.46	4353.21857
1789708500	XAUUSD	M5	4368.74	4353.25943
1789708800	XAUUSD	M5	4366.76	4353.30029
1789709100	XAUUSD	M5	4364.66	4353.34114
1789709400	XAUUSD	M5	4362.79	4353.38200
1789709700	XAUUSD	M5	4372.28	4353.42286
1789710000	XAUUSD	M5	4377.09	4353.46371
1789710300	XAUUSD	M5	4370.79	4353.50457
1789710600	XAUUSD	M5	4373.43	4353.54543
1789710900	XAUUSD	M5	4377.38	4353.58629
1789711200	XAUUSD	M5	4382.37	4353.62714
1789711500	XAUUSD	M5	4387.42	4353.66800
1789711800	XAUUSD	M5	4389.04	4353.70886
1789712100	XAUUSD	M5	4384.81	4353.74971
1789712400	XAUUSD	M5	4391.53	4353.79057
1789712700	XAUUSD	M5	4392.43	4353.83143
1789713000	XAUUSD	M5	4393.17	4353.87229
1789713300	XAUUSD	M5	4394.51	4353.91314
1789713600	XAUUSD	M5	4396.12	4353.95400
1789713900	XAUUSD	M5	4395.31	4353.99486
1789714200	XAUUSD	M5	4391.20	4354.03571
1789714500	XAUUSD	M5	4393.43	4354.07657
1789714800	XAUUSD	M5	4391.39	4354.11743
1789715100	XAUUSD	M5	4393.69	4354.15829
1789715400	XAUUSD	M5	4390.48	4354.19914
