z-score_timestamp	z-score_symbol	z-score_timeframe	z-score_close	z-score_open	z-score_high	z-score_low	body_direction	body_size	body_classification
1789611601	XAUUSD	M5	4290.31	4292.33	4292.99	4290.12	-1	0.19905	3
1789611901	XAUUSD	M5	4291.77	4290.34	4292.26	4289.87	1	0.35834	0
1789612201	XAUUSD	M5	4285.83	4291.78	4292.57	4284.82	-1	0.87541	3
1789612501	XAUUSD	M5	4283.53	4285.88	4286.61	4282.97	-1	0.10689	3
1789612801	XAUUSD	M5	4288.54	4283.56	4290.77	4281.52	1	0.60906	0
1789613101	XAUUSD	M5	4283.53	4288.53	4289.58	4282.56	-1	0.61923	3
1789613401	XAUUSD	M5	4276.10	4283.44	4283.94	4274.76	-1	1.25501	3
1789613701	XAUUSD	M5	4277.27	4275.83	4280.81	4274.01	1	0.35675	0
1789614001	XAUUSD	M5	4282.67	4277.22	4282.96	4277.10	1	0.73689	0
1789614301	XAUUSD	M5	4285.11	4282.68	4286.64	4281.16	1	0.08495	0
1789614601	XAUUSD	M5	4285.20	4284.91	4285.81	4282.23	1	0.66964	0
1789614901	XAUUSD	M5	4286.57	4285.13	4287.05	4283.46	1	0.35560	0
1789615201	XAUUSD	M5	4285.90	4286.53	4286.61	4283.21	-1	0.57466	3
1789615501	XAUUSD	M5	4286.06	4285.97	4286.97	4285.12	1	0.71924	0
1789615801	XAUUSD	M5	4290.27	4285.97	4292.28	4285.79	1	0.43032	0
1789616101	XAUUSD	M5	4292.36	4290.27	4293.34	4289.90	1	0.17566	0
1789616401	XAUUSD	M5	4295.89	4292.36	4296.26	4291.72	1	0.21832	0
1789616701	XAUUSD	M5	4295.68	4295.89	4296.71	4293.76	-1	0.68732	3
1789617001	XAUUSD	M5	4296.45	4295.71	4296.81	4294.27	1	0.54230	0
1789617301	XAUUSD	M5	4296.06	4296.44	4297.43	4295.66	-1	0.64061	3
1789617601	XAUUSD	M5	4294.14	4296.04	4296.04	4293.78	-1	0.22587	3
1789617901	XAUUSD	M5	4296.31	4294.16	4296.54	4293.26	1	0.15692	0
1789618201	XAUUSD	M5	4293.78	4296.31	4296.31	4292.95	-1	0.05237	3
1789618501	XAUUSD	M5	4293.29	4293.78	4294.29	4292.78	-1	0.61084	3
1789618801	XAUUSD	M5	4293.70	4293.25	4295.77	4292.15	1	0.61871	0
1789619101	XAUUSD	M5	4291.35	4293.71	4294.15	4291.13	-1	0.09421	3
1789619401	XAUUSD	M5	4291.37	4291.34	4293.24	4290.42	1	0.73181	0
1789619701	XAUUSD	M5	4295.10	4291.37	4296.54	4291.37	1	0.28306	0
1789620001	XAUUSD	M5	4295.34	4295.09	4296.27	4293.10	1	0.67064	0
1789620301	XAUUSD	M5	4297.19	4295.28	4298.90	4295.27	1	0.21690	0
1789620601	XAUUSD	M5	4297.44	4297.20	4298.85	4295.61	1	0.67364	0
1789620901	XAUUSD	M5	4297.42	4297.48	4298.66	4295.85	-1	0.72074	3
