zigzag_TimeStamp	zigzag_symbol	zigzag_timeframe	zigzag_close	zigzag_Type	CurrentPoint	CurrentPrChg	Current%Chg	Current%ChgClass	CurrentBars	CurrentBarsClass	CurrentPrPerBar	CurrentPrPerBarClass	CurrentSlope	CurrentCategory
1788475501	XAUUSD	M5	4474.76000	Bottom	4471.49000	-7.24000	-0.16	3	6	3	-1.20667	3	-50.3505	HL
1788480601	XAUUSD	M5	4480.86000	Peak	4483.24000	11.75000	0.26	0	17	0	0.69118	0	34.6513	HH
1788481801	XAUUSD	M5	4479.42000	Bottom	4472.81000	-10.43000	-0.23	3	4	3	-2.60750	3	-69.0177	HL
1788483301	XAUUSD	M5	4486.54000	Peak	4487.09000	14.28000	0.32	0	5	0	2.85600	0	70.7028	HH
1788494401	XAUUSD	M5	4468.95000	Bottom	4465.51000	-21.58000	-0.48	3	37	3	-0.58324	3	-30.2526	LL
1788496501	XAUUSD	M5	4474.39000	Peak	4474.90000	9.39000	0.21	0	7	0	1.34143	0	53.2964	LH
1788498601	XAUUSD	M5	4469.31000	Bottom	4467.38000	-7.52000	-0.17	3	7	3	-1.07429	3	-47.0510	HL
1788498901	XAUUSD	M5	4473.85000	Peak	4475.23000	7.85000	0.18	0	1	0	7.85000	2	82.7403	HH
1788499801	XAUUSD	M5	4473.23000	Bottom	4466.81000	-8.42000	-0.19	3	3	3	-2.80667	3	-70.3893	LL
1788500401	XAUUSD	M5	4471.00000	Peak	4477.61000	10.80000	0.24	0	2	0	5.40000	2	79.5085	HH
1788504901	XAUUSD	M5	4462.94000	Bottom	4460.05000	-17.56000	-0.39	3	15	3	-1.17067	3	-49.4956	LL
1788507901	XAUUSD	M5	4487.89000	Peak	4490.71000	30.66000	0.69	0	10	0	3.06600	0	71.9359	HH
1788513901	XAUUSD	M5	4466.65000	Bottom	4463.88000	-26.83000	-0.60	3	20	3	-1.34150	3	-53.2979	HL
1788518701	XAUUSD	M5	4474.78000	Peak	4476.42000	12.54000	0.28	0	16	0	0.78375	0	38.0876	LH
1788524101	XAUUSD	M5	4468.02000	Bottom	4464.51000	-11.91000	-0.27	3	18	3	-0.66167	3	-33.4913	HL
1788524701	XAUUSD	M5	4472.68000	Peak	4476.24000	11.73000	0.26	0	2	0	5.86500	2	80.3239	LH
1788526801	XAUUSD	M5	4379.22000	Bottom	4365.49000	-110.75000	-2.47	5	7	3	-15.82143	5	-86.3834	LL
1788535201	XAUUSD	M5	4442.95000	Peak	4448.95000	83.46000	1.91	2	28	0	2.98071	0	71.4539	LH
1788544801	XAUUSD	M5	4412.69000	Bottom	4412.00000	-36.95000	-0.83	3	32	3	-1.15469	3	-49.1063	HL
1788550201	XAUUSD	M5	4437.69000	Peak	4438.41000	26.41000	0.60	0	18	0	1.46722	0	55.7232	LH
1788732001	XAUUSD	M5	4422.64000	Bottom	4417.68000	-20.73000	-0.47	3	18	3	-1.15167	3	-49.0320	HL
1788734701	XAUUSD	M5	4434.02000	Peak	4435.12000	17.44000	0.39	0	9	0	1.93778	0	62.7038	LH
1788741001	XAUUSD	M5	4419.16000	Bottom	4418.53000	-16.59000	-0.37	3	21	3	-0.79000	3	-38.3087	HL
1788741901	XAUUSD	M5	4427.11000	Peak	4429.56000	11.03000	0.25	0	3	0	3.67667	0	74.7844	LH
1788744001	XAUUSD	M5	4396.06000	Bottom	4389.69000	-39.87000	-0.90	3	7	3	-5.69571	3	-80.0420	LL
1788749101	XAUUSD	M5	4417.36000	Peak	4419.05000	29.36000	0.67	0	17	0	1.72706	0	59.9283	LH
1788755701	XAUUSD	M5	4395.18000	Bottom	4394.47000	-24.58000	-0.56	3	22	3	-1.11727	3	-48.1703	HL
1788759001	XAUUSD	M5	4408.31000	Peak	4413.19000	18.72000	0.43	0	11	0	1.70182	0	59.5612	LH
1788760801	XAUUSD	M5	4387.65000	Bottom	4385.31000	-27.88000	-0.63	3	6	3	-4.64667	3	-77.8547	LL
1788769801	XAUUSD	M5	4421.15000	Peak	4423.95000	38.64000	0.88	0	30	0	1.28800	0	52.1743	HH
1788780601	XAUUSD	M5	4382.50000	Bottom	4381.13000	-42.82000	-0.97	3	36	4	-1.18944	3	-49.9453	LL
1788792601	XAUUSD	M5	4417.02000	Peak	4419.58000	38.45000	0.88	0	40	1	0.96125	0	43.8681	LH
1788795601	XAUUSD	M5	4411.78000	Bottom	4408.89000	-10.69000	-0.24	3	10	3	-1.06900	3	-46.9101	HL
1788797401	XAUUSD	M5	4415.35000	Peak	4417.28000	8.39000	0.19	0	6	0	1.39833	0	54.4300	LH
1788804901	XAUUSD	M5	4404.91000	Bottom	4403.70000	-13.58000	-0.31	3	25	3	-0.54320	3	-28.5108	LL
1788832201	XAUUSD	M5	4438.72000	Peak	4440.75000	37.05000	0.84	0	48	2	0.77188	0	37.6637	HH
1788835801	XAUUSD	M5	4422.99000	Bottom	4421.32000	-19.43000	-0.44	3	12	3	-1.61917	3	-58.3005	HL
1788840301	XAUUSD	M5	4440.59000	Peak	4442.97000	21.65000	0.49	0	15	0	1.44333	0	55.2842	HH
1788854701	XAUUSD	M5	4388.05000	Bottom	4387.87000	-55.10000	-1.24	4	48	5	-1.14792	3	-48.9395	LL
1788858901	XAUUSD	M5	4397.09000	Peak	4399.42000	11.55000	0.26	0	14	0	0.82500	0	39.5226	LH
1788859801	XAUUSD	M5	4395.71000	Bottom	4391.01000	-8.41000	-0.19	3	3	3	-2.80333	3	-70.3678	HL
1788862801	XAUUSD	M5	4400.53000	Peak	4406.85000	15.84000	0.36	0	10	0	1.58400	0	57.7352	HH
1788865801	XAUUSD	M5	4395.10000	Bottom	4391.22000	-15.63000	-0.35	3	10	3	-1.56300	3	-57.3891	HL
1788867301	XAUUSD	M5	4404.97000	Peak	4407.93000	16.71000	0.38	0	5	0	3.34200	0	73.3417	HH
1788869701	XAUUSD	M5	4391.45000	Bottom	4385.32000	-22.61000	-0.51	3	8	3	-2.82625	3	-70.5149	LL
1788872401	XAUUSD	M5	4406.21000	Peak	4412.55000	27.23000	0.62	0	9	0	3.02556	0	71.7104	HH
1788879001	XAUUSD	M5	4393.71000	Bottom	4389.23000	-23.32000	-0.53	3	22	3	-1.06000	3	-46.6683	HL
1788880501	XAUUSD	M5	4405.93000	Peak	4409.33000	20.10000	0.46	0	5	0	4.02000	0	76.0308	LH
1788883801	XAUUSD	M5	4386.46000	Bottom	4380.71000	-28.62000	-0.65	3	11	3	-2.60182	3	-68.9759	LL
1788887101	XAUUSD	M5	4397.78000	Peak	4403.74000	23.03000	0.53	0	11	0	2.09364	0	64.4691	LH
1788900301	XAUUSD	M5	4347.77000	Bottom	4345.81000	-57.93000	-1.32	4	44	5	-1.31659	3	-52.7820	LL
1788910201	XAUUSD	M5	4358.90000	Peak	4359.96000	14.15000	0.33	0	21	0	0.67381	0	33.9725	LH
1788913501	XAUUSD	M5	4346.97000	Bottom	4341.25000	-18.71000	-0.43	3	11	3	-1.70091	3	-59.5478	LL
1788918301	XAUUSD	M5	4375.47000	Peak	4378.17000	36.92000	0.85	0	16	0	2.30750	0	66.5696	HH
1788921301	XAUUSD	M5	4368.34000	Bottom	4367.25000	-10.92000	-0.25	3	10	3	-1.09200	3	-47.5181	HL
