Fractal_timestamp	Fractal_symbol	Fractal_timeframe	Fractal_close	Fractal_Best_FL	Fractal_UOEDT	Fractal_LOEDT
1788434702	XAUUSD	M5	4434.33			
1788435002	XAUUSD	M5	4434.32			
1788435302	XAUUSD	M5	4435.76			
1788435602	XAUUSD	M5	4438.77			
1788435902	XAUUSD	M5	4439.16			
1788436202	XAUUSD	M5	4440.08			
1788436502	XAUUSD	M5	4444.13			
1788436802	XAUUSD	M5	4448.37			
1788437102	XAUUSD	M5	4448.70			
1788437402	XAUUSD	M5	4443.86			
1788437702	XAUUSD	M5	4441.28			
1788438002	XAUUSD	M5	4446.75			
1788438302	XAUUSD	M5	4446.55			
1788438602	XAUUSD	M5	4466.99			
1788438902	XAUUSD	M5	4475.91			
1788439202	XAUUSD	M5	4468.01			
1788439502	XAUUSD	M5	4480.01			
1788439802	XAUUSD	M5	4491.47			
1788440102	XAUUSD	M5	4493.36			
1788440402	XAUUSD	M5	4489.84			
1788440702	XAUUSD	M5	4487.99			
1788441002	XAUUSD	M5	4485.60			
1788441302	XAUUSD	M5	4479.75			
1788441602	XAUUSD	M5	4483.56			
1788441902	XAUUSD	M5	4479.96			
1788442202	XAUUSD	M5	4477.54			
1788442502	XAUUSD	M5	4475.61			
1788442802	XAUUSD	M5	4470.14			
1788443102	XAUUSD	M5	4458.20			
1788443402	XAUUSD	M5	4463.90			
1788443702	XAUUSD	M5	4470.93			
1788444002	XAUUSD	M5	4465.20			
1788444302	XAUUSD	M5	4464.51			
1788444602	XAUUSD	M5	4469.12			
1788444902	XAUUSD	M5	4476.65			
1788445202	XAUUSD	M5	4475.85			
1788445502	XAUUSD	M5	4477.70			
1788445802	XAUUSD	M5	4470.62			
1788446102	XAUUSD	M5	4469.35			
1788446402	XAUUSD	M5	4473.04			
1788446702	XAUUSD	M5	4474.21			
1788447002	XAUUSD	M5	4476.88			
1788447302	XAUUSD	M5	4485.38			
1788447602	XAUUSD	M5	4497.97			
1788447902	XAUUSD	M5	4497.94			
1788448202	XAUUSD	M5	4503.50			
1788448502	XAUUSD	M5	4510.31			
1788448802	XAUUSD	M5	4504.68	4510.78000	4530.36184	4478.01496
1788449102	XAUUSD	M5	4506.78	4510.56567	4530.14751	4477.80062
1788449402	XAUUSD	M5	4503.13	4510.35133	4529.93317	4477.58629
1788449702	XAUUSD	M5	4496.68	4510.13700	4529.71884	4477.37195
1788450002	XAUUSD	M5	4495.01	4509.92266	4529.50450	4477.15762
1788450302	XAUUSD	M5	4488.68	4509.70833	4529.29017	4476.94329
1788450602	XAUUSD	M5	4490.28	4509.49399	4529.07584	4476.72895
1788450902	XAUUSD	M5	4493.24	4509.27966	4528.86150	4476.51462
1788451202	XAUUSD	M5	4490.61	4509.06533	4528.64717	4476.30028
1788451502	XAUUSD	M5	4492.29	4508.85099	4528.43283	4476.08595
1788451802	XAUUSD	M5	4493.97	4508.63666	4528.21850	4475.87161
1788452102	XAUUSD	M5	4493.77	4508.42232	4528.00416	4475.65728
1788452402	XAUUSD	M5	4493.02	4508.20799	4527.78983	4475.44295
1788452702	XAUUSD	M5	4493.23	4507.99365	4527.57550	4475.22861
1788453002	XAUUSD	M5	4490.83	4507.77932	4527.36116	4475.01428
1788453302	XAUUSD	M5	4491.27	4507.56499	4527.14683	4474.79994
1788453602	XAUUSD	M5	4487.95	4507.35065	4526.93249	4474.58561
1788453902	XAUUSD	M5	4488.81	4507.13632	4526.71816	4474.37127
1788454202	XAUUSD	M5	4487.16	4506.92198	4526.50382	4474.15694
1788454502	XAUUSD	M5	4486.24	4506.70765	4526.28949	4473.94261
1788454802	XAUUSD	M5	4487.14	4506.49331	4526.07516	4473.72827
1788455102	XAUUSD	M5	4486.02	4506.27898	4525.86082	4473.51394
1788455402	XAUUSD	M5	4487.93	4506.06465	4525.64649	4473.29960
1788455702	XAUUSD	M5	4487.61	4505.85031	4525.43215	4473.08527
1788456002	XAUUSD	M5	4490.85	4505.63598	4525.21782	4472.87093
1788456302	XAUUSD	M5	4492.91	4505.42164	4525.00348	4472.65660
1788456602	XAUUSD	M5	4491.82	4505.20731	4524.78915	4472.44227
