Non_A_timestamp	Non_A_symbol	Non_A_timeframe	Non_A_close	Non_A_Base_FL	Non_A_UOEDT	Non_A_LOEDT	Non_A_horiz_high_map	Non_A_horiz_low_map	Non_A_ssa	Non_A_ema_ssa	Non_A_crossing
1787295002	XAUUSD	M5	4564.76						4562.91337184	4563.40827965	0
1787295302	XAUUSD	M5	4560.86						4562.55537907	4562.98182936	0
1787295602	XAUUSD	M5	4566.00						4562.84041419	4562.91112178	0
1787295902	XAUUSD	M5	4559.14						4563.11813042	4563.01462610	1
1787296202	XAUUSD	M5	4561.45						4563.63708471	4563.32585540	0
1787296502	XAUUSD	M5	4566.37						4564.04629670	4563.68607605	0
1787296802	XAUUSD	M5	4563.60						4564.02086263	4563.85346934	0
1787297102	XAUUSD	M5	4561.77						4563.69244795	4563.77295865	1
1787297402	XAUUSD	M5	4562.11						4563.21903231	4563.49599548	0
1787297702	XAUUSD	M5	4564.22						4562.71039206	4563.10319377	0
1787298002	XAUUSD	M5	4564.27						4562.28827481	4562.69573429	0
1787298302	XAUUSD	M5	4566.03						4562.15784969	4562.42679199	0
1787298602	XAUUSD	M5	4561.84						4562.41020350	4562.41849775	0
1787298902	XAUUSD	M5	4564.27						4563.25247945	4562.83548860	1
1787299202	XAUUSD	M5	4561.56						4564.63690964	4563.73619912	0
1787299502	XAUUSD	M5	4561.67						4566.55824001	4565.14721956	0
1787299802	XAUUSD	M5	4565.54						4568.87789543	4567.01255750	0
1787300102	XAUUSD	M5	4572.72						4571.37422270	4569.19339010	0
1787300402	XAUUSD	M5	4577.77						4573.81057368	4571.50198189	0
1787300702	XAUUSD	M5	4579.29						4576.05857712	4573.78027950	0
1787301002	XAUUSD	M5	4580.80						4578.12717380	4575.95372665	0
1787301302	XAUUSD	M5	4579.41						4580.05164800	4578.00268733	0
1787301602	XAUUSD	M5	4582.53						4581.94068303	4579.97168518	0
1787301902	XAUUSD	M5	4581.00						4583.80325025	4581.88746772	0
1787302202	XAUUSD	M5	4581.47						4585.65165453	4583.76956112	0
1787302502	XAUUSD	M5	4584.24						4587.41469866	4585.59212989	0
1787302802	XAUUSD	M5	4586.14						4588.93894225	4587.26553607	0
1787303102	XAUUSD	M5	4595.06						4590.06619628	4588.66586618	0
1787303402	XAUUSD	M5	4599.19						4590.68954354	4589.67770486	0
1787303702	XAUUSD	M5	4593.09				4601.72000		4590.40508834	4590.04139660	0
1787304002	XAUUSD	M5	4586.97						4589.36380014	4589.70259837	1
1787304302	XAUUSD	M5	4582.24						4587.85276435	4588.77768136	0
1787304602	XAUUSD	M5	4582.78						4586.19219660	4587.48493898	0
1787304902	XAUUSD	M5	4585.65						4584.56929430	4586.02711664	0
1787305202	XAUUSD	M5	4583.21						4583.12094915	4584.57403289	0
1787305502	XAUUSD	M5	4581.50						4582.06246229	4583.31824759	0
1787305802	XAUUSD	M5	4584.07						4581.53570096	4582.42697428	0
1787306102	XAUUSD	M5	4582.72						4581.51216582	4581.96957005	0
1787306402	XAUUSD	M5	4585.14						4581.99758661	4581.98357833	1
1787306702	XAUUSD	M5	4583.33						4582.86314187	4582.42336010	0
1787307002	XAUUSD	M5	4578.79					4577.97000	4584.06194277	4583.24265143	0
1787307302	XAUUSD	M5	4584.43						4585.55962214	4584.40113679	0
1787307602	XAUUSD	M5	4586.10						4587.06800791	4585.73457235	0
1787307902	XAUUSD	M5	4588.57						4588.45090421	4587.09273828	0
1787308202	XAUUSD	M5	4590.54						4589.59184956	4588.34229392	0
1787308502	XAUUSD	M5	4593.34						4590.44064115	4589.39146753	0
1787308802	XAUUSD	M5	4593.26						4590.97583586	4590.18365170	0
1787309102	XAUUSD	M5	4590.66						4591.27822771	4590.73093971	0
1787309402	XAUUSD	M5	4590.34						4591.52137342	4591.12615656	0
1787309702	XAUUSD	M5	4588.42						4591.80732046	4591.46673851	0
1787310002	XAUUSD	M5	4593.90						4592.26174369	4591.86424110	0
1787310302	XAUUSD	M5	4592.21						4592.80845354	4592.33634732	0
1787310602	XAUUSD	M5	4590.58						4593.49325078	4592.91479905	0
1787310902	XAUUSD	M5	4596.19						4594.35995026	4593.63737465	0
1787311202	XAUUSD	M5	4598.07						4595.25963583	4594.44850524	0
1787311502	XAUUSD	M5	4598.52						4596.14911616	4595.29881070	0
1787311802	XAUUSD	M5	4594.99						4596.99277397	4596.14579233	0
1787312102	XAUUSD	M5	4597.20				4604.61000		4597.81754709	4596.98166971	0
1787312402	XAUUSD	M5	4597.30						4598.46210875	4597.72188923	0
1787312702	XAUUSD	M5	4599.77						4598.77514704	4598.24851813	0
1787313002	XAUUSD	M5	4597.58						4598.55180784	4598.40016299	0
1787313302	XAUUSD	M5	4597.00						4597.70469659	4598.05242979	1
1787313602	XAUUSD	M5	4595.72						4596.14522457	4597.09882718	0
1787313902	XAUUSD	M5	4593.65						4593.88190101	4595.49036409	0
1787314202	XAUUSD	M5	4592.83						4591.00121616	4593.24579012	0
1787314502	XAUUSD	M5	4587.93						4587.63843566	4590.44211289	0
1787314802	XAUUSD	M5	4585.68						4584.10173065	4587.27192177	0
