Non_B_timestamp	Non_B_symbol	Non_B_timeframe	Non_B_close	Non_B_Base_FL	Non_B_UOEDT	Non_B_LOEDT	Non_B_horiz_high_map	Non_B_horiz_low_map	Non_B_ssa	Non_B_ema_ssa	Non_B_crossing
1784725202	XAUUSD	M15	4125.90						4130.03685470	4126.80229211	1
1784726102	XAUUSD	M15	4131.72						4136.01837604	4131.41033408	0
1784727002	XAUUSD	M15	4142.65						4141.63214331	4136.52123869	0
1784727902	XAUUSD	M15	4154.69						4146.23497388	4141.37810629	0
1784728802	XAUUSD	M15	4156.48						4149.34098586	4145.35954608	0
1784729702	XAUUSD	M15	4146.30						4151.43991584	4148.39973096	0
1784730602	XAUUSD	M15	4150.90						4153.35230566	4150.87601831	0
1784731502	XAUUSD	M15	4148.40						4154.84758954	4152.86180393	0
1784732402	XAUUSD	M15	4157.49						4156.04021613	4154.45101003	0
1784733302	XAUUSD	M15	4157.12						4156.51035118	4155.48068060	0
1784734202	XAUUSD	M15	4159.87						4156.26489765	4155.87278913	0
1784735102	XAUUSD	M15	4159.40				4165.97000		4155.32420091	4155.59849502	1
1784736002	XAUUSD	M15	4154.53						4153.81109621	4154.70479561	0
1784736902	XAUUSD	M15	4149.24						4151.97484196	4153.33981879	0
1784737802	XAUUSD	M15	4146.96						4150.00452603	4151.67217241	0
1784738702	XAUUSD	M15	4146.78						4147.96988990	4149.82103116	0
1784739602	XAUUSD	M15	4145.31						4145.87361550	4147.84732333	0
1784740502	XAUUSD	M15	4146.16						4143.80056404	4145.82394368	0
1784741402	XAUUSD	M15	4140.65						4141.75569255	4143.78981812	0
1784742302	XAUUSD	M15	4142.43						4139.86977598	4141.82979705	0
1784743202	XAUUSD	M15	4138.19						4138.14998991	4139.98989348	0
1784744102	XAUUSD	M15	4135.27						4136.71352252	4138.35170800	0
1784745002	XAUUSD	M15	4135.98						4135.64613001	4136.99891901	0
1784745902	XAUUSD	M15	4136.08						4134.96029537	4135.97960719	0
1784746802	XAUUSD	M15	4134.11						4134.61690798	4135.29825758	0
1784747702	XAUUSD	M15	4134.54						4134.54610799	4134.92218279	0
1784748602	XAUUSD	M15	4133.94						4134.57798143	4134.75008211	0
1784749502	XAUUSD	M15	4131.85						4134.49584169	4134.62296190	0
1784750402	XAUUSD	M15	4134.67						4134.10681832	4134.36489011	0
1784751302	XAUUSD	M15	4136.62						4133.15699312	4133.76094161	0
1784752202	XAUUSD	M15	4130.95						4131.55620771	4132.65857466	0
1784753102	XAUUSD	M15	4130.04						4129.48976971	4131.07417219	0
1784757602	XAUUSD	M15	4123.94						4127.16444126	4129.11930672	0
1784758502	XAUUSD	M15	4128.77						4124.99800622	4127.05865647	0
1784759402	XAUUSD	M15	4121.71						4123.17188048	4125.11526848	0
1784760302	XAUUSD	M15	4121.66						4122.16501925	4123.64014386	0
1784761202	XAUUSD	M15	4123.97						4122.18896495	4122.91455440	0
1784762102	XAUUSD	M15	4120.04						4123.19362016	4123.05408728	1
1784763002	XAUUSD	M15	4123.72						4125.10431600	4124.07920164	0
1784763902	XAUUSD	M15	4133.42						4127.46572683	4125.77246424	0
1784764802	XAUUSD	M15	4126.82						4129.56242937	4127.66744680	0
1784765702	XAUUSD	M15	4129.15						4131.14199177	4129.40471929	0
1784766602	XAUUSD	M15	4127.97						4131.80755954	4130.60613941	0
1784767502	XAUUSD	M15	4132.04						4131.44487164	4131.02550552	0
1784768402	XAUUSD	M15	4134.38						4130.01249080	4130.51899816	1
1784769302	XAUUSD	M15	4137.36				4140.84000		4127.73075371	4129.12487593	0
1784770202	XAUUSD	M15	4122.97						4124.97785955	4127.05136774	0
1784771102	XAUUSD	M15	4117.98						4122.65537671	4124.85337223	0
1784772002	XAUUSD	M15	4117.76					4112.27000	4121.32925669	4123.09131446	0
1784772902	XAUUSD	M15	4116.11						4121.21337516	4122.15234481	0
1784773802	XAUUSD	M15	4122.27						4122.26596442	4122.20915461	1
1784774702	XAUUSD	M15	4128.08						4124.00416262	4123.10665862	0
1784775602	XAUUSD	M15	4127.43						4125.82654499	4124.46660180	0
1784776502	XAUUSD	M15	4130.50						4127.30852698	4125.88756439	0
1784777402	XAUUSD	M15	4128.81						4128.06309328	4126.97532884	0
1784778302	XAUUSD	M15	4124.57						4128.05953458	4127.51743171	0
1784779202	XAUUSD	M15	4127.80						4127.52482514	4127.52112842	0
1784780102	XAUUSD	M15	4129.84						4126.63165268	4127.07639055	1
1784781002	XAUUSD	M15	4123.15						4125.61299071	4126.34469063	0
1784781902	XAUUSD	M15	4121.28						4124.90386710	4125.62427887	0
1784782802	XAUUSD	M15	4124.52						4124.67752226	4125.15090056	0
1784783702	XAUUSD	M15	4125.45						4124.79155428	4124.97122742	0
1784784602	XAUUSD	M15	4127.69						4124.96846405	4124.96984574	0
1784785502	XAUUSD	M15	4124.16						4124.80592256	4124.88788415	0
1784786402	XAUUSD	M15	4123.13						4123.92154166	4124.40471290	0
1784787302	XAUUSD	M15	4121.98						4122.01226218	4123.20848754	0
1784788202	XAUUSD	M15	4119.92						4118.95134977	4121.07991865	0
1784789102	XAUUSD	M15	4118.59						4114.80901234	4117.94446550	0
1784790002	XAUUSD	M15	4107.03						4109.85783896	4113.90115223	0
1784790902	XAUUSD	M15	4108.42						4104.79267545	4109.34691384	0
1784791802	XAUUSD	M15	4095.47						4100.00364378	4104.67527881	0
1784792702	XAUUSD	M15	4095.50						4096.21637563	4100.44582722	0
