ohlcv_timestamp	ohlcv_symbol	ohlcv_timeframe	ohlcv_close	ohlcv_open	ohlcv_high	ohlcv_low	ohlcv_volume
1787295003	XAUUSD	M5	4564.76000	4567.20000	4567.40000	4564.34000	568
1787295303	XAUUSD	M5	4560.86000	4564.91000	4567.57000	4560.86000	573
1787295603	XAUUSD	M5	4566.00000	4560.92000	4566.04000	4559.54000	555
1787295903	XAUUSD	M5	4559.14000	4565.91000	4565.91000	4559.14000	536
1787296203	XAUUSD	M5	4561.45000	4558.88000	4561.67000	4558.56000	502
1787296503	XAUUSD	M5	4566.37000	4561.49000	4567.06000	4559.83000	508
1787296803	XAUUSD	M5	4563.60000	4566.53000	4567.92000	4563.05000	538
1787297103	XAUUSD	M5	4561.77000	4563.60000	4564.43000	4560.84000	440
1787297403	XAUUSD	M5	4562.11000	4561.77000	4564.78000	4560.41000	521
1787297703	XAUUSD	M5	4564.22000	4562.13000	4564.90000	4560.24000	540
1787298003	XAUUSD	M5	4564.27000	4564.18000	4566.12000	4562.60000	484
1787298303	XAUUSD	M5	4566.03000	4564.27000	4568.02000	4562.79000	549
1787298603	XAUUSD	M5	4561.84000	4566.03000	4567.13000	4560.90000	473
1787298903	XAUUSD	M5	4564.27000	4561.84000	4564.96000	4561.22000	485
1787299203	XAUUSD	M5	4561.56000	4564.31000	4566.63000	4561.34000	554
1787299503	XAUUSD	M5	4561.67000	4561.26000	4562.73000	4559.13000	648
1787299803	XAUUSD	M5	4565.54000	4561.69000	4568.03000	4561.55000	621
1787300103	XAUUSD	M5	4572.72000	4565.55000	4573.46000	4563.96000	567
1787300403	XAUUSD	M5	4577.77000	4572.72000	4579.27000	4571.79000	687
1787300703	XAUUSD	M5	4579.29000	4577.72000	4581.74000	4577.60000	673
1787301003	XAUUSD	M5	4580.80000	4579.37000	4581.45000	4577.75000	661
1787301303	XAUUSD	M5	4579.41000	4580.82000	4582.74000	4576.52000	627
1787301603	XAUUSD	M5	4582.53000	4579.47000	4584.31000	4579.00000	554
1787301903	XAUUSD	M5	4581.00000	4582.50000	4583.56000	4580.64000	481
1787302203	XAUUSD	M5	4581.47000	4581.03000	4583.33000	4580.42000	475
1787302503	XAUUSD	M5	4584.24000	4581.67000	4584.98000	4580.42000	448
1787302803	XAUUSD	M5	4586.14000	4584.24000	4586.14000	4582.27000	540
1787303103	XAUUSD	M5	4595.06000	4586.14000	4596.01000	4584.72000	612
1787303403	XAUUSD	M5	4599.19000	4595.44000	4600.51000	4595.29000	633
1787303703	XAUUSD	M5	4593.09000	4599.24000	4601.72000	4593.00000	637
1787304003	XAUUSD	M5	4586.97000	4593.09000	4593.12000	4584.87000	688
1787304303	XAUUSD	M5	4582.24000	4586.97000	4587.76000	4581.37000	599
1787304603	XAUUSD	M5	4582.78000	4582.25000	4584.46000	4582.25000	568
1787304903	XAUUSD	M5	4585.65000	4582.76000	4585.93000	4580.77000	470
1787305203	XAUUSD	M5	4583.21000	4585.54000	4586.87000	4581.85000	413
1787305503	XAUUSD	M5	4581.50000	4583.24000	4583.68000	4580.98000	402
1787305803	XAUUSD	M5	4584.07000	4581.57000	4584.17000	4580.43000	467
1787306103	XAUUSD	M5	4582.72000	4584.12000	4585.48000	4581.24000	432
1787306403	XAUUSD	M5	4585.14000	4582.70000	4588.99000	4581.86000	553
1787306703	XAUUSD	M5	4583.33000	4585.14000	4585.27000	4581.46000	550
1787307003	XAUUSD	M5	4578.79000	4583.33000	4584.30000	4577.97000	596
1787307303	XAUUSD	M5	4584.43000	4578.80000	4587.26000	4578.61000	569
1787307603	XAUUSD	M5	4586.10000	4584.51000	4586.78000	4583.21000	463
1787307903	XAUUSD	M5	4588.57000	4586.06000	4589.33000	4585.59000	510
1787308203	XAUUSD	M5	4590.54000	4588.57000	4590.83000	4585.67000	477
1787308503	XAUUSD	M5	4593.34000	4590.48000	4593.63000	4589.42000	467
1787308803	XAUUSD	M5	4593.26000	4593.62000	4594.12000	4591.18000	417
1787309103	XAUUSD	M5	4590.66000	4593.30000	4593.69000	4590.19000	464
1787309403	XAUUSD	M5	4590.34000	4590.74000	4592.59000	4588.42000	538
1787309703	XAUUSD	M5	4588.42000	4590.35000	4590.99000	4587.88000	504
1787310003	XAUUSD	M5	4593.90000	4588.50000	4595.08000	4587.20000	621
1787310303	XAUUSD	M5	4592.21000	4593.92000	4595.50000	4590.95000	556
1787310603	XAUUSD	M5	4590.58000	4592.21000	4593.21000	4588.61000	480
1787310903	XAUUSD	M5	4596.19000	4590.58000	4597.85000	4590.58000	527
1787311203	XAUUSD	M5	4598.07000	4596.30000	4601.16000	4595.93000	686
1787311503	XAUUSD	M5	4598.52000	4598.04000	4599.96000	4595.81000	698
1787311803	XAUUSD	M5	4594.99000	4598.51000	4598.85000	4593.46000	674
1787312103	XAUUSD	M5	4597.20000	4595.10000	4604.61000	4595.10000	725
1787312403	XAUUSD	M5	4597.30000	4597.18000	4597.95000	4593.40000	625
1787312703	XAUUSD	M5	4599.77000	4597.15000	4600.63000	4596.62000	552
1787313003	XAUUSD	M5	4597.58000	4599.79000	4600.28000	4595.79000	583
1787313303	XAUUSD	M5	4597.00000	4597.66000	4598.54000	4596.03000	513
1787313603	XAUUSD	M5	4595.72000	4597.02000	4601.59000	4594.06000	728
1787313903	XAUUSD	M5	4593.65000	4595.81000	4600.25000	4592.15000	678
1787314203	XAUUSD	M5	4592.83000	4593.62000	4593.88000	4589.13000	657
1787314503	XAUUSD	M5	4587.93000	4592.86000	4595.82000	4586.17000	718
1787314803	XAUUSD	M5	4585.68000	4587.99000	4589.12000	4582.15000	736
1787315103	XAUUSD	M5	4584.82000	4585.73000	4586.75000	4583.97000	551
1787315403	XAUUSD	M5	4577.84000	4584.80000	4584.80000	4576.72000	701
1787315703	XAUUSD	M5	4564.70000	4577.91000	4578.22000	4564.41000	795
1787316003	XAUUSD	M5	4573.67000	4564.53000	4575.87000	4563.58000	753
1787316303	XAUUSD	M5	4579.52000	4573.37000	4579.53000	4573.18000	609
1787316603	XAUUSD	M5	4579.83000	4579.52000	4580.93000	4577.15000	597
1787316903	XAUUSD	M5	4578.03000	4579.92000	4581.04000	4575.06000	622
1787317203	XAUUSD	M5	4581.16000	4578.00000	4584.57000	4575.94000	848
1787317503	XAUUSD	M5	4580.92000	4581.16000	4583.98000	4579.37000	779
1787317803	XAUUSD	M5	4584.71000	4580.98000	4586.99000	4580.25000	705
1787318103	XAUUSD	M5	4580.86000	4584.99000	4587.71000	4579.82000	779
1787318403	XAUUSD	M5	4583.10000	4580.80000	4586.71000	4579.32000	662
1787318703	XAUUSD	M5	4584.13000	4583.17000	4585.38000	4581.51000	759
1787319003	XAUUSD	M5	4574.34000	4584.13000	4586.80000	4573.67000	942
1787319303	XAUUSD	M5	4587.36000	4574.09000	4590.91000	4573.51000	947
1787319603	XAUUSD	M5	4587.54000	4587.07000	4590.62000	4584.66000	899
1787319903	XAUUSD	M5	4589.95000	4584.79000	4592.90000	4584.79000	867
1787320203	XAUUSD	M5	4581.23000	4589.82000	4591.11000	4576.87000	884
1787320503	XAUUSD	M5	4581.04000	4581.28000	4585.73000	4580.15000	866
1787320803	XAUUSD	M5	4588.48000	4580.93000	4588.91000	4579.94000	868
