z-score_timestamp	z-score_symbol	z-score_timeframe	z-score_close	z-score_open	z-score_high	z-score_low	body_direction	body_size	body_classification
1787936403	XAUUSD	M15	4480.71	4479.39	4482.79	4471.24	1	0.70400	0
1787937303	XAUUSD	M15	4477.97	4480.78	4486.65	4475.02	-1	0.41664	3
1787938203	XAUUSD	M15	4467.41	4478.21	4481.68	4460.56	-1	1.10893	3
1787939103	XAUUSD	M15	4469.30	4467.36	4475.69	4466.60	1	0.58201	0
1787940003	XAUUSD	M15	4461.15	4469.41	4471.67	4459.64	-1	0.63911	3
1787940903	XAUUSD	M15	4456.32	4461.34	4463.35	4452.62	-1	0.01331	3
1787941803	XAUUSD	M15	4451.32	4456.20	4458.73	4445.40	-1	0.00796	3
1787942703	XAUUSD	M15	4457.08	4451.33	4458.31	4448.49	1	0.16150	0
1787943603	XAUUSD	M15	4457.10	4456.89	4462.65	4453.09	1	0.91296	0
1787944503	XAUUSD	M15	4462.29	4457.10	4463.67	4455.23	1	0.05597	0
1787945403	XAUUSD	M15	4465.06	4462.11	4466.90	4461.00	1	0.38076	0
1787946303	XAUUSD	M15	4458.25	4465.03	4465.03	4453.10	-1	0.36201	3
1787947203	XAUUSD	M15	4457.82	4458.60	4462.75	4455.43	-1	0.80447	3
1787948103	XAUUSD	M15	4457.94	4457.93	4460.54	4453.66	1	0.95277	0
1787949003	XAUUSD	M15	4457.37	4458.08	4458.18	4453.85	-1	0.81549	3
1787949903	XAUUSD	M15	4456.30	4457.37	4460.00	4453.25	-1	0.74572	3
1788127203	XAUUSD	M15	4458.84	4429.92	4459.76	4429.92	1	4.54253	2
1788128103	XAUUSD	M15	4459.57	4459.00	4466.09	4456.17	1	0.82967	0
1788129003	XAUUSD	M15	4457.71	4459.60	4462.42	4452.90	-1	0.57954	3
1788129903	XAUUSD	M15	4461.43	4457.71	4462.40	4456.86	1	0.23127	0
1788130803	XAUUSD	M15	4460.69	4461.24	4466.76	4459.82	-1	0.82812	3
1788131703	XAUUSD	M15	4457.65	4460.70	4465.12	4455.13	-1	0.35141	3
1788132603	XAUUSD	M15	4447.50	4457.67	4458.05	4446.56	-1	0.99548	3
1788133503	XAUUSD	M15	4458.52	4447.44	4460.26	4436.05	1	1.16466	0
1788134403	XAUUSD	M15	4462.00	4458.47	4463.45	4453.38	1	0.26701	0
1788135303	XAUUSD	M15	4456.90	4462.05	4465.32	4452.17	-1	0.04038	3
1788136203	XAUUSD	M15	4465.16	4456.74	4472.10	4456.74	1	0.65997	0
1788137103	XAUUSD	M15	4456.14	4465.18	4468.98	4456.00	-1	0.77600	3
1788138003	XAUUSD	M15	4443.85	4456.22	4463.16	4436.05	-1	1.40000	3
1788138903	XAUUSD	M15	4443.94	4443.67	4454.40	4442.34	1	0.88332	0
1788139803	XAUUSD	M15	4450.86	4443.94	4453.62	4436.50	1	0.37860	0
1788140703	XAUUSD	M15	4440.27	4450.87	4452.73	4436.29	-1	1.07434	3
1788141603	XAUUSD	M15	4424.37	4440.13	4441.28	4418.54	-1	2.03759	4
1788142503	XAUUSD	M15	4423.12	4424.29	4428.07	4418.79	-1	0.71277	3
1788143403	XAUUSD	M15	4403.04	4423.09	4426.43	4401.90	-1	2.81432	5
1788144303	XAUUSD	M15	4422.93	4403.11	4422.93	4396.53	1	2.74172	2
1788145203	XAUUSD	M15	4428.10	4422.84	4428.11	4421.65	1	0.04341	0
1788146103	XAUUSD	M15	4427.85	4428.10	4433.89	4426.44	-1	0.88211	3
1788147003	XAUUSD	M15	4422.81	4427.88	4427.88	4419.86	-1	0.00847	3
1788147903	XAUUSD	M15	4422.64	4422.73	4426.93	4421.53	-1	0.91344	3
1788148803	XAUUSD	M15	4421.17	4422.78	4422.92	4416.85	-1	0.63225	3
1788149703	XAUUSD	M15	4415.94	4421.11	4421.46	4415.88	-1	0.02668	3
1788150603	XAUUSD	M15	4420.19	4415.94	4421.84	4412.89	1	0.14060	0
1788151503	XAUUSD	M15	4424.61	4420.14	4425.01	4418.74	1	0.10137	0
1788152403	XAUUSD	M15	4422.64	4424.58	4426.95	4419.24	-1	0.57222	3
1788153303	XAUUSD	M15	4440.24	4422.60	4440.74	4421.98	1	2.32470	1
1788154203	XAUUSD	M15	4437.68	4440.24	4441.71	4430.52	-1	0.45890	3
1788155103	XAUUSD	M15	4442.92	4437.88	4443.81	4434.13	1	0.00092	0
1788156003	XAUUSD	M15	4432.07	4443.01	4443.16	4429.28	-1	1.09211	3
1788156903	XAUUSD	M15	4435.78	4432.11	4438.90	4431.28	1	0.25233	0
1788157803	XAUUSD	M15	4439.51	4435.80	4441.35	4431.26	1	0.24145	0
1788158703	XAUUSD	M15	4439.47	4439.80	4442.64	4436.70	-1	0.86528	3
1788159603	XAUUSD	M15	4436.16	4439.60	4441.84	4435.67	-1	0.29019	3
1788160503	XAUUSD	M15	4444.01	4436.16	4448.22	4435.16	1	0.52662	0
1788161403	XAUUSD	M15	4446.52	4443.92	4447.14	4441.19	1	0.44789	0
1788162303	XAUUSD	M15	4443.37	4446.51	4447.76	4440.95	-1	0.34842	3
1788163203	XAUUSD	M15	4438.89	4443.31	4449.50	4437.06	-1	0.11176	3
1788164103	XAUUSD	M15	4440.43	4438.89	4441.40	4436.08	1	0.64549	0
1788165003	XAUUSD	M15	4435.48	4440.14	4440.28	4434.44	-1	0.06241	3
1788165903	XAUUSD	M15	4435.64	4435.48	4436.98	4433.77	1	0.89649	0
1788166803	XAUUSD	M15	4442.90	4435.83	4443.00	4435.64	1	0.39214	0
1788167703	XAUUSD	M15	4439.09	4442.90	4444.16	4438.11	-1	0.21682	3
1788168603	XAUUSD	M15	4442.98	4439.18	4444.62	4439.05	1	0.22004	0
1788169503	XAUUSD	M15	4445.16	4443.02	4445.48	4440.88	1	0.52631	0
1788170403	XAUUSD	M15	4451.55	4445.55	4453.73	4444.83	1	0.19703	0
