zigzag_TimeStamp	zigzag_symbol	zigzag_timeframe	zigzag_close	zigzag_Type	CurrentPoint	CurrentPrChg	Current%Chg	Current%ChgClass	CurrentBars	CurrentBarsClass	CurrentPrPerBar	CurrentPrPerBarClass	CurrentSlope	CurrentCategory
1787303703	XAUUSD	M5	4593.09000	Peak	4601.72000	72.36000	1.60	2	45	2	1.60800	0	58.1229	HH
1787307003	XAUUSD	M5	4578.79000	Bottom	4577.97000	-23.75000	-0.52	3	11	3	-2.15909	3	-65.1484	HL
1787312103	XAUUSD	M5	4597.20000	Peak	4604.61000	26.64000	0.58	0	17	0	1.56706	0	57.4565	HH
1787316003	XAUUSD	M5	4573.67000	Bottom	4563.58000	-41.03000	-0.89	3	13	3	-3.15615	3	-72.4196	LL
1787331903	XAUUSD	M5	4630.63000	Peak	4631.98000	68.40000	1.50	1	53	2	1.29057	0	52.2295	HH
1787345703	XAUUSD	M5	4603.89000	Bottom	4602.79000	-29.19000	-0.63	3	46	5	-0.63457	3	-32.3978	HL
1787522403	XAUUSD	M5	4610.37000	Peak	4624.19000	21.40000	0.46	0	1	0	21.40000	2	87.3246	LH
1787526303	XAUUSD	M5	4607.73000	Bottom	4604.74000	-19.45000	-0.42	3	13	3	-1.49615	3	-56.2420	HL
1787530203	XAUUSD	M5	4637.28000	Peak	4640.69000	35.95000	0.78	0	13	0	2.76538	0	70.1193	HH
1787531103	XAUUSD	M5	4604.95000	Bottom	4594.67000	-46.02000	-0.99	3	3	3	-15.34000	5	-86.2702	LL
1787538603	XAUUSD	M5	4651.89000	Peak	4656.64000	61.97000	1.35	0	25	0	2.47880	0	68.0298	HH
1787544303	XAUUSD	M5	4633.89000	Bottom	4632.63000	-24.01000	-0.52	3	19	3	-1.26368	3	-51.6441	HL
1787548503	XAUUSD	M5	4643.24000	Peak	4646.63000	14.00000	0.30	0	14	0	1.00000	0	45.0000	LH
1787549403	XAUUSD	M5	4632.76000	Bottom	4630.03000	-16.60000	-0.36	3	3	3	-5.53333	3	-79.7559	LL
1787552103	XAUUSD	M5	4656.25000	Peak	4659.72000	29.69000	0.64	0	9	0	3.29889	0	73.1362	HH
1787560203	XAUUSD	M5	4634.32000	Bottom	4628.93000	-30.79000	-0.66	3	27	3	-1.14037	3	-48.7522	LL
1787560803	XAUUSD	M5	4645.24000	Peak	4646.04000	17.11000	0.37	0	2	0	8.55500	1	83.3329	LH
1787564103	XAUUSD	M5	4637.04000	Bottom	4632.75000	-13.29000	-0.29	3	11	3	-1.20818	3	-50.3858	HL
1787565903	XAUUSD	M5	4646.83000	Peak	4650.11000	17.36000	0.37	0	6	0	2.89333	0	70.9337	HH
1787569803	XAUUSD	M5	4642.16000	Bottom	4639.17000	-10.94000	-0.24	3	13	3	-0.84154	3	-40.0819	HL
1787571303	XAUUSD	M5	4660.61000	Peak	4670.09000	30.92000	0.67	0	5	0	6.18400	0	80.8144	HH
1787574603	XAUUSD	M5	4654.86000	Bottom	4645.61000	-24.48000	-0.52	3	11	3	-2.22545	3	-65.8034	HL
1787578503	XAUUSD	M5	4667.49000	Peak	4680.85000	35.24000	0.76	0	13	0	2.71077	0	69.7510	HH
1787580903	XAUUSD	M5	4665.77000	Bottom	4655.55000	-25.30000	-0.54	3	8	3	-3.16250	3	-72.4528	HL
1787585103	XAUUSD	M5	4675.87000	Peak	4679.36000	23.81000	0.51	0	14	0	1.70071	0	59.5450	LH
1787594703	XAUUSD	M5	4632.10000	Bottom	4625.26000	-54.10000	-1.16	4	32	4	-1.69062	3	-59.3958	LL
1787601003	XAUUSD	M5	4653.02000	Peak	4655.80000	30.54000	0.66	0	21	0	1.45429	0	55.4867	LH
1787604303	XAUUSD	M5	4650.28000	Bottom	4647.19000	-8.61000	-0.18	3	11	3	-0.78273	3	-38.0513	HL
1787618403	XAUUSD	M5	4693.41000	Peak	4696.53000	49.34000	1.06	0	35	1	1.40971	0	54.6495	HH
1787626203	XAUUSD	M5	4626.86000	Bottom	4618.34000	-78.19000	-1.66	5	26	3	-3.00731	3	-71.6068	LL
1787639103	XAUUSD	M5	4650.02000	Peak	4653.42000	35.08000	0.76	0	43	2	0.81581	0	39.2080	LH
1787645103	XAUUSD	M5	4623.36000	Bottom	4620.12000	-33.30000	-0.72	3	20	3	-1.66500	3	-59.0109	HL
1787646003	XAUUSD	M5	4644.98000	Peak	4645.48000	25.36000	0.55	0	3	0	8.45333	1	83.2535	LH
1787650203	XAUUSD	M5	4637.46000	Bottom	4624.14000	-21.34000	-0.46	3	14	3	-1.52429	3	-56.7333	HL
1787658603	XAUUSD	M5	4643.89000	Peak	4647.25000	23.11000	0.50	0	28	0	0.82536	0	39.5348	HH
1787665503	XAUUSD	M5	4606.99000	Bottom	4605.22000	-42.03000	-0.90	3	23	3	-1.82739	3	-61.3113	LL
1787672403	XAUUSD	M5	4656.11000	Peak	4659.34000	54.12000	1.18	1	23	0	2.35304	0	66.9754	HH
1787677803	XAUUSD	M5	4637.85000	Bottom	4634.21000	-25.13000	-0.54	3	18	3	-1.39611	3	-54.3869	HL
1787688603	XAUUSD	M5	4666.01000	Peak	4668.94000	34.73000	0.75	0	36	1	0.96472	0	43.9713	HH
1787695203	XAUUSD	M5	4661.51000	Bottom	4656.17000	-12.77000	-0.27	3	10	3	-1.27700	3	-51.9360	HL
1787698203	XAUUSD	M5	4672.35000	Peak	4673.68000	17.51000	0.38	0	10	0	1.75100	0	60.2692	HH
1787706003	XAUUSD	M5	4646.03000	Bottom	4629.80000	-43.88000	-0.94	3	26	3	-1.68769	3	-59.3522	LL
1787712003	XAUUSD	M5	4667.23000	Peak	4670.66000	40.86000	0.88	0	20	0	2.04300	0	63.9193	LH
1787719503	XAUUSD	M5	4640.23000	Bottom	4638.82000	-31.84000	-0.68	3	25	3	-1.27360	3	-51.8619	HL
1787722203	XAUUSD	M5	4645.73000	Peak	4649.55000	10.73000	0.23	0	9	0	1.19222	0	50.0111	LH
1787732403	XAUUSD	M5	4626.40000	Bottom	4622.28000	-27.27000	-0.59	3	34	3	-0.80206	3	-38.7317	LL
1787734803	XAUUSD	M5	4625.97000	Peak	4630.88000	8.60000	0.19	0	8	0	1.07500	0	47.0700	LH
1787739903	XAUUSD	M5	4615.06000	Bottom	4613.34000	-17.54000	-0.38	3	17	3	-1.03176	3	-45.8957	LL
1787747103	XAUUSD	M5	4630.21000	Peak	4630.33000	16.99000	0.37	0	24	0	0.70792	0	35.2953	LH
1787750103	XAUUSD	M5	4611.45000	Bottom	4598.00000	-32.33000	-0.70	3	10	3	-3.23300	3	-72.8126	LL
1787752803	XAUUSD	M5	4624.17000	Peak	4633.31000	35.31000	0.77	0	9	0	3.92333	0	75.7006	HH
1787757303	XAUUSD	M5	4590.89000	Bottom	4582.97000	-50.34000	-1.09	3	15	3	-3.35600	3	-73.4073	LL
1787767503	XAUUSD	M5	4602.15000	Peak	4604.50000	21.53000	0.47	0	34	0	0.63324	0	32.3434	LH
