timestamp_validated	symbol_validated	timeframe_validated	close_validated	Most_Recent_Base_FL_validated	Most_Recent_UOEDT_validated	Most_Recent_LOEDT_validated	Non_A_Base_FL_validated	Non_A_UOEDT_validated	Non_A_LOEDT_validated	Non_B_Base_FL_validated	Non_B_UOEDT_validated	Non_B_LOEDT_validated	Cherry_A_Base_FL_validated	Cherry_A_UOEDT_validated	Cherry_A_LOEDT_validated	Cherry_B_Base_FL_validated	Cherry_B_UOEDT_validated	Cherry_B_LOEDT_validated	Best_Fit_CFL_validated	Best_Fit_UOEDT_validated	Best_Fit_LOEDT_validated	horiz_high_map_validated	horiz_low_map_validated	ssa_validated	ema_ssa_validated	crossing_validated
1780044300	XAUUSD	M15	4514.88	4470.19365	4553.39299	4341.14358	4537.97578	4587.48596	4463.03894	4693.95938	4753.82835	4661.04561	4967.43533	5005.27078	4837.77487	4572.88224	4597.26803	4510.66234	4603.06684	4628.42061	4560.18352			4520.83529	4519.93027	0
1780045200	XAUUSD	M15	4528.97	4470.02944	4553.22878	4340.97937	4537.97332	4587.4835	4463.03648	4693.95181	4753.82079	4661.03804	4967.61806	5005.45351	4837.95761	4572.926	4597.3118	4510.70611	4603.20348	4628.55725	4560.32016			4523.17695	4521.55361	0
1780046100	XAUUSD	M15	4528.85	4469.86523	4553.06458	4340.81516	4537.97086	4587.48104	4463.03402	4693.94425	4753.81322	4661.03048	4967.8008	5005.63625	4838.14034	4572.96977	4597.35556	4510.74988	4603.34012	4628.6939	4560.4568			4525.798	4523.6758	0
1780047000	XAUUSD	M15	4532.38	4469.70102	4552.90037	4340.65096	4537.96839	4587.47857	4463.03156	4693.93668	4753.80566	4661.02291	4967.98354	5005.81899	4838.32308	4573.01354	4597.39933	4510.79365	4603.47677	4628.83054	4560.59344			4528.45773	4526.06676	0
1780047900	XAUUSD	M15	4531.09	4469.53682	4552.73616	4340.48675	4537.96593	4587.47611	4463.02909	4693.92911	4753.79809	4661.01535	4968.16627	5006.00172	4838.50582	4573.05731	4597.4431	4510.83741	4603.61341	4628.96718	4560.73009			4530.82827	4528.44752	0
1780048800	XAUUSD	M15	4528.54	4469.37261	4552.57195	4340.32254	4537.96347	4587.47365	4463.02663	4693.92155	4753.79053	4661.00778	4968.34901	5006.18446	4838.68855	4573.10107	4597.48686	4510.88118	4603.75005	4629.10382	4560.86673			4532.76249	4530.605	0
1780049700	XAUUSD	M15	4530.5	4469.2084	4552.40775	4340.15833	4537.96101	4587.47119	4463.02417	4693.91398	4753.78296	4661.00021	4968.53175	5006.3672	4838.87129	4573.14484	4597.53063	4510.92495	4603.88669	4629.24046	4561.00337			4534.22067	4532.41283	0
1780050600	XAUUSD	M15	4537.92	4469.04419	4552.24354	4339.99413	4537.95854	4587.46872	4463.0217	4693.90642	4753.77539	4660.99265	4968.71448	5006.54993	4839.05403	4573.18861	4597.5744	4510.96871	4604.02333	4629.3771	4561.14001			4535.09811	4533.75547	0
1780051500	XAUUSD	M15	4538.58	4468.87999	4552.07933	4339.82992	4537.95608	4587.46626	4463.01924	4693.89885	4753.76783	4660.98508	4968.89722	5006.73267	4839.23676	4573.23237	4597.61817	4511.01248	4604.15997	4629.51375	4561.27665			4535.18039	4534.46793	0
1780052400	XAUUSD	M15	4532.46	4468.71578	4551.91512	4339.66571	4537.95362	4587.4638	4463.01678	4693.89129	4753.76026	4660.97752	4969.07996	5006.91541	4839.4195	4573.27614	4597.66193	4511.05625	4604.29662	4629.65039	4561.41329			4534.47057	4534.46925	0
