timestamp_adjusted	close	CurrentPoint	2PrevS&R	4PrevS&R	6PrevS&R	8PrevS&R	10PrevS&R	12PrevS&R	14PrevS&R	16PrevS&R	18PrevS&R	20PrevS&R	22PrevS&R	2PrevImpEQHL	4PrevImpEQHL	6PrevImpEQHL	8PrevImpEQHL	10PrevImpEQHL	12PrevImpEQHL	14PrevImpEQHL	16PrevImpEQHL	18PrevImpEQHL	20PrevImpEQHL	22PrevImpEQHL	CountEQHL	ImpEQHL	AvgEQHL	MostRecentEQHL	2MostRecentEQHL	3MostRecentEQHL	4MostRecentEQHL	5MostRecentEQHL	6MostRecentEQHL
1776246300	4798.21	4786.23																							1	0		4515.51	4521.39	4370.90	4492.21	4538.40	4487.80
1776262500	4825.22	4830.39																							1	0							
1776267000	4803.64	4787.17	4786.23																						2	0							
1776315600	4834.26	4838.38																							1	0							
1776335400	4808.4	4805.21																							1	0							
1776346200	4816.26	4823.81																							1	0							
1776349800	4787.73	4772.67																							1	0							
1776368700	4793.52	4798.58																							1	0							
1776384000	4790.4	4786.1				4786.23																			2	0							
1776386700	4794.9	4801.12																							1	0							
1776389400	4777.87	4768.07		4772.67																					2	0							
1776402000	4804.78	4805.97	4801.12																						2	0							
1776411900	4784.38	4778.83	4768.07		4772.67			4786.23																	4	0	4776.45						
1776430800	4883.6	4889.21																							1	0							
1776642300	4755.07	4736.96																							1	0							
1776649500	4807.6	4814.28		4805.97																					2	0							
1776663000	4780.97	4779.8			4768.07		4772.67			4786.23															4	0	4776.69						
1776669300	4797.92	4805.79			4805.97	4801.12																			3	0	4804.29						
1776677400	4791.96	4783.51						4772.67			4786.23														3	0	4780.80						
1776695400	4814.18	4827.74								4838.38															2	0							
1776696300	4805.31	4792.42										4786.23													2	0							
1776723300	4828.53	4833.25	4827.74								4838.38														3	0	4833.12						
1776754800	4782.82	4772.78						4768.07		4772.67															3	0	4771.17						
1776771900	4794.61	4797.91						4805.97	4801.12																3	0	4801.67						
1776799800	4671.47	4668.61																							1	0							
1776841200	4765.67	4772.15																							1	0							
1776875400	4728.3	4724.03																							1	0							
1776883500	4741.69	4749.34																							1	0							
1776903300	4741.59	4694.34																							1	0							
1776905100	4748.05	4753.33																							1	0							
1776922200	4701.58	4693.06	4694.34																						2	0							
1776931200	4718.21	4724.89																							1	0							
1776940200	4690.77	4684.26	4693.06	4694.34																					3	0	4690.55						
1776948300	4740.04	4743.22		4753.33																					2	0							
1776966300	4709.41	4664.3					4668.61											IEQL							2	1	4666.46						
1776993300	4698.41	4711.23																							1	0							
1777005000	4668.58	4658.17	4664.3					4668.61											IEQL						3	1	4663.69						
1777018500	4687.83	4697.42																							1	0							
1777026600	4679.01	4674.72		4664.3	4684.26				4668.61											IEQL					4	1	4672.97						
1777039200	4731.95	4740.49			4743.22																				2	0							
1777248000	4679.86	4672.35			4664.3					4668.61											IEQL				3	1	4668.42						
1777264200	4726.18	4729.92	4740.49																						2	0							
1777282200	4704.64	4699.29						4693.06	4694.34																3	0	4695.56						
1777292100	4707.09	4712.59																							1	0							
1777302000	4674.65	4667.32		4672.35		4658.17	4664.3					4668.61											IEQL		5	1	4666.15						
1777334400	4697.91	4701.14																							1	0							
1777377600	4581.73	4555.12																							1	0							
1777397400	4599.02	4601.49																							1	0							
1777419000	4589.91	4587.93																							1	0							
1777420800	4607.37	4610.15																							1	0							
1777424400	4582.65	4575.84																							1	0							
1777438800	4601.15	4607.77	4610.15																						2	0							
1777470300	4521.71	4510.28																							1	0							
1777478400	4559.1	4564.75																							1	0							
1777488300	4538.19	4518.41	4510.28											IEQL											2	1	4514.35						
1777513500	4579.13	4582.32																							1	0							
1777523400	4544.74	4540.82																							1	0							
1777545000	4636.62	4647.1																							1	0							
1777567500	4607.62	4605.56																							1	0							
1777591800	4631.31	4634.14																							1	0							
1777598100	4616.68	4614.27																							1	0							
1777601700	4629.39	4635.83		4647.1											IEQH										2	1	4641.47						
1777628700	4563.12	4560.44								4555.12											IEQL				2	1	4557.78						
1777644900	4644.67	4660.32																							1	0							
1777665600	4611.41	4607.09																							1	0							
1777845600	4623.11	4632.11		4635.83																					2	0							
1777858200	4601.59	4592.93																							1	0							
1777860000	4608.34	4618.59									4610.15														2	0							
1777889700	4545	4526.4																							1	0							
1777905000	4574.38	4583.16							4582.32																2	0							
1777910400	4509.88	4500.86									4510.28											IEQL			2	1	4505.57						
1777939200	4527.77	4528.57																							1	0							
1777940100	4517.12	4513.56										4510.28											IEQL		2	1	4511.92						
1777949100	4539.17	4546.78																							1	0							
1777955400	4531.71	4527.89			4526.4											IEQL									2	1	4527.15						
1777971600	4557.61	4560.53																							1	0							
1777978800	4552.62	4540																							1	0							
1777990500	4584.37	4586.56											4582.32												2	0							
1778020200	4548.82	4546.31																							1	0							
1778064300	4718.25	4722.76																							1	0							
1778069700	4683.36	4660.71																							1	0							
1778076900	4705.66	4717.43	4722.76											IEQH											2	1	4720.10						
1778088600	4680.64	4678.99																							1	0							
1778112900	4692.51	4701.18																							1	0							
1778114700	4688.57	4685.59																							1	0							
1778118300	4714.86	4721.44			4722.76											IEQH									2	1	4722.10						
1778128200	4698.15	4692.46																							1	0							
1778166000	4754.77	4764.7																							1	0							
1778191200	4691.37	4678.1																							1	0							
1778220900	4733.47	4734.65																							1	0							
1778224500	4706.67	4696.83																							1	0							
1778236200	4724.48	4727.88			4721.44			4722.76											IEQH						3	1	4724.03						
1778242500	4710.4	4703																							1	0							
1778248800	4731.78	4749.22																							1	0							
1778255100	4707.13	4702																							1	0							
1778264100	4725.66	4728.95					4721.44			4722.76											IEQH				3	1	4724.38						
1778460300	4683.57	4670.56				4678.1																			2	0							
1778462100	4699.01	4705.4																							1	0							
1778478300	4652.3	4647.85																							1	0							
1778507100	4736	4748.44			4749.22																				2	0							
1778517000	4711.45	4707.97			4702																				2	0							
1778544900	4762.38	4773.58							4764.7																2	0							
1778569200	4695.96	4687.49							4678.1																2	0							
