TimeStamp	symbol	timeframe	close	Type	CurrentPoint	PreviousPoint	TwoPreviousPoint	ThreePreviousPoint	FourPreviousPoint	FivePreviousPoint	PriceChange	PercentChange	PercentChangeClassification	Bars	Category
1774250106	XAUUSD	M15	4135.63000	Bottom	4098.69000	4734.78000	4661.42000	4736.13000	4502.73000	4867.22000	-636.09000	-13.43	5	88	LL
1774275306	XAUUSD	M15	4486.98000	Peak	4512.91000	4098.69000	4734.78000	4661.42000	4736.13000	4502.73000	414.22000	10.11	2	28	LH
1774280706	XAUUSD	M15	4364.25000	Bottom	4351.03000	4512.91000	4098.69000	4734.78000	4661.42000	4736.13000	-161.88000	-3.59	3	6	HL
1774291506	XAUUSD	M15	4448.98000	Peak	4467.12000	4351.03000	4512.91000	4098.69000	4734.78000	4661.42000	116.09000	2.67	0	12	LH
1774303206	XAUUSD	M15	4398.29000	Bottom	4360.47000	4467.12000	4351.03000	4512.91000	4098.69000	4734.78000	-106.65000	-2.39	3	9	HL
1774307706	XAUUSD	M15	4441.71000	Peak	4448.04000	4360.47000	4467.12000	4351.03000	4512.91000	4098.69000	87.57000	2.01	0	5	LH
1774317606	XAUUSD	M15	4312.34000	Bottom	4306.09000	4448.04000	4360.47000	4467.12000	4351.03000	4512.91000	-141.95000	-3.19	3	11	LL
1774349106	XAUUSD	M15	4438.66000	Peak	4441.87000	4306.09000	4448.04000	4360.47000	4467.12000	4351.03000	135.78000	3.15	0	35	LH
1774359906	XAUUSD	M15	4381.79000	Bottom	4351.70000	4441.87000	4306.09000	4448.04000	4360.47000	4467.12000	-90.17000	-2.03	3	12	HL
1774363506	XAUUSD	M15	4415.63000	Peak	4433.51000	4351.70000	4441.87000	4306.09000	4448.04000	4360.47000	81.81000	1.88	0	4	LH
1774374306	XAUUSD	M15	4388.64000	Bottom	4372.58000	4433.51000	4351.70000	4441.87000	4306.09000	4448.04000	-60.93000	-1.37	3	12	HL
1774406706	XAUUSD	M15	4583.92000	Peak	4602.30000	4372.58000	4433.51000	4351.70000	4441.87000	4306.09000	229.72000	5.25	0	32	HH
1774418406	XAUUSD	M15	4534.37000	Bottom	4532.82000	4602.30000	4372.58000	4433.51000	4351.70000	4441.87000	-69.48000	-1.51	3	13	HL
1774429206	XAUUSD	M15	4562.23000	Peak	4567.73000	4532.82000	4602.30000	4372.58000	4433.51000	4351.70000	34.91000	0.77	0	12	LH
1774431906	XAUUSD	M15	4551.67000	Bottom	4527.99000	4567.73000	4532.82000	4602.30000	4372.58000	4433.51000	-39.74000	-0.87	3	3	LL
1774438206	XAUUSD	M15	4583.78000	Peak	4585.51000	4527.99000	4567.73000	4532.82000	4602.30000	4372.58000	57.52000	1.27	0	7	HH
1774441806	XAUUSD	M15	4547.41000	Bottom	4522.33000	4585.51000	4527.99000	4567.73000	4532.82000	4602.30000	-63.18000	-1.38	3	4	LL
1774461606	XAUUSD	M15	4551.37000	Peak	4568.96000	4522.33000	4585.51000	4527.99000	4567.73000	4532.82000	46.63000	1.03	0	22	LH
1774465206	XAUUSD	M15	4509.08000	Bottom	4487.10000	4568.96000	4522.33000	4585.51000	4527.99000	4567.73000	-81.86000	-1.79	3	4	LL
1774486806	XAUUSD	M15	4538.40000	Peak	4544.29000	4487.10000	4568.96000	4522.33000	4585.51000	4527.99000	57.19000	1.27	0	20	LH
1774513806	XAUUSD	M15	4420.09000	Bottom	4413.24000	4544.29000	4487.10000	4568.96000	4522.33000	4585.51000	-131.05000	-2.88	3	30	LL
1774535406	XAUUSD	M15	4461.27000	Peak	4479.14000	4413.24000	4544.29000	4487.10000	4568.96000	4522.33000	65.90000	1.49	0	24	LH
1774554306	XAUUSD	M15	4364.33000	Bottom	4359.29000	4479.14000	4413.24000	4544.29000	4487.10000	4568.96000	-119.85000	-2.68	3	21	LL
1774557006	XAUUSD	M15	4405.78000	Peak	4420.56000	4359.29000	4479.14000	4413.24000	4544.29000	4487.10000	61.27000	1.41	0	3	LH
1774572306	XAUUSD	M15	4378.73000	Bottom	4375.68000	4420.56000	4359.29000	4479.14000	4413.24000	4544.29000	-44.88000	-1.02	3	13	HL
1774589406	XAUUSD	M15	4466.08000	Peak	4475.12000	4375.68000	4420.56000	4359.29000	4479.14000	4413.24000	99.44000	2.27	0	19	HH
1774609206	XAUUSD	M15	4413.17000	Bottom	4404.32000	4475.12000	4375.68000	4420.56000	4359.29000	4479.14000	-70.80000	-1.58	3	22	HL
1774624506	XAUUSD	M15	4543.54000	Peak	4555.00000	4404.32000	4475.12000	4375.68000	4420.56000	4359.29000	150.68000	3.42	0	17	HH
1774828806	XAUUSD	M15	4426.83000	Bottom	4420.27000	4555.00000	4404.32000	4475.12000	4375.68000	4420.56000	-134.73000	-2.96	3	31	HL
1774871106	XAUUSD	M15	4559.53000	Peak	4580.59000	4420.27000	4555.00000	4404.32000	4475.12000	4375.68000	160.32000	3.63	0	47	HH
1774898106	XAUUSD	M15	4501.72000	Bottom	4493.14000	4580.59000	4420.27000	4555.00000	4404.32000	4475.12000	-87.45000	-1.91	3	30	HL
1774908006	XAUUSD	M15	4508.24000	Peak	4523.85000	4493.14000	4580.59000	4420.27000	4555.00000	4404.32000	30.71000	0.68	0	7	LH
1774911606	XAUUSD	M15	4499.13000	Bottom	4492.83000	4523.85000	4493.14000	4580.59000	4420.27000	4555.00000	-31.02000	-0.69	3	4	LL
1774915206	XAUUSD	M15	4516.16000	Peak	4528.66000	4492.83000	4523.85000	4493.14000	4580.59000	4420.27000	35.83000	0.80	0	4	HH
1774916106	XAUUSD	M15	4511.88000	Bottom	4482.69000	4528.66000	4492.83000	4523.85000	4493.14000	4580.59000	-45.97000	-1.02	3	1	LL
1774921506	XAUUSD	M15	4605.27000	Peak	4619.84000	4482.69000	4528.66000	4492.83000	4523.85000	4493.14000	137.15000	3.06	0	6	HH
1774933206	XAUUSD	M15	4550.47000	Bottom	4548.26000	4619.84000	4482.69000	4528.66000	4492.83000	4523.85000	-71.58000	-1.55	3	13	HL
1774935906	XAUUSD	M15	4568.88000	Peak	4581.64000	4548.26000	4619.84000	4482.69000	4528.66000	4492.83000	33.38000	0.73	0	3	LH
1774953006	XAUUSD	M15	4541.23000	Bottom	4529.84000	4581.64000	4548.26000	4619.84000	4482.69000	4528.66000	-51.80000	-1.13	3	19	LL
1775005206	XAUUSD	M15	4708.04000	Peak	4724.40000	4529.84000	4581.64000	4548.26000	4619.84000	4482.69000	194.56000	4.30	0	54	HH
1775016906	XAUUSD	M15	4672.56000	Bottom	4666.96000	4724.40000	4529.84000	4581.64000	4548.26000	4619.84000	-57.44000	-1.22	3	13	HL
1775062806	XAUUSD	M15	4788.67000	Peak	4793.14000	4666.96000	4724.40000	4529.84000	4581.64000	4548.26000	126.18000	2.70	0	51	HH
1775068206	XAUUSD	M15	4756.49000	Bottom	4742.20000	4793.14000	4666.96000	4724.40000	4529.84000	4581.64000	-50.94000	-1.06	3	6	HL
1775086206	XAUUSD	M15	4789.57000	Peak	4800.45000	4742.20000	4793.14000	4666.96000	4724.40000	4529.84000	58.25000	1.23	0	16	HH
1775109606	XAUUSD	M15	4581.00000	Bottom	4553.95000	4800.45000	4742.20000	4793.14000	4666.96000	4724.40000	-246.50000	-5.13	3	26	LL
1775140206	XAUUSD	M15	4693.91000	Peak	4699.15000	4553.95000	4800.45000	4742.20000	4793.14000	4666.96000	145.20000	3.19	0	34	LH
1775434506	XAUUSD	M15	4603.52000	Bottom	4601.05000	4699.15000	4553.95000	4800.45000	4742.20000	4793.14000	-98.10000	-2.09	3	35	HL
1775467806	XAUUSD	M15	4703.45000	Peak	4706.47000	4601.05000	4699.15000	4553.95000	4800.45000	4742.20000	105.42000	2.29	0	37	HH
1775477706	XAUUSD	M15	4666.07000	Bottom	4659.58000	4706.47000	4601.05000	4699.15000	4553.95000	4800.45000	-46.89000	-1.00	3	11	HL
1775485806	XAUUSD	M15	4684.65000	Peak	4697.83000	4659.58000	4706.47000	4601.05000	4699.15000	4553.95000	38.25000	0.82	0	9	LH
