TimeStamp	symbol	timeframe	close	Type	CurrentPoint	CurrentPrChg	Current%Chg	Current%ChgClass	CurrentBars	CurrentBarsClass	CurrentPrPerBar	CurrentPrPerBarClass	CurrentSlope	CurrentCategory
1774250106	XAUUSD	M15	4135.63000	Bottom	4098.69000	-636.09000	-13.43	5	88	5	-7.22830	3	-82.1234	LL
1774275306	XAUUSD	M15	4486.98000	Peak	4512.91000	414.22000	10.11	2	28	0	14.79357	2	86.1329	LH
1774280706	XAUUSD	M15	4364.25000	Bottom	4351.03000	-161.88000	-3.59	3	6	3	-26.98000	5	-87.8773	HL
1774291506	XAUUSD	M15	4448.98000	Peak	4467.12000	116.09000	2.67	0	12	0	9.67417	0	84.0984	LH
1774303206	XAUUSD	M15	4398.29000	Bottom	4360.47000	-106.65000	-2.39	3	9	3	-11.85000	3	-85.1763	HL
1774307706	XAUUSD	M15	4441.71000	Peak	4448.04000	87.57000	2.01	0	5	0	17.51400	2	86.7321	LH
1774317606	XAUUSD	M15	4312.34000	Bottom	4306.09000	-141.95000	-3.19	3	11	3	-12.90455	4	-85.5689	LL
1774349106	XAUUSD	M15	4438.66000	Peak	4441.87000	135.78000	3.15	0	35	0	3.87943	0	75.5455	LH
1774359906	XAUUSD	M15	4381.79000	Bottom	4351.70000	-90.17000	-2.03	3	12	3	-7.51417	3	-82.4195	HL
1774363506	XAUUSD	M15	4415.63000	Peak	4433.51000	81.81000	1.88	0	4	0	20.45250	2	87.2008	LH
1774374306	XAUUSD	M15	4388.64000	Bottom	4372.58000	-60.93000	-1.37	3	12	3	-5.07750	3	-78.8583	HL
1774406706	XAUUSD	M15	4583.92000	Peak	4602.30000	229.72000	5.25	0	32	0	7.17875	0	82.0697	HH
1774418406	XAUUSD	M15	4534.37000	Bottom	4532.82000	-69.48000	-1.51	3	13	3	-5.34462	3	-79.4023	HL
1774429206	XAUUSD	M15	4562.23000	Peak	4567.73000	34.91000	0.77	0	12	0	2.90917	0	71.0301	LH
1774431906	XAUUSD	M15	4551.67000	Bottom	4527.99000	-39.74000	-0.87	3	3	3	-13.24667	3	-85.6829	LL
1774438206	XAUUSD	M15	4583.78000	Peak	4585.51000	57.52000	1.27	0	7	0	8.21714	0	83.0614	HH
1774441806	XAUUSD	M15	4547.41000	Bottom	4522.33000	-63.18000	-1.38	3	4	3	-15.79500	4	-86.3774	LL
1774461606	XAUUSD	M15	4551.37000	Peak	4568.96000	46.63000	1.03	0	22	0	2.11955	0	64.7421	LH
1774465206	XAUUSD	M15	4509.08000	Bottom	4487.10000	-81.86000	-1.79	3	4	3	-20.46500	5	-87.2025	LL
1774486806	XAUUSD	M15	4538.40000	Peak	4544.29000	57.19000	1.27	0	20	0	2.85950	0	70.7247	LH
1774513806	XAUUSD	M15	4420.09000	Bottom	4413.24000	-131.05000	-2.88	3	30	3	-4.36833	3	-77.1060	LL
1774535406	XAUUSD	M15	4461.27000	Peak	4479.14000	65.90000	1.49	0	24	0	2.74583	0	69.9890	LH
1774554306	XAUUSD	M15	4364.33000	Bottom	4359.29000	-119.85000	-2.68	3	21	3	-5.70714	3	-80.0616	LL
1774557006	XAUUSD	M15	4405.78000	Peak	4420.56000	61.27000	1.41	0	3	0	20.42333	2	87.1968	LH
1774572306	XAUUSD	M15	4378.73000	Bottom	4375.68000	-44.88000	-1.02	3	13	3	-3.45231	3	-73.8457	HL
1774589406	XAUUSD	M15	4466.08000	Peak	4475.12000	99.44000	2.27	0	19	0	5.23368	0	79.1829	HH
1774609206	XAUUSD	M15	4413.17000	Bottom	4404.32000	-70.80000	-1.58	3	22	3	-3.21818	3	-72.7382	HL
1774624506	XAUUSD	M15	4543.54000	Peak	4555.00000	150.68000	3.42	0	17	0	8.86353	0	83.5630	HH
1774828806	XAUUSD	M15	4426.83000	Bottom	4420.27000	-134.73000	-2.96	3	31	3	-4.34613	3	-77.0423	HL
1774871106	XAUUSD	M15	4559.53000	Peak	4580.59000	160.32000	3.63	0	47	2	3.41106	0	73.6608	HH
1774898106	XAUUSD	M15	4501.72000	Bottom	4493.14000	-87.45000	-1.91	3	30	3	-2.91500	3	-71.0653	HL
1774908006	XAUUSD	M15	4508.24000	Peak	4523.85000	30.71000	0.68	0	7	0	4.38714	0	77.1595	LH
1774911606	XAUUSD	M15	4499.13000	Bottom	4492.83000	-31.02000	-0.69	3	4	3	-7.75500	3	-82.6523	LL
1774915206	XAUUSD	M15	4516.16000	Peak	4528.66000	35.83000	0.80	0	4	0	8.95750	0	83.6300	HH
1774916106	XAUUSD	M15	4511.88000	Bottom	4482.69000	-45.97000	-1.02	3	1	3	-45.97000	5	-88.7538	LL
1774921506	XAUUSD	M15	4605.27000	Peak	4619.84000	137.15000	3.06	0	6	0	22.85833	1	87.4950	HH
1774933206	XAUUSD	M15	4550.47000	Bottom	4548.26000	-71.58000	-1.55	3	13	3	-5.50615	3	-79.7064	HL
1774935906	XAUUSD	M15	4568.88000	Peak	4581.64000	33.38000	0.73	0	3	0	11.12667	0	84.8644	LH
1774953006	XAUUSD	M15	4541.23000	Bottom	4529.84000	-51.80000	-1.13	3	19	3	-2.72632	3	-69.8572	LL
1775005206	XAUUSD	M15	4708.04000	Peak	4724.40000	194.56000	4.30	0	54	2	3.60296	0	74.4880	HH
1775016906	XAUUSD	M15	4672.56000	Bottom	4666.96000	-57.44000	-1.22	3	13	3	-4.41846	3	-77.2475	HL
1775062806	XAUUSD	M15	4788.67000	Peak	4793.14000	126.18000	2.70	0	51	1	2.47412	0	67.9922	HH
1775068206	XAUUSD	M15	4756.49000	Bottom	4742.20000	-50.94000	-1.06	3	6	3	-8.49000	3	-83.2823	HL
1775086206	XAUUSD	M15	4789.57000	Peak	4800.45000	58.25000	1.23	0	16	0	3.64062	0	74.6409	HH
