timestamp	symbol	timeframe	close	dual_tema_high	dual_tema_low
1771866600	XAUUSD	M5	5203.74	5211.74	5204.43
1771866900	XAUUSD	M5	5207.00	5210.77	5203.07
1771867200	XAUUSD	M5	5209.53	5209.84	5203.00
1771867500	XAUUSD	M5	5210.26	5210.61	5205.49
1771867800	XAUUSD	M5	5207.93	5210.42	5206.14
1771868100	XAUUSD	M5	5196.53	5208.84	5198.64
1771868400	XAUUSD	M5	5199.50	5206.13	5196.32
1771868700	XAUUSD	M5	5199.64	5203.44	5195.30
1771869000	XAUUSD	M5	5205.15	5204.51	5196.17
1771869300	XAUUSD	M5	5207.93	5205.53	5199.27
1771869600	XAUUSD	M5	5210.03	5207.45	5202.84
1771869900	XAUUSD	M5	5214.29	5210.74	5206.45
1771870200	XAUUSD	M5	5213.44	5213.51	5210.25
1771870500	XAUUSD	M5	5207.98	5213.71	5209.68
1771870800	XAUUSD	M5	5206.36	5213.99	5208.54
1771871100	XAUUSD	M5	5206.12	5211.53	5205.32
1771871400	XAUUSD	M5	5208.20	5211.12	5205.53
1771871700	XAUUSD	M5	5208.85	5212.26	5206.36
1771872000	XAUUSD	M5	5206.47	5211.45	5205.99
1771872300	XAUUSD	M5	5209.31	5210.85	5206.08
1771872600	XAUUSD	M5	5210.55	5211.43	5207.46
1771872900	XAUUSD	M5	5209.60	5211.38	5208.15
1771873200	XAUUSD	M5	5209.32	5210.86	5207.71
1771873500	XAUUSD	M5	5209.55	5210.52	5207.35
1771873800	XAUUSD	M5	5211.41	5211.20	5208.04
1771874100	XAUUSD	M5	5212.34	5212.71	5209.81
1771874400	XAUUSD	M5	5211.58	5213.92	5210.63
1771874700	XAUUSD	M5	5209.15	5213.80	5209.27
1771875000	XAUUSD	M5	5212.28	5213.31	5208.87
1771875300	XAUUSD	M5	5215.09	5214.37	5209.35
1771875600	XAUUSD	M5	5216.92	5215.90	5210.32
1771875900	XAUUSD	M5	5217.27	5217.42	5212.86
1771876200	XAUUSD	M5	5216.23	5218.15	5213.99
1771876500	XAUUSD	M5	5215.53	5217.81	5214.71
1771876800	XAUUSD	M5	5222.46	5220.61	5215.21
1771877100	XAUUSD	M5	5222.72	5222.29	5217.41
1771877400	XAUUSD	M5	5223.05	5223.93	5219.96
1771877700	XAUUSD	M5	5223.88	5224.97	5221.68
1771878000	XAUUSD	M5	5224.41	5225.84	5223.52
1771878300	XAUUSD	M5	5225.01	5226.54	5224.51
1771878600	XAUUSD	M5	5227.75	5228.41	5225.33
1771878900	XAUUSD	M5	5229.24	5230.00	5227.09
1771879200	XAUUSD	M5	5227.62	5230.53	5228.07
1771879500	XAUUSD	M5	5228.63	5230.64	5227.31
1771879800	XAUUSD	M5	5234.08	5233.73	5228.56
1771880100	XAUUSD	M5	5236.35	5236.50	5230.15
1771880400	XAUUSD	M5	5234.74	5237.88	5232.62
1771880700	XAUUSD	M5	5234.29	5237.88	5233.58
1771881000	XAUUSD	M5	5231.07	5237.24	5232.45
1771881300	XAUUSD	M5	5231.25	5234.94	5231.25
1771881600	XAUUSD	M5	5230.38	5233.70	5230.96
1771881900	XAUUSD	M5	5229.90	5232.55	5230.25
1771882200	XAUUSD	M5	5231.61	5231.89	5228.40
1771882500	XAUUSD	M5	5230.14	5232.06	5228.69
1771882800	XAUUSD	M5	5228.85	5231.11	5228.37
1771883100	XAUUSD	M5	5231.41	5230.89	5227.51
1771883400	XAUUSD	M5	5229.11	5230.79	5227.35
1771883700	XAUUSD	M5	5227.66	5230.23	5226.97
1771887600	XAUUSD	M5	5243.55	5238.50	5224.28
1771887900	XAUUSD	M5	5241.43	5242.77	5229.17
1771888200	XAUUSD	M5	5244.75	5246.90	5235.01
1771888500	XAUUSD	M5	5246.84	5249.68	5240.32
1771888800	XAUUSD	M5	5239.49	5250.67	5240.55
1771889100	XAUUSD	M5	5236.76	5248.34	5238.63
