timestamp	symbol	timeframe	close	kc_ultra_extreme_upper	kc_extreme_upper	kc_uppermost	kc_upper	kc_upper_middle	kc_lower_middle	kc_lower	kc_lowermost	kc_extreme_lower	kc_ultra_extreme_lower
1771866600	XAUUSD	M5	5203.74	5238.26975	5232.36728	5226.46481	5220.56234	5214.65987	5205.81138	5199.90891	5194.00644	5188.10397	5182.20150
1771866900	XAUUSD	M5	5207.00	5239.05106	5233.11161	5227.17217	5221.23272	5215.29328	5206.57427	5200.63483	5194.69539	5188.75594	5182.81650
1771867200	XAUUSD	M5	5209.53	5239.62061	5233.66431	5227.70802	5221.75172	5215.79542	5207.23856	5201.28226	5195.32597	5189.36967	5183.41337
1771867500	XAUUSD	M5	5210.26	5240.05829	5234.10866	5228.15903	5222.20940	5216.25977	5207.94540	5201.99577	5196.04614	5190.09651	5184.14688
1771867800	XAUUSD	M5	5207.93	5240.37703	5234.44407	5228.51111	5222.57815	5216.64518	5208.61180	5202.67884	5196.74588	5190.81291	5184.87995
1771868100	XAUUSD	M5	5196.53	5240.79075	5234.81415	5228.83754	5222.86094	5216.88433	5208.81819	5202.84159	5196.86498	5190.88838	5184.91177
1771868400	XAUUSD	M5	5199.50	5240.81857	5234.84394	5228.86931	5222.89469	5216.92006	5208.82070	5202.84607	5196.87144	5190.89681	5184.92218
1771868700	XAUUSD	M5	5199.64	5240.70063	5234.71396	5228.72729	5222.74063	5216.75396	5208.69173	5202.70506	5196.71839	5190.73173	5184.74506
1771869000	XAUUSD	M5	5205.15	5240.65192	5234.63494	5228.61797	5222.60099	5216.58402	5208.53995	5202.52297	5196.50600	5190.48902	5184.47205
1771869300	XAUUSD	M5	5207.93	5240.50566	5234.48461	5228.46356	5222.44251	5216.42146	5208.49557	5202.47452	5196.45347	5190.43242	5184.41137
1771869600	XAUUSD	M5	5210.03	5240.36559	5234.35522	5228.34485	5222.33448	5216.32411	5208.60090	5202.59053	5196.58016	5190.56979	5184.55942
1771869900	XAUUSD	M5	5214.29	5240.42408	5234.41174	5228.39939	5222.38705	5216.37470	5208.87229	5202.85995	5196.84760	5190.83525	5184.82291
1771870200	XAUUSD	M5	5213.44	5240.61543	5234.60124	5228.58704	5222.57284	5216.55864	5209.33086	5203.31666	5197.30247	5191.28827	5185.27407
1771870500	XAUUSD	M5	5207.98	5240.87377	5234.84254	5228.81130	5222.78007	5216.74883	5209.75618	5203.72495	5197.69371	5191.66248	5185.63125
1771870800	XAUUSD	M5	5206.36	5241.18321	5235.12438	5229.06556	5223.00673	5216.94790	5210.11259	5204.05376	5197.99494	5191.93611	5185.87728
