timestamp	symbol	timeframe	close	ha_open	ha_high	ha_low	ha_close	ha_color	ha_body_size	ha_body_zscore	ha_trend
1771965900	XAUUSD	M5	5168.22	5169.35	5172.28	5168.00	5170.16	1	0.81	-0.65241	1
1771966200	XAUUSD	M5	5163.69	5169.76	5170.24	5161.71	5165.96	-1	3.79	0.09884	-1
1771966500	XAUUSD	M5	5164.24	5167.86	5167.86	5158.22	5162.75	-1	5.11	0.42845	-2
1771966800	XAUUSD	M5	5158.21	5165.31	5165.64	5157.77	5161.45	-1	3.86	0.11048	-3
1771967100	XAUUSD	M5	5157.54	5163.38	5163.38	5156.39	5157.80	-1	5.58	0.54494	-4
1771967400	XAUUSD	M5	5161.12	5160.59	5161.12	5156.43	5159.05	-1	1.53	-0.47663	-5
1771967700	XAUUSD	M5	5158.33	5159.82	5162.26	5158.19	5159.98	1	0.16	-0.82288	1
1771968000	XAUUSD	M5	5153.97	5159.90	5159.90	5153.97	5156.17	-1	3.72	0.07763	-1
1771968300	XAUUSD	M5	5155.44	5158.03	5158.03	5154.00	5154.93	-1	3.10	-0.08178	-2
1771968600	XAUUSD	M5	5149.86	5156.48	5156.48	5148.94	5152.53	-1	3.95	0.13241	-3
1771968900	XAUUSD	M5	5149.81	5154.51	5154.51	5146.14	5149.09	-1	5.42	0.50243	-4
1771969200	XAUUSD	M5	5150.79	5151.80	5151.80	5146.12	5149.48	-1	2.32	-0.28293	-5
1771969500	XAUUSD	M5	5148.20	5150.64	5150.79	5146.92	5149.18	-1	1.46	-0.50129	-6
1771969800	XAUUSD	M5	5145.11	5149.91	5149.91	5140.07	5145.42	-1	4.49	0.26356	-7
1771970100	XAUUSD	M5	5143.97	5147.66	5147.66	5142.98	5144.42	-1	3.24	-0.05006	-8
1771974000	XAUUSD	M5	5135.96	5146.04	5146.04	5121.81	5136.18	-1	9.87	1.61394	-9
1771974300	XAUUSD	M5	5133.97	5141.11	5141.11	5128.07	5133.90	-1	7.21	0.93776	-10
1771974600	XAUUSD	M5	5135.82	5137.50	5137.50	5129.36	5133.78	-1	3.72	0.05812	-11
1771974900	XAUUSD	M5	5132.46	5135.64	5137.91	5131.36	5134.70	-1	0.95	-0.63911	-12
1771975200	XAUUSD	M5	5132.69	5135.17	5135.17	5129.88	5132.15	-1	3.02	-0.11942	-13
1771975500	XAUUSD	M5	5130.99	5133.66	5133.66	5128.54	5131.33	-1	2.33	-0.29274	-14
1771975800	XAUUSD	M5	5131.98	5132.49	5135.98	5129.63	5132.14	-1	0.35	-0.79167	-15
1771976100	XAUUSD	M5	5138.91	5132.32	5138.95	5132.06	5135.49	1	3.18	-0.08228	1
1771976400	XAUUSD	M5	5147.23	5133.91	5150.07	5133.91	5143.44	1	9.53	1.50700	2
1771976700	XAUUSD	M5	5150.22	5138.67	5151.63	5138.67	5148.73	1	10.06	1.62588	3
1771977000	XAUUSD	M5	5150.60	5143.70	5152.38	5143.70	5150.55	1	6.84	0.81486	4
1771977300	XAUUSD	M5	5146.72	5147.12	5150.88	5146.35	5148.64	1	1.51	-0.51925	5
1771977600	XAUUSD	M5	5140.34	5147.88	5149.73	5139.92	5144.18	-1	3.70	0.03145	-1
1771977900	XAUUSD	M5	5143.30	5146.03	5146.03	5137.25	5141.09	-1	4.94	0.34642	-2
1771978200	XAUUSD	M5	5140.57	5143.56	5143.56	5138.82	5141.50	-1	2.06	-0.37383	-3
1771978500	XAUUSD	M5	5143.05	5142.53	5144.93	5139.08	5141.91	-1	0.62	-0.73143	-4
1771978800	XAUUSD	M5	5142.90	5142.22	5146.30	5142.22	5143.75	1	1.53	-0.50300	1
1771979100	XAUUSD	M5	5140.27	5142.99	5142.99	5137.92	5141.00	-1	1.99	-0.38640	-1
1771979400	XAUUSD	M5	5147.64	5141.99	5151.32	5140.66	5145.07	1	3.08	-0.11404	1
1771979700	XAUUSD	M5	5152.05	5143.53	5154.77	5143.53	5149.97	1	6.43	0.72701	2
1771980000	XAUUSD	M5	5147.80	5146.75	5155.52	5146.75	5150.63	1	3.88	0.08123	3
1771980300	XAUUSD	M5	5144.60	5148.69	5148.69	5141.94	5145.40	-1	3.29	-0.06996	-1
1771980600	XAUUSD	M5	5147.47	5147.04	5147.73	5142.92	5145.68	-1	1.36	-0.55431	-2
1771980900	XAUUSD	M5	5152.30	5146.36	5156.25	5146.36	5150.63	1	4.27	0.17894	1
