timestamp	symbol	timeframe	close	open	high	low	body_direction	body_size	body_classification
1772018399	XAUUSD	M5	5165.08	5159.68	5165.54	5158.16	1	0.56291	0
1772018699	XAUUSD	M5	5168.85	5165.08	5169.48	5164.54	1	0.07363	0
1772018999	XAUUSD	M5	5169.86	5168.85	5172.51	5167.81	1	0.75052	0
1772019299	XAUUSD	M5	5167.67	5169.73	5170.56	5167.56	-1	0.43713	3
1772019599	XAUUSD	M5	5173.18	5167.46	5173.98	5166.75	1	0.65401	0
1772019899	XAUUSD	M5	5173.30	5173.18	5174.58	5172.50	1	1.01784	0
1772020199	XAUUSD	M5	5173.62	5173.34	5176.25	5172.28	1	0.96774	0
1772020499	XAUUSD	M5	5181.67	5173.62	5182.67	5173.62	1	1.34457	0
1772020799	XAUUSD	M5	5179.73	5181.56	5182.87	5178.20	-1	0.50585	3
1772021099	XAUUSD	M5	5181.07	5179.78	5181.70	5179.78	1	0.66763	0
1772021399	XAUUSD	M5	5182.11	5181.06	5183.10	5180.81	1	0.73773	0
1772021699	XAUUSD	M5	5183.84	5182.24	5185.85	5181.92	1	0.57191	0
1772021999	XAUUSD	M5	5186.84	5183.84	5187.01	5183.36	1	0.14817	0
1772022299	XAUUSD	M5	5183.54	5186.84	5187.49	5183.37	-1	0.05823	3
1772022599	XAUUSD	M5	5179.74	5183.51	5184.89	5179.35	-1	0.08756	3
1772022899	XAUUSD	M5	5183.98	5179.74	5184.00	5177.43	1	0.23006	0
1772023199	XAUUSD	M5	5184.73	5183.98	5186.31	5182.71	1	0.82397	0
1772023499	XAUUSD	M5	5181.70	5184.79	5185.27	5181.70	-1	0.11895	3
1772023799	XAUUSD	M5	5181.88	5181.75	5184.46	5181.13	1	1.00971	0
1772024099	XAUUSD	M5	5182.65	5181.93	5183.15	5178.78	1	0.83071	0
1772024399	XAUUSD	M5	5185.50	5182.80	5185.77	5181.12	1	0.22962	0
1772024699	XAUUSD	M5	5188.33	5185.53	5189.76	5184.73	1	0.19969	0
1772024999	XAUUSD	M5	5187.20	5188.44	5189.22	5185.50	-1	0.67147	3
1772025299	XAUUSD	M5	5187.00	5187.22	5189.54	5185.97	-1	0.97818	3
1772025599	XAUUSD	M5	5191.13	5186.81	5191.47	5186.14	1	0.26130	0
1772025899	XAUUSD	M5	5188.07	5191.14	5191.36	5186.93	-1	0.11243	3
1772026199	XAUUSD	M5	5188.16	5188.07	5190.35	5186.62	1	1.01543	0
1772026499	XAUUSD	M5	5189.61	5188.16	5190.35	5187.73	1	0.60318	0
1772026799	XAUUSD	M5	5186.84	5189.93	5191.33	5182.03	-1	0.10542	3
1772027099	XAUUSD	M5	5186.59	5187.12	5191.12	5185.65	-1	0.88255	3
1772027399	XAUUSD	M5	5186.07	5187.03	5187.42	5184.30	-1	0.75041	3
1772027699	XAUUSD	M5	5185.23	5186.04	5188.50	5184.76	-1	0.79372	3
