timestamp	symbol	timeframe	close	zigzag_high	zigzag_low	ema
1771900200	XAUUSD	M5	5184.16	0.00	0.00	5188.02
1771900500	XAUUSD	M5	5187.96	0.00	0.00	5187.85
1771900800	XAUUSD	M5	5183.56	0.00	0.00	5187.64
1771901100	XAUUSD	M5	5186.01	0.00	0.00	5187.48
1771901400	XAUUSD	M5	5184.82	0.00	0.00	5187.42
1771901700	XAUUSD	M5	5190.00	0.00	0.00	5187.48
1771902000	XAUUSD	M5	5186.92	0.00	0.00	5187.51
1771902300	XAUUSD	M5	5187.92	5191.83	0.00	5187.58
1771902600	XAUUSD	M5	5188.87	0.00	0.00	5187.60
1771902900	XAUUSD	M5	5186.90	0.00	0.00	5187.61
1771903200	XAUUSD	M5	5187.02	0.00	0.00	5187.52
1771903500	XAUUSD	M5	5182.76	0.00	0.00	5187.26
1771903800	XAUUSD	M5	5186.08	0.00	0.00	5187.08
1771904100	XAUUSD	M5	5184.50	0.00	0.00	5186.99
1771904400	XAUUSD	M5	5179.40	0.00	0.00	5186.53
1771904700	XAUUSD	M5	5175.94	0.00	0.00	5185.83
1771905000	XAUUSD	M5	5175.98	0.00	0.00	5185.12
1771905300	XAUUSD	M5	5172.13	0.00	0.00	5184.28
1771905600	XAUUSD	M5	5164.12	0.00	5161.11	5182.95
1771905900	XAUUSD	M5	5168.81	0.00	0.00	5181.84
1771906200	XAUUSD	M5	5168.31	0.00	0.00	5180.89
1771906500	XAUUSD	M5	5171.55	0.00	0.00	5180.18
1771906800	XAUUSD	M5	5171.60	0.00	0.00	5179.62
1771907100	XAUUSD	M5	5172.07	0.00	0.00	5179.07
1771907400	XAUUSD	M5	5167.72	0.00	0.00	5178.37
1771907700	XAUUSD	M5	5169.07	0.00	0.00	5177.63
1771908000	XAUUSD	M5	5164.71	0.00	0.00	5176.88
1771908300	XAUUSD	M5	5170.68	0.00	0.00	5176.27
1771908600	XAUUSD	M5	5168.41	0.00	0.00	5175.75
1771908900	XAUUSD	M5	5168.24	0.00	0.00	5175.24
1771909200	XAUUSD	M5	5170.91	0.00	0.00	5174.80
1771909500	XAUUSD	M5	5170.79	0.00	0.00	5174.46
1771909800	XAUUSD	M5	5172.12	0.00	0.00	5174.29
1771910100	XAUUSD	M5	5172.34	0.00	0.00	5174.14
1771910400	XAUUSD	M5	5173.57	0.00	0.00	5174.10
1771910700	XAUUSD	M5	5167.46	0.00	0.00	5173.76
1771911000	XAUUSD	M5	5172.36	0.00	0.00	5173.49
1771911300	XAUUSD	M5	5171.22	0.00	0.00	5173.33
1771911600	XAUUSD	M5	5172.77	0.00	0.00	5173.25
1771911900	XAUUSD	M5	5174.39	0.00	0.00	5173.34
1771912200	XAUUSD	M5	5180.92	0.00	0.00	5173.72
1771912500	XAUUSD	M5	5182.53	5185.75	0.00	5174.36
1771912800	XAUUSD	M5	5180.50	0.00	0.00	5174.78
1771913100	XAUUSD	M5	5183.03	0.00	0.00	5175.29
1771913400	XAUUSD	M5	5182.71	0.00	0.00	5175.84
1771913700	XAUUSD	M5	5180.91	0.00	0.00	5176.26
1771914000	XAUUSD	M5	5177.84	0.00	0.00	5176.39
1771914300	XAUUSD	M5	5168.85	0.00	0.00	5176.02
1771914600	XAUUSD	M5	5166.34	0.00	0.00	5175.44
1771914900	XAUUSD	M5	5173.16	0.00	5156.66	5174.90
1771915200	XAUUSD	M5	5169.02	0.00	0.00	5174.57
1771915500	XAUUSD	M5	5173.23	0.00	0.00	5174.40
1771915800	XAUUSD	M5	5168.55	0.00	0.00	5174.08
1771916100	XAUUSD	M5	5173.55	0.00	0.00	5173.96
1771916400	XAUUSD	M5	5170.45	0.00	0.00	5173.76
1771916700	XAUUSD	M5	5167.18	0.00	0.00	5173.39
1771917000	XAUUSD	M5	5171.39	0.00	0.00	5173.08
1771917300	XAUUSD	M5	5178.90	0.00	0.00	5173.32
1771917600	XAUUSD	M5	5174.70	0.00	0.00	5173.41
1771917900	XAUUSD	M5	5183.34	0.00	0.00	5173.86
1771918200	XAUUSD	M5	5179.55	0.00	0.00	5174.24
1771918500	XAUUSD	M5	5178.19	0.00	0.00	5174.61
1771918800	XAUUSD	M5	5179.90	5183.72	0.00	5175.02
1771919100	XAUUSD	M5	5176.84	0.00	0.00	5175.19
1771919400	XAUUSD	M5	5180.85	0.00	0.00	5175.51
1771919700	XAUUSD	M5	5179.38	0.00	0.00	5175.84
1771920000	XAUUSD	M5	5172.85	0.00	0.00	5175.76
1771920300	XAUUSD	M5	5175.46	0.00	0.00	5175.60
1771920600	XAUUSD	M5	5171.86	0.00	0.00	5175.37
1771920900	XAUUSD	M5	5168.05	0.00	0.00	5174.92
1771921200	XAUUSD	M5	5173.58	0.00	5165.20	5174.64
1771921500	XAUUSD	M5	5170.52	0.00	0.00	5174.43
1771921800	XAUUSD	M5	5180.56	0.00	0.00	5174.64
1771922100	XAUUSD	M5	5178.96	0.00	0.00	5174.99
1771922400	XAUUSD	M5	5174.90	0.00	0.00	5175.10
1771922700	XAUUSD	M5	5172.38	0.00	0.00	5174.89
1771923000	XAUUSD	M5	5171.81	0.00	0.00	5174.70
1771923300	XAUUSD	M5	5173.59	0.00	0.00	5174.64
1771923600	XAUUSD	M5	5176.56	0.00	0.00	5174.72
1771923900	XAUUSD	M5	5177.61	0.00	0.00	5174.94
1771924200	XAUUSD	M5	5172.56	0.00	0.00	5174.86
1771924500	XAUUSD	M5	5172.21	0.00	0.00	5174.71
1771924800	XAUUSD	M5	5170.45	0.00	0.00	5174.45
1771925100	XAUUSD	M5	5168.37	0.00	0.00	5174.10
1771925400	XAUUSD	M5	5172.74	0.00	0.00	5173.92
1771925700	XAUUSD	M5	5170.42	0.00	0.00	5173.65
1771926000	XAUUSD	M5	5170.03	0.00	0.00	5173.42
1771926300	XAUUSD	M5	5170.00	0.00	0.00	5173.14
1771926600	XAUUSD	M5	5170.50	0.00	0.00	5172.97
1771926900	XAUUSD	M5	5171.47	0.00	0.00	5172.86
1771927200	XAUUSD	M5	5175.98	0.00	0.00	5172.97
1771927500	XAUUSD	M5	5173.19	0.00	0.00	5173.04
1771927800	XAUUSD	M5	5174.63	0.00	0.00	5173.11
1771928100	XAUUSD	M5	5173.97	0.00	0.00	5173.17
1771928400	XAUUSD	M5	5180.58	5181.10	0.00	5173.56
1771928700	XAUUSD	M5	5175.97	0.00	0.00	5173.84
1771929000	XAUUSD	M5	5167.24	0.00	0.00	5173.57
1771929300	XAUUSD	M5	5166.79	0.00	5163.38	5173.13
1771929600	XAUUSD	M5	5170.39	0.00	0.00	5172.85
1771929900	XAUUSD	M5	5170.29	0.00	0.00	5172.67
1771930200	XAUUSD	M5	5172.72	0.00	0.00	5172.60
1771930500	XAUUSD	M5	5172.82	0.00	0.00	5172.62
1771930800	XAUUSD	M5	5175.76	0.00	0.00	5172.79
1771931100	XAUUSD	M5	5173.66	0.00	0.00	5172.89
1771931400	XAUUSD	M5	5176.37	0.00	0.00	5173.09
1771931700	XAUUSD	M5	5174.00	0.00	0.00	5173.20
1771932000	XAUUSD	M5	5171.96	0.00	0.00	5173.15
1771932300	XAUUSD	M5	5174.68	0.00	0.00	5173.20
1771932600	XAUUSD	M5	5174.23	0.00	0.00	5173.28
1771932900	XAUUSD	M5	5176.43	0.00	0.00	5173.44
1771933200	XAUUSD	M5	5178.18	0.00	0.00	5173.72
1771933500	XAUUSD	M5	5173.77	5178.59	0.00	5173.82
1771933800	XAUUSD	M5	5175.54	0.00	0.00	5173.86
1771934100	XAUUSD	M5	5172.69	0.00	0.00	5173.87
1771934400	XAUUSD	M5	5169.59	0.00	0.00	5173.65
1771934700	XAUUSD	M5	5170.71	0.00	0.00	5173.43
1771935000	XAUUSD	M5	5167.55	0.00	0.00	5173.04
1771935300	XAUUSD	M5	5151.32	0.00	0.00	5171.80
1771935600	XAUUSD	M5	5158.40	0.00	0.00	5170.75
1771935900	XAUUSD	M5	5161.67	0.00	0.00	5170.04
1771936200	XAUUSD	M5	5159.53	0.00	0.00	5169.35
1771936500	XAUUSD	M5	5156.46	0.00	0.00	5168.44
1771936800	XAUUSD	M5	5158.08	0.00	0.00	5167.66
1771937100	XAUUSD	M5	5154.50	0.00	0.00	5166.82
1771937400	XAUUSD	M5	5147.04	0.00	0.00	5165.57
1771937700	XAUUSD	M5	5150.85	0.00	0.00	5164.49
1771938000	XAUUSD	M5	5154.93	0.00	0.00	5163.85
1771938300	XAUUSD	M5	5158.55	0.00	0.00	5163.34
1771938600	XAUUSD	M5	5159.00	0.00	0.00	5163.03
1771938900	XAUUSD	M5	5152.92	0.00	0.00	5162.46
1771939200	XAUUSD	M5	5156.97	0.00	0.00	5161.98
1771939500	XAUUSD	M5	5156.43	0.00	0.00	5161.59
1771939800	XAUUSD	M5	5153.87	0.00	0.00	5161.06
1771940100	XAUUSD	M5	5138.59	0.00	0.00	5159.74
1771940400	XAUUSD	M5	5146.00	0.00	0.00	5158.60
