timestamp	symbol	timeframe	close	kc_ultra_extreme_upper	kc_extreme_upper	kc_uppermost	kc_upper	kc_upper_middle	kc_lower_middle	kc_lower	kc_lowermost	kc_extreme_lower	kc_ultra_extreme_lower
1772024998	XAUUSD	M5	5187.20	5203.56489	5197.97280	5192.38070	5186.78860	5181.19650	5176.73782	5171.14572	5165.55362	5159.96152	5154.36942
1772025298	XAUUSD	M5	5187.00	5204.09695	5198.51837	5192.93979	5187.36121	5181.78263	5177.37256	5171.79398	5166.21540	5160.63682	5155.05824
1772025598	XAUUSD	M5	5191.13	5204.79188	5199.20053	5193.60917	5188.01781	5182.42645	5178.02954	5172.43818	5166.84683	5161.25547	5155.66411
1772025898	XAUUSD	M5	5188.07	5205.45782	5199.86708	5194.27634	5188.68560	5183.09486	5178.70901	5173.11827	5167.52753	5161.93679	5156.34605
1772026198	XAUUSD	M5	5188.16	5205.95404	5200.40083	5194.84762	5189.29441	5183.74120	5179.38252	5173.82931	5168.27610	5162.72289	5157.16968
1772026498	XAUUSD	M5	5189.61	5206.48303	5200.95204	5195.42105	5189.89007	5184.35908	5180.06649	5174.53550	5169.00452	5163.47353	5157.94254
1772026798	XAUUSD	M5	5186.84	5207.21249	5201.65175	5196.09101	5190.53027	5184.96953	5180.59835	5175.03760	5169.47686	5163.91612	5158.35538
1772027098	XAUUSD	M5	5186.59	5207.79051	5202.23211	5196.67372	5191.11532	5185.55693	5181.10548	5175.54709	5169.98869	5164.43030	5158.87190
1772027398	XAUUSD	M5	5186.07	5208.24496	5202.68916	5197.13336	5191.57755	5186.02175	5181.55041	5175.99460	5170.43880	5164.88300	5159.32720
1772027698	XAUUSD	M5	5185.23	5208.61155	5203.06341	5197.51526	5191.96711	5186.41896	5181.95435	5176.40620	5170.85806	5165.30991	5159.76176
1772027998	XAUUSD	M5	5187.18	5208.73922	5203.23718	5197.73514	5192.23310	5186.73107	5182.29567	5176.79363	5171.29160	5165.78956	5160.28752
1772028298	XAUUSD	M5	5189.99	5208.95455	5203.48399	5198.01344	5192.54288	5187.07232	5182.66357	5177.19301	5171.72246	5166.25190	5160.78135
1772028598	XAUUSD	M5	5185.44	5209.23810	5203.78039	5198.32267	5192.86496	5187.40724	5182.96278	5177.50507	5172.04735	5166.58964	5161.13192
1772028898	XAUUSD	M5	5182.68	5209.40378	5203.95786	5198.51193	5193.06600	5187.62008	5183.16524	5177.71931	5172.27338	5166.82746	5161.38153
1772029198	XAUUSD	M5	5181.49	5209.52473	5204.07510	5198.62547	5193.17584	5187.72621	5183.24155	5177.79192	5172.34229	5166.89266	5161.44303
1772029498	XAUUSD	M5	5177.91	5209.43481	5203.99734	5198.55987	5193.12240	5187.68493	5183.09982	5177.66235	5172.22489	5166.78742	5161.34995
1772029798	XAUUSD	M5	5174.14	5209.03988	5203.65617	5198.27247	5192.88877	5187.50506	5182.73984	5177.35614	5171.97244	5166.58873	5161.20503
1772030098	XAUUSD	M5	5159.73	5208.71588	5203.31119	5197.90649	5192.50180	5187.09711	5181.89629	5176.49160	5171.08691	5165.68222	5160.27752
1772030398	XAUUSD	M5	5174.91	5208.27717	5202.84507	5197.41297	5191.98087	5186.54877	5180.75045	5175.31835	5169.88625	5164.45415	5159.02205
1772030698	XAUUSD	M5	5181.79	5207.68121	5202.27485	5196.86850	5191.46214	5186.05578	5179.80037	5174.39401	5168.98765	5163.58129	5158.17494
1772030998	XAUUSD	M5	5188.55	5207.42899	5202.02047	5196.61196	5191.20344	5185.79492	5179.13931	5173.73079	5168.32227	5162.91375	5157.50523
1772031298	XAUUSD	M5	5191.25	5207.33446	5201.95298	5196.57150	5191.19002	5185.80854	5178.89590	5173.51442	5168.13294	5162.75146	5157.36998
1772031598	XAUUSD	M5	5198.64	5207.88306	5202.46732	5197.05158	5191.63584	5186.22010	5179.02082	5173.60508	5168.18934	5162.77360	5157.35786
1772031898	XAUUSD	M5	5195.89	5208.50565	5203.11225	5197.71886	5192.32546	5186.93207	5179.52343	5174.13003	5168.73664	5163.34324	5157.94985
1772032198	XAUUSD	M5	5193.17	5209.20669	5203.82398	5198.44126	5193.05854	5187.67583	5180.14945	5174.76674	5169.38402	5164.00130	5158.61859
1772032498	XAUUSD	M5	5188.97	5209.98045	5204.58847	5199.19650	5193.80452	5188.41255	5180.79779	5175.40582	5170.01384	5164.62187	5159.22989
1772032798	XAUUSD	M5	5185.46	5210.66422	5205.25305	5199.84188	5194.43071	5189.01953	5181.33286	5175.92169	5170.51052	5165.09934	5159.68817
1772033098	XAUUSD	M5	5180.33	5211.15974	5205.72357	5200.28739	5194.85122	5189.41505	5181.52864	5176.09247	5170.65629	5165.22012	5159.78395
1772033398	XAUUSD	M5	5181.68	5211.35895	5205.90593	5200.45290	5194.99988	5189.54685	5181.44202	5175.98900	5170.53597	5165.08295	5159.62992
1772033698	XAUUSD	M5	5187.95	5211.56777	5206.09061	5200.61345	5195.13629	5189.65913	5181.38223	5175.90507	5170.42791	5164.95075	5159.47359
1772033998	XAUUSD	M5	5191.00	5211.75173	5206.27531	5200.79889	5195.32247	5189.84605	5181.48711	5176.01069	5170.53427	5165.05785	5159.58143
1772034298	XAUUSD	M5	5197.90	5212.27736	5206.76181	5201.24625	5195.73069	5190.21514	5181.70197	5176.18641	5170.67086	5165.15530	5159.63975
1772034598	XAUUSD	M5	5195.48	5212.74144	5207.22971	5201.71799	5196.20626	5190.69453	5182.14001	5176.62828	5171.11655	5165.60482	5160.09309
1772034898	XAUUSD	M5	5194.50	5213.29140	5207.77906	5202.26671	5196.75437	5191.24202	5182.74088	5177.22854	5171.71619	5166.20385	5160.69150
1772035198	XAUUSD	M5	5194.37	5213.94455	5208.41721	5202.88986	5197.36251	5191.83517	5183.43695	5177.90961	5172.38226	5166.85492	5161.32757
1772035498	XAUUSD	M5	5191.37	5214.46529	5208.94079	5203.41628	5197.89178	5192.36727	5184.11830	5178.59379	5173.06929	5167.54478	5162.02027
1772035798	XAUUSD	M5	5192.52	5214.98859	5209.45606	5203.92353	5198.39100	5192.85847	5184.75925	5179.22672	5173.69419	5168.16165	5162.62912
1772036098	XAUUSD	M5	5197.05	5215.55009	5210.00170	5204.45330	5198.90491	5193.35651	5185.40821	5179.85982	5174.31142	5168.76303	5163.21463
1772036398	XAUUSD	M5	5205.29	5216.01649	5210.52618	5205.03587	5199.54556	5194.05525	5186.18267	5180.69236	5175.20205	5169.71174	5164.22143
1772036698	XAUUSD	M5	5203.22	5216.77401	5211.30302	5205.83204	5200.36105	5194.89006	5187.13384	5181.66285	5176.19186	5170.72088	5165.24989
1772036998	XAUUSD	M5	5206.56	5217.64591	5212.18801	5206.73011	5201.27221	5195.81430	5188.13918	5182.68128	5177.22337	5171.76547	5166.30757
1772037298	XAUUSD	M5	5203.39	5218.62461	5213.16646	5207.70831	5202.25017	5196.79202	5189.24389	5183.78574	5178.32759	5172.86944	5167.41129
1772037598	XAUUSD	M5	5207.51	5219.64681	5214.18434	5208.72187	5203.25940	5197.79693	5190.41946	5184.95699	5179.49452	5174.03205	5168.56958
1772037898	XAUUSD	M5	5208.18	5220.82450	5215.35808	5209.89166	5204.42524	5198.95882	5191.70311	5186.23669	5180.77027	5175.30385	5169.83743
1772038198	XAUUSD	M5	5211.95	5222.00483	5216.54656	5211.08829	5205.63002	5200.17175	5193.05573	5187.59746	5182.13919	5176.68092	5171.22265
1772038498	XAUUSD	M5	5212.31	5223.11559	5217.68714	5212.25868	5206.83022	5201.40177	5194.49288	5189.06442	5183.63597	5178.20751	5172.77905
1772038798	XAUUSD	M5	5210.09	5224.24289	5218.83561	5213.42833	5208.02104	5202.61376	5195.90747	5190.50018	5185.09290	5179.68562	5174.27833
1772039098	XAUUSD	M5	5214.69	5225.51980	5220.10121	5214.68263	5209.26405	5203.84547	5197.27028	5191.85170	5186.43312	5181.01454	5175.59596
1772039398	XAUUSD	M5	5215.17	5226.75662	5221.35050	5215.94439	5210.53828	5205.13217	5198.72666	5193.32055	5187.91444	5182.50833	5177.10222
1772039698	XAUUSD	M5	5214.53	5227.96371	5222.56513	5217.16655	5211.76797	5206.36939	5200.16395	5194.76537	5189.36679	5183.96821	5178.56963
1772039998	XAUUSD	M5	5213.27	5229.08788	5223.70443	5218.32097	5212.93751	5207.55406	5201.53979	5196.15634	5190.77288	5185.38942	5180.00597
1772040298	XAUUSD	M5	5213.10	5230.14866	5224.78249	5219.41631	5214.05014	5208.68397	5202.86301	5197.49684	5192.13066	5186.76449	5181.39832
1772040598	XAUUSD	M5	5211.85	5231.17387	5225.80813	5220.44239	5215.07665	5209.71091	5204.08944	5198.72370	5193.35796	5187.99222	5182.62648
1772040898	XAUUSD	M5	5213.17	5231.96275	5226.62664	5221.29053	5215.95442	5210.61831	5205.20264	5199.86653	5194.53042	5189.19431	5183.85820
1772041198	XAUUSD	M5	5208.33	5232.69089	5227.37564	5222.06039	5216.74515	5211.42990	5206.15689	5200.84164	5195.52639	5190.21115	5184.89590
1772041498	XAUUSD	M5	5206.71	5233.30217	5227.98513	5222.66809	5217.35106	5212.03402	5206.88212	5201.56508	5196.24805	5190.93101	5185.61397
1772041798	XAUUSD	M5	5206.32	5233.83830	5228.50891	5223.17953	5217.85015	5212.52077	5207.44226	5202.11288	5196.78350	5191.45411	5186.12473
1772042098	XAUUSD	M5	5206.82	5234.19234	5228.85573	5223.51913	5218.18252	5212.84592	5207.83652	5202.49991	5197.16331	5191.82670	5186.49010
1772042398	XAUUSD	M5	5207.40	5234.33374	5229.00893	5223.68411	5218.35930	5213.03448	5208.19094	5202.86612	5197.54131	5192.21649	5186.89168
1772042698	XAUUSD	M5	5207.07	5234.36034	5229.05114	5223.74194	5218.43275	5213.12355	5208.51261	5203.20341	5197.89422	5192.58502	5187.27582
1772042998	XAUUSD	M5	5206.89	5234.32212	5229.02360	5223.72508	5218.42656	5213.12804	5208.79468	5203.49617	5198.19765	5192.89913	5187.60061
1772043298	XAUUSD	M5	5206.80	5234.17300	5228.89874	5223.62448	5218.35022	5213.07596	5209.04060	5203.76634	5198.49208	5193.21782	5187.94356
1772043598	XAUUSD	M5	5206.77	5234.05875	5228.78980	5223.52085	5218.25190	5212.98295	5209.25429	5203.98534	5198.71639	5193.44744	5188.17848
1772043898	XAUUSD	M5	5206.80	5233.85123	5228.60216	5223.35309	5218.10401	5212.85494	5209.43637	5204.18730	5198.93822	5193.68915	5188.44008
1772044198	XAUUSD	M5	5206.80	5233.57972	5228.36213	5223.14454	5217.92694	5212.70935	5209.59307	5204.37548	5199.15789	5193.94029	5188.72270
1772044498	XAUUSD	M5	5206.39	5233.31397	5228.12051	5222.92706	5217.73360	5212.54014	5209.70402	5204.51056	5199.31711	5194.12365	5188.93019
1772044798	XAUUSD	M5	5205.13	5233.09449	5227.90850	5222.72251	5217.53653	5212.35054	5209.75497	5204.56898	5199.38299	5194.19700	5189.01101
1772045098	XAUUSD	M5	5200.95	5232.81923	5227.64380	5222.46837	5217.29294	5212.11751	5209.65254	5204.47710	5199.30167	5194.12624	5188.95081
