timestamp	symbol	timeframe	close	ha_open	ha_high	ha_low	ha_close	ha_color	ha_body_size	ha_body_zscore	ha_trend
1772024998	XAUUSD	M5	5187.20	5185.05	5189.22	5185.05	5187.59	1	2.54	-0.27754	1
1772025298	XAUUSD	M5	5187.00	5186.32	5189.54	5185.97	5187.43	1	1.11	-0.74682	2
1772025598	XAUUSD	M5	5191.13	5186.88	5191.47	5186.14	5188.89	1	2.01	-0.44040	3
1772025898	XAUUSD	M5	5188.07	5187.88	5191.36	5186.93	5189.38	1	1.49	-0.61721	4
1772026198	XAUUSD	M5	5188.16	5188.63	5190.35	5186.62	5188.30	-1	0.33	-1.00918	-1
1772026498	XAUUSD	M5	5189.61	5188.46	5190.35	5187.73	5188.96	1	0.50	-0.94748	1
1772026798	XAUUSD	M5	5186.84	5188.71	5191.33	5182.03	5187.53	-1	1.18	-0.71688	-1
1772027098	XAUUSD	M5	5186.59	5188.12	5191.12	5185.65	5187.62	-1	0.50	-0.94268	-2
1772027398	XAUUSD	M5	5186.07	5187.87	5187.87	5184.30	5186.20	-1	1.67	-0.54678	-3
1772027698	XAUUSD	M5	5185.23	5187.04	5188.50	5184.76	5186.13	-1	0.91	-0.79817	-4
1772027998	XAUUSD	M5	5187.18	5186.59	5187.34	5183.76	5185.88	-1	0.71	-0.86053	-5
1772028298	XAUUSD	M5	5189.99	5186.23	5191.07	5186.23	5188.76	1	2.53	-0.24864	1
1772028598	XAUUSD	M5	5185.44	5187.50	5190.31	5183.69	5187.38	-1	0.12	-1.05298	-1
1772028898	XAUUSD	M5	5182.68	5187.44	5187.44	5182.03	5184.02	-1	3.41	0.04956	-2
1772029198	XAUUSD	M5	5181.49	5185.73	5185.73	5179.91	5182.35	-1	3.38	0.03677	-3
1772029498	XAUUSD	M5	5177.91	5184.04	5184.04	5174.89	5179.24	-1	4.80	0.50934	-4
1772029798	XAUUSD	M5	5174.14	5181.64	5181.64	5172.20	5176.32	-1	5.32	0.67856	-5
1772030098	XAUUSD	M5	5159.73	5178.98	5178.98	5158.94	5167.17	-1	11.81	2.84361	-6
1772030398	XAUUSD	M5	5174.91	5173.08	5176.28	5159.65	5167.75	-1	5.32	0.68060	-7
1772030698	XAUUSD	M5	5181.79	5170.41	5181.86	5170.41	5178.33	1	7.91	1.56030	1
1772030998	XAUUSD	M5	5188.55	5174.37	5189.06	5174.37	5184.82	1	10.45	2.43284	2
1772031298	XAUUSD	M5	5191.25	5179.60	5193.27	5179.60	5190.23	1	10.63	2.50399	3
1772031598	XAUUSD	M5	5198.64	5184.92	5201.38	5184.92	5195.48	1	10.56	2.50062	4
1772031898	XAUUSD	M5	5195.89	5190.20	5202.61	5190.20	5198.16	1	7.96	1.59393	5
1772032198	XAUUSD	M5	5193.17	5194.18	5196.22	5190.40	5193.97	-1	0.21	-1.05150	-1
1772032498	XAUUSD	M5	5188.97	5194.07	5195.68	5188.40	5191.56	-1	2.52	-0.24587	-2
1772032798	XAUUSD	M5	5185.46	5192.81	5192.81	5183.87	5187.41	-1	5.40	0.76215	-3
1772033098	XAUUSD	M5	5180.33	5190.11	5190.11	5174.10	5181.79	-1	8.32	1.77739	-4
1772033398	XAUUSD	M5	5181.68	5185.95	5185.95	5172.47	5179.12	-1	6.84	1.25053	-5
1772033698	XAUUSD	M5	5187.95	5182.53	5189.50	5181.18	5185.02	1	2.49	-0.26141	1
1772033998	XAUUSD	M5	5191.00	5183.78	5193.07	5183.78	5189.72	1	5.94	0.99686	2
1772034298	XAUUSD	M5	5197.90	5186.75	5198.34	5186.75	5193.50	1	6.75	1.28922	3
1772034598	XAUUSD	M5	5195.48	5190.13	5198.00	5190.13	5196.01	1	5.88	0.96677	4
1772034898	XAUUSD	M5	5194.50	5193.07	5198.06	5193.07	5195.30	1	2.24	-0.35488	5
1772035198	XAUUSD	M5	5194.37	5194.18	5198.45	5193.09	5195.18	1	1.00	-0.79896	6
1772035498	XAUUSD	M5	5191.37	5194.68	5195.31	5190.48	5192.88	-1	1.80	-0.50527	-1
1772035798	XAUUSD	M5	5192.52	5193.78	5195.83	5189.86	5192.38	-1	1.40	-0.64656	-2
1772036098	XAUUSD	M5	5197.05	5193.08	5197.64	5191.81	5194.78	1	1.70	-0.53352	1
1772036398	XAUUSD	M5	5205.29	5193.93	5205.75	5193.93	5201.28	1	7.35	1.51763	2
1772036698	XAUUSD	M5	5203.22	5197.61	5206.19	5197.61	5203.97	1	6.36	1.14912	3
1772036998	XAUUSD	M5	5206.56	5200.79	5206.68	5199.27	5203.85	1	3.07	-0.04417	4
1772037298	XAUUSD	M5	5203.39	5202.32	5207.11	5202.32	5204.90	1	2.58	-0.21844	5
1772037598	XAUUSD	M5	5207.51	5203.61	5207.54	5203.50	5205.51	1	1.90	-0.45942	6
1772037898	XAUUSD	M5	5208.18	5204.56	5213.80	5204.56	5209.05	1	4.49	0.48544	7
1772038198	XAUUSD	M5	5211.95	5206.81	5212.49	5206.81	5210.06	1	3.25	0.03072	8
1772038498	XAUUSD	M5	5212.31	5208.43	5212.79	5208.43	5211.80	1	3.37	0.06977	9
1772038798	XAUUSD	M5	5210.09	5210.12	5212.66	5208.17	5210.86	1	0.74	-0.88686	10
1772039098	XAUUSD	M5	5214.69	5210.49	5214.96	5207.95	5211.93	1	1.45	-0.62745	11
1772039398	XAUUSD	M5	5215.17	5211.21	5217.63	5211.21	5215.39	1	4.18	0.36726	12
1772039698	XAUUSD	M5	5214.53	5213.30	5215.29	5212.12	5214.31	1	1.01	-0.78982	13
1772039998	XAUUSD	M5	5213.27	5213.80	5215.65	5211.46	5213.72	-1	0.08	-1.12090	-1
1772040298	XAUUSD	M5	5213.10	5213.76	5215.97	5212.26	5213.69	-1	0.08	-1.11736	-2
1772040598	XAUUSD	M5	5211.85	5213.72	5214.42	5211.05	5212.60	-1	1.12	-0.73458	-3
1772040898	XAUUSD	M5	5213.17	5213.16	5213.46	5210.33	5212.21	-1	0.96	-0.79362	-4
1772041198	XAUUSD	M5	5208.33	5212.69	5213.79	5208.18	5210.87	-1	1.82	-0.47781	-5
1772041498	XAUUSD	M5	5206.71	5211.78	5211.78	5204.41	5207.23	-1	4.54	0.50893	-6
1772041798	XAUUSD	M5	5206.32	5209.51	5210.67	5204.88	5207.18	-1	2.33	-0.28958	-7
1772042098	XAUUSD	M5	5206.82	5208.34	5208.34	5203.44	5206.16	-1	2.18	-0.34537	-8
1772042398	XAUUSD	M5	5207.40	5207.25	5207.45	5206.83	5207.13	-1	0.12	-1.08705	-9
