timestamp	symbol	timeframe	close	zigzag_high	zigzag_low	ema
1772024998	XAUUSD	M5	5187.20	0.00	0.00	5181.08
1772025298	XAUUSD	M5	5187.00	0.00	0.00	5181.54
1772025598	XAUUSD	M5	5191.13	5191.47	0.00	5182.12
1772025898	XAUUSD	M5	5188.07	0.00	0.00	5182.59
1772026198	XAUUSD	M5	5188.16	0.00	0.00	5183.00
1772026498	XAUUSD	M5	5189.61	0.00	0.00	5183.45
1772026798	XAUUSD	M5	5186.84	0.00	0.00	5183.68
1772027098	XAUUSD	M5	5186.59	0.00	0.00	5183.98
1772027398	XAUUSD	M5	5186.07	0.00	0.00	5184.12
1772027698	XAUUSD	M5	5185.23	0.00	0.00	5184.26
1772027998	XAUUSD	M5	5187.18	0.00	0.00	5184.39
1772028298	XAUUSD	M5	5189.99	0.00	0.00	5184.74
1772028598	XAUUSD	M5	5185.44	0.00	0.00	5184.87
1772028898	XAUUSD	M5	5182.68	0.00	0.00	5184.77
1772029198	XAUUSD	M5	5181.49	0.00	0.00	5184.59
1772029498	XAUUSD	M5	5177.91	0.00	0.00	5184.15
1772029798	XAUUSD	M5	5174.14	0.00	0.00	5183.56
1772030098	XAUUSD	M5	5159.73	0.00	5158.94	5182.22
1772030398	XAUUSD	M5	5174.91	0.00	0.00	5181.37
1772030698	XAUUSD	M5	5181.79	0.00	0.00	5181.23
1772030998	XAUUSD	M5	5188.55	0.00	0.00	5181.56
1772031298	XAUUSD	M5	5191.25	0.00	0.00	5182.22
1772031598	XAUUSD	M5	5198.64	0.00	0.00	5183.27
1772031898	XAUUSD	M5	5195.89	0.00	0.00	5184.32
1772032198	XAUUSD	M5	5193.17	0.00	0.00	5184.96
1772032498	XAUUSD	M5	5188.97	0.00	0.00	5185.39
1772032798	XAUUSD	M5	5185.46	0.00	0.00	5185.50
1772033098	XAUUSD	M5	5180.33	0.00	0.00	5185.14
1772033398	XAUUSD	M5	5181.68	0.00	0.00	5184.71
1772033698	XAUUSD	M5	5187.95	0.00	0.00	5184.81
1772033998	XAUUSD	M5	5191.00	0.00	0.00	5185.21
1772034298	XAUUSD	M5	5197.90	0.00	0.00	5185.86
1772034598	XAUUSD	M5	5195.48	0.00	0.00	5186.54
1772034898	XAUUSD	M5	5194.50	0.00	0.00	5187.17
1772035198	XAUUSD	M5	5194.37	0.00	0.00	5187.75
1772035498	XAUUSD	M5	5191.37	0.00	0.00	5188.08
1772035798	XAUUSD	M5	5192.52	0.00	0.00	5188.41
1772036098	XAUUSD	M5	5197.05	0.00	0.00	5188.92
1772036398	XAUUSD	M5	5205.29	0.00	0.00	5189.90
1772036698	XAUUSD	M5	5203.22	0.00	0.00	5190.87
1772036998	XAUUSD	M5	5206.56	0.00	0.00	5191.82
1772037298	XAUUSD	M5	5203.39	0.00	0.00	5192.72
1772037598	XAUUSD	M5	5207.51	0.00	0.00	5193.68
1772037898	XAUUSD	M5	5208.18	0.00	0.00	5194.82
1772038198	XAUUSD	M5	5211.95	0.00	0.00	5195.95
1772038498	XAUUSD	M5	5212.31	0.00	0.00	5197.08
1772038798	XAUUSD	M5	5210.09	0.00	0.00	5198.02
1772039098	XAUUSD	M5	5214.69	0.00	0.00	5199.06
1772039398	XAUUSD	M5	5215.17	5217.63	0.00	5200.25
1772039698	XAUUSD	M5	5214.53	0.00	0.00	5201.23
1772039998	XAUUSD	M5	5213.27	0.00	0.00	5202.10
1772040298	XAUUSD	M5	5213.10	0.00	0.00	5202.93
1772040598	XAUUSD	M5	5211.85	0.00	0.00	5203.61
1772040898	XAUUSD	M5	5213.17	0.00	0.00	5204.24
1772041198	XAUUSD	M5	5208.33	0.00	0.00	5204.65
1772041498	XAUUSD	M5	5206.71	0.00	0.00	5204.80
1772041798	XAUUSD	M5	5206.32	0.00	0.00	5204.98
1772042098	XAUUSD	M5	5206.82	0.00	0.00	5205.06
1772042398	XAUUSD	M5	5207.40	0.00	0.00	5205.21
1772042698	XAUUSD	M5	5207.07	0.00	0.00	5205.36
1772042998	XAUUSD	M5	5206.89	0.00	0.00	5205.47
1772043298	XAUUSD	M5	5206.80	0.00	0.00	5205.57
1772043598	XAUUSD	M5	5206.77	0.00	0.00	5205.67
1772043898	XAUUSD	M5	5206.80	0.00	0.00	5205.75
1772044198	XAUUSD	M5	5206.80	0.00	0.00	5205.84
1772044498	XAUUSD	M5	5206.39	0.00	0.00	5205.87
1772044798	XAUUSD	M5	5205.13	0.00	0.00	5205.85
1772045098	XAUUSD	M5	5200.95	0.00	0.00	5205.60
1772045398	XAUUSD	M5	5202.58	0.00	0.00	5205.38
1772045698	XAUUSD	M5	5202.12	0.00	0.00	5205.16
1772045998	XAUUSD	M5	5200.91	0.00	0.00	5204.90
1772046298	XAUUSD	M5	5194.29	0.00	5194.07	5204.30
1772046598	XAUUSD	M5	5207.04	0.00	0.00	5204.15
1772046898	XAUUSD	M5	5200.55	0.00	0.00	5204.05
1772047198	XAUUSD	M5	5197.32	0.00	0.00	5203.57
1772047498	XAUUSD	M5	5202.59	0.00	0.00	5203.30
1772047798	XAUUSD	M5	5202.51	0.00	0.00	5203.23
1772048098	XAUUSD	M5	5201.00	0.00	0.00	5203.19
1772048398	XAUUSD	M5	5204.32	0.00	0.00	5203.20
1772048698	XAUUSD	M5	5205.00	0.00	0.00	5203.28
1772048998	XAUUSD	M5	5204.97	5208.32	0.00	5203.38
1772049298	XAUUSD	M5	5204.87	0.00	0.00	5203.52
1772049598	XAUUSD	M5	5201.76	0.00	0.00	5203.36
1772049898	XAUUSD	M5	5202.46	0.00	0.00	5203.34
1772050198	XAUUSD	M5	5195.27	0.00	0.00	5203.02
1772050498	XAUUSD	M5	5184.80	0.00	0.00	5201.96
1772050798	XAUUSD	M5	5189.00	0.00	0.00	5200.90
1772051098	XAUUSD	M5	5186.11	0.00	0.00	5200.01
1772051398	XAUUSD	M5	5188.12	0.00	0.00	5199.04
1772051698	XAUUSD	M5	5183.41	0.00	0.00	5197.99
1772051998	XAUUSD	M5	5181.48	0.00	0.00	5196.78
1772052298	XAUUSD	M5	5173.57	0.00	0.00	5195.16
1772052598	XAUUSD	M5	5178.01	0.00	0.00	5193.86
1772052898	XAUUSD	M5	5152.16	0.00	5145.45	5191.33
1772053198	XAUUSD	M5	5156.08	0.00	0.00	5188.78
1772053498	XAUUSD	M5	5163.03	0.00	0.00	5186.78
1772053798	XAUUSD	M5	5161.84	0.00	0.00	5185.00
1772054098	XAUUSD	M5	5165.38	0.00	0.00	5183.68
1772054398	XAUUSD	M5	5169.17	0.00	0.00	5182.57
