timestamp	symbol	timeframe	close	horiz_peak_line_1	horiz_bottom_line_1	horiz_high_map	horiz_low_map
1775010000	XAUUSD	M5	4686.90				
1775010300	XAUUSD	M5	4688.18				
1775010600	XAUUSD	M5	4685.35				
1775010900	XAUUSD	M5	4680.31				
1775011200	XAUUSD	M5	4681.68				
1775011500	XAUUSD	M5	4680.05				
1775011800	XAUUSD	M5	4687.52				
1775012100	XAUUSD	M5	4685.14				
1775012400	XAUUSD	M5	4685.12				
1775012700	XAUUSD	M5	4687.51				
1775013000	XAUUSD	M5	4689.51				
1775013300	XAUUSD	M5	4690.38				
1775013600	XAUUSD	M5	4690.05				
1775013900	XAUUSD	M5	4687.79				
1775014200	XAUUSD	M5	4687.90				
1775014500	XAUUSD	M5	4688.36				
1775014800	XAUUSD	M5	4687.12				
1775015100	XAUUSD	M5	4684.55				
1775015400	XAUUSD	M5	4683.38				
1775015700	XAUUSD	M5	4681.92				
1775016000	XAUUSD	M5	4676.82				
1775016300	XAUUSD	M5	4674.89				
1775016600	XAUUSD	M5	4673.77				
1775016900	XAUUSD	M5	4668.80		4666.96		4666.96
1775017200	XAUUSD	M5	4672.66		4666.91		
1775017500	XAUUSD	M5	4672.56		4666.86		
1775017800	XAUUSD	M5	4672.16		4666.82		
1775018100	XAUUSD	M5	4675.58		4666.77		
1775018400	XAUUSD	M5	4676.94		4666.72		
1775018700	XAUUSD	M5	4677.86		4666.67		
1775019000	XAUUSD	M5	4676.93		4666.63		
1775019300	XAUUSD	M5	4676.71		4666.58		
1775019600	XAUUSD	M5	4676.19		4666.53		
1775019900	XAUUSD	M5	4680.78		4666.48		
1775020200	XAUUSD	M5	4682.72		4666.43		
1775020500	XAUUSD	M5	4685.83		4666.39		
1775020800	XAUUSD	M5	4684.61		4666.34		
1775021100	XAUUSD	M5	4686.41		4666.29		
1775021400	XAUUSD	M5	4693.35		4666.24		
1775021700	XAUUSD	M5	4700.87		4666.20		
1775022000	XAUUSD	M5	4702.30		4666.15		
1775022300	XAUUSD	M5	4699.53		4666.10		
1775022600	XAUUSD	M5	4695.53		4666.05		
1775022900	XAUUSD	M5	4684.58		4666.00		
1775023200	XAUUSD	M5	4685.15		4665.96		
1775023500	XAUUSD	M5	4686.71		4665.91		
1775023800	XAUUSD	M5	4697.42		4665.86		
1775024100	XAUUSD	M5	4696.07		4665.81		
1775024400	XAUUSD	M5	4709.41		4665.77		
1775024700	XAUUSD	M5	4709.46		4665.72		
1775025000	XAUUSD	M5	4709.25		4665.67		
1775025300	XAUUSD	M5	4702.61		4665.62		
1775025600	XAUUSD	M5	4708.76		4665.57		
1775025900	XAUUSD	M5	4723.95		4665.53		
1775026200	XAUUSD	M5	4726.84		4665.48		
1775026500	XAUUSD	M5	4730.68		4665.43		
1775026800	XAUUSD	M5	4722.60		4665.38		
1775027100	XAUUSD	M5	4721.04		4665.34		
1775027400	XAUUSD	M5	4715.35		4665.29		
1775027700	XAUUSD	M5	4716.30		4665.24		
1775028000	XAUUSD	M5	4719.81		4665.19		
1775028300	XAUUSD	M5	4723.23		4665.14		
1775028600	XAUUSD	M5	4731.36		4665.10		
1775028900	XAUUSD	M5	4742.09	4747.70	4665.05	4747.70	
1775029200	XAUUSD	M5	4730.74	4747.54	4665.00		
1775029500	XAUUSD	M5	4722.55	4747.38	4664.95		
1775029800	XAUUSD	M5	4713.55	4747.22	4664.91		
1775030100	XAUUSD	M5	4713.02	4747.07	4664.86		
1775030400	XAUUSD	M5	4721.29	4746.91	4664.81		
1775030700	XAUUSD	M5	4720.08	4746.75	4664.76		
1775031000	XAUUSD	M5	4719.05	4746.59	4664.71		
1775031300	XAUUSD	M5	4727.43	4746.43	4664.67		
1775031600	XAUUSD	M5	4728.59	4746.27	4664.62		
1775031900	XAUUSD	M5	4730.84	4746.11	4664.57		
1775032200	XAUUSD	M5	4732.72	4745.96	4664.52		
1775032500	XAUUSD	M5	4738.01	4745.80	4664.48		
1775032800	XAUUSD	M5	4731.85	4745.64	4664.43		
1775033100	XAUUSD	M5	4731.42	4745.48	4664.38		
1775033400	XAUUSD	M5	4730.35	4745.32	4664.33		
1775033700	XAUUSD	M5	4728.68	4745.16	4664.29		
1775034000	XAUUSD	M5	4726.20	4745.00	4664.24		
1775034300	XAUUSD	M5	4720.43	4744.84	4664.19		
