Best_Fit_timestamp	Best_Fit_symbol	Best_Fit_timeframe	Best_Fit_close	Best_Fit_Base_FL	Best_Fit_UOEDT	Best_Fit_LOEDT	Best_Fit_horiz_high_map	Best_Fit_horiz_low_map	Best_Fit_ssa	Best_Fit_ema_ssa	Best_Fit_crossing
1779870003	XAUUSD	M5	4490.74						4490.65135	4490.65135	0
1779870303	XAUUSD	M5	4489.19						4491.52051	4491.08593	1
1779870603	XAUUSD	M5	4488.55						4492.70096	4491.89344	0
1779870903	XAUUSD	M5	4492.80						4493.92340	4492.90842	0
1779871203	XAUUSD	M5	4496.24						4494.74910	4493.82876	0
1779871503	XAUUSD	M5	4496.54						4495.04366	4494.43621	0
1779871803	XAUUSD	M5	4498.22				4498.67000		4494.95549	4494.69585	0
1779872103	XAUUSD	M5	4497.81						4494.54525	4494.62055	1
1779872403	XAUUSD	M5	4491.93						4493.95040	4494.28547	0
1779872703	XAUUSD	M5	4489.51						4493.43229	4493.85888	0
1779873003	XAUUSD	M5	4491.78						4492.97975	4493.41931	0
1779873303	XAUUSD	M5	4494.69						4492.43173	4492.92552	0
1779873603	XAUUSD	M5	4491.05						4491.70557	4492.31554	0
1779873903	XAUUSD	M5	4490.14						4490.97252	4491.64403	0
1779874203	XAUUSD	M5	4490.58						4490.34163	4490.99283	0
1779874503	XAUUSD	M5	4491.26						4489.85998	4490.42641	0
1779874803	XAUUSD	M5	4488.65						4489.56483	4489.99562	0
1779875103	XAUUSD	M5	4489.58						4489.50443	4489.75003	0
1779875403	XAUUSD	M5	4492.61						4489.52120	4489.63561	0
1779875703	XAUUSD	M5	4490.13						4489.37279	4489.50420	0
1779876003	XAUUSD	M5	4486.50						4488.88138	4489.19279	0
1779876303	XAUUSD	M5	4487.16						4487.86123	4488.52701	0
1779876603	XAUUSD	M5	4485.50						4486.03923	4487.28312	0
1779876903	XAUUSD	M5	4479.73						4483.26463	4485.27388	0
1779877203	XAUUSD	M5	4479.90						4479.55048	4482.41218	0
1779877503	XAUUSD	M5	4476.95						4474.95473	4478.68345	0
1779877803	XAUUSD	M5	4473.89						4469.74792	4474.21569	0
1779878103	XAUUSD	M5	4463.78						4464.32280	4469.26924	0
1779878403	XAUUSD	M5	4465.98						4459.23180	4464.25052	0
1779878703	XAUUSD	M5	4448.63						4454.80961	4459.53007	0
1779879003	XAUUSD	M5	4444.87						4451.26309	4455.39658	0
1779879303	XAUUSD	M5	4445.77						4449.03091	4452.21374	0
1779879603	XAUUSD	M5	4452.48						4447.97576	4450.09475	0
1779879903	XAUUSD	M5	4449.60						4447.59333	4448.84404	0
1779880203	XAUUSD	M5	4451.27						4447.52282	4448.18343	0
1779880503	XAUUSD	M5	4449.57						4447.27214	4447.72778	0
1779880803	XAUUSD	M5	4445.64						4446.50322	4447.11550	0
1779881103	XAUUSD	M5	4440.92						4445.06652	4446.09101	0
1779881403	XAUUSD	M5	4436.93						4443.01080	4444.55091	0
1779881703	XAUUSD	M5	4441.13						4440.53948	4442.54519	0
1779882003	XAUUSD	M5	4443.16						4437.81887	4440.18203	0
1779882303	XAUUSD	M5	4439.14						4435.18971	4437.68587	0
1779882603	XAUUSD	M5	4433.59						4433.20201	4435.44394	0
1779882903	XAUUSD	M5	4428.63						4432.42389	4433.93391	0
1779883203	XAUUSD	M5	4434.51						4433.23880	4433.58636	0
1779883503	XAUUSD	M5	4433.28						4435.53531	4434.56083	1
1779883803	XAUUSD	M5	4430.51						4439.09877	4436.82980	0
1779884103	XAUUSD	M5	4447.69						4443.51789	4440.17385	0
1779884403	XAUUSD	M5	4454.63				4466.28000		4447.74313	4443.95849	0
1779884703	XAUUSD	M5	4454.81						4450.94201	4447.45025	0
1779885003	XAUUSD	M5	4447.40						4452.57930	4450.01478	0
1779885303	XAUUSD	M5	4452.09						4452.48827	4451.25152	0
1779885603	XAUUSD	M5	4447.17						4450.43750	4450.84451	1
1779885903	XAUUSD	M5	4445.18						4446.64035	4448.74243	0
1779886203	XAUUSD	M5	4446.44						4441.44176	4445.09210	0
1779886503	XAUUSD	M5	4438.94						4435.23880	4440.16545	0
1779886803	XAUUSD	M5	4432.24						4428.72380	4434.44462	0
1779887103	XAUUSD	M5	4414.23						4422.58075	4428.51269	0
1779887403	XAUUSD	M5	4416.68						4417.68654	4423.09962	0
1779887703	XAUUSD	M5	4411.39						4414.26312	4418.68137	0
1779888003	XAUUSD	M5	4416.87						4412.55504	4415.61820	0
1779888303	XAUUSD	M5	4404.89					4401.50000	4412.37422	4413.99621	0
1779888603	XAUUSD	M5	4423.99						4413.83124	4413.91373	0
1779888903	XAUUSD	M5	4418.31						4416.23544	4415.07458	1
1779889203	XAUUSD	M5	4419.31						4419.51508	4417.29483	0
1779889503	XAUUSD	M5	4420.35						4423.46437	4420.37960	0
1779889803	XAUUSD	M5	4425.32						4427.90036	4424.13998	0
1779890103	XAUUSD	M5	4427.36						4432.53743	4428.33870	0
1779890403	XAUUSD	M5	4438.16						4437.13021	4432.73445	0
1779890703	XAUUSD	M5	4444.12						4441.19876	4436.96661	0
