Cherry_A_timestamp	Cherry_A_symbol	Cherry_A_timeframe	Cherry_A_close	Cherry_A_Base_FL	Cherry_A_UOEDT	Cherry_A_LOEDT	Cherry_A_horiz_high_map	Cherry_A_horiz_low_map	Cherry_A_ssa	Cherry_A_ema_ssa	Cherry_A_crossing
1779870003	XAUUSD	M5	4490.74						4490.65155	4490.65155	0
1779870303	XAUUSD	M5	4489.19						4491.52064	4491.08610	1
1779870603	XAUUSD	M5	4488.55						4492.70096	4491.89353	0
1779870903	XAUUSD	M5	4492.80						4493.92332	4492.90842	0
1779871203	XAUUSD	M5	4496.24						4494.74904	4493.82873	0
1779871503	XAUUSD	M5	4496.54						4495.04364	4494.43618	0
1779871803	XAUUSD	M5	4498.22				4498.67000		4494.95551	4494.69585	0
1779872103	XAUUSD	M5	4497.81						4494.54529	4494.62057	1
1779872403	XAUUSD	M5	4491.93						4493.95044	4494.28550	0
1779872703	XAUUSD	M5	4489.51						4493.43230	4493.85890	0
1779873003	XAUUSD	M5	4491.78						4492.97974	4493.41932	0
1779873303	XAUUSD	M5	4494.69						4492.43172	4492.92552	0
1779873603	XAUUSD	M5	4491.05						4491.70555	4492.31553	0
1779873903	XAUUSD	M5	4490.14						4490.97251	4491.64402	0
1779874203	XAUUSD	M5	4490.58						4490.34164	4490.99283	0
1779874503	XAUUSD	M5	4491.26						4489.86000	4490.42641	0
1779874803	XAUUSD	M5	4488.65						4489.56484	4489.99563	0
1779875103	XAUUSD	M5	4489.58						4489.50442	4489.75002	0
1779875403	XAUUSD	M5	4492.61						4489.52118	4489.63560	0
1779875703	XAUUSD	M5	4490.13						4489.37278	4489.50419	0
1779876003	XAUUSD	M5	4486.50						4488.88138	4489.19278	0
1779876303	XAUUSD	M5	4487.16						4487.86125	4488.52702	0
1779876603	XAUUSD	M5	4485.50						4486.03925	4487.28314	0
1779876903	XAUUSD	M5	4479.73						4483.26465	4485.27389	0
1779877203	XAUUSD	M5	4479.90						4479.55048	4482.41219	0
1779877503	XAUUSD	M5	4476.95						4474.95471	4478.68345	0
1779877803	XAUUSD	M5	4473.89						4469.74789	4474.21567	0
1779878103	XAUUSD	M5	4463.78						4464.32277	4469.26922	0
1779878403	XAUUSD	M5	4465.98						4459.23179	4464.25051	0
1779878703	XAUUSD	M5	4448.63						4454.80962	4459.53006	0
1779879003	XAUUSD	M5	4444.87						4451.26310	4455.39658	0
1779879303	XAUUSD	M5	4445.77						4449.03091	4452.21374	0
1779879603	XAUUSD	M5	4452.48						4447.97575	4450.09475	0
1779879903	XAUUSD	M5	4449.60						4447.59332	4448.84404	0
1779880203	XAUUSD	M5	4451.27						4447.52282	4448.18343	0
1779880503	XAUUSD	M5	4449.57						4447.27215	4447.72779	0
1779880803	XAUUSD	M5	4445.64						4446.50326	4447.11553	0
1779881103	XAUUSD	M5	4440.92						4445.06656	4446.09105	0
1779881403	XAUUSD	M5	4436.93						4443.01083	4444.55094	0
1779881703	XAUUSD	M5	4441.13						4440.53949	4442.54521	0
1779882003	XAUUSD	M5	4443.16						4437.81886	4440.18203	0
1779882303	XAUUSD	M5	4439.14						4435.18968	4437.68586	0
1779882603	XAUUSD	M5	4433.59						4433.20199	4435.44392	0
1779882903	XAUUSD	M5	4428.63						4432.42388	4433.93390	0
1779883203	XAUUSD	M5	4434.51						4433.23880	4433.58635	0
1779883503	XAUUSD	M5	4433.28						4435.53530	4434.56083	1
1779883803	XAUUSD	M5	4430.51						4439.09875	4436.82979	0
1779884103	XAUUSD	M5	4447.69						4443.51786	4440.17383	0
1779884403	XAUUSD	M5	4454.63				4466.28000		4447.74310	4443.95846	0
1779884703	XAUUSD	M5	4454.81						4450.94200	4447.45023	0
1779885003	XAUUSD	M5	4447.40						4452.57931	4450.01477	0
1779885303	XAUUSD	M5	4452.09						4452.48830	4451.25154	0
1779885603	XAUUSD	M5	4447.17						4450.43753	4450.84453	1
1779885903	XAUUSD	M5	4445.18						4446.64037	4448.74245	0
1779886203	XAUUSD	M5	4446.44						4441.44176	4445.09211	0
1779886503	XAUUSD	M5	4438.94						4435.23878	4440.16544	0
1779886803	XAUUSD	M5	4432.24						4428.72379	4434.44461	0
1779887103	XAUUSD	M5	4414.23						4422.58074	4428.51268	0
1779887403	XAUUSD	M5	4416.68						4417.68655	4423.09961	0
1779887703	XAUUSD	M5	4411.39						4414.26313	4418.68137	0
1779888003	XAUUSD	M5	4416.87						4412.55505	4415.61821	0
1779888303	XAUUSD	M5	4404.89					4401.50000	4412.37422	4413.99621	0
1779888603	XAUUSD	M5	4423.99						4413.83122	4413.91372	0
1779888903	XAUUSD	M5	4418.31						4416.23542	4415.07457	1
1779889203	XAUUSD	M5	4419.31						4419.51508	4417.29483	0
1779889503	XAUUSD	M5	4420.35						4423.46438	4420.37960	0
1779889803	XAUUSD	M5	4425.32						4427.90038	4424.13999	0
1779890103	XAUUSD	M5	4427.36						4432.53745	4428.33872	0
1779890403	XAUUSD	M5	4438.16						4437.13022	4432.73447	0
1779890703	XAUUSD	M5	4444.12						4441.19876	4436.96661	0
1779891003	XAUUSD	M5	4447.95				4455.37000		4444.37604	4440.67133	0
1779891303	XAUUSD	M5	4451.14						4446.40917	4443.54025	0
1779891603	XAUUSD	M5	4444.30						4447.16629	4445.35327	0
1779891903	XAUUSD	M5	4445.53						4446.87000	4446.11163	0
1779892203	XAUUSD	M5	4440.93						4445.63829	4445.87496	1
1779892503	XAUUSD	M5	4444.29						4443.78117	4444.82806	0
1779892803	XAUUSD	M5	4443.19						4441.47221	4443.15013	0
1779893103	XAUUSD	M5	4438.50						4439.00223	4441.07618	0
1779893403	XAUUSD	M5	4439.80						4436.71188	4438.89403	0
1779893703	XAUUSD	M5	4434.02						4434.77369	4436.83386	0
1779894003	XAUUSD	M5	4436.27						4433.46644	4435.15015	0
1779894303	XAUUSD	M5	4429.61						4432.79434	4433.97225	0
1779894603	XAUUSD	M5	4432.11						4432.85752	4433.41488	0
1779894903	XAUUSD	M5	4430.97						4433.44559	4433.43024	1
1779895203	XAUUSD	M5	4433.57						4434.35810	4433.89417	0
1779895503	XAUUSD	M5	4435.82						4435.27897	4434.58657	0
1779895803	XAUUSD	M5	4438.72						4435.95668	4435.27162	0
1779896103	XAUUSD	M5	4440.79						4436.21962	4435.74562	0
1779896403	XAUUSD	M5	4434.11						4436.05765	4435.90163	0
1779896703	XAUUSD	M5	4432.77						4435.76260	4435.83212	1
1779897003	XAUUSD	M5	4434.24						4435.58334	4435.70773	0
1779897303	XAUUSD	M5	4436.38						4435.71341	4435.71057	1
1779897603	XAUUSD	M5	4437.59						4436.32876	4436.01966	0
1779897903	XAUUSD	M5	4436.83						4437.52911	4436.77438	0
1779898203	XAUUSD	M5	4440.17						4439.38437	4438.07938	0
1779898503	XAUUSD	M5	4441.85						4441.73676	4439.90807	0
1779898803	XAUUSD	M5	4444.19						4444.35516	4442.13162	0
1779899103	XAUUSD	M5	4446.88						4446.91302	4444.52232	0
1779899403	XAUUSD	M5	4448.39						4449.06096	4446.79164	0
1779899703	XAUUSD	M5	4449.81						4450.52698	4448.65931	0
1779900003	XAUUSD	M5	4450.77						4451.15797	4449.90864	0
1779900303	XAUUSD	M5	4452.13						4450.96257	4450.43560	0
1779900603	XAUUSD	M5	4450.79						4450.08745	4450.26153	1
1779900903	XAUUSD	M5	4450.82						4448.85637	4449.55895	0
1779901203	XAUUSD	M5	4449.24						4447.59828	4448.57861	0
1779901503	XAUUSD	M5	4443.16						4446.64969	4447.61415	0
1779901803	XAUUSD	M5	4444.13						4446.34026	4446.97721	0
1779902103	XAUUSD	M5	4446.80						4446.69237	4446.83479	0
1779902403	XAUUSD	M5	4446.63						4447.54610	4447.19044	1
1779902703	XAUUSD	M5	4449.87						4448.69935	4447.94490	0
1779903003	XAUUSD	M5	4452.09						4449.83818	4448.89154	0
1779903303	XAUUSD	M5	4451.09						4450.69537	4449.79346	0
1779903603	XAUUSD	M5	4450.59						4451.18382	4450.48864	0
1779903903	XAUUSD	M5	4450.81						4451.30379	4450.89621	0
1779904203	XAUUSD	M5	4452.88						4451.14480	4451.02050	0
1779904503	XAUUSD	M5	4450.47						4450.82547	4450.92299	1
1779904803	XAUUSD	M5	4449.60						4450.59698	4450.75998	0
1779905103	XAUUSD	M5	4448.15						4450.63491	4450.69745	0
1779905403	XAUUSD	M5	4450.12						4451.04697	4450.87221	1
1779905703	XAUUSD	M5	4452.60						4451.76169	4451.31695	0
1779906003	XAUUSD	M5	4454.96				4458.37000		4452.60144	4451.95920	0
1779906303	XAUUSD	M5	4455.56						4453.34769	4452.65344	0
1779906603	XAUUSD	M5	4452.73						4453.83933	4453.24639	0
1779906903	XAUUSD	M5	4453.11						4454.05798	4453.65219	0
1779907203	XAUUSD	M5	4453.39						4453.98324	4453.81771	0
1779907503	XAUUSD	M5	4453.41						4453.66608	4453.74190	1
1779907803	XAUUSD	M5	4452.50						4453.21145	4453.47667	0
1779908103	XAUUSD	M5	4454.43						4452.76070	4453.11869	0
1779908403	XAUUSD	M5	4452.16						4452.36825	4452.74347	0
1779908703	XAUUSD	M5	4452.70						4452.14585	4452.44466	0
1779909003	XAUUSD	M5	4451.84						4452.07271	4452.25869	0
1779909303	XAUUSD	M5	4450.07						4452.12133	4452.19001	0
1779909603	XAUUSD	M5	4453.23						4452.25880	4452.22440	1
1779909903	XAUUSD	M5	4451.07						4452.33899	4452.28169	0
1779910203	XAUUSD	M5	4452.67						4452.37370	4452.32770	0
1779910503	XAUUSD	M5	4454.74						4452.33783	4452.33276	0
1779910803	XAUUSD	M5	4453.67						4452.25103	4452.29190	1
1779911103	XAUUSD	M5	4452.02						4452.22202	4452.25696	0
1779911403	XAUUSD	M5	4451.12						4452.36782	4452.31239	1
1779911703	XAUUSD	M5	4450.84					4449.03000	4452.75398	4452.53319	0
1779912003	XAUUSD	M5	4452.60						4453.36087	4452.94703	0
1779912303	XAUUSD	M5	4452.91						4454.06099	4453.50401	0
1779912603	XAUUSD	M5	4455.21						4454.72483	4454.11442	0
1779912903	XAUUSD	M5	4458.20						4455.18675	4454.65059	0
1779913203	XAUUSD	M5	4456.85						4455.31132	4454.98095	0
1779913503	XAUUSD	M5	4455.01						4455.14112	4455.06103	0
1779913803	XAUUSD	M5	4454.53						4454.80909	4454.93506	1
1779914103	XAUUSD	M5	4452.43						4454.46320	4454.69913	0
1779914403	XAUUSD	M5	4453.62						4454.30666	4454.50289	0
1779914703	XAUUSD	M5	4454.27						4454.43669	4454.46979	0
1779915003	XAUUSD	M5	4454.90						4454.89162	4454.68071	1
1779915303	XAUUSD	M5	4456.30						4455.66019	4455.17045	0
1779919203	XAUUSD	M5	4456.72				4465.92000		4456.64171	4455.90608	0
1779919503	XAUUSD	M5	4458.82						4457.71222	4456.80915	0
1779919803	XAUUSD	M5	4457.94						4458.68777	4457.74846	0
1779920103	XAUUSD	M5	4459.57						4459.46769	4458.60807	0
1779920403	XAUUSD	M5	4460.78						4459.92700	4459.26754	0
1779920703	XAUUSD	M5	4459.99						4460.00818	4459.63786	0
1779921003	XAUUSD	M5	4457.26						4459.74378	4459.69082	0
1779921303	XAUUSD	M5	4461.31						4459.27381	4459.48232	1
1779921603	XAUUSD	M5	4458.52						4458.57124	4459.02678	0
1779921903	XAUUSD	M5	4456.57						4457.77172	4458.39925	0
1779922203	XAUUSD	M5	4456.61						4456.96593	4457.68259	0
1779922503	XAUUSD	M5	4457.37						4456.15553	4456.91906	0
1779922803	XAUUSD	M5	4456.56						4455.32062	4456.11984	0
1779923103	XAUUSD	M5	4452.89						4454.44915	4455.28449	0
1779923403	XAUUSD	M5	4453.55						4453.61821	4454.45135	0
1779923703	XAUUSD	M5	4453.91						4452.82053	4453.63594	0
1779924003	XAUUSD	M5	4451.52						4452.06011	4452.84802	0
1779924303	XAUUSD	M5	4450.77						4451.41249	4452.13026	0
1779924603	XAUUSD	M5	4449.71						4450.87992	4451.50509	0
1779924903	XAUUSD	M5	4453.21						4450.44631	4450.97570	0
1779925203	XAUUSD	M5	4450.72						4449.95362	4450.46466	0
1779925503	XAUUSD	M5	4448.33						4449.39835	4449.93150	0
1779925803	XAUUSD	M5	4446.23						4448.79343	4449.36247	0
1779926103	XAUUSD	M5	4447.13						4448.19045	4448.77646	0
1779926403	XAUUSD	M5	4449.41						4447.62169	4448.19908	0
1779926703	XAUUSD	M5	4449.23						4447.13386	4447.66647	0
1779927003	XAUUSD	M5	4444.73						4446.87602	4447.27125	0
1779927303	XAUUSD	M5	4452.32						4447.09194	4447.18160	0
1779927603	XAUUSD	M5	4445.46						4447.68053	4447.43106	1
1779927903	XAUUSD	M5	4446.33						4448.78156	4448.10631	0
1779928203	XAUUSD	M5	4449.50						4450.22469	4449.16550	0
1779928503	XAUUSD	M5	4450.81						4451.66595	4450.41572	0
1779928803	XAUUSD	M5	4452.07						4452.73607	4451.57590	0
1779929103	XAUUSD	M5	4453.84						4453.07894	4452.32742	0
1779929403	XAUUSD	M5	4451.82						4452.40360	4452.36551	0
1779929703	XAUUSD	M5	4457.30						4450.61844	4451.49197	1
1779930003	XAUUSD	M5	4446.01				4458.82000		4447.60525	4449.54861	0
1779930303	XAUUSD	M5	4444.46						4443.79581	4446.67221	0
1779930603	XAUUSD	M5	4438.13						4439.45422	4443.06321	0
1779930903	XAUUSD	M5	4433.46						4434.95717	4439.01019	0
1779931203	XAUUSD	M5	4431.25						4430.59227	4434.80123	0
1779931503	XAUUSD	M5	4419.34						4426.49427	4430.64775	0
1779931803	XAUUSD	M5	4425.52						4422.93177	4426.78976	0
1779932103	XAUUSD	M5	4422.89						4419.66393	4423.22684	0
1779932403	XAUUSD	M5	4417.78						4416.63659	4419.93172	0
1779932703	XAUUSD	M5	4417.55						4413.88933	4416.91052	0
1779933003	XAUUSD	M5	4409.21						4411.39490	4414.15271	0
1779933303	XAUUSD	M5	4410.05						4409.34843	4411.75057	0
1779933603	XAUUSD	M5	4404.02						4407.73484	4409.74271	0
1779933903	XAUUSD	M5	4407.88						4406.66635	4408.20453	0
1779934203	XAUUSD	M5	4402.67						4405.96403	4407.08428	0
1779934503	XAUUSD	M5	4404.46						4405.61762	4406.35095	0
1779934803	XAUUSD	M5	4406.00						4405.41539	4405.88317	0
1779935103	XAUUSD	M5	4406.31						4405.12868	4405.50592	0
1779935403	XAUUSD	M5	4408.93						4404.57855	4405.04224	0
1779935703	XAUUSD	M5	4406.94						4403.59592	4404.31908	0
1779936003	XAUUSD	M5	4402.27						4402.19554	4403.25731	0
1779936303	XAUUSD	M5	4396.21						4400.52058	4401.88895	0
1779936603	XAUUSD	M5	4395.49						4398.75475	4400.32185	0
1779936903	XAUUSD	M5	4394.52						4396.94047	4398.63116	0
1779937203	XAUUSD	M5	4395.39						4395.07198	4396.85157	0
1779937503	XAUUSD	M5	4396.61						4393.04932	4394.95045	0
1779937803	XAUUSD	M5	4394.20						4390.76805	4392.85925	0
1779938103	XAUUSD	M5	4384.70						4388.25117	4390.55521	0
1779938403	XAUUSD	M5	4386.61						4385.73269	4388.14395	0
1779938703	XAUUSD	M5	4387.68						4383.22117	4385.68256	0
1779939003	XAUUSD	M5	4379.97						4380.77647	4383.22951	0
1779939303	XAUUSD	M5	4373.47						4378.69259	4380.96105	0
1779939603	XAUUSD	M5	4376.89						4377.19155	4379.07630	0
1779939903	XAUUSD	M5	4375.13						4376.17667	4377.62649	0
1779940203	XAUUSD	M5	4375.71						4375.58196	4376.60422	0
1779940503	XAUUSD	M5	4374.93						4375.23288	4375.91855	0
1779940803	XAUUSD	M5	4375.34						4374.98947	4375.45401	0
1779941103	XAUUSD	M5	4381.04						4374.68308	4375.06854	0
1779941403	XAUUSD	M5	4376.38						4374.10249	4374.58552	0
1779941703	XAUUSD	M5	4369.20						4373.36950	4373.97751	0
1779942003	XAUUSD	M5	4371.54					4366.32000	4372.70642	4373.34197	0
1779942303	XAUUSD	M5	4368.47						4372.12561	4372.73379	0
1779942603	XAUUSD	M5	4371.66						4371.72522	4372.22951	0
1779942903	XAUUSD	M5	4372.21						4371.41823	4371.82387	0
