Cherry_B_timestamp	Cherry_B_symbol	Cherry_B_timeframe	Cherry_B_close	Cherry_B_Base_FL	Cherry_B_UOEDT	Cherry_B_LOEDT	Cherry_B_horiz_high_map	Cherry_B_horiz_low_map	Cherry_B_ssa	Cherry_B_ema_ssa	Cherry_B_crossing
1779870002	XAUUSD	M5	4490.74						4490.65148	4490.65148	0
1779870302	XAUUSD	M5	4489.19						4491.52059	4491.08604	1
1779870602	XAUUSD	M5	4488.55						4492.70096	4491.89350	0
1779870902	XAUUSD	M5	4492.80						4493.92335	4492.90842	0
1779871202	XAUUSD	M5	4496.24						4494.74906	4493.82874	0
1779871502	XAUUSD	M5	4496.54						4495.04364	4494.43619	0
1779871802	XAUUSD	M5	4498.22				4498.67000		4494.95550	4494.69585	0
1779872102	XAUUSD	M5	4497.81						4494.54527	4494.62056	1
1779872402	XAUUSD	M5	4491.93						4493.95042	4494.28549	0
1779872702	XAUUSD	M5	4489.51						4493.43230	4493.85890	0
1779873002	XAUUSD	M5	4491.78						4492.97974	4493.41932	0
1779873302	XAUUSD	M5	4494.69						4492.43172	4492.92552	0
1779873602	XAUUSD	M5	4491.05						4491.70555	4492.31554	0
1779873902	XAUUSD	M5	4490.14						4490.97252	4491.64403	0
1779874202	XAUUSD	M5	4490.58						4490.34164	4490.99283	0
1779874502	XAUUSD	M5	4491.26						4489.85999	4490.42641	0
1779874802	XAUUSD	M5	4488.65						4489.56484	4489.99562	0
1779875102	XAUUSD	M5	4489.58						4489.50442	4489.75002	0
1779875402	XAUUSD	M5	4492.61						4489.52119	4489.63561	0
1779875702	XAUUSD	M5	4490.13						4489.37278	4489.50419	0
1779876002	XAUUSD	M5	4486.50						4488.88138	4489.19279	0
1779876302	XAUUSD	M5	4487.16						4487.86125	4488.52702	0
1779876602	XAUUSD	M5	4485.50						4486.03924	4487.28313	0
1779876902	XAUUSD	M5	4479.73						4483.26465	4485.27389	0
1779877202	XAUUSD	M5	4479.90						4479.55048	4482.41218	0
1779877502	XAUUSD	M5	4476.95						4474.95472	4478.68345	0
1779877802	XAUUSD	M5	4473.89						4469.74790	4474.21567	0
1779878102	XAUUSD	M5	4463.78						4464.32278	4469.26923	0
1779878402	XAUUSD	M5	4465.98						4459.23180	4464.25051	0
1779878702	XAUUSD	M5	4448.63						4454.80962	4459.53006	0
1779879002	XAUUSD	M5	4444.87						4451.26310	4455.39658	0
1779879302	XAUUSD	M5	4445.77						4449.03091	4452.21374	0
1779879602	XAUUSD	M5	4452.48						4447.97575	4450.09475	0
1779879902	XAUUSD	M5	4449.60						4447.59333	4448.84404	0
1779880202	XAUUSD	M5	4451.27						4447.52282	4448.18343	0
1779880502	XAUUSD	M5	4449.57						4447.27215	4447.72779	0
1779880802	XAUUSD	M5	4445.64						4446.50325	4447.11552	0
1779881102	XAUUSD	M5	4440.92						4445.06655	4446.09103	0
1779881402	XAUUSD	M5	4436.93						4443.01082	4444.55092	0
1779881702	XAUUSD	M5	4441.13						4440.53948	4442.54520	0
1779882002	XAUUSD	M5	4443.16						4437.81886	4440.18203	0
1779882302	XAUUSD	M5	4439.14						4435.18969	4437.68586	0
1779882602	XAUUSD	M5	4433.59						4433.20200	4435.44393	0
1779882902	XAUUSD	M5	4428.63						4432.42388	4433.93391	0
1779883202	XAUUSD	M5	4434.51						4433.23880	4433.58635	0
1779883502	XAUUSD	M5	4433.28						4435.53530	4434.56083	1
