No	TimeStamp	Symbol	Timeframe	Close	dual_tema_high	dual_tema_low
0	2025.09.29 08:00	XAUUSD	M5	3808.18	3809.97	3805.57
1	2025.09.29 08:05	XAUUSD	M5	3805.32	3811.68	3805.72
2	2025.09.29 08:10	XAUUSD	M5	3806.44	3810.21	3805.37
3	2025.09.29 08:15	XAUUSD	M5	3804.67	3809.19	3805.36
4	2025.09.29 08:20	XAUUSD	M5	3806.45	3808.13	3804.17
5	2025.09.29 08:25	XAUUSD	M5	3805.38	3807.65	3803.73
6	2025.09.29 08:30	XAUUSD	M5	3804.37	3808.40	3803.94
7	2025.09.29 08:35	XAUUSD	M5	3805.26	3807.88	3804.08
8	2025.09.29 08:40	XAUUSD	M5	3803.84	3807.23	3802.63
9	2025.09.29 08:45	XAUUSD	M5	3805.94	3807.00	3802.73
10	2025.09.29 08:50	XAUUSD	M5	3811.22	3809.05	3803.65
11	2025.09.29 08:55	XAUUSD	M5	3813.73	3811.84	3806.35
12	2025.09.29 09:00	XAUUSD	M5	3813.58	3813.86	3809.27
13	2025.09.29 09:05	XAUUSD	M5	3812.37	3814.26	3810.64
14	2025.09.29 09:10	XAUUSD	M5	3816.86	3816.19	3811.58
15	2025.09.29 09:15	XAUUSD	M5	3814.20	3817.93	3813.24
16	2025.09.29 09:20	XAUUSD	M5	3815.35	3818.19	3813.71
17	2025.09.29 09:25	XAUUSD	M5	3812.71	3817.50	3813.43
18	2025.09.29 09:30	XAUUSD	M5	3814.22	3816.69	3813.13
19	2025.09.29 09:35	XAUUSD	M5	3815.57	3817.22	3813.28
20	2025.09.29 09:40	XAUUSD	M5	3819.01	3818.71	3814.03
21	2025.09.29 09:45	XAUUSD	M5	3814.71	3819.25	3813.69
22	2025.09.29 09:50	XAUUSD	M5	3815.22	3818.35	3814.03
23	2025.09.29 09:55	XAUUSD	M5	3817.37	3818.03	3814.60
24	2025.09.29 10:00	XAUUSD	M5	3816.00	3817.87	3814.19
25	2025.09.29 10:05	XAUUSD	M5	3815.12	3817.27	3813.91
26	2025.09.29 10:10	XAUUSD	M5	3817.28	3818.21	3814.42
27	2025.09.29 10:15	XAUUSD	M5	3816.85	3818.48	3815.27
28	2025.09.29 10:20	XAUUSD	M5	3815.04	3817.77	3815.20
29	2025.09.29 10:25	XAUUSD	M5	3814.29	3816.40	3813.86
30	2025.09.29 10:30	XAUUSD	M5	3810.45	3815.79	3811.83
31	2025.09.29 10:35	XAUUSD	M5	3810.17	3813.54	3810.20
32	2025.09.29 10:40	XAUUSD	M5	3810.59	3812.32	3808.57
