Most_Recent_timestamp	Most_Recent_symbol	Most_Recent_timeframe	Most_Recent_close	Most_Recent_Base_FL	Most_Recent_UOEDT	Most_Recent_LOEDT	Most_Recent_horiz_high_map	Most_Recent_horiz_low_map	Most_Recent_ssa	Most_Recent_ema_ssa	Most_Recent_crossing
1779870902	XAUUSD	M5	4492.80						4496.71501	4496.71501	0
1779871202	XAUUSD	M5	4496.24						4496.72698	4496.72099	1
1779871502	XAUUSD	M5	4496.54						4496.16739	4496.44419	1
1779871802	XAUUSD	M5	4498.22				4498.67000		4495.41329	4495.92874	0
1779872102	XAUUSD	M5	4497.81						4494.50436	4495.21655	0
1779872402	XAUUSD	M5	4491.93						4493.60626	4494.41141	0
1779872702	XAUUSD	M5	4489.51						4493.03758	4493.72449	0
1779873002	XAUUSD	M5	4491.78						4492.69999	4493.21224	0
1779873302	XAUUSD	M5	4494.69						4492.30689	4492.75957	0
1779873602	XAUUSD	M5	4491.05						4491.70004	4492.22980	0
1779873902	XAUUSD	M5	4490.14						4491.06031	4491.64506	0
1779874202	XAUUSD	M5	4490.58						4490.48151	4491.06328	0
1779874502	XAUUSD	M5	4491.26						4489.99958	4490.53143	0
1779874802	XAUUSD	M5	4488.65						4489.66197	4490.09670	0
1779875102	XAUUSD	M5	4489.58						4489.54798	4489.82234	0
1779875402	XAUUSD	M5	4492.61						4489.50262	4489.66248	0
1779875702	XAUUSD	M5	4490.13						4489.28787	4489.47518	0
1779876002	XAUUSD	M5	4486.50						4488.75468	4489.11493	0
1779876302	XAUUSD	M5	4487.16						4487.73933	4488.42713	0
1779876602	XAUUSD	M5	4485.50						4485.95973	4487.19343	0
1779876902	XAUUSD	M5	4479.73						4483.25114	4485.22228	0
1779877202	XAUUSD	M5	4479.90						4479.61207	4482.41718	0
1779877502	XAUUSD	M5	4476.95						4475.07102	4478.74410	0
1779877802	XAUUSD	M5	4473.89						4469.88369	4474.31389	0
1779878102	XAUUSD	M5	4463.78						4464.43326	4469.37357	0
1779878402	XAUUSD	M5	4465.98						4459.27974	4464.32666	0
1779878702	XAUUSD	M5	4448.63						4454.74599	4459.53633	0
1779879002	XAUUSD	M5	4444.87						4451.31999	4455.42816	0
1779879302	XAUUSD	M5	4445.77						4449.10589	4452.26702	0
1779879602	XAUUSD	M5	4452.48						4447.97177	4450.11940	0
1779879902	XAUUSD	M5	4449.60						4447.58840	4448.85390	0
1779880202	XAUUSD	M5	4451.27						4447.51851	4448.18620	0
1779880502	XAUUSD	M5	4449.57						4447.27006	4447.72813	0
1779880802	XAUUSD	M5	4445.64						4446.50422	4447.11617	0
1779881102	XAUUSD	M5	4440.92						4445.06998	4446.09308	0
1779881402	XAUUSD	M5	4436.93						4443.01507	4444.55407	0
1779881702	XAUUSD	M5	4441.13						4440.54256	4442.54832	0
1779882002	XAUUSD	M5	4443.16						4437.81985	4440.18408	0
1779882302	XAUUSD	M5	4439.14						4435.18883	4437.68645	0
1779882602	XAUUSD	M5	4433.59						4433.20006	4435.44326	0
1779882902	XAUUSD	M5	4428.63						4432.42197	4433.93261	0
1779883202	XAUUSD	M5	4434.51						4433.23768	4433.58514	0
1779883502	XAUUSD	M5	4433.28						4435.53578	4434.56046	1
1779883802	XAUUSD	M5	4430.51						4439.10072	4436.83059	0
1779884102	XAUUSD	M5	4447.69						4443.52029	4440.17544	0
1779884402	XAUUSD	M5	4454.63				4466.28000		4447.74606	4443.96075	0
1779884702	XAUUSD	M5	4454.81						4450.94530	4447.45302	0
1779885002	XAUUSD	M5	4447.40						4452.58250	4450.01776	0
1779885302	XAUUSD	M5	4452.09						4452.48990	4451.25383	0
1779885602	XAUUSD	M5	4447.17						4450.43685	4450.84534	1
1779885902	XAUUSD	M5	4445.18						4446.63703	4448.74119	0
1779886202	XAUUSD	M5	4446.44						4441.43646	4445.08882	0
1779886502	XAUUSD	M5	4438.94						4435.23324	4440.16103	0
1779886802	XAUUSD	M5	4432.24						4428.71955	4434.44029	0
1779887102	XAUUSD	M5	4414.23						4422.57902	4428.50965	0
1779887402	XAUUSD	M5	4416.68						4417.68673	4423.09819	0
1779887702	XAUUSD	M5	4411.39						4414.26494	4418.68157	0
1779888002	XAUUSD	M5	4416.87						4412.55799	4415.61978	0
1779888302	XAUUSD	M5	4404.89					4401.50000	4412.37859	4413.99918	0
1779888602	XAUUSD	M5	4423.99						4413.83572	4413.91745	0
1779888902	XAUUSD	M5	4418.31						4416.24011	4415.07878	1
1779889202	XAUUSD	M5	4419.31						4419.51897	4417.29887	0
1779889502	XAUUSD	M5	4420.35						4423.46643	4420.38265	0
1779889802	XAUUSD	M5	4425.32						4427.89950	4424.14108	0
1779890102	XAUUSD	M5	4427.36						4432.53365	4428.33736	0
1779890402	XAUUSD	M5	4438.16						4437.12398	4432.73067	0
1779890702	XAUUSD	M5	4444.12						4441.19196	4436.96131	0
1779891002	XAUUSD	M5	4447.95				4455.37000		4444.37062	4440.66596	0
1779891302	XAUUSD	M5	4451.14						4446.40645	4443.53621	0
1779891602	XAUUSD	M5	4444.30						4447.16678	4445.35150	0
1779891902	XAUUSD	M5	4445.53						4446.87297	4446.11224	0
1779892202	XAUUSD	M5	4440.93						4445.64264	4445.87744	1
1779892502	XAUUSD	M5	4444.29						4443.78531	4444.83137	0
1779892802	XAUUSD	M5	4443.19						4441.47562	4443.15350	0
1779893102	XAUUSD	M5	4438.50						4439.00496	4441.07923	0
