Non_A_timestamp	Non_A_symbol	Non_A_timeframe	Non_A_close	Non_A_Base_FL	Non_A_UOEDT	Non_A_LOEDT	Non_A_horiz_high_map	Non_A_horiz_low_map	Non_A_ssa	Non_A_ema_ssa	Non_A_crossing
1779870003	XAUUSD	M5	4490.74						4490.65106	4490.65106	0
1779870303	XAUUSD	M5	4489.19						4491.52034	4491.08570	1
1779870603	XAUUSD	M5	4488.55						4492.70095	4491.89332	0
1779870903	XAUUSD	M5	4492.80						4493.92351	4492.90842	0
1779871203	XAUUSD	M5	4496.24						4494.74918	4493.82880	0
1779871503	XAUUSD	M5	4496.54						4495.04370	4494.43625	0
1779871803	XAUUSD	M5	4498.22				4498.67000		4494.95546	4494.69585	0
1779872103	XAUUSD	M5	4497.81						4494.54518	4494.62052	1
1779872403	XAUUSD	M5	4491.93						4493.95035	4494.28543	0
1779872703	XAUUSD	M5	4489.51						4493.43228	4493.85886	0
1779873003	XAUUSD	M5	4491.78						4492.97976	4493.41931	0
1779873303	XAUUSD	M5	4494.69						4492.43174	4492.92553	0
1779873603	XAUUSD	M5	4491.05						4491.70559	4492.31556	0
1779873903	XAUUSD	M5	4490.14						4490.97253	4491.64405	0
1779874203	XAUUSD	M5	4490.58						4490.34161	4490.99283	0
1779874503	XAUUSD	M5	4491.26						4489.85995	4490.42639	0
1779874803	XAUUSD	M5	4488.65						4489.56483	4489.99561	0
1779875103	XAUUSD	M5	4489.58						4489.50445	4489.75003	0
1779875403	XAUUSD	M5	4492.61						4489.52123	4489.63563	0
1779875703	XAUUSD	M5	4490.13						4489.37282	4489.50422	0
1779876003	XAUUSD	M5	4486.50						4488.88139	4489.19281	0
1779876303	XAUUSD	M5	4487.16						4487.86121	4488.52701	0
1779876603	XAUUSD	M5	4485.50						4486.03919	4487.28310	0
1779876903	XAUUSD	M5	4479.73						4483.26461	4485.27385	0
1779877203	XAUUSD	M5	4479.90						4479.55048	4482.41217	0
1779877503	XAUUSD	M5	4476.95						4474.95475	4478.68346	0
1779877803	XAUUSD	M5	4473.89						4469.74795	4474.21571	0
1779878103	XAUUSD	M5	4463.78						4464.32283	4469.26927	0
1779878403	XAUUSD	M5	4465.98						4459.23182	4464.25054	0
1779878703	XAUUSD	M5	4448.63						4454.80960	4459.53007	0
1779879003	XAUUSD	M5	4444.87						4451.26308	4455.39658	0
1779879303	XAUUSD	M5	4445.77						4449.03090	4452.21374	0
1779879603	XAUUSD	M5	4452.48						4447.97577	4450.09475	0
1779879903	XAUUSD	M5	4449.60						4447.59335	4448.84405	0
1779880203	XAUUSD	M5	4451.27						4447.52282	4448.18344	0
1779880503	XAUUSD	M5	4449.57						4447.27211	4447.72778	0
1779880803	XAUUSD	M5	4445.64						4446.50317	4447.11548	0
1779881103	XAUUSD	M5	4440.92						4445.06647	4446.09097	0
1779881403	XAUUSD	M5	4436.93						4443.01075	4444.55086	0
1779881703	XAUUSD	M5	4441.13						4440.53946	4442.54516	0
1779882003	XAUUSD	M5	4443.16						4437.81889	4440.18202	0
1779882303	XAUUSD	M5	4439.14						4435.18974	4437.68588	0
1779882603	XAUUSD	M5	4433.59						4433.20204	4435.44396	0
1779882903	XAUUSD	M5	4428.63						4432.42390	4433.93393	0
1779883203	XAUUSD	M5	4434.51						4433.23880	4433.58637	0
1779883503	XAUUSD	M5	4433.28						4435.53531	4434.56084	1
1779883803	XAUUSD	M5	4430.51						4439.09880	4436.82982	0
1779884103	XAUUSD	M5	4447.69						4443.51793	4440.17388	0
1779884403	XAUUSD	M5	4454.63				4466.28000		4447.74317	4443.95852	0
1779884703	XAUUSD	M5	4454.81						4450.94202	4447.45027	0
1779885003	XAUUSD	M5	4447.40						4452.57929	4450.01478	0
1779885303	XAUUSD	M5	4452.09						4452.48823	4451.25151	0
1779885603	XAUUSD	M5	4447.17						4450.43746	4450.84448	1
1779885903	XAUUSD	M5	4445.18						4446.64033	4448.74241	0
1779886203	XAUUSD	M5	4446.44						4441.44176	4445.09209	0
1779886503	XAUUSD	M5	4438.94						4435.23882	4440.16545	0
1779886803	XAUUSD	M5	4432.24						4428.72383	4434.44464	0
1779887103	XAUUSD	M5	4414.23						4422.58076	4428.51270	0
1779887403	XAUUSD	M5	4416.68						4417.68653	4423.09962	0
1779887703	XAUUSD	M5	4411.39						4414.26310	4418.68136	0
1779888003	XAUUSD	M5	4416.87						4412.55502	4415.61819	0
1779888303	XAUUSD	M5	4404.89					4401.50000	4412.37422	4413.99621	0
1779888603	XAUUSD	M5	4423.99						4413.83126	4413.91373	0
1779888903	XAUUSD	M5	4418.31						4416.23546	4415.07460	1
1779889203	XAUUSD	M5	4419.31						4419.51509	4417.29484	0
1779889503	XAUUSD	M5	4420.35						4423.46435	4420.37959	0
1779889803	XAUUSD	M5	4425.32						4427.90032	4424.13996	0
1779890103	XAUUSD	M5	4427.36						4432.53740	4428.33868	0
1779890403	XAUUSD	M5	4438.16						4437.13019	4432.73444	0
1779890703	XAUUSD	M5	4444.12						4441.19877	4436.96660	0
1779891003	XAUUSD	M5	4447.95				4455.37000		4444.37608	4440.67134	0
1779891303	XAUUSD	M5	4451.14						4446.40920	4443.54027	0
1779891603	XAUUSD	M5	4444.30						4447.16629	4445.35328	0
1779891903	XAUUSD	M5	4445.53						4446.86998	4446.11163	0
