Non_B_timestamp	Non_B_symbol	Non_B_timeframe	Non_B_close	Non_B_Base_FL	Non_B_UOEDT	Non_B_LOEDT	Non_B_horiz_high_map	Non_B_horiz_low_map	Non_B_ssa	Non_B_ema_ssa	Non_B_crossing
1779870003	XAUUSD	M5	4490.74						4490.65103	4490.65103	0
1779870303	XAUUSD	M5	4489.19						4491.52032	4491.08568	1
1779870603	XAUUSD	M5	4488.55						4492.70094	4491.89331	0
1779870903	XAUUSD	M5	4492.80						4493.92352	4492.90842	0
1779871203	XAUUSD	M5	4496.24						4494.74919	4493.82880	0
1779871503	XAUUSD	M5	4496.54						4495.04370	4494.43625	0
1779871803	XAUUSD	M5	4498.22				4498.67000		4494.95546	4494.69585	0
1779872103	XAUUSD	M5	4497.81						4494.54518	4494.62052	1
1779872403	XAUUSD	M5	4491.93						4493.95034	4494.28543	0
1779872703	XAUUSD	M5	4489.51						4493.43228	4493.85886	0
1779873003	XAUUSD	M5	4491.78						4492.97976	4493.41931	0
1779873303	XAUUSD	M5	4494.69						4492.43174	4492.92553	0
1779873603	XAUUSD	M5	4491.05						4491.70559	4492.31556	0
1779873903	XAUUSD	M5	4490.14						4490.97253	4491.64405	0
1779874203	XAUUSD	M5	4490.58						4490.34161	4490.99283	0
1779874503	XAUUSD	M5	4491.26						4489.85995	4490.42639	0
1779874803	XAUUSD	M5	4488.65						4489.56483	4489.99561	0
1779875103	XAUUSD	M5	4489.58						4489.50445	4489.75003	0
1779875403	XAUUSD	M5	4492.61						4489.52124	4489.63563	0
1779875703	XAUUSD	M5	4490.13						4489.37282	4489.50423	0
1779876003	XAUUSD	M5	4486.50						4488.88139	4489.19281	0
1779876303	XAUUSD	M5	4487.16						4487.86121	4488.52701	0
1779876603	XAUUSD	M5	4485.50						4486.03919	4487.28310	0
1779876903	XAUUSD	M5	4479.73						4483.26461	4485.27385	0
1779877203	XAUUSD	M5	4479.90						4479.55048	4482.41217	0
1779877503	XAUUSD	M5	4476.95						4474.95475	4478.68346	0
1779877803	XAUUSD	M5	4473.89						4469.74796	4474.21571	0
1779878103	XAUUSD	M5	4463.78						4464.32284	4469.26927	0
1779878403	XAUUSD	M5	4465.98						4459.23182	4464.25055	0
1779878703	XAUUSD	M5	4448.63						4454.80960	4459.53007	0
1779879003	XAUUSD	M5	4444.87						4451.26308	4455.39658	0
1779879303	XAUUSD	M5	4445.77						4449.03090	4452.21374	0
1779879603	XAUUSD	M5	4452.48						4447.97577	4450.09475	0
1779879903	XAUUSD	M5	4449.60						4447.59335	4448.84405	0
1779880203	XAUUSD	M5	4451.27						4447.52282	4448.18344	0
1779880503	XAUUSD	M5	4449.57						4447.27211	4447.72777	0
1779880803	XAUUSD	M5	4445.64						4446.50317	4447.11547	0
1779881103	XAUUSD	M5	4440.92						4445.06646	4446.09097	0
1779881403	XAUUSD	M5	4436.93						4443.01075	4444.55086	0
1779881703	XAUUSD	M5	4441.13						4440.53946	4442.54516	0
1779882003	XAUUSD	M5	4443.16						4437.81889	4440.18202	0
1779882303	XAUUSD	M5	4439.14						4435.18974	4437.68588	0
1779882603	XAUUSD	M5	4433.59						4433.20204	4435.44396	0
1779882903	XAUUSD	M5	4428.63						4432.42390	4433.93393	0
1779883203	XAUUSD	M5	4434.51						4433.23880	4433.58637	0
1779883503	XAUUSD	M5	4433.28						4435.53531	4434.56084	1
