ohlcv_timestamp	ohlcv_symbol	ohlcv_timeframe	ohlcv_close	ohlcv_open	ohlcv_high	ohlcv_low	ohlcv_volume
1781009101	XAUUSD	M5	4341.28000	4340.87000	4344.37000	4339.98000	550
1781009401	XAUUSD	M5	4337.55000	4341.33000	4343.76000	4337.24000	550
1781009701	XAUUSD	M5	4341.42000	4337.39000	4342.03000	4336.75000	551
1781010001	XAUUSD	M5	4339.49000	4341.61000	4345.53000	4338.14000	831
1781010301	XAUUSD	M5	4341.28000	4339.55000	4344.33000	4338.77000	752
1781010601	XAUUSD	M5	4340.98000	4341.48000	4342.41000	4339.87000	632
1781010901	XAUUSD	M5	4334.13000	4340.99000	4342.07000	4334.13000	681
1781011201	XAUUSD	M5	4333.35000	4334.03000	4336.26000	4331.62000	699
1781011501	XAUUSD	M5	4330.90000	4333.74000	4335.45000	4330.32000	725
1781011801	XAUUSD	M5	4329.88000	4330.90000	4333.99000	4328.87000	874
1781012101	XAUUSD	M5	4331.95000	4329.93000	4334.46000	4329.59000	845
1781012401	XAUUSD	M5	4330.37000	4332.13000	4332.15000	4325.24000	833
1781012701	XAUUSD	M5	4351.36000	4330.36000	4363.43000	4329.27000	912
1781013001	XAUUSD	M5	4334.10000	4352.08000	4352.61000	4333.58000	928
1781013301	XAUUSD	M5	4328.66000	4334.23000	4334.68000	4326.63000	900
1781013601	XAUUSD	M5	4329.39000	4328.95000	4336.00000	4326.55000	931
1781013901	XAUUSD	M5	4328.53000	4329.54000	4332.12000	4324.93000	910
1781014201	XAUUSD	M5	4321.28000	4328.48000	4328.79000	4319.79000	912
1781014501	XAUUSD	M5	4311.45000	4321.14000	4323.03000	4306.09000	965
1781014801	XAUUSD	M5	4318.53000	4311.49000	4320.32000	4309.42000	947
1781015101	XAUUSD	M5	4318.71000	4318.76000	4323.76000	4315.88000	948
1781015401	XAUUSD	M5	4315.01000	4318.36000	4320.78000	4310.08000	956
1781015701	XAUUSD	M5	4305.34000	4314.87000	4314.95000	4302.81000	949
1781016001	XAUUSD	M5	4285.29000	4305.43000	4307.61000	4285.13000	926
1781016301	XAUUSD	M5	4284.21000	4284.98000	4290.05000	4278.65000	971
1781016601	XAUUSD	M5	4298.21000	4284.07000	4298.28000	4281.75000	961
1781016901	XAUUSD	M5	4300.76000	4298.24000	4300.90000	4292.73000	946
1781017201	XAUUSD	M5	4293.26000	4300.56000	4302.16000	4291.38000	944
1781017501	XAUUSD	M5	4295.65000	4293.25000	4296.79000	4290.03000	948
1781017801	XAUUSD	M5	4294.92000	4296.01000	4299.15000	4289.68000	906
1781018101	XAUUSD	M5	4291.97000	4294.87000	4296.96000	4291.26000	886
1781018401	XAUUSD	M5	4285.55000	4291.90000	4294.39000	4285.00000	902
1781018701	XAUUSD	M5	4278.85000	4285.55000	4288.73000	4277.24000	956
1781019001	XAUUSD	M5	4274.54000	4278.73000	4282.02000	4263.62000	972
1781019301	XAUUSD	M5	4270.25000	4274.56000	4274.66000	4263.14000	967
1781019601	XAUUSD	M5	4279.82000	4270.13000	4280.00000	4269.26000	949
1781019901	XAUUSD	M5	4280.97000	4279.75000	4285.81000	4278.53000	927
1781020201	XAUUSD	M5	4279.93000	4280.96000	4284.05000	4276.43000	918
1781020501	XAUUSD	M5	4272.90000	4279.91000	4285.07000	4272.90000	948
1781020801	XAUUSD	M5	4273.90000	4272.38000	4281.07000	4271.01000	948
1781021101	XAUUSD	M5	4263.62000	4273.85000	4274.46000	4260.76000	948
1781021401	XAUUSD	M5	4259.63000	4263.58000	4266.88000	4258.46000	959
1781021701	XAUUSD	M5	4254.57000	4259.77000	4263.31000	4253.19000	953
1781022001	XAUUSD	M5	4261.99000	4254.43000	4263.38000	4253.38000	962
1781022301	XAUUSD	M5	4263.49000	4262.01000	4266.15000	4261.16000	950
1781022601	XAUUSD	M5	4262.13000	4263.18000	4264.70000	4260.00000	911
1781022901	XAUUSD	M5	4241.26000	4262.00000	4267.62000	4237.23000	940
1781023201	XAUUSD	M5	4244.94000	4241.23000	4248.14000	4236.62000	984
1781023501	XAUUSD	M5	4249.87000	4245.05000	4254.13000	4244.21000	964
1781023801	XAUUSD	M5	4240.07000	4249.73000	4251.31000	4238.91000	963
1781024101	XAUUSD	M5	4252.18000	4239.95000	4252.32000	4239.78000	946
1781024401	XAUUSD	M5	4262.43000	4252.37000	4263.59000	4251.36000	941
1781024701	XAUUSD	M5	4262.93000	4262.45000	4263.89000	4258.77000	950
1781025001	XAUUSD	M5	4261.19000	4262.73000	4264.36000	4257.70000	924
1781025301	XAUUSD	M5	4263.95000	4260.83000	4265.75000	4258.52000	906
1781025601	XAUUSD	M5	4266.48000	4263.86000	4267.86000	4262.51000	938
1781025901	XAUUSD	M5	4263.12000	4266.42000	4266.81000	4260.84000	883
1781026201	XAUUSD	M5	4265.58000	4263.09000	4266.10000	4261.02000	856
1781026501	XAUUSD	M5	4262.89000	4265.73000	4266.31000	4261.91000	859
1781026801	XAUUSD	M5	4264.84000	4262.82000	4268.11000	4262.13000	818
1781027101	XAUUSD	M5	4257.15000	4264.83000	4266.85000	4256.53000	891
1781027401	XAUUSD	M5	4258.42000	4257.15000	4260.16000	4256.05000	843
1781027701	XAUUSD	M5	4263.12000	4258.44000	4264.73000	4258.18000	835
1781028001	XAUUSD	M5	4262.50000	4263.09000	4265.66000	4259.57000	833
1781028301	XAUUSD	M5	4266.77000	4262.35000	4266.94000	4260.79000	828
1781028601	XAUUSD	M5	4265.37000	4266.73000	4266.85000	4262.68000	839
1781028901	XAUUSD	M5	4269.31000	4265.34000	4270.08000	4262.99000	855
1781029201	XAUUSD	M5	4273.44000	4269.25000	4274.20000	4267.34000	831
1781029501	XAUUSD	M5	4270.90000	4273.42000	4273.61000	4267.96000	824
1781029801	XAUUSD	M5	4270.71000	4270.90000	4273.98000	4268.90000	828
1781030101	XAUUSD	M5	4269.20000	4270.74000	4270.98000	4268.39000	743
1781030401	XAUUSD	M5	4264.35000	4269.14000	4269.99000	4263.65000	791
1781030701	XAUUSD	M5	4265.26000	4264.36000	4265.34000	4262.33000	681
1781031001	XAUUSD	M5	4265.91000	4265.22000	4268.21000	4264.07000	703
1781031301	XAUUSD	M5	4269.92000	4265.99000	4271.50000	4265.50000	716
1781031601	XAUUSD	M5	4269.71000	4270.09000	4270.64000	4266.38000	764
1781031901	XAUUSD	M5	4265.17000	4269.72000	4271.67000	4264.92000	736
1781032201	XAUUSD	M5	4258.70000	4265.04000	4265.05000	4258.02000	727
1781032501	XAUUSD	M5	4255.35000	4258.69000	4258.75000	4254.82000	848
1781032801	XAUUSD	M5	4255.71000	4255.40000	4256.47000	4252.84000	843
1781033101	XAUUSD	M5	4257.39000	4255.69000	4257.90000	4254.10000	807
1781033401	XAUUSD	M5	4259.52000	4257.27000	4260.29000	4256.44000	830
1781033701	XAUUSD	M5	4253.68000	4259.50000	4259.90000	4252.75000	812
1781034001	XAUUSD	M5	4250.97000	4253.64000	4253.64000	4250.15000	840
1781034301	XAUUSD	M5	4250.98000	4251.11000	4252.50000	4250.02000	812
1781034601	XAUUSD	M5	4258.91000	4251.65000	4258.99000	4251.65000	874
1781034901	XAUUSD	M5	4258.48000	4259.15000	4259.74000	4256.40000	786
1781035201	XAUUSD	M5	4260.77000	4258.83000	4261.08000	4255.60000	657
1781035501	XAUUSD	M5	4257.61000	4260.77000	4260.77000	4257.27000	494
1781035801	XAUUSD	M5	4258.45000	4257.64000	4259.38000	4256.70000	454
1781036101	XAUUSD	M5	4258.71000	4258.46000	4260.47000	4258.10000	419
1781036401	XAUUSD	M5	4258.31000	4258.71000	4259.75000	4257.90000	319
1781036701	XAUUSD	M5	4259.10000	4258.29000	4259.99000	4258.09000	276
1781037001	XAUUSD	M5	4257.94000	4259.02000	4259.20000	4257.74000	273
1781037301	XAUUSD	M5	4260.44000	4257.93000	4260.94000	4257.91000	292
1781037601	XAUUSD	M5	4261.38000	4260.44000	4261.98000	4260.27000	331
1781037901	XAUUSD	M5	4261.83000	4261.49000	4262.11000	4260.48000	295
1781038201	XAUUSD	M5	4260.26000	4261.73000	4261.79000	4259.65000	235
1781038501	XAUUSD	M5	4259.44000	4260.22000	4260.64000	4259.35000	215
1781042401	XAUUSD	M5	4256.02000	4256.01000	4257.24000	4250.75000	403
1781042701	XAUUSD	M5	4253.49000	4255.11000	4256.65000	4251.13000	302
1781043001	XAUUSD	M5	4255.44000	4253.49000	4256.62000	4253.22000	273
1781043301	XAUUSD	M5	4253.66000	4255.44000	4256.23000	4253.03000	296
1781043601	XAUUSD	M5	4254.71000	4253.66000	4256.49000	4253.48000	338
1781043901	XAUUSD	M5	4256.82000	4254.56000	4256.82000	4253.30000	286
1781044201	XAUUSD	M5	4252.83000	4256.78000	4257.39000	4252.59000	357
1781044501	XAUUSD	M5	4253.13000	4253.54000	4254.75000	4250.52000	400
1781044801	XAUUSD	M5	4248.97000	4253.12000	4255.16000	4247.68000	554
1781045101	XAUUSD	M5	4239.08000	4248.98000	4249.81000	4237.42000	633
