No	TimeStamp	Symbol	Timeframe	Close	sr_support_1	sr_support_2	sr_support_3	sr_support_4	sr_resistance_1	sr_resistance_2	sr_resistance_3	sr_resistance_4
1	2025.09.29 07:55:00	XAUUSD	M5	3805.00	0	0	0	0	4945.13	4964.03	4979.45	5002.07
2	2025.09.29 08:00:00	XAUUSD	M5	3808.18	0	0	0	0	4945.13	4964.03	4979.45	5002.07
3	2025.09.29 08:05:00	XAUUSD	M5	3805.32	0	0	0	0	4945.13	4964.03	4979.45	5002.07
4	2025.09.29 08:10:00	XAUUSD	M5	3806.44	0	0	0	0	4945.13	4964.03	4979.45	5002.07
5	2025.09.29 08:15:00	XAUUSD	M5	3804.67	0	0	0	0	4945.13	4964.03	4979.45	5002.07
6	2025.09.29 08:20:00	XAUUSD	M5	3806.45	0	0	0	0	4945.13	4964.03	4979.45	5002.07
7	2025.09.29 08:25:00	XAUUSD	M5	3805.38	0	0	0	0	4945.13	4964.03	4979.45	5002.07
8	2025.09.29 08:30:00	XAUUSD	M5	3804.37	0	0	0	0	4945.13	4964.03	4979.45	5002.07
9	2025.09.29 08:35:00	XAUUSD	M5	3805.26	0	0	0	0	4945.13	4964.03	4979.45	5002.07
10	2025.09.29 08:40:00	XAUUSD	M5	3803.84	0	0	0	0	4945.13	4964.03	4979.45	5002.07
11	2025.09.29 08:45:00	XAUUSD	M5	3805.94	0	0	0	0	4945.13	4964.03	4979.45	5002.07
12	2025.09.29 08:50:00	XAUUSD	M5	3811.22	0	0	0	0	4945.13	4964.03	4979.45	5002.07
13	2025.09.29 08:55:00	XAUUSD	M5	3813.73	0	0	0	0	4945.13	4964.03	4979.45	5002.07
14	2025.09.29 09:00:00	XAUUSD	M5	3813.58	0	0	0	0	4945.13	4964.03	4979.45	5002.07
15	2025.09.29 09:05:00	XAUUSD	M5	3812.37	0	0	0	0	4945.13	4964.03	4979.45	5002.07
16	2025.09.29 09:10:00	XAUUSD	M5	3816.86	0	0	0	0	4945.13	4964.03	4979.45	5002.07
17	2025.09.29 09:15:00	XAUUSD	M5	3814.20	0	0	0	0	4945.13	4964.03	4979.45	5002.07
18	2025.09.29 09:20:00	XAUUSD	M5	3815.35	0	0	0	0	4945.13	4964.03	4979.45	5002.07
19	2025.09.29 09:25:00	XAUUSD	M5	3812.71	0	0	0	0	4945.13	4964.03	4979.45	5002.07
20	2025.09.29 09:30:00	XAUUSD	M5	3814.22	0	0	0	0	4945.13	4964.03	4979.45	5002.07
21	2025.09.29 09:35:00	XAUUSD	M5	3815.57	0	0	0	0	4945.13	4964.03	4979.45	5002.07
22	2025.09.29 09:40:00	XAUUSD	M5	3819.01	0	0	0	0	4945.13	4964.03	4979.45	5002.07
23	2025.09.29 09:45:00	XAUUSD	M5	3814.71	0	0	0	0	4945.13	4964.03	4979.45	5002.07
24	2025.09.29 09:50:00	XAUUSD	M5	3815.22	0	0	0	0	4945.13	4964.03	4979.45	5002.07
25	2025.09.29 09:55:00	XAUUSD	M5	3817.37	0	0	0	0	4945.13	4964.03	4979.45	5002.07
26	2025.09.29 10:00:00	XAUUSD	M5	3816.00	0	0	0	0	4945.13	4964.03	4979.45	5002.07
27	2025.09.29 10:05:00	XAUUSD	M5	3815.12	0	0	0	0	4945.13	4964.03	4979.45	5002.07
28	2025.09.29 10:10:00	XAUUSD	M5	3817.28	0	0	0	0	4945.13	4964.03	4979.45	5002.07
29	2025.09.29 10:15:00	XAUUSD	M5	3816.85	0	0	0	0	4945.13	4964.03	4979.45	5002.07
30	2025.09.29 10:20:00	XAUUSD	M5	3815.04	0	0	0	0	4945.13	4964.03	4979.45	5002.07
31	2025.09.29 10:25:00	XAUUSD	M5	3814.29	0	0	0	0	4945.13	4964.03	4979.45	5002.07
32	2025.09.29 10:30:00	XAUUSD	M5	3810.45	0	0	0	0	4945.13	4964.03	4979.45	5002.07
33	2025.09.29 10:35:00	XAUUSD	M5	3810.17	0	0	0	0	4945.13	4964.03	4979.45	5002.07
34	2025.09.29 10:40:00	XAUUSD	M5	3810.59	0	0	0	0	4945.13	4964.03	4979.45	5002.07
35	2025.09.29 10:45:00	XAUUSD	M5	3806.87	0	0	0	0	4945.13	4964.03	4979.45	5002.07
36	2025.09.29 10:50:00	XAUUSD	M5	3805.18	0	0	0	0	4945.13	4964.03	4979.45	5002.07
37	2025.09.29 10:55:00	XAUUSD	M5	3806.25	0	0	0	0	4945.13	4964.03	4979.45	5002.07
38	2025.09.29 11:00:00	XAUUSD	M5	3810.75	0	0	0	0	4945.13	4964.03	4979.45	5002.07
39	2025.09.29 11:05:00	XAUUSD	M5	3813.64	0	0	0	0	4945.13	4964.03	4979.45	5002.07
40	2025.09.29 11:10:00	XAUUSD	M5	3815.94	0	0	0	0	4945.13	4964.03	4979.45	5002.07
41	2025.09.29 11:15:00	XAUUSD	M5	3813.28	0	0	0	0	4945.13	4964.03	4979.45	5002.07
42	2025.09.29 11:20:00	XAUUSD	M5	3811.35	0	0	0	0	4945.13	4964.03	4979.45	5002.07
43	2025.09.29 11:25:00	XAUUSD	M5	3811.48	0	0	0	0	4945.13	4964.03	4979.45	5002.07
44	2025.09.29 11:30:00	XAUUSD	M5	3814.65	0	0	0	0	4945.13	4964.03	4979.45	5002.07
45	2025.09.29 11:35:00	XAUUSD	M5	3814.80	0	0	0	0	4945.13	4964.03	4979.45	5002.07
46	2025.09.29 11:40:00	XAUUSD	M5	3816.25	0	0	0	0	4945.13	4964.03	4979.45	5002.07
47	2025.09.29 11:45:00	XAUUSD	M5	3817.73	0	0	0	0	4945.13	4964.03	4979.45	5002.07
48	2025.09.29 11:50:00	XAUUSD	M5	3818.84	0	0	0	0	4945.13	4964.03	4979.45	5002.07
49	2025.09.29 11:55:00	XAUUSD	M5	3818.73	0	0	0	0	4945.13	4964.03	4979.45	5002.07
50	2025.09.29 12:00:00	XAUUSD	M5	3818.26	0	0	0	0	4945.13	4964.03	4979.45	5002.07
51	2025.09.29 12:05:00	XAUUSD	M5	3817.42	0	0	0	0	4945.13	4964.03	4979.45	5002.07
52	2025.09.29 12:10:00	XAUUSD	M5	3817.63	0	0	0	0	4945.13	4964.03	4979.45	5002.07
53	2025.09.29 12:15:00	XAUUSD	M5	3817.08	0	0	0	0	4945.13	4964.03	4979.45	5002.07
54	2025.09.29 12:20:00	XAUUSD	M5	3816.23	0	0	0	0	4945.13	4964.03	4979.45	5002.07
55	2025.09.29 12:25:00	XAUUSD	M5	3816.08	0	0	0	0	4945.13	4964.03	4979.45	5002.07
56	2025.09.29 12:30:00	XAUUSD	M5	3812.77	0	0	0	0	4945.13	4964.03	4979.45	5002.07
57	2025.09.29 12:35:00	XAUUSD	M5	3810.04	0	0	0	0	4945.13	4964.03	4979.45	5002.07
58	2025.09.29 12:40:00	XAUUSD	M5	3810.26	0	0	0	0	4945.13	4964.03	4979.45	5002.07
59	2025.09.29 12:45:00	XAUUSD	M5	3807.97	0	0	0	0	4945.13	4964.03	4979.45	5002.07
60	2025.09.29 12:50:00	XAUUSD	M5	3807.18	0	0	0	0	4945.13	4964.03	4979.45	5002.07
61	2025.09.29 12:55:00	XAUUSD	M5	3807.48	0	0	0	0	4945.13	4964.03	4979.45	5002.07
62	2025.09.29 13:00:00	XAUUSD	M5	3809.31	0	0	0	0	4945.13	4964.03	4979.45	5002.07
63	2025.09.29 13:05:00	XAUUSD	M5	3807.78	0	0	0	0	4945.13	4964.03	4979.45	5002.07
64	2025.09.29 13:10:00	XAUUSD	M5	3809.93	0	0	0	0	4945.13	4964.03	4979.45	5002.07
65	2025.09.29 13:15:00	XAUUSD	M5	3810.25	0	0	0	0	4945.13	4964.03	4979.45	5002.07
66	2025.09.29 13:20:00	XAUUSD	M5	3815.76	0	0	0	0	4945.13	4964.03	4979.45	5002.07
67	2025.09.29 13:25:00	XAUUSD	M5	3815.84	0	0	0	0	4945.13	4964.03	4979.45	5002.07
68	2025.09.29 13:30:00	XAUUSD	M5	3815.83	0	0	0	0	4945.13	4964.03	4979.45	5002.07
69	2025.09.29 13:35:00	XAUUSD	M5	3817.54	0	0	0	0	4945.13	4964.03	4979.45	5002.07
70	2025.09.29 13:40:00	XAUUSD	M5	3817.39	0	0	0	0	4945.13	4964.03	4979.45	5002.07
71	2025.09.29 13:45:00	XAUUSD	M5	3816.38	0	0	0	0	4945.13	4964.03	4979.45	5002.07
72	2025.09.29 13:50:00	XAUUSD	M5	3816.17	0	0	0	0	4945.13	4964.03	4979.45	5002.07
