Fractal_timestamp	Fractal_symbol	Fractal_timeframe	Fractal_close	Fractal_Best_FL	Fractal_UOEDT	Fractal_LOEDT
1780572003	XAUUSD	M5	4478.88			
1780572303	XAUUSD	M5	4489.58			
1780572603	XAUUSD	M5	4485.26			
1780572903	XAUUSD	M5	4487.90			
1780573203	XAUUSD	M5	4491.51			
1780573503	XAUUSD	M5	4501.28			
1780573803	XAUUSD	M5	4503.83			
1780574103	XAUUSD	M5	4511.65			
1780574403	XAUUSD	M5	4497.24			
1780574703	XAUUSD	M5	4498.29			
1780575003	XAUUSD	M5	4493.89			
1780575303	XAUUSD	M5	4492.47			
1780575603	XAUUSD	M5	4497.45			
1780575903	XAUUSD	M5	4498.87			
1780576203	XAUUSD	M5	4499.19			
1780576503	XAUUSD	M5	4498.94			
1780576803	XAUUSD	M5	4502.12			
1780577103	XAUUSD	M5	4505.07			
1780577403	XAUUSD	M5	4508.45			
1780577703	XAUUSD	M5	4504.15			
1780578003	XAUUSD	M5	4505.12			
1780578303	XAUUSD	M5	4504.82			
1780578603	XAUUSD	M5	4503.18			
1780578903	XAUUSD	M5	4507.86			
1780579203	XAUUSD	M5	4504.81			
1780579503	XAUUSD	M5	4504.66			
1780579803	XAUUSD	M5	4506.46			
1780580103	XAUUSD	M5	4509.28			
1780580403	XAUUSD	M5	4514.99			
1780580703	XAUUSD	M5	4510.02	4515.45000	4535.74290	4463.36339
1780581003	XAUUSD	M5	4498.64	4514.98435	4535.27726	4462.89774
1780581303	XAUUSD	M5	4495.70	4514.51871	4534.81161	4462.43210
1780581603	XAUUSD	M5	4495.51	4514.05306	4534.34597	4461.96645
1780581903	XAUUSD	M5	4490.05	4513.58742	4533.88032	4461.50081
1780582203	XAUUSD	M5	4487.79	4513.12177	4533.41468	4461.03516
1780582503	XAUUSD	M5	4487.57	4512.65613	4532.94903	4460.56952
1780582803	XAUUSD	M5	4485.20	4512.19048	4532.48339	4460.10387
1780583103	XAUUSD	M5	4486.14	4511.72484	4532.01774	4459.63823
