Resistance_timestamp	Resistance_symbol	Resistance_timeframe	Resistance_close	Best_Resistance
1780676103	XAUUSD	M5	4330.50	
1780676403	XAUUSD	M5	4328.59	
1780676703	XAUUSD	M5	4329.73	
1780677003	XAUUSD	M5	4328.76	
1780677303	XAUUSD	M5	4331.87	
1780677603	XAUUSD	M5	4327.87	
1780677903	XAUUSD	M5	4333.99	
1780678203	XAUUSD	M5	4338.16	
1780678503	XAUUSD	M5	4344.61	
1780678803	XAUUSD	M5	4344.23	4346.88000
1780679103	XAUUSD	M5	4339.10	4346.71083
1780679403	XAUUSD	M5	4339.56	4346.54167
1780679703	XAUUSD	M5	4338.42	4346.37250
1780680003	XAUUSD	M5	4339.17	4346.20333
1780680303	XAUUSD	M5	4342.45	4346.03417
1780680603	XAUUSD	M5	4343.12	4345.86500
1780680903	XAUUSD	M5	4345.12	4345.69583
1780681203	XAUUSD	M5	4341.28	4345.52667
1780681503	XAUUSD	M5	4339.94	4345.35750
1780681803	XAUUSD	M5	4343.45	4345.18833
1780682103	XAUUSD	M5	4341.68	4345.01917
1780682403	XAUUSD	M5	4333.58	4344.85000
1780682703	XAUUSD	M5	4329.99	4344.68083
1780683003	XAUUSD	M5	4323.31	4344.51167
1780683303	XAUUSD	M5	4326.24	4344.34250
1780683603	XAUUSD	M5	4327.31	4344.17333
1780683903	XAUUSD	M5	4325.94	4344.00417
1780684203	XAUUSD	M5	4325.10	4343.83500
1780684503	XAUUSD	M5	4320.38	4343.66583
1780684803	XAUUSD	M5	4318.16	4343.49667
1780685103	XAUUSD	M5	4321.70	4343.32750
1780685403	XAUUSD	M5	4320.66	4343.15833
1780685703	XAUUSD	M5	4322.37	4342.98917
1780686003	XAUUSD	M5	4320.86	4342.82000
1780686303	XAUUSD	M5	4319.85	4342.65083
1780686603	XAUUSD	M5	4315.37	4342.48167
1780686903	XAUUSD	M5	4318.53	4342.31250
1780687203	XAUUSD	M5	4319.19	4342.14333
1780687503	XAUUSD	M5	4323.85	4341.97417
1780687803	XAUUSD	M5	4322.93	4341.80500
1780688103	XAUUSD	M5	4322.24	4341.63583
1780688403	XAUUSD	M5	4318.85	4341.46667
1780688703	XAUUSD	M5	4320.78	4341.29750
1780689003	XAUUSD	M5	4318.33	4341.12833
1780689303	XAUUSD	M5	4318.75	4340.95917
1780689603	XAUUSD	M5	4313.73	4340.79000
1780689903	XAUUSD	M5	4314.04	4340.62083
1780690203	XAUUSD	M5	4315.59	4340.45167
1780690503	XAUUSD	M5	4315.45	4340.28250
1780690803	XAUUSD	M5	4319.86	4340.11333
1780691103	XAUUSD	M5	4322.47	4339.94417
1780691403	XAUUSD	M5	4322.48	4339.77500
1780691703	XAUUSD	M5	4323.10	4339.60583
1780692003	XAUUSD	M5	4324.13	4339.43667
1780692303	XAUUSD	M5	4327.47	4339.26750
1780692603	XAUUSD	M5	4327.66	4339.09833
1780692903	XAUUSD	M5	4328.74	4338.92917
1780869603	XAUUSD	M5	4320.90	4338.76000
1780869903	XAUUSD	M5	4319.03	4338.59083
1780870203	XAUUSD	M5	4330.05	4338.42167
1780870503	XAUUSD	M5	4327.66	4338.25250
1780870803	XAUUSD	M5	4323.06	4338.08333
1780871103	XAUUSD	M5	4316.74	4337.91417
1780871403	XAUUSD	M5	4323.38	4337.74500
1780871703	XAUUSD	M5	4325.88	4337.57583
1780872003	XAUUSD	M5	4326.26	4337.40667
1780872303	XAUUSD	M5	4322.59	4337.23750
1780872603	XAUUSD	M5	4323.37	4337.06833
1780872903	XAUUSD	M5	4317.47	4336.89917
1780873203	XAUUSD	M5	4325.96	4336.73000
1780873503	XAUUSD	M5	4326.78	4336.56083
1780873803	XAUUSD	M5	4330.85	4336.39167
1780874103	XAUUSD	M5	4331.38	4336.22250
1780874403	XAUUSD	M5	4330.21	4336.05333
1780874703	XAUUSD	M5	4334.02	4335.88417
1780875003	XAUUSD	M5	4333.84	4335.71500
1780875303	XAUUSD	M5	4336.73	4335.54583
1780875603	XAUUSD	M5	4338.96	4335.37667
1780875903	XAUUSD	M5	4341.97	4335.20750
1780876203	XAUUSD	M5	4343.42	4335.03833
1780876503	XAUUSD	M5	4343.96	4334.86917
1780876803	XAUUSD	M5	4344.88	4334.70000
1780877103	XAUUSD	M5	4345.37	4334.53083
1780877403	XAUUSD	M5	4343.65	4334.36167
1780877703	XAUUSD	M5	4347.71	4334.19250
1780878003	XAUUSD	M5	4351.27	4334.02333
1780878303	XAUUSD	M5	4351.37	4333.85417
1780878603	XAUUSD	M5	4349.14	4333.68500
1780878903	XAUUSD	M5	4347.66	4333.51583
1780879203	XAUUSD	M5	4345.29	4333.34667
1780879503	XAUUSD	M5	4342.42	4333.17750
1780879803	XAUUSD	M5	4341.58	4333.00833
1780880103	XAUUSD	M5	4342.43	4332.83917
1780880403	XAUUSD	M5	4339.22	4332.67000
1780880703	XAUUSD	M5	4336.65	4332.50083
1780881003	XAUUSD	M5	4327.14	4332.33167
1780881303	XAUUSD	M5	4318.23	4332.16250
1780881603	XAUUSD	M5	4321.86	4331.99333
1780881903	XAUUSD	M5	4314.77	4331.82417
1780882203	XAUUSD	M5	4315.21	4331.65500
1780882503	XAUUSD	M5	4317.13	4331.48583
1780882803	XAUUSD	M5	4326.20	4331.31667
1780883103	XAUUSD	M5	4323.55	4331.14750
1780883403	XAUUSD	M5	4324.37	4330.97833
1780883703	XAUUSD	M5	4325.44	4330.80917
1780884003	XAUUSD	M5	4322.83	4330.64000
1780884303	XAUUSD	M5	4319.05	4330.47083
1780884603	XAUUSD	M5	4316.75	4330.30167
1780884903	XAUUSD	M5	4312.15	4330.13250
1780885203	XAUUSD	M5	4316.43	4329.96333
1780885503	XAUUSD	M5	4315.09	4329.79417
1780885803	XAUUSD	M5	4309.55	4329.62500
1780886103	XAUUSD	M5	4311.83	4329.45583
1780886403	XAUUSD	M5	4315.99	4329.28667
1780886703	XAUUSD	M5	4317.38	4329.11750
1780887003	XAUUSD	M5	4312.04	4328.94833
1780887303	XAUUSD	M5	4310.65	4328.77917
1780887603	XAUUSD	M5	4311.21	4328.61000
1780887903	XAUUSD	M5	4308.35	4328.44083
1780888203	XAUUSD	M5	4304.81	4328.27167
1780888503	XAUUSD	M5	4307.51	4328.10250
1780888803	XAUUSD	M5	4310.42	4327.93333
1780889103	XAUUSD	M5	4307.23	4327.76417
1780889403	XAUUSD	M5	4307.04	4327.59500
1780889703	XAUUSD	M5	4307.62	4327.42583
1780890003	XAUUSD	M5	4309.95	4327.25667
1780890303	XAUUSD	M5	4312.35	4327.08750
1780890603	XAUUSD	M5	4314.95	4326.91833
1780890903	XAUUSD	M5	4316.92	4326.74917
1780891203	XAUUSD	M5	4315.19	4326.58000
1780891503	XAUUSD	M5	4318.09	4326.41083
1780891803	XAUUSD	M5	4318.68	4326.24167
1780892103	XAUUSD	M5	4318.62	4326.07250
1780892403	XAUUSD	M5	4317.90	4325.90333
1780892703	XAUUSD	M5	4319.96	4325.73417
1780893003	XAUUSD	M5	4313.46	4325.56500
1780893303	XAUUSD	M5	4311.12	4325.39583
1780893603	XAUUSD	M5	4307.82	4325.22667
1780893903	XAUUSD	M5	4310.11	4325.05750
1780894203	XAUUSD	M5	4311.65	4324.88833
1780894503	XAUUSD	M5	4312.80	4324.71917
1780894803	XAUUSD	M5	4315.21	4324.55000
1780895103	XAUUSD	M5	4310.36	4324.38083
1780895403	XAUUSD	M5	4305.19	4324.21167
1780895703	XAUUSD	M5	4309.41	4324.04250
1780896003	XAUUSD	M5	4311.31	4323.87333
1780896303	XAUUSD	M5	4311.93	4323.70417
1780896603	XAUUSD	M5	4287.02	4323.53500
1780896903	XAUUSD	M5	4291.39	4323.36583
1780897203	XAUUSD	M5	4287.87	4323.19667
1780897503	XAUUSD	M5	4286.72	4323.02750
1780897803	XAUUSD	M5	4289.61	4322.85833
1780898103	XAUUSD	M5	4291.94	4322.68917
1780898403	XAUUSD	M5	4303.65	4322.52000
1780898703	XAUUSD	M5	4302.48	4322.35083
1780899003	XAUUSD	M5	4303.37	4322.18167
1780899303	XAUUSD	M5	4303.18	4322.01250
1780899603	XAUUSD	M5	4308.41	4321.84333
1780899903	XAUUSD	M5	4305.75	4321.67417
1780900203	XAUUSD	M5	4299.29	4321.50500
1780900503	XAUUSD	M5	4296.56	4321.33583
1780900803	XAUUSD	M5	4298.41	4321.16667
1780901103	XAUUSD	M5	4297.44	4320.99750
1780901403	XAUUSD	M5	4297.89	4320.82833
1780901703	XAUUSD	M5	4300.07	4320.65917
1780902003	XAUUSD	M5	4299.24	4320.49000
1780902303	XAUUSD	M5	4300.61	4320.32083
1780902603	XAUUSD	M5	4305.33	4320.15167
1780902903	XAUUSD	M5	4306.26	4319.98250
1780903203	XAUUSD	M5	4314.11	4319.81333
1780903503	XAUUSD	M5	4306.16	4319.64417
1780903803	XAUUSD	M5	4308.17	4319.47500
1780904103	XAUUSD	M5	4307.81	4319.30583
1780904403	XAUUSD	M5	4301.77	4319.13667
1780904703	XAUUSD	M5	4298.57	4318.96750
1780905003	XAUUSD	M5	4296.56	4318.79833
1780905303	XAUUSD	M5	4294.50	4318.62917
1780905603	XAUUSD	M5	4293.29	4318.46000
1780905903	XAUUSD	M5	4294.65	4318.29083
1780906203	XAUUSD	M5	4291.84	4318.12167
1780906503	XAUUSD	M5	4292.80	4317.95250
1780906803	XAUUSD	M5	4288.89	4317.78333
1780907103	XAUUSD	M5	4288.16	4317.61417
1780907403	XAUUSD	M5	4291.37	4317.44500
1780907703	XAUUSD	M5	4287.55	4317.27583
1780908003	XAUUSD	M5	4290.79	4317.10667
1780908303	XAUUSD	M5	4291.17	4316.93750
1780908603	XAUUSD	M5	4288.45	4316.76833
1780908903	XAUUSD	M5	4288.78	4316.59917
1780909203	XAUUSD	M5	4290.83	4316.43000
1780909503	XAUUSD	M5	4285.28	4316.26083
