Support_timestamp	Support_symbol	Support_timeframe	Support_close	Best_Support
1780676103	XAUUSD	M5	4330.50	
1780676403	XAUUSD	M5	4328.59	
1780676703	XAUUSD	M5	4329.73	
1780677003	XAUUSD	M5	4328.76	4323.64000
1780677303	XAUUSD	M5	4331.87	4323.39198
1780677603	XAUUSD	M5	4327.87	4323.14396
1780677903	XAUUSD	M5	4333.99	4322.89594
1780678203	XAUUSD	M5	4338.16	4322.64792
1780678503	XAUUSD	M5	4344.61	4322.39990
1780678803	XAUUSD	M5	4344.23	4322.15187
1780679103	XAUUSD	M5	4339.10	4321.90385
1780679403	XAUUSD	M5	4339.56	4321.65583
1780679703	XAUUSD	M5	4338.42	4321.40781
1780680003	XAUUSD	M5	4339.17	4321.15979
1780680303	XAUUSD	M5	4342.45	4320.91177
1780680603	XAUUSD	M5	4343.12	4320.66375
1780680903	XAUUSD	M5	4345.12	4320.41573
1780681203	XAUUSD	M5	4341.28	4320.16771
1780681503	XAUUSD	M5	4339.94	4319.91969
1780681803	XAUUSD	M5	4343.45	4319.67167
1780682103	XAUUSD	M5	4341.68	4319.42365
1780682403	XAUUSD	M5	4333.58	4319.17562
1780682703	XAUUSD	M5	4329.99	4318.92760
1780683003	XAUUSD	M5	4323.31	4318.67958
1780683303	XAUUSD	M5	4326.24	4318.43156
1780683603	XAUUSD	M5	4327.31	4318.18354
1780683903	XAUUSD	M5	4325.94	4317.93552
1780684203	XAUUSD	M5	4325.10	4317.68750
1780684503	XAUUSD	M5	4320.38	4317.43948
1780684803	XAUUSD	M5	4318.16	4317.19146
1780685103	XAUUSD	M5	4321.70	4316.94344
1780685403	XAUUSD	M5	4320.66	4316.69542
1780685703	XAUUSD	M5	4322.37	4316.44740
1780686003	XAUUSD	M5	4320.86	4316.19938
1780686303	XAUUSD	M5	4319.85	4315.95135
1780686603	XAUUSD	M5	4315.37	4315.70333
1780686903	XAUUSD	M5	4318.53	4315.45531
1780687203	XAUUSD	M5	4319.19	4315.20729
1780687503	XAUUSD	M5	4323.85	4314.95927
1780687803	XAUUSD	M5	4322.93	4314.71125
1780688103	XAUUSD	M5	4322.24	4314.46323
1780688403	XAUUSD	M5	4318.85	4314.21521
1780688703	XAUUSD	M5	4320.78	4313.96719
1780689003	XAUUSD	M5	4318.33	4313.71917
1780689303	XAUUSD	M5	4318.75	4313.47115
1780689603	XAUUSD	M5	4313.73	4313.22312
1780689903	XAUUSD	M5	4314.04	4312.97510
1780690203	XAUUSD	M5	4315.59	4312.72708
1780690503	XAUUSD	M5	4315.45	4312.47906
1780690803	XAUUSD	M5	4319.86	4312.23104
1780691103	XAUUSD	M5	4322.47	4311.98302
1780691403	XAUUSD	M5	4322.48	4311.73500
1780691703	XAUUSD	M5	4323.10	4311.48698
1780692003	XAUUSD	M5	4324.13	4311.23896
1780692303	XAUUSD	M5	4327.47	4310.99094
1780692603	XAUUSD	M5	4327.66	4310.74292
1780692903	XAUUSD	M5	4328.74	4310.49490
1780869603	XAUUSD	M5	4320.90	4310.24687
1780869903	XAUUSD	M5	4319.03	4309.99885
1780870203	XAUUSD	M5	4330.05	4309.75083
1780870503	XAUUSD	M5	4327.66	4309.50281
1780870803	XAUUSD	M5	4323.06	4309.25479
1780871103	XAUUSD	M5	4316.74	4309.00677
1780871403	XAUUSD	M5	4323.38	4308.75875
1780871703	XAUUSD	M5	4325.88	4308.51073
1780872003	XAUUSD	M5	4326.26	4308.26271
1780872303	XAUUSD	M5	4322.59	4308.01469
1780872603	XAUUSD	M5	4323.37	4307.76667
1780872903	XAUUSD	M5	4317.47	4307.51865
1780873203	XAUUSD	M5	4325.96	4307.27062
1780873503	XAUUSD	M5	4326.78	4307.02260
1780873803	XAUUSD	M5	4330.85	4306.77458
1780874103	XAUUSD	M5	4331.38	4306.52656
1780874403	XAUUSD	M5	4330.21	4306.27854
1780874703	XAUUSD	M5	4334.02	4306.03052
1780875003	XAUUSD	M5	4333.84	4305.78250
1780875303	XAUUSD	M5	4336.73	4305.53448
1780875603	XAUUSD	M5	4338.96	4305.28646
1780875903	XAUUSD	M5	4341.97	4305.03844
1780876203	XAUUSD	M5	4343.42	4304.79042
1780876503	XAUUSD	M5	4343.96	4304.54240
1780876803	XAUUSD	M5	4344.88	4304.29437
1780877103	XAUUSD	M5	4345.37	4304.04635
1780877403	XAUUSD	M5	4343.65	4303.79833
1780877703	XAUUSD	M5	4347.71	4303.55031
1780878003	XAUUSD	M5	4351.27	4303.30229
1780878303	XAUUSD	M5	4351.37	4303.05427
1780878603	XAUUSD	M5	4349.14	4302.80625
1780878903	XAUUSD	M5	4347.66	4302.55823
1780879203	XAUUSD	M5	4345.29	4302.31021
1780879503	XAUUSD	M5	4342.42	4302.06219
1780879803	XAUUSD	M5	4341.58	4301.81417
1780880103	XAUUSD	M5	4342.43	4301.56615
1780880403	XAUUSD	M5	4339.22	4301.31812
1780880703	XAUUSD	M5	4336.65	4301.07010
1780881003	XAUUSD	M5	4327.14	4300.82208
1780881303	XAUUSD	M5	4318.23	4300.57406
1780881603	XAUUSD	M5	4321.86	4300.32604
1780881903	XAUUSD	M5	4314.77	4300.07802
1780882203	XAUUSD	M5	4315.21	4299.83000
1780882503	XAUUSD	M5	4317.13	4299.58198
1780882803	XAUUSD	M5	4326.20	4299.33396
1780883103	XAUUSD	M5	4323.55	4299.08594
1780883403	XAUUSD	M5	4324.37	4298.83792
1780883703	XAUUSD	M5	4325.44	4298.58990
1780884003	XAUUSD	M5	4322.83	4298.34187
1780884303	XAUUSD	M5	4319.05	4298.09385
1780884603	XAUUSD	M5	4316.75	4297.84583
1780884903	XAUUSD	M5	4312.15	4297.59781
1780885203	XAUUSD	M5	4316.43	4297.34979
1780885503	XAUUSD	M5	4315.09	4297.10177
1780885803	XAUUSD	M5	4309.55	4296.85375
1780886103	XAUUSD	M5	4311.83	4296.60573
1780886403	XAUUSD	M5	4315.99	4296.35771
1780886703	XAUUSD	M5	4317.38	4296.10969
1780887003	XAUUSD	M5	4312.04	4295.86167
1780887303	XAUUSD	M5	4310.65	4295.61365
1780887603	XAUUSD	M5	4311.21	4295.36562
1780887903	XAUUSD	M5	4308.35	4295.11760
1780888203	XAUUSD	M5	4304.81	4294.86958
1780888503	XAUUSD	M5	4307.51	4294.62156
1780888803	XAUUSD	M5	4310.42	4294.37354
1780889103	XAUUSD	M5	4307.23	4294.12552
1780889403	XAUUSD	M5	4307.04	4293.87750
1780889703	XAUUSD	M5	4307.62	4293.62948
1780890003	XAUUSD	M5	4309.95	4293.38146
1780890303	XAUUSD	M5	4312.35	4293.13344
1780890603	XAUUSD	M5	4314.95	4292.88542
1780890903	XAUUSD	M5	4316.92	4292.63740
1780891203	XAUUSD	M5	4315.19	4292.38937
1780891503	XAUUSD	M5	4318.09	4292.14135
1780891803	XAUUSD	M5	4318.68	4291.89333
1780892103	XAUUSD	M5	4318.62	4291.64531
1780892403	XAUUSD	M5	4317.90	4291.39729
1780892703	XAUUSD	M5	4319.96	4291.14927
1780893003	XAUUSD	M5	4313.46	4290.90125
1780893303	XAUUSD	M5	4311.12	4290.65323
1780893603	XAUUSD	M5	4307.82	4290.40521
1780893903	XAUUSD	M5	4310.11	4290.15719
1780894203	XAUUSD	M5	4311.65	4289.90917
1780894503	XAUUSD	M5	4312.80	4289.66115
1780894803	XAUUSD	M5	4315.21	4289.41312
1780895103	XAUUSD	M5	4310.36	4289.16510
1780895403	XAUUSD	M5	4305.19	4288.91708
1780895703	XAUUSD	M5	4309.41	4288.66906
1780896003	XAUUSD	M5	4311.31	4288.42104
1780896303	XAUUSD	M5	4311.93	4288.17302
1780896603	XAUUSD	M5	4287.02	4287.92500
1780896903	XAUUSD	M5	4291.39	4287.67698
1780897203	XAUUSD	M5	4287.87	4287.42896
1780897503	XAUUSD	M5	4286.72	4287.18094
1780897803	XAUUSD	M5	4289.61	4286.93292
1780898103	XAUUSD	M5	4291.94	4286.68490
1780898403	XAUUSD	M5	4303.65	4286.43687
1780898703	XAUUSD	M5	4302.48	4286.18885
1780899003	XAUUSD	M5	4303.37	4285.94083
1780899303	XAUUSD	M5	4303.18	4285.69281
1780899603	XAUUSD	M5	4308.41	4285.44479
1780899903	XAUUSD	M5	4305.75	4285.19677
1780900203	XAUUSD	M5	4299.29	4284.94875
1780900503	XAUUSD	M5	4296.56	4284.70073
1780900803	XAUUSD	M5	4298.41	4284.45271
1780901103	XAUUSD	M5	4297.44	4284.20469
1780901403	XAUUSD	M5	4297.89	4283.95667
1780901703	XAUUSD	M5	4300.07	4283.70865
1780902003	XAUUSD	M5	4299.24	4283.46062
1780902303	XAUUSD	M5	4300.61	4283.21260
1780902603	XAUUSD	M5	4305.33	4282.96458
1780902903	XAUUSD	M5	4306.26	4282.71656
1780903203	XAUUSD	M5	4314.11	4282.46854
1780903503	XAUUSD	M5	4306.16	4282.22052
1780903803	XAUUSD	M5	4308.17	4281.97250
1780904103	XAUUSD	M5	4307.81	4281.72448
1780904403	XAUUSD	M5	4301.77	4281.47646
1780904703	XAUUSD	M5	4298.57	4281.22844
1780905003	XAUUSD	M5	4296.56	4280.98042
1780905303	XAUUSD	M5	4294.50	4280.73240
1780905603	XAUUSD	M5	4293.29	4280.48437
1780905903	XAUUSD	M5	4294.65	4280.23635
1780906203	XAUUSD	M5	4291.84	4279.98833
1780906503	XAUUSD	M5	4292.80	4279.74031
1780906803	XAUUSD	M5	4288.89	4279.49229
1780907103	XAUUSD	M5	4288.16	4279.24427
1780907403	XAUUSD	M5	4291.37	4278.99625
1780907703	XAUUSD	M5	4287.55	4278.74823
1780908003	XAUUSD	M5	4290.79	4278.50021
1780908303	XAUUSD	M5	4291.17	4278.25219
1780908603	XAUUSD	M5	4288.45	4278.00417
1780908903	XAUUSD	M5	4288.78	4277.75615
1780909203	XAUUSD	M5	4290.83	4277.50812
