No	TimeStamp	Symbol	Timeframe	Close	ha_open	ha_high	ha_low	ha_close	ha_classification	ha_body_size	ha_body_zscore
0	2025.09.29 08:00	XAUUSD	PERIOD_M5	3808.18	3806.29	3808.34	3803.57	3806.28	3	0.01	-1.11928
1	2025.09.29 08:05	XAUUSD	PERIOD_M5	3805.32	3806.28	3812.04	3804.69	3807.56	0	1.27	-0.28314
2	2025.09.29 08:10	XAUUSD	PERIOD_M5	3806.44	3806.92	3807.10	3804.03	3805.72	3	1.20	-0.33374
3	2025.09.29 08:15	XAUUSD	PERIOD_M5	3804.67	3806.32	3807.22	3804.67	3805.75	3	0.57	-0.74812
4	2025.09.29 08:20	XAUUSD	PERIOD_M5	3806.45	3806.04	3806.54	3802.40	3805.02	3	1.02	-0.45387
5	2025.09.29 08:25	XAUUSD	PERIOD_M5	3805.38	3805.53	3807.08	3803.16	3805.55	0	0.02	-1.11190
6	2025.09.29 08:30	XAUUSD	PERIOD_M5	3804.37	3805.54	3809.30	3804.23	3805.84	0	0.30	-0.92701
7	2025.09.29 08:35	XAUUSD	PERIOD_M5	3805.26	3805.69	3807.29	3804.28	3805.32	3	0.37	-0.88549
8	2025.09.29 08:40	XAUUSD	PERIOD_M5	3803.84	3805.51	3806.70	3801.16	3804.24	3	1.27	-0.29083
9	2025.09.29 08:45	XAUUSD	PERIOD_M5	3805.94	3804.87	3807.08	3803.27	3805.01	0	0.14	-1.03924
10	2025.09.29 08:50	XAUUSD	PERIOD_M5	3811.22	3804.94	3811.57	3804.94	3808.44	0	3.50	1.18307
11	2025.09.29 08:55	XAUUSD	PERIOD_M5	3813.73	3806.69	3814.63	3806.69	3812.19	1	5.50	2.47142
12	2025.09.29 09:00	XAUUSD	PERIOD_M5	3813.58	3809.44	3815.22	3809.44	3813.63	0	4.19	1.59724
13	2025.09.29 09:05	XAUUSD	PERIOD_M5	3812.37	3811.54	3813.58	3810.96	3812.62	0	1.08	-0.43219
14	2025.09.29 09:10	XAUUSD	PERIOD_M5	3816.86	3812.08	3817.22	3811.33	3814.44	0	2.36	0.39777
15	2025.09.29 09:15	XAUUSD	PERIOD_M5	3814.20	3813.26	3818.50	3813.26	3815.82	0	2.56	0.52853
16	2025.09.29 09:20	XAUUSD	PERIOD_M5	3815.35	3814.54	3817.03	3812.79	3814.84	0	0.30	-0.95447
17	2025.09.29 09:25	XAUUSD	PERIOD_M5	3812.71	3814.69	3815.54	3811.89	3813.88	3	0.81	-0.62000
