z-score_timestamp	z-score_symbol	z-score_timeframe	z-score_close	z-score_open	z-score_high	z-score_low	body_direction	body_size	body_classification
1781001001	XAUUSD	M5	4333.85	4333.91	4335.12	4332.37	-1	1.03013	3
1781001301	XAUUSD	M5	4331.97	4333.85	4334.00	4331.75	-1	0.32768	3
1781001601	XAUUSD	M5	4332.65	4331.97	4332.82	4329.79	1	0.79143	0
1781001901	XAUUSD	M5	4330.74	4332.65	4333.13	4330.57	-1	0.31431	3
1781002201	XAUUSD	M5	4335.14	4330.75	4336.65	4330.36	1	0.64162	0
1781002501	XAUUSD	M5	4339.15	4335.16	4340.76	4334.72	1	0.48426	0
1781002801	XAUUSD	M5	4335.92	4339.08	4340.34	4335.68	-1	0.17249	3
1781003101	XAUUSD	M5	4337.21	4335.93	4339.04	4335.65	1	0.56437	0
1781003401	XAUUSD	M5	4337.83	4337.45	4338.16	4336.08	1	0.91817	0
1781003701	XAUUSD	M5	4339.31	4337.84	4339.45	4336.14	1	0.48461	0
1781004001	XAUUSD	M5	4337.27	4339.27	4340.46	4337.22	-1	0.27240	3
1781004301	XAUUSD	M5	4338.75	4337.25	4338.89	4336.30	1	0.46738	0
1781004601	XAUUSD	M5	4337.87	4338.77	4338.91	4336.97	-1	0.70231	3
1781004901	XAUUSD	M5	4337.41	4337.88	4338.32	4336.89	-1	0.87101	3
1781005201	XAUUSD	M5	4338.95	4337.22	4340.08	4337.13	1	0.37093	0
1781005501	XAUUSD	M5	4340.14	4338.90	4340.55	4337.38	1	0.56392	0
1781005801	XAUUSD	M5	4341.36	4340.20	4343.86	4340.18	1	0.59623	0
1781006101	XAUUSD	M5	4339.76	4341.32	4343.35	4339.57	-1	0.43355	3
1781006401	XAUUSD	M5	4342.37	4339.84	4343.48	4339.70	1	0.04105	0
1781006701	XAUUSD	M5	4343.71	4342.37	4344.03	4341.64	1	0.51987	0
1781007001	XAUUSD	M5	4340.92	4343.75	4344.06	4340.88	-1	0.08019	3
1781007301	XAUUSD	M5	4342.98	4341.08	4342.98	4338.97	1	0.29518	0
1781007601	XAUUSD	M5	4338.60	4342.91	4342.91	4337.19	-1	0.67147	3
1781007901	XAUUSD	M5	4335.94	4338.58	4339.86	4335.43	-1	0.00071	3
1781008201	XAUUSD	M5	4336.67	4335.94	4339.97	4334.97	1	0.76875	0
1781008501	XAUUSD	M5	4340.71	4336.64	4341.42	4336.09	1	0.57454	0
1781008801	XAUUSD	M5	4340.92	4340.67	4342.10	4339.11	1	0.95993	0
1781009101	XAUUSD	M5	4341.28	4340.87	4344.37	4339.98	1	0.89239	0
1781009401	XAUUSD	M5	4337.55	4341.33	4343.76	4337.24	-1	0.45891	3
1781009701	XAUUSD	M5	4341.42	4337.39	4342.03	4336.75	1	0.55635	0
1781010001	XAUUSD	M5	4339.49	4341.61	4345.53	4338.14	-1	0.21264	3
