No	TimeStamp	Symbol	Timeframe	Open	High	Low	Close	Candle direction	Z-Score of body size	Candle classification
0	2026.02.16 15:45	XAUUSD	PERIOD_M5	4995.18	4995.61	4989.78	4993.76	bearish	0.58516	3
1	2026.02.16 15:40	XAUUSD	PERIOD_M5	4993.76	4995.17	4992.71	4995.09	bullish	0.61351	0
2	2026.02.16 15:35	XAUUSD	PERIOD_M5	4996.23	4998.53	4992.88	4993.77	bearish	0.28949	3
3	2026.02.16 15:30	XAUUSD	PERIOD_M5	4994.54	4997.50	4994.18	4996.23	bullish	0.50886	0
4	2026.02.16 15:25	XAUUSD	PERIOD_M5	5001.11	5001.79	4993.31	4994.12	bearish	1.00958	3
5	2026.02.16 15:20	XAUUSD	PERIOD_M5	4998.87	5001.82	4997.63	5001.11	bullish	0.35090	0
6	2026.02.16 15:15	XAUUSD	PERIOD_M5	4998.11	5000.73	4995.93	4998.87	bullish	0.77429	0
7	2026.02.16 15:10	XAUUSD	PERIOD_M5	5002.11	5002.28	4997.96	4998.11	bearish	0.15446	3
8	2026.02.16 15:05	XAUUSD	PERIOD_M5	5002.54	5003.54	5001.09	5002.11	bearish	0.86840	3
9	2026.02.16 15:00	XAUUSD	PERIOD_M5	5002.11	5003.67	5001.18	5002.35	bullish	0.91876	0
10	2026.02.16 14:55	XAUUSD	PERIOD_M5	5000.34	5002.38	4999.90	5002.11	bullish	0.49085	0
11	2026.02.16 14:50	XAUUSD	PERIOD_M5	5002.54	5002.56	4999.41	5000.34	bearish	0.37110	3
12	2026.02.16 14:45	XAUUSD	PERIOD_M5	5005.00	5005.85	5001.83	5002.68	bearish	0.33782	3
13	2026.02.16 14:40	XAUUSD	PERIOD_M5	5003.19	5004.99	5001.68	5004.99	bullish	0.48403	0
14	2026.02.16 14:35	XAUUSD	PERIOD_M5	5005.49	5008.04	5003.06	5003.19	bearish	0.34393	3
15	2026.02.16 14:30	XAUUSD	PERIOD_M5	4996.39	5006.41	4995.19	5005.61	bullish	1.58138	1
16	2026.02.16 14:25	XAUUSD	PERIOD_M5	4998.98	4998.98	4995.14	4996.39	bearish	0.26575	3
17	2026.02.16 14:20	XAUUSD	PERIOD_M5	4999.14	4999.28	4998.08	4998.94	bearish	0.93173	3
18	2026.02.16 14:15	XAUUSD	PERIOD_M5	4997.66	4999.13	4992.96	4999.12	bullish	0.57966	0
19	2026.02.16 14:10	XAUUSD	PERIOD_M5	5002.38	5002.50	4997.54	4997.66	bearish	0.32401	3
20	2026.02.16 14:05	XAUUSD	PERIOD_M5	5002.85	5003.87	5000.80	5002.38	bearish	0.85756	3
21	2026.02.16 14:00	XAUUSD	PERIOD_M5	5004.33	5004.76	5002.21	5002.85	bearish	0.57892	3
22	2026.02.16 13:55	XAUUSD	PERIOD_M5	5004.85	5005.10	5003.16	5004.33	bearish	0.80384	3
23	2026.02.16 13:50	XAUUSD	PERIOD_M5	5002.65	5005.91	5002.17	5004.85	bullish	0.37626	0
24	2026.02.16 13:45	XAUUSD	PERIOD_M5	5006.66	5008.16	5002.14	5002.66	bearish	0.08243	3
25	2026.02.16 13:40	XAUUSD	PERIOD_M5	5003.96	5007.01	5003.46	5006.66	bullish	0.24885	0
26	2026.02.16 13:35	XAUUSD	PERIOD_M5	5003.70	5004.03	5002.90	5003.96	bullish	0.87356	0
27	2026.02.16 13:30	XAUUSD	PERIOD_M5	5004.65	5005.47	5003.02	5003.70	bearish	0.69838	3
