zigzag_TimeStamp	zigzag_symbol	zigzag_timeframe	zigzag_close	zigzag_Type	CurrentPoint	CurrentPrChg	Current%Chg	Current%ChgClass	CurrentBars	CurrentBarsClass	CurrentPrPerBar	CurrentPrPerBarClass	CurrentSlope	CurrentCategory
1779882902	XAUUSD	M5	4428.63000	Bottom	4424.89000	-73.78000	-1.64	5	37	5	-1.99405	3	-63.3667	LL
1779884402	XAUUSD	M5	4454.63000	Peak	4466.28000	41.39000	0.94	0	5	0	8.27800	2	83.1119	LH
1779888302	XAUUSD	M5	4404.89000	Bottom	4401.50000	-64.78000	-1.45	5	13	3	-4.98308	3	-78.6527	LL
1779891002	XAUUSD	M5	4447.95000	Peak	4455.37000	53.87000	1.22	1	9	0	5.98556	0	80.5153	LH
1779894602	XAUUSD	M5	4432.11000	Bottom	4428.24000	-27.13000	-0.61	3	12	3	-2.26083	3	-66.1395	HL
1779906002	XAUUSD	M5	4454.96000	Peak	4458.37000	30.13000	0.68	0	38	2	0.79289	0	38.4107	HH
1779911702	XAUUSD	M5	4450.84000	Bottom	4449.03000	-9.34000	-0.21	3	19	3	-0.49158	3	-26.1778	HL
1779919202	XAUUSD	M5	4456.72000	Peak	4465.92000	16.89000	0.38	0	13	0	1.29923	0	52.4150	HH
1779928202	XAUUSD	M5	4449.50000	Bottom	4443.85000	-22.07000	-0.49	3	30	4	-0.73567	3	-36.3407	LL
1779930002	XAUUSD	M5	4446.01000	Peak	4458.82000	14.97000	0.34	0	6	0	2.49500	0	68.1590	LH
1779942002	XAUUSD	M5	4371.54000	Bottom	4366.32000	-92.50000	-2.07	5	40	5	-2.31250	3	-66.6148	LL
1779952802	XAUUSD	M5	4394.41000	Peak	4396.22000	29.90000	0.68	0	36	1	0.83056	0	39.7115	LH
1779958502	XAUUSD	M5	4387.12000	Bottom	4385.86000	-10.36000	-0.24	3	19	3	-0.54526	3	-28.6020	HL
1779963002	XAUUSD	M5	4399.34000	Peak	4404.43000	18.57000	0.42	0	15	0	1.23800	0	51.0703	HH
1779965402	XAUUSD	M5	4382.14000	Bottom	4375.47000	-28.96000	-0.66	3	8	3	-3.62000	3	-74.5576	LL
1779970502	XAUUSD	M5	4388.31000	Peak	4392.87000	17.40000	0.40	0	17	0	1.02353	0	45.6662	LH
1779970802	XAUUSD	M5	4381.30000	Bottom	4379.58000	-13.29000	-0.30	3	1	3	-13.29000	5	-85.6969	HL
1779991202	XAUUSD	M5	4513.18000	Peak	4516.57000	136.99000	3.13	2	68	2	2.01456	0	63.6008	HH
1780008902	XAUUSD	M5	4491.20000	Bottom	4491.04000	-25.53000	-0.57	3	47	5	-0.54319	3	-28.5104	HL
1780010102	XAUUSD	M5	4495.92000	Peak	4497.03000	5.99000	0.13	0	4	0	1.49750	0	56.2658	LH
1780011902	XAUUSD	M5	4490.56000	Bottom	4489.19000	-7.84000	-0.17	3	6	3	-1.30667	3	-52.5729	LL
1780017302	XAUUSD	M5	4518.56000	Peak	4520.75000	31.56000	0.70	0	18	0	1.75333	0	60.3021	HH
1780025702	XAUUSD	M5	4496.27000	Bottom	4494.93000	-25.82000	-0.57	3	28	3	-0.92214	3	-42.6805	HL
1780030802	XAUUSD	M5	4509.71000	Peak	4515.41000	20.48000	0.46	0	17	0	1.20471	0	50.3047	LH
1780032902	XAUUSD	M5	4503.72000	Bottom	4502.84000	-12.57000	-0.28	3	7	3	-1.79571	3	-60.8874	HL
1780037702	XAUUSD	M5	4523.69000	Peak	4524.16000	21.32000	0.47	0	16	0	1.33250	0	53.1129	HH
1780039502	XAUUSD	M5	4514.03000	Bottom	4510.91000	-13.25000	-0.29	3	6	3	-2.20833	3	-65.6375	HL
1780040702	XAUUSD	M5	4524.22000	Peak	4526.21000	15.30000	0.34	0	4	0	3.82500	0	75.3486	HH
1780044602	XAUUSD	M5	4513.87000	Bottom	4510.03000	-16.18000	-0.36	3	13	3	-1.24462	3	-51.2195	LL
1780050902	XAUUSD	M5	4541.41000	Peak	4543.31000	33.28000	0.74	0	21	0	1.58476	0	57.7477	HH
1780058402	XAUUSD	M5	4514.13000	Bottom	4512.71000	-30.60000	-0.67	3	25	3	-1.22400	3	-50.7514	HL
