No	TimeStamp	Symbol	Timeframe	Close	dual_tema_high	dual_tema_low
0	2025.10.09 00:00	NZDUSD.i	H1	0.57822		
1	2025.10.09 01:00	NZDUSD.i	H1	0.57879		
2	2025.10.09 02:00	NZDUSD.i	H1	0.57833		
3	2025.10.09 03:00	NZDUSD.i	H1	0.57913		
4	2025.10.09 04:00	NZDUSD.i	H1	0.57928		
5	2025.10.09 05:00	NZDUSD.i	H1	0.58046		
6	2025.10.09 06:00	NZDUSD.i	H1	0.58000		
7	2025.10.09 07:00	NZDUSD.i	H1	0.58038		
8	2025.10.09 08:00	NZDUSD.i	H1	0.57950		
9	2025.10.09 09:00	NZDUSD.i	H1	0.57689		
10	2025.10.09 10:00	NZDUSD.i	H1	0.57703		
11	2025.10.09 11:00	NZDUSD.i	H1	0.57679		
12	2025.10.09 12:00	NZDUSD.i	H1	0.57789		
13	2025.10.09 13:00	NZDUSD.i	H1	0.57795		
14	2025.10.09 14:00	NZDUSD.i	H1	0.57796		
15	2025.10.09 15:00	NZDUSD.i	H1	0.57814		
16	2025.10.09 16:00	NZDUSD.i	H1	0.57664		
17	2025.10.09 17:00	NZDUSD.i	H1	0.57509		
18	2025.10.09 18:00	NZDUSD.i	H1	0.57437		
19	2025.10.09 19:00	NZDUSD.i	H1	0.57406		
20	2025.10.09 20:00	NZDUSD.i	H1	0.57447		
21	2025.10.09 21:00	NZDUSD.i	H1	0.57376		
22	2025.10.09 22:00	NZDUSD.i	H1	0.57432		
23	2025.10.09 23:00	NZDUSD.i	H1	0.57428		
24	2025.10.10 00:00	NZDUSD.i	H1	0.57446	0.57405	0.57362
25	2025.10.10 01:00	NZDUSD.i	H1	0.57472	0.57426	0.57379
26	2025.10.10 02:00	NZDUSD.i	H1	0.57517	0.57459	0.57393
27	2025.10.10 03:00	NZDUSD.i	H1	0.57529	0.57489	0.57420
28	2025.10.10 04:00	NZDUSD.i	H1	0.57517	0.57529	0.57467
29	2025.10.10 05:00	NZDUSD.i	H1	0.57541	0.57551	0.57491
30	2025.10.10 06:00	NZDUSD.i	H1	0.57566	0.57569	0.57519
31	2025.10.10 07:00	NZDUSD.i	H1	0.57554	0.57584	0.57530
32	2025.10.10 08:00	NZDUSD.i	H1	0.57534	0.57593	0.57544
33	2025.10.10 09:00	NZDUSD.i	H1	0.57481	0.57585	0.57491
34	2025.10.10 10:00	NZDUSD.i	H1	0.57504	0.57561	0.57450
35	2025.10.10 11:00	NZDUSD.i	H1	0.57563	0.57577	0.57467
36	2025.10.10 12:00	NZDUSD.i	H1	0.57498	0.57580	0.57479
37	2025.10.10 13:00	NZDUSD.i	H1	0.57484	0.57568	0.57480
38	2025.10.10 14:00	NZDUSD.i	H1	0.57493	0.57544	0.57480
39	2025.10.10 15:00	NZDUSD.i	H1	0.57520	0.57551	0.57485
40	2025.10.10 16:00	NZDUSD.i	H1	0.57494	0.57541	0.57472
41	2025.10.10 17:00	NZDUSD.i	H1	0.57392	0.57528	0.57428
42	2025.10.10 18:00	NZDUSD.i	H1	0.57315	0.57470	0.57327
43	2025.10.10 19:00	NZDUSD.i	H1	0.57218	0.57394	0.57248
44	2025.10.10 20:00	NZDUSD.i	H1	0.57223	0.57305	0.57188
45	2025.10.10 21:00	NZDUSD.i	H1	0.57224	0.57269	0.57169
46	2025.10.10 22:00	NZDUSD.i	H1	0.57239	0.57251	0.57169
47	2025.10.10 23:00	NZDUSD.i	H1	0.57170	0.57238	0.57138
48	2025.10.13 00:00	NZDUSD.i	H1	0.57299	0.57297	0.57143
49	2025.10.13 01:00	NZDUSD.i	H1	0.57332	0.57361	0.57198
50	2025.10.13 02:00	NZDUSD.i	H1	0.57256	0.57353	0.57219
51	2025.10.13 03:00	NZDUSD.i	H1	0.57349	0.57362	0.57219
52	2025.10.13 04:00	NZDUSD.i	H1	0.57406	0.57406	0.57277
53	2025.10.13 05:00	NZDUSD.i	H1	0.57388	0.57436	0.57335
54	2025.10.13 06:00	NZDUSD.i	H1	0.57347	0.57442	0.57339
55	2025.10.13 07:00	NZDUSD.i	H1	0.57385	0.57430	0.57352
56	2025.10.13 08:00	NZDUSD.i	H1	0.57366	0.57422	0.57366
57	2025.10.13 09:00	NZDUSD.i	H1	0.57332	0.57422	0.57357
58	2025.10.13 10:00	NZDUSD.i	H1	0.57360	0.57418	0.57336
59	2025.10.13 11:00	NZDUSD.i	H1	0.57311	0.57406	0.57297
60	2025.10.13 12:00	NZDUSD.i	H1	0.57338	0.57387	0.57303
61	2025.10.13 13:00	NZDUSD.i	H1	0.57305	0.57363	0.57295
62	2025.10.13 14:00	NZDUSD.i	H1	0.57205	0.57350	0.57245
63	2025.10.13 15:00	NZDUSD.i	H1	0.57215	0.57299	0.57211
64	2025.10.13 16:00	NZDUSD.i	H1	0.57313	0.57298	0.57201
65	2025.10.13 17:00	NZDUSD.i	H1	0.57253	0.57299	0.57187
66	2025.10.13 18:00	NZDUSD.i	H1	0.57315	0.57309	0.57205
67	2025.10.13 19:00	NZDUSD.i	H1	0.57344	0.57329	0.57240
68	2025.10.13 20:00	NZDUSD.i	H1	0.57318	0.57340	0.57270
69	2025.10.13 21:00	NZDUSD.i	H1	0.57293	0.57347	0.57275
70	2025.10.13 22:00	NZDUSD.i	H1	0.57269	0.57330	0.57275
71	2025.10.13 23:00	NZDUSD.i	H1	0.57241	0.57304	0.57260
72	2025.10.14 00:00	NZDUSD.i	H1	0.57229	0.57284	0.57240
73	2025.10.14 01:00	NZDUSD.i	H1	0.57259	0.57279	0.57236
74	2025.10.14 02:00	NZDUSD.i	H1	0.57168	0.57268	0.57196
75	2025.10.14 03:00	NZDUSD.i	H1	0.57224	0.57251	0.57164
76	2025.10.14 04:00	NZDUSD.i	H1	0.57223	0.57251	0.57172
77	2025.10.14 05:00	NZDUSD.i	H1	0.57174	0.57245	0.57167
78	2025.10.14 06:00	NZDUSD.i	H1	0.57109	0.57213	0.57113
79	2025.10.14 07:00	NZDUSD.i	H1	0.57072	0.57161	0.57061
80	2025.10.14 08:00	NZDUSD.i	H1	0.56996	0.57106	0.56994
81	2025.10.14 09:00	NZDUSD.i	H1	0.56943	0.57039	0.56919
82	2025.10.14 10:00	NZDUSD.i	H1	0.56895	0.56978	0.56858
83	2025.10.14 11:00	NZDUSD.i	H1	0.56909	0.56943	0.56842
84	2025.10.14 12:00	NZDUSD.i	H1	0.56858	0.56909	0.56820
85	2025.10.14 13:00	NZDUSD.i	H1	0.56868	0.56866	0.56800
86	2025.10.14 14:00	NZDUSD.i	H1	0.56883	0.56863	0.56800
87	2025.10.14 15:00	NZDUSD.i	H1	0.56917	0.56879	0.56817
88	2025.10.14 16:00	NZDUSD.i	H1	0.56977	0.56926	0.56851
89	2025.10.14 17:00	NZDUSD.i	H1	0.57119	0.57021	0.56908
90	2025.10.14 18:00	NZDUSD.i	H1	0.57174	0.57112	0.56997
91	2025.10.14 19:00	NZDUSD.i	H1	0.57191	0.57190	0.57074
92	2025.10.14 20:00	NZDUSD.i	H1	0.57183	0.57219	0.57131
93	2025.10.14 21:00	NZDUSD.i	H1	0.57168	0.57231	0.57169
94	2025.10.14 22:00	NZDUSD.i	H1	0.57120	0.57232	0.57161
95	2025.10.14 23:00	NZDUSD.i	H1	0.57134	0.57208	0.57143
96	2025.10.15 00:00	NZDUSD.i	H1	0.57136	0.57189	0.57137
97	2025.10.15 01:00	NZDUSD.i	H1	0.57143	0.57192	0.57148
98	2025.10.15 02:00	NZDUSD.i	H1	0.57121	0.57187	0.57146
99	2025.10.15 03:00	NZDUSD.i	H1	0.57115	0.57167	0.57111
100	2025.10.15 04:00	NZDUSD.i	H1	0.57193	0.57193	0.57111
101	2025.10.15 05:00	NZDUSD.i	H1	0.57193	0.57237	0.57152
102	2025.10.15 06:00	NZDUSD.i	H1	0.57219	0.57251	0.57174
103	2025.10.15 07:00	NZDUSD.i	H1	0.57204	0.57249	0.57186
104	2025.10.15 08:00	NZDUSD.i	H1	0.57170	0.57243	0.57186
105	2025.10.15 09:00	NZDUSD.i	H1	0.57274	0.57276	0.57174
106	2025.10.15 10:00	NZDUSD.i	H1	0.57227	0.57304	0.57201
107	2025.10.15 11:00	NZDUSD.i	H1	0.57265	0.57305	0.57219
108	2025.10.15 12:00	NZDUSD.i	H1	0.57288	0.57305	0.57222
109	2025.10.15 13:00	NZDUSD.i	H1	0.57285	0.57307	0.57236
110	2025.10.15 14:00	NZDUSD.i	H1	0.57232	0.57309	0.57237
111	2025.10.15 15:00	NZDUSD.i	H1	0.57171	0.57291	0.57203
112	2025.10.15 16:00	NZDUSD.i	H1	0.57213	0.57263	0.57171
113	2025.10.15 17:00	NZDUSD.i	H1	0.57233	0.57249	0.57162
114	2025.10.15 18:00	NZDUSD.i	H1	0.57226	0.57271	0.57176
115	2025.10.15 19:00	NZDUSD.i	H1	0.57209	0.57251	0.57177
116	2025.10.15 20:00	NZDUSD.i	H1	0.57119	0.57227	0.57116
117	2025.10.15 21:00	NZDUSD.i	H1	0.57184	0.57202	0.57108
118	2025.10.15 22:00	NZDUSD.i	H1	0.57214	0.57200	0.57135
119	2025.10.15 23:00	NZDUSD.i	H1	0.57224	0.57212	0.57167
120	2025.10.16 00:00	NZDUSD.i	H1	0.57175	0.57213	0.57154
121	2025.10.16 01:00	NZDUSD.i	H1	0.57208	0.57215	0.57161
122	2025.10.16 02:00	NZDUSD.i	H1	0.57152	0.57211	0.57138
123	2025.10.16 03:00	NZDUSD.i	H1	0.57293	0.57269	0.57131
124	2025.10.16 04:00	NZDUSD.i	H1	0.57494	0.57412	0.57204
125	2025.10.16 05:00	NZDUSD.i	H1	0.57470	0.57497	0.57329
126	2025.10.16 06:00	NZDUSD.i	H1	0.57407	0.57515	0.57382
127	2025.10.16 07:00	NZDUSD.i	H1	0.57437	0.57508	0.57412
128	2025.10.16 08:00	NZDUSD.i	H1	0.57418	0.57506	0.57430
129	2025.10.16 09:00	NZDUSD.i	H1	0.57419	0.57516	0.57438
130	2025.10.16 10:00	NZDUSD.i	H1	0.57382	0.57493	0.57408
131	2025.10.16 11:00	NZDUSD.i	H1	0.57375	0.57483	0.57399
132	2025.10.16 12:00	NZDUSD.i	H1	0.57373	0.57440	0.57365
133	2025.10.16 13:00	NZDUSD.i	H1	0.57373	0.57420	0.57366
134	2025.10.16 14:00	NZDUSD.i	H1	0.57395	0.57407	0.57356
135	2025.10.16 15:00	NZDUSD.i	H1	0.57377	0.57403	0.57348
136	2025.10.16 16:00	NZDUSD.i	H1	0.57233	0.57389	0.57290
137	2025.10.16 17:00	NZDUSD.i	H1	0.57395	0.57391	0.57252
138	2025.10.16 18:00	NZDUSD.i	H1	0.57305	0.57389	0.57262
139	2025.10.16 19:00	NZDUSD.i	H1	0.57312	0.57371	0.57241
140	2025.10.16 20:00	NZDUSD.i	H1	0.57295	0.57364	0.57246
141	2025.10.16 21:00	NZDUSD.i	H1	0.57259	0.57331	0.57206
142	2025.10.16 22:00	NZDUSD.i	H1	0.57246	0.57288	0.57199
143	2025.10.16 23:00	NZDUSD.i	H1	0.57226	0.57258	0.57201
144	2025.10.17 00:00	NZDUSD.i	H1	0.57239	0.57247	0.57186
145	2025.10.17 01:00	NZDUSD.i	H1	0.57263	0.57254	0.57191
146	2025.10.17 02:00	NZDUSD.i	H1	0.57259	0.57253	0.57198
147	2025.10.17 03:00	NZDUSD.i	H1	0.57277	0.57269	0.57208
148	2025.10.17 04:00	NZDUSD.i	H1	0.57197	0.57303	0.57196
149	2025.10.17 05:00	NZDUSD.i	H1	0.57219	0.57284	0.57173
150	2025.10.17 06:00	NZDUSD.i	H1	0.57268	0.57284	0.57186
151	2025.10.17 07:00	NZDUSD.i	H1	0.57328	0.57318	0.57223
152	2025.10.17 08:00	NZDUSD.i	H1	0.57350	0.57341	0.57264
153	2025.10.17 09:00	NZDUSD.i	H1	0.57329	0.57360	0.57292
154	2025.10.17 10:00	NZDUSD.i	H1	0.57205	0.57352	0.57221
155	2025.10.17 11:00	NZDUSD.i	H1	0.57200	0.57296	0.57180
156	2025.10.17 12:00	NZDUSD.i	H1	0.57273	0.57284	0.57182
157	2025.10.17 13:00	NZDUSD.i	H1	0.57318	0.57302	0.57203
158	2025.10.17 14:00	NZDUSD.i	H1	0.57293	0.57363	0.57235
159	2025.10.17 15:00	NZDUSD.i	H1	0.57168	0.57351	0.57180
160	2025.10.17 16:00	NZDUSD.i	H1	0.57155	0.57280	0.57148
161	2025.10.17 17:00	NZDUSD.i	H1	0.57176	0.57232	0.57127
162	2025.10.17 18:00	NZDUSD.i	H1	0.57205	0.57216	0.57122
163	2025.10.17 19:00	NZDUSD.i	H1	0.57229	0.57231	0.57153
164	2025.10.17 20:00	NZDUSD.i	H1	0.57256	0.57251	0.57178
165	2025.10.17 21:00	NZDUSD.i	H1	0.57330	0.57294	0.57215
166	2025.10.17 22:00	NZDUSD.i	H1	0.57380	0.57341	0.57277
167	2025.10.17 23:00	NZDUSD.i	H1	0.57174	0.57370	0.57236
168	2025.10.20 00:00	NZDUSD.i	H1	0.57198	0.57357	0.57213
169	2025.10.20 01:00	NZDUSD.i	H1	0.57341	0.57358	0.57205
170	2025.10.20 02:00	NZDUSD.i	H1	0.57308	0.57356	0.57247
171	2025.10.20 03:00	NZDUSD.i	H1	0.57362	0.57367	0.57269
172	2025.10.20 04:00	NZDUSD.i	H1	0.57348	0.57404	0.57304
173	2025.10.20 05:00	NZDUSD.i	H1	0.57364	0.57426	0.57335
174	2025.10.20 06:00	NZDUSD.i	H1	0.57366	0.57420	0.57353
175	2025.10.20 07:00	NZDUSD.i	H1	0.57359	0.57409	0.57357
176	2025.10.20 08:00	NZDUSD.i	H1	0.57398	0.57422	0.57363
177	2025.10.20 09:00	NZDUSD.i	H1	0.57335	0.57414	0.57344
178	2025.10.20 10:00	NZDUSD.i	H1	0.57330	0.57398	0.57324
179	2025.10.20 11:00	NZDUSD.i	H1	0.57385	0.57399	0.57321
180	2025.10.20 12:00	NZDUSD.i	H1	0.57309	0.57398	0.57311
181	2025.10.20 13:00	NZDUSD.i	H1	0.57282	0.57360	0.57290
182	2025.10.20 14:00	NZDUSD.i	H1	0.57292	0.57329	0.57268
183	2025.10.20 15:00	NZDUSD.i	H1	0.57327	0.57327	0.57263
184	2025.10.20 16:00	NZDUSD.i	H1	0.57367	0.57357	0.57277
185	2025.10.20 17:00	NZDUSD.i	H1	0.57429	0.57411	0.57316
186	2025.10.20 18:00	NZDUSD.i	H1	0.57498	0.57474	0.57368
187	2025.10.20 19:00	NZDUSD.i	H1	0.57484	0.57507	0.57427
188	2025.10.20 20:00	NZDUSD.i	H1	0.57465	0.57520	0.57456
189	2025.10.20 21:00	NZDUSD.i	H1	0.57460	0.57511	0.57466
190	2025.10.20 22:00	NZDUSD.i	H1	0.57448	0.57507	0.57470
191	2025.10.20 23:00	NZDUSD.i	H1	0.57423	0.57486	0.57456
192	2025.10.21 00:00	NZDUSD.i	H1	0.57398	0.57482	0.57417
193	2025.10.21 01:00	NZDUSD.i	H1	0.57457	0.57479	0.57424
194	2025.10.21 02:00	NZDUSD.i	H1	0.57433	0.57473	0.57423
195	2025.10.21 03:00	NZDUSD.i	H1	0.57504	0.57496	0.57423
196	2025.10.21 04:00	NZDUSD.i	H1	0.57410	0.57503	0.57412
197	2025.10.21 05:00	NZDUSD.i	H1	0.57328	0.57468	0.57366
198	2025.10.21 06:00	NZDUSD.i	H1	0.57307	0.57410	0.57323
199	2025.10.21 07:00	NZDUSD.i	H1	0.57294	0.57351	0.57280
200	2025.10.21 08:00	NZDUSD.i	H1	0.57193	0.57313	0.57215
201	2025.10.21 09:00	NZDUSD.i	H1	0.57226	0.57262	0.57165
202	2025.10.21 10:00	NZDUSD.i	H1	0.57168	0.57236	0.57138
203	2025.10.21 11:00	NZDUSD.i	H1	0.57156	0.57185	0.57096
204	2025.10.21 12:00	NZDUSD.i	H1	0.57152	0.57172	0.57090
205	2025.10.21 13:00	NZDUSD.i	H1	0.57165	0.57154	0.57080
206	2025.10.21 14:00	NZDUSD.i	H1	0.57228	0.57184	0.57103
207	2025.10.21 15:00	NZDUSD.i	H1	0.57292	0.57226	0.57142
208	2025.10.21 16:00	NZDUSD.i	H1	0.57223	0.57260	0.57163
209	2025.10.21 17:00	NZDUSD.i	H1	0.57359	0.57314	0.57182
210	2025.10.21 18:00	NZDUSD.i	H1	0.57453	0.57395	0.57269
211	2025.10.21 19:00	NZDUSD.i	H1	0.57424	0.57461	0.57346
212	2025.10.21 20:00	NZDUSD.i	H1	0.57434	0.57473	0.57387
213	2025.10.21 21:00	NZDUSD.i	H1	0.57438	0.57483	0.57422
214	2025.10.21 22:00	NZDUSD.i	H1	0.57448	0.57494	0.57443
215	2025.10.21 23:00	NZDUSD.i	H1	0.57395	0.57488	0.57440
216	2025.10.22 00:00	NZDUSD.i	H1	0.57358	0.57455	0.57409
217	2025.10.22 01:00	NZDUSD.i	H1	0.57410	0.57450	0.57375
218	2025.10.22 02:00	NZDUSD.i	H1	0.57417	0.57447	0.57389
219	2025.10.22 03:00	NZDUSD.i	H1	0.57411	0.57461	0.57403
220	2025.10.22 04:00	NZDUSD.i	H1	0.57421	0.57460	0.57400
221	2025.10.22 05:00	NZDUSD.i	H1	0.57470	0.57483	0.57415
222	2025.10.22 06:00	NZDUSD.i	H1	0.57474	0.57496	0.57436
223	2025.10.22 07:00	NZDUSD.i	H1	0.57518	0.57512	0.57461
224	2025.10.22 08:00	NZDUSD.i	H1	0.57558	0.57548	0.57497
225	2025.10.22 09:00	NZDUSD.i	H1	0.57578	0.57588	0.57520
226	2025.10.22 10:00	NZDUSD.i	H1	0.57519	0.57602	0.57519
227	2025.10.22 11:00	NZDUSD.i	H1	0.57474	0.57573	0.57490
228	2025.10.22 12:00	NZDUSD.i	H1	0.57461	0.57542	0.57473
229	2025.10.22 13:00	NZDUSD.i	H1	0.57397	0.57510	0.57434
230	2025.10.22 14:00	NZDUSD.i	H1	0.57384	0.57460	0.57402
231	2025.10.22 15:00	NZDUSD.i	H1	0.57423	0.57444	0.57385
232	2025.10.22 16:00	NZDUSD.i	H1	0.57438	0.57442	0.57385
233	2025.10.22 17:00	NZDUSD.i	H1	0.57422	0.57451	0.57373
234	2025.10.22 18:00	NZDUSD.i	H1	0.57508	0.57478	0.57388
235	2025.10.22 19:00	NZDUSD.i	H1	0.57480	0.57490	0.57390
236	2025.10.22 20:00	NZDUSD.i	H1	0.57368	0.57487	0.57367
237	2025.10.22 21:00	NZDUSD.i	H1	0.57378	0.57448	0.57351
238	2025.10.22 22:00	NZDUSD.i	H1	0.57403	0.57424	0.57349
239	2025.10.22 23:00	NZDUSD.i	H1	0.57368	0.57409	0.57352
240	2025.10.23 00:00	NZDUSD.i	H1	0.57378	0.57393	0.57346
241	2025.10.23 01:00	NZDUSD.i	H1	0.57382	0.57398	0.57352
242	2025.10.23 02:00	NZDUSD.i	H1	0.57359	0.57384	0.57350
243	2025.10.23 03:00	NZDUSD.i	H1	0.57405	0.57388	0.57340
244	2025.10.23 04:00	NZDUSD.i	H1	0.57343	0.57401	0.57337
245	2025.10.23 05:00	NZDUSD.i	H1	0.57315	0.57372	0.57314
246	2025.10.23 06:00	NZDUSD.i	H1	0.57251	0.57355	0.57275
247	2025.10.23 07:00	NZDUSD.i	H1	0.57304	0.57326	0.57254
248	2025.10.23 08:00	NZDUSD.i	H1	0.57335	0.57329	0.57259
249	2025.10.23 09:00	NZDUSD.i	H1	0.57401	0.57367	0.57290
250	2025.10.23 10:00	NZDUSD.i	H1	0.57464	0.57418	0.57342
251	2025.10.23 11:00	NZDUSD.i	H1	0.57449	0.57470	0.57398
252	2025.10.23 12:00	NZDUSD.i	H1	0.57482	0.57496	0.57433
253	2025.10.23 13:00	NZDUSD.i	H1	0.57426	0.57507	0.57438
254	2025.10.23 14:00	NZDUSD.i	H1	0.57413	0.57485	0.57432
255	2025.10.23 15:00	NZDUSD.i	H1	0.57445	0.57492	0.57420
256	2025.10.23 16:00	NZDUSD.i	H1	0.57466	0.57503	0.57435
257	2025.10.23 17:00	NZDUSD.i	H1	0.57508	0.57528	0.57452
258	2025.10.23 18:00	NZDUSD.i	H1	0.57495	0.57535	0.57458
259	2025.10.23 19:00	NZDUSD.i	H1	0.57475	0.57533	0.57473
260	2025.10.23 20:00	NZDUSD.i	H1	0.57540	0.57545	0.57466
261	2025.10.23 21:00	NZDUSD.i	H1	0.57542	0.57551	0.57496
262	2025.10.23 22:00	NZDUSD.i	H1	0.57522	0.57558	0.57517
263	2025.10.23 23:00	NZDUSD.i	H1	0.57505	0.57550	0.57518
264	2025.10.24 00:00	NZDUSD.i	H1	0.57504	0.57537	0.57499
265	2025.10.24 01:00	NZDUSD.i	H1	0.57523	0.57548	0.57499
266	2025.10.24 02:00	NZDUSD.i	H1	0.57548	0.57558	0.57514
267	2025.10.24 03:00	NZDUSD.i	H1	0.57562	0.57576	0.57527
268	2025.10.24 04:00	NZDUSD.i	H1	0.57502	0.57579	0.57505
269	2025.10.24 05:00	NZDUSD.i	H1	0.57453	0.57568	0.57478
270	2025.10.24 06:00	NZDUSD.i	H1	0.57518	0.57551	0.57463
271	2025.10.24 07:00	NZDUSD.i	H1	0.57479	0.57536	0.57464
272	2025.10.24 08:00	NZDUSD.i	H1	0.57444	0.57506	0.57446
273	2025.10.24 09:00	NZDUSD.i	H1	0.57547	0.57520	0.57434
274	2025.10.24 10:00	NZDUSD.i	H1	0.57505	0.57539	0.57460
275	2025.10.24 11:00	NZDUSD.i	H1	0.57435	0.57527	0.57436
276	2025.10.24 12:00	NZDUSD.i	H1	0.57408	0.57482	0.57413
277	2025.10.24 13:00	NZDUSD.i	H1	0.57419	0.57459	0.57403
278	2025.10.24 14:00	NZDUSD.i	H1	0.57424	0.57434	0.57389
279	2025.10.24 15:00	NZDUSD.i	H1	0.57582	0.57560	0.57397
280	2025.10.24 16:00	NZDUSD.i	H1	0.57543	0.57596	0.57427
281	2025.10.24 17:00	NZDUSD.i	H1	0.57390	0.57585	0.57404
282	2025.10.24 18:00	NZDUSD.i	H1	0.57458	0.57540	0.57393
283	2025.10.24 19:00	NZDUSD.i	H1	0.57463	0.57510	0.57406
284	2025.10.24 20:00	NZDUSD.i	H1	0.57467	0.57501	0.57432
285	2025.10.24 21:00	NZDUSD.i	H1	0.57468	0.57486	0.57448
286	2025.10.24 22:00	NZDUSD.i	H1	0.57483	0.57482	0.57460
287	2025.10.24 23:00	NZDUSD.i	H1	0.57464	0.57490	0.57459
288	2025.10.27 00:00	NZDUSD.i	H1	0.57710	0.57604	0.57504
289	2025.10.27 01:00	NZDUSD.i	H1	0.57629	0.57668	0.57573
290	2025.10.27 02:00	NZDUSD.i	H1	0.57592	0.57667	0.57595
291	2025.10.27 03:00	NZDUSD.i	H1	0.57613	0.57675	0.57603
292	2025.10.27 04:00	NZDUSD.i	H1	0.57607	0.57700	0.57614
293	2025.10.27 05:00	NZDUSD.i	H1	0.57608	0.57674	0.57610
294	2025.10.27 06:00	NZDUSD.i	H1	0.57563	0.57662	0.57594
295	2025.10.27 07:00	NZDUSD.i	H1	0.57564	0.57622	0.57570
296	2025.10.27 08:00	NZDUSD.i	H1	0.57606	0.57615	0.57566
297	2025.10.27 09:00	NZDUSD.i	H1	0.57634	0.57659	0.57586
298	2025.10.27 10:00	NZDUSD.i	H1	0.57522	0.57650	0.57555
299	2025.10.27 11:00	NZDUSD.i	H1	0.57591	0.57654	0.57535
300	2025.10.27 12:00	NZDUSD.i	H1	0.57630	0.57663	0.57545
301	2025.10.27 13:00	NZDUSD.i	H1	0.57620	0.57651	0.57569
302	2025.10.27 14:00	NZDUSD.i	H1	0.57661	0.57663	0.57586
303	2025.10.27 15:00	NZDUSD.i	H1	0.57638	0.57673	0.57602
304	2025.10.27 16:00	NZDUSD.i	H1	0.57577	0.57681	0.57583
305	2025.10.27 17:00	NZDUSD.i	H1	0.57597	0.57655	0.57571
306	2025.10.27 18:00	NZDUSD.i	H1	0.57608	0.57649	0.57560
307	2025.10.27 19:00	NZDUSD.i	H1	0.57654	0.57653	0.57579
308	2025.10.27 20:00	NZDUSD.i	H1	0.57640	0.57657	0.57603
309	2025.10.27 21:00	NZDUSD.i	H1	0.57703	0.57681	0.57621
310	2025.10.27 22:00	NZDUSD.i	H1	0.57690	0.57698	0.57650
311	2025.10.27 23:00	NZDUSD.i	H1	0.57672	0.57722	0.57667
312	2025.10.28 00:00	NZDUSD.i	H1	0.57694	0.57719	0.57671
