No|Timestamp|Symbol|Timeframe|Diag_Asc_1|Diag_Asc_2|Diag_Asc_3|Diag_Desc_1|Diag_Desc_2|Diag_Desc_3|Diag_High_Map|Diag_Low_Map
1|2026.02.11 11:00|XAUUSD|M15|5163.49|||4988.32|4837.00||0|0
2|2026.02.11 11:15|XAUUSD|M15|5162.50|||4988.71|4837.65||0|0
3|2026.02.11 11:30|XAUUSD|M15|5161.50|||4989.10|4838.31||0|0
4|2026.02.11 11:45|XAUUSD|M15|5160.50|||4989.49|4838.96||0|0
5|2026.02.11 12:00|XAUUSD|M15|5159.51|||4989.88|4839.62||0|0
6|2026.02.11 12:15|XAUUSD|M15|5158.51|||4990.28|4840.27||0|0
7|2026.02.11 12:30|XAUUSD|M15|5157.51|||4990.67|4840.93||0|0
8|2026.02.11 12:45|XAUUSD|M15|5156.52|||4991.06|4841.59||0|0
9|2026.02.11 13:00|XAUUSD|M15|5155.52|||4991.45|4842.24||0|0
10|2026.02.11 13:15|XAUUSD|M15|5154.52|||4991.85|4842.90||0|0
11|2026.02.11 13:30|XAUUSD|M15|5153.53|||4992.24|4843.55||0|0
12|2026.02.11 13:45|XAUUSD|M15|5152.53|||4992.63|4844.21||0|0
13|2026.02.11 14:00|XAUUSD|M15|5151.53|||4993.02|4844.87||0|0
14|2026.02.11 14:15|XAUUSD|M15|5150.54|||4993.42|4845.52||0|0
15|2026.02.11 14:30|XAUUSD|M15|5149.54|||4993.81|4846.18||0|0
16|2026.02.11 14:45|XAUUSD|M15|5148.54|||4994.20|4846.83||0|0
17|2026.02.11 15:00|XAUUSD|M15|5147.55|||4994.59|4847.49||0|0
18|2026.02.11 15:15|XAUUSD|M15|5146.55|||4994.98|4848.14||0|5047.34
19|2026.02.11 15:30|XAUUSD|M15|5145.56|||4995.38|4848.80||0|0
20|2026.02.11 15:45|XAUUSD|M15|5144.56|||4995.77|4849.46||0|0
21|2026.02.11 16:00|XAUUSD|M15|5143.56|||4996.16|4850.11||0|0
22|2026.02.11 16:15|XAUUSD|M15|5142.57|||4996.55|4850.77||0|0
23|2026.02.11 16:30|XAUUSD|M15|5141.57|||4996.95|4851.42||0|0
24|2026.02.11 16:45|XAUUSD|M15|5140.57|||4997.34|4852.08||5078.08|0
25|2026.02.11 17:00|XAUUSD|M15|5139.58|||4997.73|4852.73||0|0
26|2026.02.11 17:15|XAUUSD|M15|5138.58|||4998.12|4853.39||0|0
27|2026.02.11 17:30|XAUUSD|M15|5137.58|||4998.51|4854.05||0|0
28|2026.02.11 17:45|XAUUSD|M15|5136.59|||4998.91|4854.70||0|0
29|2026.02.11 18:00|XAUUSD|M15|5135.59|||4999.30|4855.36||0|0
30|2026.02.11 18:15|XAUUSD|M15|5134.59|||4999.69|4856.01||0|0
31|2026.02.11 18:30|XAUUSD|M15|5133.60|||5000.08|4856.67||0|0
32|2026.02.11 18:45|XAUUSD|M15|5132.60|||5000.48|4857.32||0|0
33|2026.02.11 19:00|XAUUSD|M15|5131.60|||5000.87|4857.98||0|0
34|2026.02.11 19:15|XAUUSD|M15|5130.61|||5001.26|4858.64||0|0
35|2026.02.11 19:30|XAUUSD|M15|5129.61|||5001.65|4859.29||0|0
36|2026.02.11 19:45|XAUUSD|M15|5128.61|||5002.05|4859.95||0|0
37|2026.02.11 20:00|XAUUSD|M15|5127.62|||5002.44|4860.60||0|0
38|2026.02.11 20:15|XAUUSD|M15|5126.62|||5002.83|4861.26||0|0
39|2026.02.11 20:30|XAUUSD|M15|5125.63|||5003.22|4861.91||0|0
40|2026.02.11 20:45|XAUUSD|M15|5124.63|||5003.61|4862.57||0|5045.46
41|2026.02.11 21:00|XAUUSD|M15|5123.63|||5004.01|4863.23||0|0
42|2026.02.11 21:15|XAUUSD|M15|5122.64|||5004.40|4863.88||0|0
43|2026.02.11 21:30|XAUUSD|M15|5121.64|||5004.79|4864.54||0|0
44|2026.02.11 21:45|XAUUSD|M15|5120.64|||5005.18|4865.19||0|0
45|2026.02.11 22:00|XAUUSD|M15|5119.65|||5005.58|4865.85||0|0
46|2026.02.11 22:15|XAUUSD|M15|5118.65|||5005.97|4866.50||0|0
47|2026.02.11 22:30|XAUUSD|M15|5117.65|||5006.36|4867.16||0|0
48|2026.02.11 22:45|XAUUSD|M15|5116.66|||5006.75|4867.82||5099.99|0
49|2026.02.11 23:00|XAUUSD|M15|5115.66|||5007.14|4868.47||0|0
50|2026.02.11 23:15|XAUUSD|M15|5114.66|||5007.54|4869.13||0|0
51|2026.02.11 23:30|XAUUSD|M15|5113.67|||5007.93|4869.78||0|0
52|2026.02.11 23:45|XAUUSD|M15|5112.67|||5008.32|4870.44||0|0
53|2026.02.12 01:00|XAUUSD|M15|5111.67|||5008.71|4871.09||0|0
54|2026.02.12 01:15|XAUUSD|M15|5110.68|||5009.11|4871.75||0|0
55|2026.02.12 01:30|XAUUSD|M15|5109.68|||5009.50|4872.41||0|0
56|2026.02.12 01:45|XAUUSD|M15|5108.69|||5009.89|4873.06||0|0
57|2026.02.12 02:00|XAUUSD|M15|5107.69|||5010.28|4873.72||0|0
58|2026.02.12 02:15|XAUUSD|M15|5106.69|||5010.68|4874.37||0|0
59|2026.02.12 02:30|XAUUSD|M15|5105.70|||5011.07|4875.03||0|0
60|2026.02.12 02:45|XAUUSD|M15|5104.70|||5011.46|4875.68||0|0
61|2026.02.12 03:00|XAUUSD|M15|5103.70|||5011.85|4876.34||0|0
62|2026.02.12 03:15|XAUUSD|M15|5102.71|||5012.24|4877.00||0|0
63|2026.02.12 03:30|XAUUSD|M15|5101.71|||5012.64|4877.65||0|0
64|2026.02.12 03:45|XAUUSD|M15|5100.71|||5013.03|4878.31||0|0
65|2026.02.12 04:00|XAUUSD|M15|5099.72|||5013.42|4878.96||0|0
66|2026.02.12 04:15|XAUUSD|M15|5098.72|||5013.81|4879.62||5098.72|0
67|2026.02.12 04:30|XAUUSD|M15|5097.72|||5014.21|4880.27||0|0
68|2026.02.12 04:45|XAUUSD|M15|5096.73|||5014.60|4880.93||0|0
69|2026.02.12 05:00|XAUUSD|M15|5095.73|||5014.99|4881.59||0|0
70|2026.02.12 05:15|XAUUSD|M15|5094.73|||5015.38|4882.24||0|0
71|2026.02.12 05:30|XAUUSD|M15|5093.74|||5015.77|4882.90||0|0
72|2026.02.12 05:45|XAUUSD|M15|5092.74|||5016.17|4883.55||0|0
73|2026.02.12 06:00|XAUUSD|M15|5091.74|||5016.56|4884.21||0|0
74|2026.02.12 06:15|XAUUSD|M15|5090.75|||5016.95|4884.86||0|0
75|2026.02.12 06:30|XAUUSD|M15|5089.75|||5017.34|4885.52||0|0
76|2026.02.12 06:45|XAUUSD|M15|5088.76|||5017.74|4886.18||0|0
77|2026.02.12 07:00|XAUUSD|M15|5087.76|||5018.13|4886.83||0|0
78|2026.02.12 07:15|XAUUSD|M15|5086.76|||5018.52|4887.49||0|0
79|2026.02.12 07:30|XAUUSD|M15|5085.77|||5018.91|4888.14||0|0
80|2026.02.12 07:45|XAUUSD|M15|5084.77|||5019.31|4888.80||0|0
81|2026.02.12 08:00|XAUUSD|M15|5083.77|||5019.70|4889.45||0|0
82|2026.02.12 08:15|XAUUSD|M15|5082.78|||5020.09|4890.11||0|5020.09
83|2026.02.12 08:30|XAUUSD|M15|5081.78|||5020.48|4890.77||0|0
84|2026.02.12 08:45|XAUUSD|M15|5080.78|||5020.87|4891.42||0|0
85|2026.02.12 09:00|XAUUSD|M15|5079.79|||5021.27|4892.08||0|0
86|2026.02.12 09:15|XAUUSD|M15|5078.79|||5021.66|4892.73||0|0
87|2026.02.12 09:30|XAUUSD|M15|5077.79|||5022.05|4893.39||0|0
88|2026.02.12 09:45|XAUUSD|M15|5076.80|||5022.44|4894.04||5119.44|0
89|2026.02.12 10:00|XAUUSD|M15|5075.80|||5022.84|4894.70||0|0
90|2026.02.12 10:15|XAUUSD|M15|5074.80|||5023.23|4895.36||0|0
91|2026.02.12 10:30|XAUUSD|M15|5073.81|||5023.62|4896.01||0|0
92|2026.02.12 10:45|XAUUSD|M15|5072.81|||5024.01|4896.67||0|0
93|2026.02.12 11:00|XAUUSD|M15|5071.81|||5024.40|4897.32||0|0
94|2026.02.12 11:15|XAUUSD|M15|5070.82|||5024.80|4897.98||0|0
95|2026.02.12 11:30|XAUUSD|M15|5069.82|||5025.19|4898.63||0|0
96|2026.02.12 11:45|XAUUSD|M15|5068.83|||5025.58|4899.29||0|0
97|2026.02.12 12:00|XAUUSD|M15|5067.83|||5025.97|4899.95||0|0
98|2026.02.12 12:15|XAUUSD|M15|5066.83|||5026.37|4900.60||0|0
99|2026.02.12 12:30|XAUUSD|M15|5065.84|||5026.76|4901.26||0|0
100|2026.02.12 12:45|XAUUSD|M15|5064.84|||5027.15|4901.91||0|0
