No|Timestamp|Symbol|Timeframe|Peak_Line_1|Peak_Line_2|Peak_Line_3|Bottom_Line_1|Bottom_Line_2|Bottom_Line_3|High_Map|Low_Map
1|2026.02.06 05:00|XAUUSD|H1|5133.26|5120.05|5080.19||||0.00|0.00
2|2026.02.06 06:00|XAUUSD|H1|5132.60|5120.02|5080.29||||0.00|0.00
3|2026.02.06 07:00|XAUUSD|H1|5131.94|5119.99|5080.39||||0.00|0.00
4|2026.02.06 08:00|XAUUSD|H1|5131.28|5119.97|5080.50||||0.00|0.00
5|2026.02.06 09:00|XAUUSD|H1|5130.62|5119.94|5080.60||||0.00|0.00
6|2026.02.06 10:00|XAUUSD|H1|5129.97|5119.91|5080.70||||0.00|0.00
7|2026.02.06 11:00|XAUUSD|H1|5129.31|5119.88|5080.80||||0.00|0.00
8|2026.02.06 12:00|XAUUSD|H1|5128.65|5119.85|5080.91||||0.00|0.00
9|2026.02.06 13:00|XAUUSD|H1|5127.99|5119.82|5081.01||||0.00|0.00
10|2026.02.06 14:00|XAUUSD|H1|5127.33|5119.79|5081.11||||0.00|0.00
11|2026.02.06 15:00|XAUUSD|H1|5126.68|5119.76|5081.21||||0.00|0.00
12|2026.02.06 16:00|XAUUSD|H1|5126.02|5119.73|5081.32||||0.00|0.00
13|2026.02.06 17:00|XAUUSD|H1|5125.36|5119.70|5081.42||||0.00|0.00
14|2026.02.06 18:00|XAUUSD|H1|5124.70|5119.67|5081.52||||0.00|0.00
15|2026.02.06 19:00|XAUUSD|H1|5124.05|5119.64|5081.62||||0.00|0.00
16|2026.02.06 20:00|XAUUSD|H1|5123.39|5119.62|5081.73||||0.00|0.00
17|2026.02.06 21:00|XAUUSD|H1|5122.73|5119.59|5081.83||||0.00|0.00
18|2026.02.06 22:00|XAUUSD|H1|5122.07|5119.56|5081.93||||0.00|0.00
19|2026.02.06 23:00|XAUUSD|H1|5121.41|5119.53|5082.03||||0.00|0.00
20|2026.02.09 01:00|XAUUSD|H1|5120.76|5119.50|5082.13||||0.00|0.00
21|2026.02.09 02:00|XAUUSD|H1|5120.10|5119.47|5082.24||||0.00|0.00
22|2026.02.09 03:00|XAUUSD|H1|5119.44|5119.44|5082.34||||5119.44|0.00
23|2026.02.09 04:00|XAUUSD|H1|5118.78|5119.41|5082.44||||0.00|0.00
24|2026.02.09 05:00|XAUUSD|H1|5118.12|5119.38|5082.54||||0.00|0.00
25|2026.02.09 06:00|XAUUSD|H1|5117.47|5119.35|5082.65||||0.00|0.00
26|2026.02.09 07:00|XAUUSD|H1|5116.81|5119.32|5082.75||||0.00|0.00
27|2026.02.09 08:00|XAUUSD|H1|5116.15|5119.29|5082.85||||0.00|0.00
28|2026.02.09 09:00|XAUUSD|H1|5115.49|5119.26|5082.95||||0.00|0.00
29|2026.02.09 10:00|XAUUSD|H1|5114.83|5119.24|5083.06||||0.00|0.00
30|2026.02.09 11:00|XAUUSD|H1|5114.18|5119.21|5083.16||||0.00|0.00
31|2026.02.09 12:00|XAUUSD|H1|5113.52|5119.18|5083.26||||0.00|0.00
32|2026.02.09 13:00|XAUUSD|H1|5112.86|5119.15|5083.36||||0.00|0.00
33|2026.02.09 14:00|XAUUSD|H1|5112.20|5119.12|5083.47||||0.00|0.00
34|2026.02.09 15:00|XAUUSD|H1|5111.55|5119.09|5083.57||||0.00|0.00
35|2026.02.09 16:00|XAUUSD|H1|5110.89|5119.06|5083.67||||0.00|0.00
36|2026.02.09 17:00|XAUUSD|H1|5110.23|5119.03|5083.77||||0.00|0.00
37|2026.02.09 18:00|XAUUSD|H1|5109.57|5119.00|5083.88||||0.00|0.00
38|2026.02.09 19:00|XAUUSD|H1|5108.91|5118.97|5083.98||||0.00|0.00
39|2026.02.09 20:00|XAUUSD|H1|5108.26|5118.94|5084.08||||0.00|0.00
40|2026.02.09 21:00|XAUUSD|H1|5107.60|5118.91|5084.18||||0.00|0.00
41|2026.02.09 22:00|XAUUSD|H1|5106.94|5118.89|5084.28||||0.00|0.00
42|2026.02.09 23:00|XAUUSD|H1|5106.28|5118.86|5084.39||||0.00|0.00
43|2026.02.10 01:00|XAUUSD|H1|5105.62|5118.83|5084.49||||0.00|0.00
44|2026.02.10 02:00|XAUUSD|H1|5104.97|5118.80|5084.59||||0.00|0.00
45|2026.02.10 03:00|XAUUSD|H1|5104.31|5118.77|5084.69||||0.00|0.00
46|2026.02.10 04:00|XAUUSD|H1|5103.65|5118.74|5084.80||||0.00|0.00
47|2026.02.10 05:00|XAUUSD|H1|5102.99|5118.71|5084.90||||0.00|0.00
48|2026.02.10 06:00|XAUUSD|H1|5102.34|5118.68|5085.00||||0.00|0.00
49|2026.02.10 07:00|XAUUSD|H1|5101.68|5118.65|5085.10||||0.00|0.00
50|2026.02.10 08:00|XAUUSD|H1|5101.02|5118.62|5085.21||||0.00|0.00
51|2026.02.10 09:00|XAUUSD|H1|5100.36|5118.59|5085.31||||0.00|0.00
52|2026.02.10 10:00|XAUUSD|H1|5099.70|5118.56|5085.41||||0.00|0.00
53|2026.02.10 11:00|XAUUSD|H1|5099.05|5118.54|5085.51||||0.00|0.00
54|2026.02.10 12:00|XAUUSD|H1|5098.39|5118.51|5085.62||||0.00|0.00
55|2026.02.10 13:00|XAUUSD|H1|5097.73|5118.48|5085.72||||0.00|0.00
56|2026.02.10 14:00|XAUUSD|H1|5097.07|5118.45|5085.82||||0.00|0.00
57|2026.02.10 15:00|XAUUSD|H1|5096.41|5118.42|5085.92||||0.00|0.00
58|2026.02.10 16:00|XAUUSD|H1|5095.76|5118.39|5086.03||||0.00|0.00
59|2026.02.10 17:00|XAUUSD|H1|5095.10|5118.36|5086.13||||0.00|0.00
60|2026.02.10 18:00|XAUUSD|H1|5094.44|5118.33|5086.23||||5086.23|0.00
61|2026.02.10 19:00|XAUUSD|H1|5093.78|5118.30|5086.33||||0.00|0.00
62|2026.02.10 20:00|XAUUSD|H1|5093.13|5118.27|5086.43||||0.00|0.00
63|2026.02.10 21:00|XAUUSD|H1|5092.47|5118.24|5086.54||||0.00|0.00
64|2026.02.10 22:00|XAUUSD|H1|5091.81|5118.21|5086.64||||0.00|0.00
65|2026.02.10 23:00|XAUUSD|H1|5091.15|5118.19|5086.74||||0.00|0.00
66|2026.02.11 01:00|XAUUSD|H1|5090.49|5118.16|5086.84||||0.00|0.00
67|2026.02.11 02:00|XAUUSD|H1|5089.84|5118.13|5086.95||||0.00|0.00
68|2026.02.11 03:00|XAUUSD|H1|5089.18|5118.10|5087.05||||0.00|0.00
69|2026.02.11 04:00|XAUUSD|H1|5088.52|5118.07|5087.15||||0.00|0.00
70|2026.02.11 05:00|XAUUSD|H1|5087.86|5118.04|5087.25||||0.00|0.00
71|2026.02.11 06:00|XAUUSD|H1|5087.20|5118.01|5087.36||||0.00|0.00
72|2026.02.11 07:00|XAUUSD|H1|5086.55|5117.98|5087.46||||0.00|0.00
73|2026.02.11 08:00|XAUUSD|H1|5085.89|5117.95|5087.56||||0.00|0.00
74|2026.02.11 09:00|XAUUSD|H1|5085.23|5117.92|5087.66||||0.00|0.00
75|2026.02.11 10:00|XAUUSD|H1|5084.57|5117.89|5087.77||||0.00|0.00
76|2026.02.11 11:00|XAUUSD|H1|5083.92|5117.86|5087.87||||0.00|0.00
77|2026.02.11 12:00|XAUUSD|H1|5083.26|5117.83|5087.97||||0.00|0.00
78|2026.02.11 13:00|XAUUSD|H1|5082.60|5117.81|5088.07||||0.00|0.00
79|2026.02.11 14:00|XAUUSD|H1|5081.94|5117.78|5088.18||||0.00|0.00
80|2026.02.11 15:00|XAUUSD|H1|5081.28|5117.75|5088.28||||0.00|0.00
81|2026.02.11 16:00|XAUUSD|H1|5080.63|5117.72|5088.38||||0.00|0.00
82|2026.02.11 17:00|XAUUSD|H1|5079.97|5117.69|5088.48||||0.00|0.00
83|2026.02.11 18:00|XAUUSD|H1|5079.31|5117.66|5088.58||||0.00|0.00
84|2026.02.11 19:00|XAUUSD|H1|5078.65|5117.63|5088.69||||0.00|0.00
85|2026.02.11 20:00|XAUUSD|H1|5077.99|5117.60|5088.79||||0.00|0.00
86|2026.02.11 21:00|XAUUSD|H1|5077.34|5117.57|5088.89||||0.00|0.00
87|2026.02.11 22:00|XAUUSD|H1|5076.68|5117.54|5088.99||||0.00|0.00
88|2026.02.11 23:00|XAUUSD|H1|5076.02|5117.51|5089.10||||0.00|0.00
89|2026.02.12 01:00|XAUUSD|H1|5075.36|5117.48|5089.20||||0.00|0.00
90|2026.02.12 02:00|XAUUSD|H1|5074.71|5117.46|5089.30||||0.00|0.00
91|2026.02.12 03:00|XAUUSD|H1|5074.05|5117.43|5089.40||||0.00|0.00
92|2026.02.12 04:00|XAUUSD|H1|5073.39|5117.40|5089.51||||0.00|0.00
93|2026.02.12 05:00|XAUUSD|H1|5072.73|5117.37|5089.61||||0.00|0.00
94|2026.02.12 06:00|XAUUSD|H1|5072.07|5117.34|5089.71||||0.00|0.00
95|2026.02.12 07:00|XAUUSD|H1|5071.42|5117.31|5089.81||||0.00|0.00
96|2026.02.12 08:00|XAUUSD|H1|5070.76|5117.28|5089.92||||0.00|0.00
97|2026.02.12 09:00|XAUUSD|H1|5070.10|5117.25|5090.02||||0.00|0.00
98|2026.02.12 10:00|XAUUSD|H1|5069.44|5117.22|5090.12||||0.00|0.00
99|2026.02.12 11:00|XAUUSD|H1|5068.78|5117.19|5090.22||||0.00|0.00
100|2026.02.12 12:00|XAUUSD|H1|5068.13|5117.16|5090.33||||0.00|0.00
