No	TimeStamp	Symbol	Timeframe	Close	sr_support_1	sr_support_2	sr_support_3	sr_support_4	sr_resistance_1	sr_resistance_2	sr_resistance_3	sr_resistance_4
1	2025.12.16 07:00:00	USDJPY.i	H1	154.842	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
2	2025.12.16 08:00:00	USDJPY.i	H1	154.853	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
3	2025.12.16 09:00:00	USDJPY.i	H1	154.886	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
4	2025.12.16 10:00:00	USDJPY.i	H1	154.863	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
5	2025.12.16 11:00:00	USDJPY.i	H1	154.838	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
6	2025.12.16 12:00:00	USDJPY.i	H1	154.871	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
7	2025.12.16 13:00:00	USDJPY.i	H1	154.818	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
8	2025.12.16 14:00:00	USDJPY.i	H1	154.611	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
9	2025.12.16 15:00:00	USDJPY.i	H1	154.716	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
10	2025.12.16 16:00:00	USDJPY.i	H1	154.601	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
11	2025.12.16 17:00:00	USDJPY.i	H1	154.777	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
12	2025.12.16 18:00:00	USDJPY.i	H1	154.810	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
13	2025.12.16 19:00:00	USDJPY.i	H1	154.680	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
14	2025.12.16 20:00:00	USDJPY.i	H1	154.746	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
15	2025.12.16 21:00:00	USDJPY.i	H1	154.668	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
16	2025.12.16 22:00:00	USDJPY.i	H1	154.800	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
17	2025.12.16 23:00:00	USDJPY.i	H1	154.703	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
18	2025.12.17 00:00:00	USDJPY.i	H1	154.718	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
19	2025.12.17 01:00:00	USDJPY.i	H1	154.775	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
20	2025.12.17 02:00:00	USDJPY.i	H1	154.580	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
21	2025.12.17 03:00:00	USDJPY.i	H1	154.676	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
22	2025.12.17 04:00:00	USDJPY.i	H1	155.011	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
23	2025.12.17 05:00:00	USDJPY.i	H1	154.889	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
24	2025.12.17 06:00:00	USDJPY.i	H1	155.136	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
25	2025.12.17 07:00:00	USDJPY.i	H1	155.151	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
26	2025.12.17 08:00:00	USDJPY.i	H1	155.368	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
27	2025.12.17 09:00:00	USDJPY.i	H1	155.501	155.494	154.419	153.484	152.621	156.378	157.143	158.165	158.978
28	2025.12.17 10:00:00	USDJPY.i	H1	155.516	155.494	154.419	153.484	152.621	156.378	157.143	158.165	158.978
29	2025.12.17 11:00:00	USDJPY.i	H1	155.534	155.494	154.419	153.484	152.621	156.378	157.143	158.165	158.978
30	2025.12.17 12:00:00	USDJPY.i	H1	155.464	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
31	2025.12.17 13:00:00	USDJPY.i	H1	155.544	155.494	154.419	153.484	152.621	156.378	157.143	158.165	158.978
32	2025.12.17 14:00:00	USDJPY.i	H1	155.488	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
33	2025.12.17 15:00:00	USDJPY.i	H1	155.436	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
34	2025.12.17 16:00:00	USDJPY.i	H1	155.490	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
35	2025.12.17 17:00:00	USDJPY.i	H1	155.404	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
36	2025.12.17 18:00:00	USDJPY.i	H1	155.598	155.494	154.419	153.484	152.621	156.378	157.143	158.165	158.978
37	2025.12.17 19:00:00	USDJPY.i	H1	155.534	155.494	154.419	153.484	152.621	156.378	157.143	158.165	158.978
38	2025.12.17 20:00:00	USDJPY.i	H1	155.644	155.494	154.419	153.484	152.621	156.378	157.143	158.165	158.978
39	2025.12.17 21:00:00	USDJPY.i	H1	155.634	155.494	154.419	153.484	152.621	156.378	157.143	158.165	158.978
40	2025.12.17 22:00:00	USDJPY.i	H1	155.702	155.494	154.419	153.484	152.621	156.378	157.143	158.165	158.978
41	2025.12.17 23:00:00	USDJPY.i	H1	155.675	155.494	154.419	153.484	152.621	156.378	157.143	158.165	158.978
42	2025.12.18 00:00:00	USDJPY.i	H1	155.597	155.494	154.419	153.484	152.621	156.378	157.143	158.165	158.978
43	2025.12.18 01:00:00	USDJPY.i	H1	155.487	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
44	2025.12.18 02:00:00	USDJPY.i	H1	155.479	154.419	153.484	152.621	0	155.494	156.378	157.143	158.165
