No	TimeStamp	Symbol	Timeframe	Close	sr_support_1	sr_support_2	sr_support_3	sr_support_4	sr_resistance_1	sr_resistance_2	sr_resistance_3	sr_resistance_4
1	2026.01.21 15:15:00	USDJPY.i	M5	157.868	153.582	153.362	153.159	152.897	0	0	0	0
2	2026.01.21 15:20:00	USDJPY.i	M5	157.927	153.582	153.362	153.159	152.897	0	0	0	0
3	2026.01.21 15:25:00	USDJPY.i	M5	157.928	153.582	153.362	153.159	152.897	0	0	0	0
4	2026.01.21 15:30:00	USDJPY.i	M5	157.890	153.582	153.362	153.159	152.897	0	0	0	0
5	2026.01.21 15:35:00	USDJPY.i	M5	157.900	153.582	153.362	153.159	152.897	0	0	0	0
6	2026.01.21 15:40:00	USDJPY.i	M5	157.865	153.582	153.362	153.159	152.897	0	0	0	0
7	2026.01.21 15:45:00	USDJPY.i	M5	157.851	153.582	153.362	153.159	152.897	0	0	0	0
8	2026.01.21 15:50:00	USDJPY.i	M5	157.850	153.582	153.362	153.159	152.897	0	0	0	0
9	2026.01.21 15:55:00	USDJPY.i	M5	157.889	153.582	153.362	153.159	152.897	0	0	0	0
10	2026.01.21 16:00:00	USDJPY.i	M5	157.947	153.582	153.362	153.159	152.897	0	0	0	0
11	2026.01.21 16:05:00	USDJPY.i	M5	157.951	153.582	153.362	153.159	152.897	0	0	0	0
12	2026.01.21 16:10:00	USDJPY.i	M5	158.018	153.582	153.362	153.159	152.897	0	0	0	0
13	2026.01.21 16:15:00	USDJPY.i	M5	158.025	153.582	153.362	153.159	152.897	0	0	0	0
14	2026.01.21 16:20:00	USDJPY.i	M5	158.086	153.582	153.362	153.159	152.897	0	0	0	0
15	2026.01.21 16:25:00	USDJPY.i	M5	158.041	153.582	153.362	153.159	152.897	0	0	0	0
16	2026.01.21 16:30:00	USDJPY.i	M5	158.002	153.582	153.362	153.159	152.897	0	0	0	0
17	2026.01.21 16:35:00	USDJPY.i	M5	158.051	153.582	153.362	153.159	152.897	0	0	0	0
18	2026.01.21 16:40:00	USDJPY.i	M5	158.099	153.582	153.362	153.159	152.897	0	0	0	0
19	2026.01.21 16:45:00	USDJPY.i	M5	158.111	153.582	153.362	153.159	152.897	0	0	0	0
20	2026.01.21 16:50:00	USDJPY.i	M5	158.076	153.582	153.362	153.159	152.897	0	0	0	0
21	2026.01.21 16:55:00	USDJPY.i	M5	158.115	153.582	153.362	153.159	152.897	0	0	0	0
22	2026.01.21 17:00:00	USDJPY.i	M5	158.088	153.582	153.362	153.159	152.897	0	0	0	0
23	2026.01.21 17:05:00	USDJPY.i	M5	158.086	153.582	153.362	153.159	152.897	0	0	0	0
24	2026.01.21 17:10:00	USDJPY.i	M5	158.127	153.582	153.362	153.159	152.897	0	0	0	0
25	2026.01.21 17:15:00	USDJPY.i	M5	158.210	153.582	153.362	153.159	152.897	0	0	0	0
26	2026.01.21 17:20:00	USDJPY.i	M5	158.289	153.582	153.362	153.159	152.897	0	0	0	0
27	2026.01.21 17:25:00	USDJPY.i	M5	158.275	153.582	153.362	153.159	152.897	0	0	0	0
