No	TimeStamp	Symbol	Timeframe	Close	Tema	Hrma	Smma
0	2025.09.29 08:00	XAUUSD	M5	3808.18	3808.00	3805.47	3788.42
1	2025.09.29 08:05	XAUUSD	M5	3805.32	3808.31	3806.37	3788.93
2	2025.09.29 08:10	XAUUSD	M5	3806.44	3807.66	3806.94	3789.42
3	2025.09.29 08:15	XAUUSD	M5	3804.67	3806.97	3807.25	3789.87
4	2025.09.29 08:20	XAUUSD	M5	3806.45	3806.27	3807.34	3790.30
5	2025.09.29 08:25	XAUUSD	M5	3805.38	3805.80	3807.33	3790.72
6	2025.09.29 08:30	XAUUSD	M5	3804.37	3805.85	3807.33	3791.13
7	2025.09.29 08:35	XAUUSD	M5	3805.26	3805.68	3807.29	3791.54
8	2025.09.29 08:40	XAUUSD	M5	3803.84	3804.73	3807.03	3791.90
9	2025.09.29 08:45	XAUUSD	M5	3805.94	3804.87	3806.86	3792.26
10	2025.09.29 08:50	XAUUSD	M5	3811.22	3806.84	3807.15	3792.68
11	2025.09.29 08:55	XAUUSD	M5	3813.73	3809.70	3808.02	3793.18
12	2025.09.29 09:00	XAUUSD	M5	3813.58	3811.96	3809.17	3793.74
13	2025.09.29 09:05	XAUUSD	M5	3812.37	3812.70	3810.21	3794.27
14	2025.09.29 09:10	XAUUSD	M5	3816.86	3814.44	3811.40	3794.81
15	2025.09.29 09:15	XAUUSD	M5	3814.20	3815.60	3812.59	3795.38
16	2025.09.29 09:20	XAUUSD	M5	3815.35	3816.01	3813.61	3795.93
17	2025.09.29 09:25	XAUUSD	M5	3812.71	3815.32	3814.25	3796.44
18	2025.09.29 09:30	XAUUSD	M5	3814.22	3814.92	3814.68	3796.91
19	2025.09.29 09:35	XAUUSD	M5	3815.57	3815.33	3815.12	3797.40
20	2025.09.29 09:40	XAUUSD	M5	3819.01	3816.73	3815.79	3797.93
21	2025.09.29 09:45	XAUUSD	M5	3814.71	3816.48	3816.26	3798.45
22	2025.09.29 09:50	XAUUSD	M5	3815.22	3816.16	3816.55	3798.92
23	2025.09.29 09:55	XAUUSD	M5	3817.37	3816.48	3816.85	3799.39
24	2025.09.29 10:00	XAUUSD	M5	3816.00	3816.21	3817.02	3799.86
25	2025.09.29 10:05	XAUUSD	M5	3815.12	3815.71	3817.03	3800.29
26	2025.09.29 10:10	XAUUSD	M5	3817.28	3816.40	3817.19	3800.73
27	2025.09.29 10:15	XAUUSD	M5	3816.85	3816.83	3817.41	3801.18
28	2025.09.29 10:20	XAUUSD	M5	3815.04	3816.30	3817.44	3801.61
29	2025.09.29 10:25	XAUUSD	M5	3814.29	3815.10	3817.18	3801.97
30	2025.09.29 10:30	XAUUSD	M5	3810.45	3813.41	3816.57	3802.28
31	2025.09.29 10:35	XAUUSD	M5	3810.17	3811.56	3815.68	3802.53
32	2025.09.29 10:40	XAUUSD	M5	3810.59	3810.35	3814.70	3802.74
33	2025.09.29 10:45	XAUUSD	M5	3806.87	3808.57	3813.51	3802.92
34	2025.09.29 10:50	XAUUSD	M5	3805.18	3806.55	3812.09	3803.03
35	2025.09.29 10:55	XAUUSD	M5	3806.25	3805.52	3810.74	3803.11
36	2025.09.29 11:00	XAUUSD	M5	3810.75	3806.61	3809.90	3803.24
37	2025.09.29 11:05	XAUUSD	M5	3813.64	3809.10	3809.78	3803.46
38	2025.09.29 11:10	XAUUSD	M5	3815.94	3811.88	3810.27	3803.76
39	2025.09.29 11:15	XAUUSD	M5	3813.28	3813.18	3810.90	3804.06
40	2025.09.29 11:20	XAUUSD	M5	3811.35	3812.82	3811.27	3804.31
41	2025.09.29 11:25	XAUUSD	M5	3811.48	3811.89	3811.34	3804.50
42	2025.09.29 11:30	XAUUSD	M5	3814.65	3812.82	3811.61	3804.70
43	2025.09.29 11:35	XAUUSD	M5	3814.80	3814.09	3812.11	3804.97
44	2025.09.29 11:40	XAUUSD	M5	3816.25	3815.19	3812.76	3805.26
45	2025.09.29 11:45	XAUUSD	M5	3817.73	3816.62	3813.59	3805.57
46	2025.09.29 11:50	XAUUSD	M5	3818.84	3818.00	3814.56	3805.91
47	2025.09.29 11:55	XAUUSD	M5	3818.73	3818.96	3815.54	3806.26
48	2025.09.29 12:00	XAUUSD	M5	3818.26	3819.32	3816.41	3806.61
49	2025.09.29 12:05	XAUUSD	M5	3817.42	3819.31	3817.09	3806.93
50	2025.09.29 12:10	XAUUSD	M5	3817.63	3818.90	3817.56	3807.24
51	2025.09.29 12:15	XAUUSD	M5	3817.08	3818.57	3817.87	3807.52
52	2025.09.29 12:20	XAUUSD	M5	3816.23	3817.79	3817.96	3807.79
53	2025.09.29 12:25	XAUUSD	M5	3816.08	3817.12	3817.90	3808.03
54	2025.09.29 12:30	XAUUSD	M5	3812.77	3815.54	3817.50	3808.22
55	2025.09.29 12:35	XAUUSD	M5	3810.04	3813.10	3816.64	3808.34
56	2025.09.29 12:40	XAUUSD	M5	3810.26	3811.21	3815.55	3808.40
57	2025.09.29 12:45	XAUUSD	M5	3807.97	3809.29	3814.27	3808.43
58	2025.09.29 12:50	XAUUSD	M5	3807.18	3807.88	3812.94	3808.43
59	2025.09.29 12:55	XAUUSD	M5	3807.48	3806.92	3811.66	3808.41
60	2025.09.29 13:00	XAUUSD	M5	3809.31	3807.02	3810.67	3808.40
61	2025.09.29 13:05	XAUUSD	M5	3807.78	3807.09	3809.88	3808.41
62	2025.09.29 13:10	XAUUSD	M5	3809.93	3807.48	3809.31	3808.42
63	2025.09.29 13:15	XAUUSD	M5	3810.25	3808.71	3809.12	3808.46
