No	TimeStamp	Symbol	Timeframe	Open	High	Low	Close	Candle direction	Z-Score of body size	Candle classification
0	2026.02.13 23:55	USDJPY.i	PERIOD_M5	152.700	152.712	152.664	152.688	bearish	0.75437	3
1	2026.02.13 23:50	USDJPY.i	PERIOD_M5	152.721	152.725	152.703	152.712	bearish	0.82818	3
2	2026.02.13 23:45	USDJPY.i	PERIOD_M5	152.692	152.730	152.692	152.727	bullish	0.20213	0
3	2026.02.13 23:40	USDJPY.i	PERIOD_M5	152.722	152.722	152.692	152.692	bearish	0.32293	3
4	2026.02.13 23:35	USDJPY.i	PERIOD_M5	152.700	152.726	152.688	152.722	bullish	0.51821	0
5	2026.02.13 23:30	USDJPY.i	PERIOD_M5	152.652	152.702	152.652	152.700	bullish	0.10882	0
6	2026.02.13 23:25	USDJPY.i	PERIOD_M5	152.645	152.655	152.632	152.650	bullish	0.93034	0
7	2026.02.13 23:20	USDJPY.i	PERIOD_M5	152.642	152.662	152.636	152.645	bullish	0.98263	0
8	2026.02.13 23:15	USDJPY.i	PERIOD_M5	152.676	152.676	152.636	152.642	bearish	0.23883	3
9	2026.02.13 23:10	USDJPY.i	PERIOD_M5	152.648	152.692	152.648	152.676	bullish	0.38621	0
10	2026.02.13 23:05	USDJPY.i	PERIOD_M5	152.649	152.660	152.626	152.648	bearish	1.03923	3
11	2026.02.13 23:00	USDJPY.i	PERIOD_M5	152.758	152.762	152.640	152.649	bearish	1.56435	4
12	2026.02.13 22:55	USDJPY.i	PERIOD_M5	152.712	152.773	152.665	152.757	bullish	0.02613	0
13	2026.02.13 22:50	USDJPY.i	PERIOD_M5	152.742	152.753	152.706	152.706	bearish	0.19186	3
14	2026.02.13 22:45	USDJPY.i	PERIOD_M5	152.746	152.790	152.741	152.742	bearish	0.96519	3
15	2026.02.13 22:40	USDJPY.i	PERIOD_M5	152.729	152.749	152.726	152.746	bullish	0.65542	0
16	2026.02.13 22:35	USDJPY.i	PERIOD_M5	152.728	152.753	152.717	152.729	bullish	1.03921	0
17	2026.02.13 22:30	USDJPY.i	PERIOD_M5	152.730	152.737	152.702	152.728	bearish	1.01889	3
18	2026.02.13 22:25	USDJPY.i	PERIOD_M5	152.787	152.790	152.719	152.730	bearish	0.30474	3
19	2026.02.13 22:20	USDJPY.i	PERIOD_M5	152.813	152.818	152.787	152.787	bearish	0.44428	3
20	2026.02.13 22:15	USDJPY.i	PERIOD_M5	152.786	152.816	152.786	152.814	bullish	0.39808	0
21	2026.02.13 22:10	USDJPY.i	PERIOD_M5	152.812	152.819	152.786	152.786	bearish	0.44795	3
22	2026.02.13 22:05	USDJPY.i	PERIOD_M5	152.801	152.815	152.801	152.812	bullish	0.80799	0
23	2026.02.13 22:00	USDJPY.i	PERIOD_M5	152.777	152.836	152.777	152.801	bullish	0.49973	0
24	2026.02.13 21:55	USDJPY.i	PERIOD_M5	152.770	152.781	152.747	152.777	bullish	0.91039	0
25	2026.02.13 21:50	USDJPY.i	PERIOD_M5	152.763	152.787	152.757	152.770	bullish	0.91464	0
26	2026.02.13 21:45	USDJPY.i	PERIOD_M5	152.736	152.763	152.732	152.763	bullish	0.43984	0
27	2026.02.13 21:40	USDJPY.i	PERIOD_M5	152.754	152.762	152.733	152.736	bearish	0.65472	3
28	2026.02.13 21:35	USDJPY.i	PERIOD_M5	152.743	152.765	152.730	152.754	bullish	0.82450	0
29	2026.02.13 21:30	USDJPY.i	PERIOD_M5	152.768	152.792	152.742	152.743	bearish	0.49231	3
30	2026.02.13 21:25	USDJPY.i	PERIOD_M5	152.779	152.790	152.766	152.769	bearish	0.85394	3
31	2026.02.13 21:20	USDJPY.i	PERIOD_M5	152.813	152.815	152.766	152.779	bearish	0.28241	3
32	2026.02.13 21:15	USDJPY.i	PERIOD_M5	152.809	152.823	152.809	152.813	bullish	1.00145	0
33	2026.02.13 21:10	USDJPY.i	PERIOD_M5	152.810	152.815	152.800	152.809	bearish	1.07802	3
34	2026.02.13 21:05	USDJPY.i	PERIOD_M5	152.844	152.853	152.798	152.810	bearish	0.29037	3
35	2026.02.13 21:00	USDJPY.i	PERIOD_M5	152.832	152.856	152.816	152.844	bullish	0.82011	0
36	2026.02.13 20:55	USDJPY.i	PERIOD_M5	152.875	152.876	152.819	152.831	bearish	0.05519	3
37	2026.02.13 20:50	USDJPY.i	PERIOD_M5	152.840	152.888	152.836	152.874	bullish	0.29422	0
38	2026.02.13 20:45	USDJPY.i	PERIOD_M5	152.803	152.840	152.803	152.840	bullish	0.22405	0
39	2026.02.13 20:40	USDJPY.i	PERIOD_M5	152.847	152.849	152.803	152.803	bearish	0.05913	3
40	2026.02.13 20:35	USDJPY.i	PERIOD_M5	152.812	152.859	152.811	152.847	bullish	0.27629	0
41	2026.02.13 20:30	USDJPY.i	PERIOD_M5	152.814	152.823	152.805	152.812	bearish	1.06657	3
42	2026.02.13 20:25	USDJPY.i	PERIOD_M5	152.861	152.865	152.812	152.813	bearish	0.02572	3
43	2026.02.13 20:20	USDJPY.i	PERIOD_M5	152.838	152.873	152.838	152.864	bullish	0.50108	0
44	2026.02.13 20:15	USDJPY.i	PERIOD_M5	152.804	152.849	152.801	152.838	bullish	0.31561	0
45	2026.02.13 20:10	USDJPY.i	PERIOD_M5	152.813	152.824	152.797	152.803	bearish	0.86073	3
46	2026.02.13 20:05	USDJPY.i	PERIOD_M5	152.788	152.826	152.768	152.814	bullish	0.49876	0
47	2026.02.13 20:00	USDJPY.i	PERIOD_M5	152.805	152.824	152.761	152.788	bearish	0.70204	3
48	2026.02.13 19:55	USDJPY.i	PERIOD_M5	152.753	152.827	152.747	152.806	bullish	0.11260	0
49	2026.02.13 19:50	USDJPY.i	PERIOD_M5	152.825	152.833	152.718	152.753	bearish	0.54401	3
50	2026.02.13 19:45	USDJPY.i	PERIOD_M5	152.816	152.832	152.773	152.825	bullish	0.88370	0
51	2026.02.13 19:40	USDJPY.i	PERIOD_M5	152.819	152.871	152.798	152.816	bearish	1.02147	3
52	2026.02.13 19:35	USDJPY.i	PERIOD_M5	152.813	152.823	152.789	152.819	bullish	0.95527	0
53	2026.02.13 19:30	USDJPY.i	PERIOD_M5	152.698	152.819	152.698	152.813	bullish	1.51419	1
54	2026.02.13 19:25	USDJPY.i	PERIOD_M5	152.738	152.743	152.698	152.698	bearish	0.18303	3
55	2026.02.13 19:20	USDJPY.i	PERIOD_M5	152.670	152.743	152.665	152.738	bullish	0.45168	0
56	2026.02.13 19:15	USDJPY.i	PERIOD_M5	152.660	152.681	152.593	152.672	bullish	0.82179	0
57	2026.02.13 19:10	USDJPY.i	PERIOD_M5	152.744	152.745	152.600	152.661	bearish	0.78842	3
58	2026.02.13 19:05	USDJPY.i	PERIOD_M5	152.789	152.796	152.730	152.750	bearish	0.20589	3
59	2026.02.13 19:00	USDJPY.i	PERIOD_M5	152.789	152.799	152.766	152.789	bullish	1.09037	0
60	2026.02.13 18:55	USDJPY.i	PERIOD_M5	152.770	152.791	152.742	152.790	bullish	0.63841	0
61	2026.02.13 18:50	USDJPY.i	PERIOD_M5	152.822	152.837	152.747	152.770	bearish	0.08692	3
62	2026.02.13 18:45	USDJPY.i	PERIOD_M5	152.804	152.873	152.790	152.817	bullish	0.79887	0
63	2026.02.13 18:40	USDJPY.i	PERIOD_M5	152.894	152.906	152.804	152.807	bearish	0.88121	3
64	2026.02.13 18:35	USDJPY.i	PERIOD_M5	152.861	152.908	152.835	152.894	bullish	0.34733	0
65	2026.02.13 18:30	USDJPY.i	PERIOD_M5	152.870	152.881	152.801	152.862	bearish	0.91356	3
66	2026.02.13 18:25	USDJPY.i	PERIOD_M5	152.896	152.903	152.815	152.870	bearish	0.50752	3
67	2026.02.13 18:20	USDJPY.i	PERIOD_M5	153.057	153.058	152.872	152.895	bearish	2.56761	5
68	2026.02.13 18:15	USDJPY.i	PERIOD_M5	153.053	153.094	153.052	153.057	bullish	1.00975	0
69	2026.02.13 18:10	USDJPY.i	PERIOD_M5	153.161	153.174	153.053	153.053	bearish	1.36231	3
70	2026.02.13 18:05	USDJPY.i	PERIOD_M5	153.164	153.166	153.075	153.161	bearish	1.03353	3
71	2026.02.13 18:00	USDJPY.i	PERIOD_M5	153.128	153.225	153.128	153.165	bullish	0.25623	0
72	2026.02.13 17:55	USDJPY.i	PERIOD_M5	153.007	153.135	152.997	153.132	bullish	1.75468	1
73	2026.02.13 17:50	USDJPY.i	PERIOD_M5	152.945	153.132	152.907	153.006	bullish	0.29479	0
74	2026.02.13 17:45	USDJPY.i	PERIOD_M5	152.952	152.969	152.916	152.948	bearish	1.01338	3
75	2026.02.13 17:40	USDJPY.i	PERIOD_M5	153.072	153.074	152.946	152.951	bearish	1.66098	4
76	2026.02.13 17:35	USDJPY.i	PERIOD_M5	153.076	153.097	153.062	153.072	bearish	1.01817	3
77	2026.02.13 17:30	USDJPY.i	PERIOD_M5	153.035	153.130	153.032	153.075	bullish	0.19369	0
78	2026.02.13 17:25	USDJPY.i	PERIOD_M5	153.000	153.052	152.984	153.036	bullish	0.28775	0
79	2026.02.13 17:20	USDJPY.i	PERIOD_M5	153.089	153.092	152.989	153.001	bearish	0.90571	3
80	2026.02.13 17:15	USDJPY.i	PERIOD_M5	153.046	153.129	153.007	153.090	bullish	0.10075	0
81	2026.02.13 17:10	USDJPY.i	PERIOD_M5	153.046	153.151	153.036	153.046	bullish	1.11164	0
82	2026.02.13 17:05	USDJPY.i	PERIOD_M5	152.962	153.049	152.911	153.046	bullish	0.81587	0
83	2026.02.13 17:00	USDJPY.i	PERIOD_M5	153.048	153.091	152.947	152.962	bearish	0.86573	3
84	2026.02.13 16:55	USDJPY.i	PERIOD_M5	153.053	153.080	152.997	153.045	bearish	0.92592	3
85	2026.02.13 16:50	USDJPY.i	PERIOD_M5	153.019	153.092	152.940	153.049	bullish	0.42524	0
86	2026.02.13 16:45	USDJPY.i	PERIOD_M5	152.964	153.067	152.964	153.020	bullish	0.17031	0
87	2026.02.13 16:40	USDJPY.i	PERIOD_M5	152.882	152.966	152.787	152.966	bullish	0.81485	0
88	2026.02.13 16:35	USDJPY.i	PERIOD_M5	152.910	152.965	152.877	152.877	bearish	0.35323	3
89	2026.02.13 16:30	USDJPY.i	PERIOD_M5	152.900	152.962	152.869	152.910	bullish	0.88167	0
90	2026.02.13 16:25	USDJPY.i	PERIOD_M5	152.999	153.004	152.824	152.897	bearish	1.22741	3
91	2026.02.13 16:20	USDJPY.i	PERIOD_M5	152.988	153.034	152.962	152.999	bullish	0.85756	0
92	2026.02.13 16:15	USDJPY.i	PERIOD_M5	153.033	153.102	152.986	152.999	bearish	0.33183	3
93	2026.02.13 16:10	USDJPY.i	PERIOD_M5	153.051	153.051	152.972	153.033	bearish	0.69721	3
94	2026.02.13 16:05	USDJPY.i	PERIOD_M5	153.042	153.101	153.022	153.050	bullish	0.92853	0
95	2026.02.13 16:00	USDJPY.i	PERIOD_M5	153.069	153.124	153.005	153.042	bearish	0.49260	3
96	2026.02.13 15:55	USDJPY.i	PERIOD_M5	153.048	153.070	152.964	153.067	bullish	0.67898	0
97	2026.02.13 15:50	USDJPY.i	PERIOD_M5	153.197	153.198	153.021	153.050	bearish	2.24599	4
98	2026.02.13 15:45	USDJPY.i	PERIOD_M5	153.251	153.274	153.137	153.196	bearish	0.13991	3
99	2026.02.13 15:40	USDJPY.i	PERIOD_M5	153.106	153.282	153.039	153.249	bullish	2.14151	1
100	2026.02.13 15:35	USDJPY.i	PERIOD_M5	153.057	153.114	152.943	153.100	bullish	0.12611	0
101	2026.02.13 15:30	USDJPY.i	PERIOD_M5	153.290	153.290	152.922	153.057	bearish	4.15105	5
102	2026.02.13 15:25	USDJPY.i	PERIOD_M5	153.321	153.327	153.284	153.291	bearish	0.42513	3
103	2026.02.13 15:20	USDJPY.i	PERIOD_M5	153.263	153.338	153.262	153.318	bullish	0.14927	0
104	2026.02.13 15:15	USDJPY.i	PERIOD_M5	153.281	153.284	153.251	153.262	bearish	0.67992	3
105	2026.02.13 15:10	USDJPY.i	PERIOD_M5	153.283	153.303	153.274	153.281	bearish	1.07426	3
106	2026.02.13 15:05	USDJPY.i	PERIOD_M5	153.231	153.292	153.205	153.283	bullish	0.07329	0
107	2026.02.13 15:00	USDJPY.i	PERIOD_M5	153.247	153.271	153.230	153.231	bearish	0.75670	3
108	2026.02.13 14:55	USDJPY.i	PERIOD_M5	153.290	153.320	153.239	153.247	bearish	0.13900	3
109	2026.02.13 14:50	USDJPY.i	PERIOD_M5	153.298	153.335	153.274	153.290	bearish	0.94306	3
110	2026.02.13 14:45	USDJPY.i	PERIOD_M5	153.311	153.311	153.259	153.299	bearish	0.85562	3
111	2026.02.13 14:40	USDJPY.i	PERIOD_M5	153.302	153.321	153.287	153.310	bullish	0.94667	0
112	2026.02.13 14:35	USDJPY.i	PERIOD_M5	153.288	153.346	153.288	153.301	bullish	0.83636	0
113	2026.02.13 14:30	USDJPY.i	PERIOD_M5	153.327	153.336	153.268	153.288	bearish	0.24588	3
114	2026.02.13 14:25	USDJPY.i	PERIOD_M5	153.338	153.342	153.312	153.327	bearish	0.88797	3
115	2026.02.13 14:20	USDJPY.i	PERIOD_M5	153.370	153.373	153.326	153.337	bearish	0.38851	3
116	2026.02.13 14:15	USDJPY.i	PERIOD_M5	153.362	153.396	153.353	153.369	bullish	0.98466	0
117	2026.02.13 14:10	USDJPY.i	PERIOD_M5	153.290	153.386	153.279	153.361	bullish	0.46346	0
118	2026.02.13 14:05	USDJPY.i	PERIOD_M5	153.338	153.341	153.284	153.290	bearish	0.05523	3
119	2026.02.13 14:00	USDJPY.i	PERIOD_M5	153.362	153.397	153.337	153.338	bearish	0.60026	3
120	2026.02.13 13:55	USDJPY.i	PERIOD_M5	153.311	153.371	153.304	153.362	bullish	0.00855	0
121	2026.02.13 13:50	USDJPY.i	PERIOD_M5	153.267	153.336	153.264	153.310	bullish	0.17045	0
122	2026.02.13 13:45	USDJPY.i	PERIOD_M5	153.252	153.289	153.233	153.277	bullish	0.57475	0
123	2026.02.13 13:40	USDJPY.i	PERIOD_M5	153.352	153.352	153.247	153.252	bearish	1.11064	3
124	2026.02.13 13:35	USDJPY.i	PERIOD_M5	153.424	153.434	153.327	153.352	bearish	0.48262	3
125	2026.02.13 13:30	USDJPY.i	PERIOD_M5	153.429	153.466	153.408	153.424	bearish	1.02778	3
126	2026.02.13 13:25	USDJPY.i	PERIOD_M5	153.437	153.469	153.416	153.432	bearish	1.02851	3
127	2026.02.13 13:20	USDJPY.i	PERIOD_M5	153.399	153.444	153.377	153.436	bullish	0.30854	0
128	2026.02.13 13:15	USDJPY.i	PERIOD_M5	153.364	153.410	153.356	153.399	bullish	0.35280	0
129	2026.02.13 13:10	USDJPY.i	PERIOD_M5	153.421	153.444	153.363	153.364	bearish	0.14414	3
130	2026.02.13 13:05	USDJPY.i	PERIOD_M5	153.362	153.427	153.353	153.421	bullish	0.19094	0
131	2026.02.13 13:00	USDJPY.i	PERIOD_M5	153.441	153.444	153.358	153.362	bearish	0.64410	3
132	2026.02.13 12:55	USDJPY.i	PERIOD_M5	153.478	153.482	153.440	153.442	bearish	0.32573	3
133	2026.02.13 12:50	USDJPY.i	PERIOD_M5	153.512	153.518	153.450	153.478	bearish	0.36951	3
134	2026.02.13 12:45	USDJPY.i	PERIOD_M5	153.528	153.542	153.505	153.513	bearish	0.79624	3
135	2026.02.13 12:40	USDJPY.i	PERIOD_M5	153.548	153.565	153.512	153.528	bearish	0.68415	3
136	2026.02.13 12:35	USDJPY.i	PERIOD_M5	153.505	153.569	153.489	153.548	bullish	0.16597	0
137	2026.02.13 12:30	USDJPY.i	PERIOD_M5	153.489	153.521	153.486	153.505	bullish	0.77219	0
138	2026.02.13 12:25	USDJPY.i	PERIOD_M5	153.526	153.552	153.492	153.493	bearish	0.38970	3
139	2026.02.13 12:20	USDJPY.i	PERIOD_M5	153.548	153.559	153.521	153.526	bearish	0.63579	3
140	2026.02.13 12:15	USDJPY.i	PERIOD_M5	153.538	153.558	153.502	153.548	bullish	0.90725	0
141	2026.02.13 12:10	USDJPY.i	PERIOD_M5	153.549	153.559	153.495	153.539	bearish	0.90696	3
