Best_Fit_timestamp	Best_Fit_symbol	Best_Fit_timeframe	Best_Fit_close	Best_Fit_Base_FL	Best_Fit_UOEDT	Best_Fit_LOEDT	Best_Fit_horiz_high_map	Best_Fit_horiz_low_map	Best_Fit_ssa	Best_Fit_ema_ssa	Best_Fit_crossing
1777477214	XAUUSD	M15	4602.15						4603.99087050	4603.99087050	0
1777478114	XAUUSD	M15	4604.85						4603.32748336	4603.65917693	1
1777479014	XAUUSD	M15	4601.15				4607.77000		4601.66085093	4602.66001393	0
1777479914	XAUUSD	M15	4600.72						4599.54312535	4601.10156964	0
1777480814	XAUUSD	M15	4599.05						4596.84163620	4598.97160292	0
1777481714	XAUUSD	M15	4590.90						4593.60426626	4596.28793459	0
1777482614	XAUUSD	M15	4588.73						4590.30792286	4593.29792873	0
1777483514	XAUUSD	M15	4585.04						4586.97858233	4590.13825553	0
1777484414	XAUUSD	M15	4585.03						4583.71008765	4586.92417159	0
1777485314	XAUUSD	M15	4584.52						4580.45335005	4583.68876082	0
1777486214	XAUUSD	M15	4578.72						4577.25281161	4580.47078621	0
1777487114	XAUUSD	M15	4575.11						4574.38782424	4577.42930523	0
1777488014	XAUUSD	M15	4570.56						4572.02748586	4574.72839554	0
1777488914	XAUUSD	M15	4567.92						4570.30086485	4572.51463019	0
1777489814	XAUUSD	M15	4565.44						4569.17392509	4570.84427764	0
1777490714	XAUUSD	M15	4566.65						4568.51983623	4569.68205693	0
1777491614	XAUUSD	M15	4568.37						4568.08940600	4568.88573147	0
1777492514	XAUUSD	M15	4573.20						4567.64559426	4568.26566287	0
1777493414	XAUUSD	M15	4574.20						4566.98542484	4567.62554385	0
1777494314	XAUUSD	M15	4565.69						4566.12857176	4566.87705781	0
1777495214	XAUUSD	M15	4558.86						4565.37593632	4566.12649706	0
1777496114	XAUUSD	M15	4555.94						4564.99471032	4565.56060369	0
1777497014	XAUUSD	M15	4568.04						4565.12692363	4565.34376366	0
1777497914	XAUUSD	M15	4571.78						4565.58358877	4565.46367621	1
1777498814	XAUUSD	M15	4566.36						4566.25657098	4565.86012360	0
1777499714	XAUUSD	M15	4569.98						4567.10278460	4566.48145410	0
1777500614	XAUUSD	M15	4568.02						4567.81463275	4567.14804342	0
1777501514	XAUUSD	M15	4564.76						4568.10007542	4567.62405942	0
1777502414	XAUUSD	M15	4567.03						4567.64482112	4567.63444027	0
1777503314	XAUUSD	M15	4561.87						4566.10082277	4566.86763152	1
1777504214	XAUUSD	M15	4564.41						4563.27031251	4565.06897201	0
1777505114	XAUUSD	M15	4559.40						4558.96962544	4562.01929873	0
1777506014	XAUUSD	M15	4557.62						4553.41279217	4557.71604545	0
1777506914	XAUUSD	M15	4544.90						4546.95995020	4552.33799782	0
1777507814	XAUUSD	M15	4549.80						4540.44297402	4546.39048592	0
1777508714	XAUUSD	M15	4537.82						4534.31981340	4540.35514966	0
1777509614	XAUUSD	M15	4514.81						4529.49275305	4534.92395135	0
1777510514	XAUUSD	M15	4521.71					4510.28000	4527.00324313	4530.96359724	0
1777511414	XAUUSD	M15	4526.15						4526.82821548	4528.89590636	0
1777512314	XAUUSD	M15	4533.20						4528.72239923	4528.80915279	0
1777513214	XAUUSD	M15	4538.69						4532.16078432	4530.48496856	1
1777514114	XAUUSD	M15	4539.25						4536.54526502	4533.51511679	0
1777515014	XAUUSD	M15	4538.08						4541.37692913	4537.44602296	0
1777515914	XAUUSD	M15	4543.61						4546.21841618	4541.83221957	0
1777516814	XAUUSD	M15	4553.17						4550.49238379	4546.16230168	0
1777517714	XAUUSD	M15	4547.48						4553.60137489	4549.88183828	0
1777518614	XAUUSD	M15	4559.10						4555.46332019	4552.67257924	0
1777519514	XAUUSD	M15	4560.23						4555.66916189	4554.17087056	0
1777520414	XAUUSD	M15	4550.51						4554.25157108	4554.21122082	0
1777521314	XAUUSD	M15	4545.36						4551.68891343	4552.95006712	1
1777522214	XAUUSD	M15	4550.68						4548.42900640	4550.68953676	0
1777523114	XAUUSD	M15	4547.23						4544.69096749	4547.69025213	0
1777524014	XAUUSD	M15	4544.75						4540.94655111	4544.31840162	0
1777524914	XAUUSD	M15	4547.33						4537.63595667	4540.97717914	0
1777525814	XAUUSD	M15	4525.75						4535.02713615	4538.00215765	0
1777526714	XAUUSD	M15	4532.95						4533.91798979	4535.96007372	0
1777527614	XAUUSD	M15	4520.81						4534.14589880	4535.05298626	0
1777528514	XAUUSD	M15	4538.19					4518.41000	4535.83796520	4535.44547573	1
1777529414	XAUUSD	M15	4547.72						4538.16459161	4536.80503367	0
1777530314	XAUUSD	M15	4542.84						4540.44851625	4538.62677496	0
1777531214	XAUUSD	M15	4539.61						4542.47662094	4540.55169795	0
1777532114	XAUUSD	M15	4547.05						4544.12446282	4542.33808039	0
1777533014	XAUUSD	M15	4546.25						4545.14296242	4543.74052140	0
1777533914	XAUUSD	M15	4543.25						4545.65025474	4544.69538807	0
1777534814	XAUUSD	M15	4543.79						4545.93354455	4545.31446631	0
1777535714	XAUUSD	M15	4543.57						4546.20774588	4545.76110609	0
1777540214	XAUUSD	M15	4546.40						4546.68974730	4546.22542670	0
1777541114	XAUUSD	M15	4549.14						4547.45217379	4546.83880024	0
1777542014	XAUUSD	M15	4548.51						4548.49734874	4547.66807449	0
1777542914	XAUUSD	M15	4552.08						4549.87645361	4548.77226405	0
1777543814	XAUUSD	M15	4553.33						4551.51343351	4550.14284878	0
1777544714	XAUUSD	M15	4551.63						4553.40752300	4551.77518589	0
1777545614	XAUUSD	M15	4554.44						4555.65259023	4553.71388806	0
1777546514	XAUUSD	M15	4561.66						4558.22723425	4555.97056116	0
1777547414	XAUUSD	M15	4557.93						4560.98037304	4558.47546710	0
1777548314	XAUUSD	M15	4563.57						4564.02054794	4561.24800752	0
1777549214	XAUUSD	M15	4567.11						4567.15697221	4564.20248987	0
1777550114	XAUUSD	M15	4569.83						4570.17556043	4567.18902515	0
1777551014	XAUUSD	M15	4568.52						4572.84908679	4570.01905597	0
1777551914	XAUUSD	M15	4579.79						4575.03200548	4572.52553072	0
1777552814	XAUUSD	M15	4576.31						4576.24986287	4574.38769679	0
1777553714	XAUUSD	M15	4579.13				4582.32000		4576.46892128	4575.42830904	0
1777554614	XAUUSD	M15	4579.74						4575.57471484	4575.50151194	0
1777555514	XAUUSD	M15	4573.13						4573.60931424	4574.55541309	1
1777556414	XAUUSD	M15	4562.53						4570.88276197	4572.71908753	0
1777557314	XAUUSD	M15	4565.02						4567.84144209	4570.28026481	0
1777558214	XAUUSD	M15	4564.98						4564.54105454	4567.41065968	0
1777559114	XAUUSD	M15	4563.32						4561.09241087	4564.25153527	0
1777560014	XAUUSD	M15	4561.66						4557.64580165	4560.94866846	0
1777560914	XAUUSD	M15	4556.09						4554.39210909	4557.67038878	0
1777561814	XAUUSD	M15	4555.41						4551.66406075	4554.66722477	0
1777562714	XAUUSD	M15	4547.28						4549.68111227	4552.17416852	0
1777563614	XAUUSD	M15	4544.74					4540.82000	4548.83576495	4550.50496673	0
1777564514	XAUUSD	M15	4541.91						4549.30557927	4549.90527300	0
1777565414	XAUUSD	M15	4553.22						4551.18296987	4550.54412144	1
1777566314	XAUUSD	M15	4555.73						4554.09874777	4552.32143460	0
1777567214	XAUUSD	M15	4564.04						4557.87998759	4555.10071109	0
1777568114	XAUUSD	M15	4562.71						4562.21891304	4558.65981207	0
1777569014	XAUUSD	M15	4566.21						4567.11134405	4562.88557806	0
1777569914	XAUUSD	M15	4569.57						4572.46263260	4567.67410533	0
1777570814	XAUUSD	M15	4575.23						4578.19004125	4572.93207329	0
1777571714	XAUUSD	M15	4589.44						4584.11644412	4578.52425870	0
1777572614	XAUUSD	M15	4591.59						4589.81991860	4584.17208865	0
1777573514	XAUUSD	M15	4591.59						4595.20673936	4589.68941401	0
1777574414	XAUUSD	M15	4596.69						4600.26607674	4594.97774537	0
1777575314	XAUUSD	M15	4598.44						4604.88404163	4599.93089350	0
1777576214	XAUUSD	M15	4618.70						4609.06706472	4604.49897911	0
1777577114	XAUUSD	M15	4617.35						4612.40261596	4608.45079754	0
1777578014	XAUUSD	M15	4614.82						4615.14445611	4611.79762682	0
1777578914	XAUUSD	M15	4616.00						4617.64745396	4614.72254039	0
1777579814	XAUUSD	M15	4618.96						4620.15669963	4617.43962001	0
1777580714	XAUUSD	M15	4625.41						4622.79960712	4620.11961356	0
1777581614	XAUUSD	M15	4619.35						4625.50460809	4622.81211083	0
1777582514	XAUUSD	M15	4624.91						4628.41164165	4625.61187624	0
1777583414	XAUUSD	M15	4626.92						4631.24536736	4628.42862180	0
1777584314	XAUUSD	M15	4643.78						4633.76630555	4631.09746368	0
1777585214	XAUUSD	M15	4636.62				4647.10000		4635.36936415	4633.23341391	0
1777586114	XAUUSD	M15	4639.68						4636.19858684	4634.71600038	0
1777587014	XAUUSD	M15	4635.99						4636.25900911	4635.48750474	0
1777587914	XAUUSD	M15	4637.70						4635.83059091	4635.65904783	0
1777588814	XAUUSD	M15	4629.82						4635.09313628	4635.37609205	1
1777589714	XAUUSD	M15	4630.21						4634.44605844	4634.91107524	0
1777590614	XAUUSD	M15	4635.81						4633.96350708	4634.43729116	0
1777591514	XAUUSD	M15	4630.51						4633.44621789	4633.94175453	0
1777592414	XAUUSD	M15	4625.92						4632.89122350	4633.41648902	0
1777593314	XAUUSD	M15	4639.57						4632.22618523	4632.82133712	0
1777594214	XAUUSD	M15	4641.50						4630.92583427	4631.87358570	0
1777595114	XAUUSD	M15	4633.50						4628.89400259	4630.38379415	0
1777596014	XAUUSD	M15	4625.44						4626.45571505	4628.41975460	0
1777596914	XAUUSD	M15	4610.99						4624.03267864	4626.22621662	0
1777597814	XAUUSD	M15	4620.39						4622.20196249	4624.21408955	0
1777598714	XAUUSD	M15	4622.81						4620.80082612	4622.50745784	0
1777599614	XAUUSD	M15	4617.70						4619.72100890	4621.11423337	0
1777600514	XAUUSD	M15	4619.59						4618.95240639	4620.03331988	0
1777601414	XAUUSD	M15	4620.13						4618.22589451	4619.12960719	0
1777602314	XAUUSD	M15	4623.09						4617.30059797	4618.21510258	0
1777603214	XAUUSD	M15	4615.65						4615.96369845	4617.08940052	0
1777604114	XAUUSD	M15	4615.35						4614.41757216	4615.75348634	0
1777605014	XAUUSD	M15	4611.63						4612.82759481	4614.29054057	0
1777605914	XAUUSD	M15	4608.08						4611.54865750	4612.91959903	0
1777606814	XAUUSD	M15	4609.12						4610.95019916	4611.93489910	0
1777607714	XAUUSD	M15	4607.62					4605.56000	4611.21113062	4611.57301486	0
1777608614	XAUUSD	M15	4615.95						4612.43841099	4612.00571292	1
1777609514	XAUUSD	M15	4618.00						4614.31068207	4613.15819750	0
1777610414	XAUUSD	M15	4617.86						4616.52822911	4614.84321330	0
1777611314	XAUUSD	M15	4616.86						4618.76791517	4616.80556423	0
1777612214	XAUUSD	M15	4620.57						4620.71788985	4618.76172704	0
1777613114	XAUUSD	M15	4620.79						4622.01057723	4620.38615214	0
1777614014	XAUUSD	M15	4620.70						4622.49288726	4621.43951970	0
1777614914	XAUUSD	M15	4622.48						4622.17741626	4621.80846798	0
1777615814	XAUUSD	M15	4624.33						4621.18075559	4621.49461178	1
1777616714	XAUUSD	M15	4617.77						4619.75904076	4620.62682627	0
1777617614	XAUUSD	M15	4622.49						4618.46881179	4619.54781903	0
1777618514	XAUUSD	M15	4617.07						4617.57427000	4618.56104452	0
1777619414	XAUUSD	M15	4616.16						4617.53445398	4618.04774925	0
1777620314	XAUUSD	M15	4616.72						4618.53757167	4618.29266046	1
1777621214	XAUUSD	M15	4617.33						4620.53738784	4619.41502415	0
1777622114	XAUUSD	M15	4621.81						4623.30498420	4621.36000417	0
1777626614	XAUUSD	M15	4631.38						4626.37585593	4623.86793005	0
1777627514	XAUUSD	M15	4631.38						4629.09730362	4626.48261683	0
1777628414	XAUUSD	M15	4631.75						4631.11271145	4628.79766414	0
1777629314	XAUUSD	M15	4630.51						4632.15785483	4630.47775949	0
1777630214	XAUUSD	M15	4630.26						4632.15840692	4631.31808320	0
1777631114	XAUUSD	M15	4630.75						4631.16039096	4631.23923708	1
1777632014	XAUUSD	M15	4631.31						4629.31641324	4630.27782516	0
1777632914	XAUUSD	M15	4626.71						4626.88260958	4628.58021737	0
1777633814	XAUUSD	M15	4622.55						4624.31410649	4626.44716193	0
1777634714	XAUUSD	M15	4623.65						4622.05593730	4624.25154962	0
1777635614	XAUUSD	M15	4620.90						4620.34407175	4622.29781068	0
1777636514	XAUUSD	M15	4620.02						4619.40906323	4620.85343695	0
1777637414	XAUUSD	M15	4618.70						4619.30067551	4620.07705623	0
1777638314	XAUUSD	M15	4616.68						4619.94436174	4620.01070898	0
1777639214	XAUUSD	M15	4620.20						4621.18196628	4620.59633763	1
1777640114	XAUUSD	M15	4621.05						4622.65420873	4621.62527318	0
1777641014	XAUUSD	M15	4630.89						4624.07933582	4622.85230450	0
1777641914	XAUUSD	M15	4629.39				4635.83000		4625.00608579	4623.92919515	0
1777642814	XAUUSD	M15	4624.38						4625.39284625	4624.66102070	0
1777643714	XAUUSD	M15	4619.15						4625.38213134	4625.02157602	0
1777644614	XAUUSD	M15	4620.85						4625.15425732	4625.08791667	0
1777645514	XAUUSD	M15	4626.13						4624.68653570	4624.88722619	1
1777646414	XAUUSD	M15	4626.21						4623.82886950	4624.35804784	0
1777647314	XAUUSD	M15	4626.67						4622.55498832	4623.45651808	0
1777648214	XAUUSD	M15	4621.93						4620.83451990	4622.14551899	0
1777649114	XAUUSD	M15	4617.53						4618.79284597	4620.46918248	0
1777650014	XAUUSD	M15	4613.51						4616.56816048	4618.51867148	0
1777650914	XAUUSD	M15	4609.18						4614.28776313	4616.40321731	0
1777651814	XAUUSD	M15	4614.29						4612.05983020	4614.23152375	0
1777652714	XAUUSD	M15	4614.64						4609.72836062	4611.97994219	0
1777653614	XAUUSD	M15	4610.00						4607.25431749	4609.61712984	0
1777654514	XAUUSD	M15	4605.03						4604.72325132	4607.17019058	0
1777655414	XAUUSD	M15	4601.49						4602.20304443	4604.68661750	0
1777656314	XAUUSD	M15	4593.44						4599.66237772	4602.17449761	0
1777657214	XAUUSD	M15	4593.36						4597.13287426	4599.65368594	0
1777658114	XAUUSD	M15	4594.77						4594.40003012	4597.02685803	0
1777659014	XAUUSD	M15	4595.97						4591.25741069	4594.14213436	0
1777659914	XAUUSD	M15	4592.32						4587.60712506	4590.87462971	0
1777660814	XAUUSD	M15	4585.41						4583.59974911	4587.23718941	0
1777661714	XAUUSD	M15	4578.16						4579.55808039	4583.39763490	0
1777662614	XAUUSD	M15	4574.06						4575.83933845	4579.61848667	0
1777663514	XAUUSD	M15	4567.37						4572.67857698	4576.14853183	0
1777664414	XAUUSD	M15	4571.29						4570.29583083	4573.22218133	0
1777665314	XAUUSD	M15	4568.51						4568.54188956	4570.88203545	0
1777666214	XAUUSD	M15	4565.87						4567.38755333	4569.13479439	0
1777667114	XAUUSD	M15	4569.29						4566.77656713	4567.95568076	0
1777668014	XAUUSD	M15	4570.62						4566.50573368	4567.23070722	0
1777668914	XAUUSD	M15	4563.12					4560.44000	4566.47934395	4566.85502558	0
1777669814	XAUUSD	M15	4566.78						4566.89964843	4566.87733700	1
1777670714	XAUUSD	M15	4572.18						4567.69585303	4567.28659502	0
1777671614	XAUUSD	M15	4570.49						4568.74791528	4568.01725515	0
1777672514	XAUUSD	M15	4566.67						4570.12509084	4569.07117299	0
1777673414	XAUUSD	M15	4565.94						4571.93382661	4570.50249980	0
1777674314	XAUUSD	M15	4572.03						4574.18457384	4572.34353682	0
1777675214	XAUUSD	M15	4575.75						4576.71073178	4574.52713430	0
1777676114	XAUUSD	M15	4578.84						4579.46552295	4576.99632862	0
1777677014	XAUUSD	M15	4584.86						4582.50737991	4579.75185427	0
1777677914	XAUUSD	M15	4602.95						4585.91843780	4582.83514604	0
1777678814	XAUUSD	M15	4591.95						4589.54972389	4586.19243496	0
1777679714	XAUUSD	M15	4591.18						4594.05740125	4590.12491811	0
1777680614	XAUUSD	M15	4591.32						4599.74404853	4594.93448332	0
1777681514	XAUUSD	M15	4589.20						4606.67321567	4600.80384950	0
1777682414	XAUUSD	M15	4608.07						4614.69181388	4607.74783169	0
1777683314	XAUUSD	M15	4625.70						4622.84528326	4615.29655747	0
1777684214	XAUUSD	M15	4656.06						4630.12434270	4622.71045009	0
