Cherry_A_timestamp	Cherry_A_symbol	Cherry_A_timeframe	Cherry_A_close	Cherry_A_Base_FL	Cherry_A_UOEDT	Cherry_A_LOEDT	Cherry_A_horiz_high_map	Cherry_A_horiz_low_map	Cherry_A_ssa	Cherry_A_ema_ssa	Cherry_A_crossing
1777450089	XAUUSD	M15	4602.15						4603.99087	4603.99087	0
1777450989	XAUUSD	M15	4604.85						4603.32748	4603.65918	1
1777451889	XAUUSD	M15	4601.15				4607.77000		4601.66085	4602.66001	0
1777452789	XAUUSD	M15	4600.72						4599.54313	4601.10157	0
1777453689	XAUUSD	M15	4599.05						4596.84164	4598.97160	0
1777454589	XAUUSD	M15	4590.90						4593.60427	4596.28793	0
1777455489	XAUUSD	M15	4588.73						4590.30792	4593.29793	0
1777456389	XAUUSD	M15	4585.04						4586.97858	4590.13826	0
1777457289	XAUUSD	M15	4585.03						4583.71009	4586.92417	0
1777458189	XAUUSD	M15	4584.52						4580.45335	4583.68876	0
1777459089	XAUUSD	M15	4578.72						4577.25281	4580.47079	0
1777459989	XAUUSD	M15	4575.11						4574.38782	4577.42931	0
1777460889	XAUUSD	M15	4570.56						4572.02749	4574.72840	0
1777461789	XAUUSD	M15	4567.92						4570.30086	4572.51463	0
1777462689	XAUUSD	M15	4565.44						4569.17393	4570.84428	0
1777463589	XAUUSD	M15	4566.65						4568.51984	4569.68206	0
1777464489	XAUUSD	M15	4568.37						4568.08941	4568.88573	0
1777465389	XAUUSD	M15	4573.20						4567.64559	4568.26566	0
1777466289	XAUUSD	M15	4574.20						4566.98542	4567.62554	0
1777467189	XAUUSD	M15	4565.69						4566.12857	4566.87706	0
1777468089	XAUUSD	M15	4558.86						4565.37594	4566.12650	0
1777468989	XAUUSD	M15	4555.94						4564.99471	4565.56060	0
1777469889	XAUUSD	M15	4568.04						4565.12692	4565.34376	0
1777470789	XAUUSD	M15	4571.78						4565.58359	4565.46368	1
1777471689	XAUUSD	M15	4566.36						4566.25657	4565.86012	0
1777472589	XAUUSD	M15	4569.98						4567.10278	4566.48145	0
1777473489	XAUUSD	M15	4568.02						4567.81463	4567.14804	0
1777474389	XAUUSD	M15	4564.76						4568.10008	4567.62406	0
1777475289	XAUUSD	M15	4567.03						4567.64482	4567.63444	0
1777476189	XAUUSD	M15	4561.87						4566.10082	4566.86763	1
1777477089	XAUUSD	M15	4564.41						4563.27031	4565.06897	0
1777477989	XAUUSD	M15	4559.40						4558.96963	4562.01930	0
1777478889	XAUUSD	M15	4557.62						4553.41279	4557.71605	0
1777479789	XAUUSD	M15	4544.90						4546.95995	4552.33800	0
1777480689	XAUUSD	M15	4549.80						4540.44297	4546.39049	0
1777481589	XAUUSD	M15	4537.82						4534.31981	4540.35515	0
