Fractal_timestamp	Fractal_symbol	Fractal_timeframe	Fractal_close	Fractal_Best_FL	Fractal_UOEDT	Fractal_LOEDT
1781013129	XAUUSD	M15	4336.73			
1781014029	XAUUSD	M15	4330.65			
1781014929	XAUUSD	M15	4327.41			
1781015829	XAUUSD	M15	4331.06			
1781016729	XAUUSD	M15	4328.43			
1781017629	XAUUSD	M15	4326.56			
1781018529	XAUUSD	M15	4331.70	4321.27000	4334.09956	
1781019429	XAUUSD	M15	4334.38	4319.98487	4332.81443	
1781020329	XAUUSD	M15	4335.05	4318.69975	4331.52930	
1781021229	XAUUSD	M15	4326.60	4317.41462	4330.24418	
1781022129	XAUUSD	M15	4328.22	4316.12949	4328.95905	
1781023029	XAUUSD	M15	4326.89	4314.84437	4327.67392	
1781023929	XAUUSD	M15	4327.13	4313.55924	4326.38880	
1781024829	XAUUSD	M15	4332.26	4312.27411	4325.10367	
1781025729	XAUUSD	M15	4335.24	4310.98899	4323.81854	
1781026629	XAUUSD	M15	4333.84	4309.70386	4322.53342	
1781027529	XAUUSD	M15	4332.65	4308.41873	4321.24829	
1781028429	XAUUSD	M15	4339.15	4307.13361	4319.96316	
1781029329	XAUUSD	M15	4337.83	4305.84848	4318.67804	
1781030229	XAUUSD	M15	4338.75	4304.56335	4317.39291	
1781031129	XAUUSD	M15	4338.95	4303.27823	4316.10778	
1781032029	XAUUSD	M15	4339.76	4301.99310	4314.82266	
1781032929	XAUUSD	M15	4340.92	4300.70797	4313.53753	
1781033829	XAUUSD	M15	4335.94	4299.42285	4312.25241	
1781034729	XAUUSD	M15	4340.92	4298.13772	4310.96728	
1781035629	XAUUSD	M15	4341.42	4296.85259	4309.68215	
1781036529	XAUUSD	M15	4340.98	4295.56747	4308.39703	
1781037429	XAUUSD	M15	4330.90	4294.28234	4307.11190	
1781038329	XAUUSD	M15	4330.37	4292.99722	4305.82677	
1781039229	XAUUSD	M15	4328.66	4291.71209	4304.54165	
1781040129	XAUUSD	M15	4321.28	4290.42696	4303.25652	
1781041029	XAUUSD	M15	4318.71	4289.14184	4301.97139	
1781041929	XAUUSD	M15	4285.29	4287.85671	4300.68627	
1781042829	XAUUSD	M15	4300.76	4286.57158	4299.40114	
1781043729	XAUUSD	M15	4294.92	4285.28646	4298.11601	
1781044629	XAUUSD	M15	4278.85	4284.00133	4296.83089	
1781045529	XAUUSD	M15	4279.82	4282.71620	4295.54576	
1781046429	XAUUSD	M15	4272.90	4281.43108	4294.26063	
1781047329	XAUUSD	M15	4259.63	4280.14595	4292.97551	
1781048229	XAUUSD	M15	4263.49	4278.86082	4291.69038	
1781049129	XAUUSD	M15	4244.94	4277.57570	4290.40525	
1781050029	XAUUSD	M15	4252.18	4276.29057	4289.12013	
1781050929	XAUUSD	M15	4261.19	4275.00544	4287.83500	
1781051829	XAUUSD	M15	4263.12	4273.72032	4286.54987	
1781052729	XAUUSD	M15	4264.84	4272.43519	4285.26475	
1781053629	XAUUSD	M15	4263.12	4271.15006	4283.97962	
1781054529	XAUUSD	M15	4265.37	4269.86494	4282.69449	
1781055429	XAUUSD	M15	4270.90	4268.57981	4281.40937	
1781056329	XAUUSD	M15	4264.35	4267.29468	4280.12424	
1781057229	XAUUSD	M15	4269.92	4266.00956	4278.83911	
1781058129	XAUUSD	M15	4258.70	4264.72443	4277.55399	
1781059029	XAUUSD	M15	4257.39	4263.43930	4276.26886	
1781059929	XAUUSD	M15	4250.97	4262.15418	4274.98373	
1781060829	XAUUSD	M15	4258.48	4260.86905	4273.69861	
1781061729	XAUUSD	M15	4258.45	4259.58392	4272.41348	
1781062629	XAUUSD	M15	4259.10	4258.29880	4271.12835	
1781063529	XAUUSD	M15	4261.38	4257.01367	4269.84323	
1781064429	XAUUSD	M15	4259.44	4255.72854	4268.55810	
1781068929	XAUUSD	M15	4255.44	4254.44342	4267.27297	
1781069829	XAUUSD	M15	4256.82	4253.15829	4265.98785	
1781070729	XAUUSD	M15	4248.97	4251.87316	4264.70272	
1781071629	XAUUSD	M15	4237.31	4250.58804	4263.41759	
1781072529	XAUUSD	M15	4235.90	4249.30291	4262.13247	
1781073429	XAUUSD	M15	4224.19	4248.01778	4260.84734	
1781074329	XAUUSD	M15	4218.63	4246.73266	4259.56222	
1781075229	XAUUSD	M15	4222.03	4245.44753	4258.27709	
1781076129	XAUUSD	M15	4225.12	4244.16241	4256.99196	
1781077029	XAUUSD	M15	4217.94	4242.87728	4255.70684	
