Most_Recent_timestamp	Most_Recent_symbol	Most_Recent_timeframe	Most_Recent_close	Most_Recent_Base_FL	Most_Recent_UOEDT	Most_Recent_LOEDT	Most_Recent_horiz_high_map	Most_Recent_horiz_low_map	Most_Recent_ssa	Most_Recent_ema_ssa	Most_Recent_crossing
1777477512	XAUUSD	M15	4602.15						4603.99087050	4603.99087050	0
1777478412	XAUUSD	M15	4604.85						4603.32748336	4603.65917693	1
1777479312	XAUUSD	M15	4601.15				4607.77000		4601.66085093	4602.66001393	0
1777480212	XAUUSD	M15	4600.72						4599.54312535	4601.10156964	0
1777481112	XAUUSD	M15	4599.05						4596.84163620	4598.97160292	0
1777482012	XAUUSD	M15	4590.90						4593.60426626	4596.28793459	0
1777482912	XAUUSD	M15	4588.73						4590.30792286	4593.29792873	0
1777483812	XAUUSD	M15	4585.04						4586.97858233	4590.13825553	0
1777484712	XAUUSD	M15	4585.03						4583.71008765	4586.92417159	0
1777485612	XAUUSD	M15	4584.52						4580.45335005	4583.68876082	0
1777486512	XAUUSD	M15	4578.72						4577.25281161	4580.47078621	0
1777487412	XAUUSD	M15	4575.11						4574.38782424	4577.42930523	0
1777488312	XAUUSD	M15	4570.56						4572.02748586	4574.72839554	0
1777489212	XAUUSD	M15	4567.92						4570.30086485	4572.51463019	0
1777490112	XAUUSD	M15	4565.44						4569.17392509	4570.84427764	0
1777491012	XAUUSD	M15	4566.65						4568.51983623	4569.68205693	0
1777491912	XAUUSD	M15	4568.37						4568.08940600	4568.88573147	0
1777492812	XAUUSD	M15	4573.20						4567.64559426	4568.26566287	0
1777493712	XAUUSD	M15	4574.20						4566.98542484	4567.62554385	0
1777494612	XAUUSD	M15	4565.69						4566.12857176	4566.87705781	0
1777495512	XAUUSD	M15	4558.86						4565.37593632	4566.12649706	0
1777496412	XAUUSD	M15	4555.94						4564.99471032	4565.56060369	0
1777497312	XAUUSD	M15	4568.04						4565.12692363	4565.34376366	0
1777498212	XAUUSD	M15	4571.78						4565.58358877	4565.46367621	1
1777499112	XAUUSD	M15	4566.36						4566.25657098	4565.86012360	0
1777500012	XAUUSD	M15	4569.98						4567.10278460	4566.48145410	0
1777500912	XAUUSD	M15	4568.02						4567.81463275	4567.14804342	0
1777501812	XAUUSD	M15	4564.76						4568.10007542	4567.62405942	0
1777502712	XAUUSD	M15	4567.03						4567.64482112	4567.63444027	0
1777503612	XAUUSD	M15	4561.87						4566.10082277	4566.86763152	1
1777504512	XAUUSD	M15	4564.41						4563.27031251	4565.06897201	0
1777505412	XAUUSD	M15	4559.40						4558.96962544	4562.01929873	0
1777506312	XAUUSD	M15	4557.62						4553.41279217	4557.71604545	0
1777507212	XAUUSD	M15	4544.90						4546.95995020	4552.33799782	0
1777508112	XAUUSD	M15	4549.80						4540.44297402	4546.39048592	0
1777509012	XAUUSD	M15	4537.82						4534.31981340	4540.35514966	0
1777509912	XAUUSD	M15	4514.81						4529.49275305	4534.92395135	0
1777510812	XAUUSD	M15	4521.71					4510.28000	4527.00324313	4530.96359724	0
1777511712	XAUUSD	M15	4526.15						4526.82821548	4528.89590636	0
1777512612	XAUUSD	M15	4533.20						4528.72239923	4528.80915279	0
1777513512	XAUUSD	M15	4538.69						4532.16078432	4530.48496856	1
1777514412	XAUUSD	M15	4539.25						4536.54526502	4533.51511679	0
1777515312	XAUUSD	M15	4538.08						4541.37692913	4537.44602296	0
1777516212	XAUUSD	M15	4543.61						4546.21841618	4541.83221957	0
1777517112	XAUUSD	M15	4553.17						4550.49238379	4546.16230168	0
1777518012	XAUUSD	M15	4547.48						4553.60137489	4549.88183828	0
1777518912	XAUUSD	M15	4559.10						4555.46332019	4552.67257924	0
1777519812	XAUUSD	M15	4560.23						4555.66916189	4554.17087056	0
1777520712	XAUUSD	M15	4550.51						4554.25157108	4554.21122082	0
1777521612	XAUUSD	M15	4545.36						4551.68891343	4552.95006712	1
1777522512	XAUUSD	M15	4550.68						4548.42900640	4550.68953676	0
1777523412	XAUUSD	M15	4547.23						4544.69096749	4547.69025213	0
1777524312	XAUUSD	M15	4544.75						4540.94655111	4544.31840162	0
1777525212	XAUUSD	M15	4547.33						4537.63595667	4540.97717914	0
1777526112	XAUUSD	M15	4525.75						4535.02713615	4538.00215765	0
1777527012	XAUUSD	M15	4532.95						4533.91798979	4535.96007372	0
1777527912	XAUUSD	M15	4520.81						4534.14589880	4535.05298626	0
1777528812	XAUUSD	M15	4538.19					4518.41000	4535.83796520	4535.44547573	1
1777529712	XAUUSD	M15	4547.72						4538.16459161	4536.80503367	0
1777530612	XAUUSD	M15	4542.84						4540.44851625	4538.62677496	0
1777531512	XAUUSD	M15	4539.61						4542.47662094	4540.55169795	0
1777532412	XAUUSD	M15	4547.05						4544.12446282	4542.33808039	0
1777533312	XAUUSD	M15	4546.25						4545.14296242	4543.74052140	0
1777534212	XAUUSD	M15	4543.25						4545.65025474	4544.69538807	0
1777535112	XAUUSD	M15	4543.79						4545.93354455	4545.31446631	0
1777536012	XAUUSD	M15	4543.57						4546.20774588	4545.76110609	0
1777540512	XAUUSD	M15	4546.40						4546.68974730	4546.22542670	0
1777541412	XAUUSD	M15	4549.14						4547.45217379	4546.83880024	0
1777542312	XAUUSD	M15	4548.51						4548.49734874	4547.66807449	0
1777543212	XAUUSD	M15	4552.08						4549.87645361	4548.77226405	0
1777544112	XAUUSD	M15	4553.33						4551.51343351	4550.14284878	0
1777545012	XAUUSD	M15	4551.63						4553.40752300	4551.77518589	0
1777545912	XAUUSD	M15	4554.44						4555.65259023	4553.71388806	0
1777546812	XAUUSD	M15	4561.66						4558.22723425	4555.97056116	0
1777547712	XAUUSD	M15	4557.93						4560.98037304	4558.47546710	0
1777548612	XAUUSD	M15	4563.57						4564.02054794	4561.24800752	0
1777549512	XAUUSD	M15	4567.11						4567.15697221	4564.20248987	0
1777550412	XAUUSD	M15	4569.83						4570.17556043	4567.18902515	0
1777551312	XAUUSD	M15	4568.52						4572.84908679	4570.01905597	0
1777552212	XAUUSD	M15	4579.79						4575.03200548	4572.52553072	0
1777553112	XAUUSD	M15	4576.31						4576.24986287	4574.38769679	0
1777554012	XAUUSD	M15	4579.13				4582.32000		4576.46892128	4575.42830904	0
1777554912	XAUUSD	M15	4579.74						4575.57471484	4575.50151194	0
1777555812	XAUUSD	M15	4573.13						4573.60931424	4574.55541309	1
1777556712	XAUUSD	M15	4562.53						4570.88276197	4572.71908753	0
1777557612	XAUUSD	M15	4565.02						4567.84144209	4570.28026481	0
1777558512	XAUUSD	M15	4564.98						4564.54105454	4567.41065968	0
1777559412	XAUUSD	M15	4563.32						4561.09241087	4564.25153527	0
1777560312	XAUUSD	M15	4561.66						4557.64580165	4560.94866846	0
1777561212	XAUUSD	M15	4556.09						4554.39210909	4557.67038878	0
1777562112	XAUUSD	M15	4555.41						4551.66406075	4554.66722477	0
1777563012	XAUUSD	M15	4547.28						4549.68111227	4552.17416852	0
1777563912	XAUUSD	M15	4544.74					4540.82000	4548.83576495	4550.50496673	0
1777564812	XAUUSD	M15	4541.91						4549.30557927	4549.90527300	0
1777565712	XAUUSD	M15	4553.22						4551.18296987	4550.54412144	1
1777566612	XAUUSD	M15	4555.73						4554.09874777	4552.32143460	0
1777567512	XAUUSD	M15	4564.04						4557.87998759	4555.10071109	0
1777568412	XAUUSD	M15	4562.71						4562.21891304	4558.65981207	0
1777569312	XAUUSD	M15	4566.21						4567.11134405	4562.88557806	0
1777570212	XAUUSD	M15	4569.57						4572.46263260	4567.67410533	0
1777571112	XAUUSD	M15	4575.23						4578.19004125	4572.93207329	0
1777572012	XAUUSD	M15	4589.44						4584.11644412	4578.52425870	0
1777572912	XAUUSD	M15	4591.59						4589.81991860	4584.17208865	0
1777573812	XAUUSD	M15	4591.59						4595.20673936	4589.68941401	0
1777574712	XAUUSD	M15	4596.69						4600.26607674	4594.97774537	0
1777575612	XAUUSD	M15	4598.44						4604.88404163	4599.93089350	0
1777576512	XAUUSD	M15	4618.70						4609.06706472	4604.49897911	0
1777577412	XAUUSD	M15	4617.35						4612.40261596	4608.45079754	0
1777578312	XAUUSD	M15	4614.82						4615.14445611	4611.79762682	0
1777579212	XAUUSD	M15	4616.00						4617.64745396	4614.72254039	0
1777580112	XAUUSD	M15	4618.96						4620.15669963	4617.43962001	0
1777581012	XAUUSD	M15	4625.41						4622.79960712	4620.11961356	0
1777581912	XAUUSD	M15	4619.35						4625.50460809	4622.81211083	0
1777582812	XAUUSD	M15	4624.91						4628.41164165	4625.61187624	0
1777583712	XAUUSD	M15	4626.92						4631.24536736	4628.42862180	0
1777584612	XAUUSD	M15	4643.78						4633.76630555	4631.09746368	0
1777585512	XAUUSD	M15	4636.62				4647.10000		4635.36936415	4633.23341391	0
1777586412	XAUUSD	M15	4639.68						4636.19858684	4634.71600038	0
1777587312	XAUUSD	M15	4635.99						4636.25900911	4635.48750474	0
1777588212	XAUUSD	M15	4637.70						4635.83059091	4635.65904783	0
1777589112	XAUUSD	M15	4629.82						4635.09313628	4635.37609205	1
1777590012	XAUUSD	M15	4630.21						4634.44605844	4634.91107524	0
1777590912	XAUUSD	M15	4635.81						4633.96350708	4634.43729116	0
1777591812	XAUUSD	M15	4630.51						4633.44621789	4633.94175453	0
1777592712	XAUUSD	M15	4625.92						4632.89122350	4633.41648902	0
1777593612	XAUUSD	M15	4639.57						4632.22618523	4632.82133712	0
1777594512	XAUUSD	M15	4641.50						4630.92583427	4631.87358570	0
1777595412	XAUUSD	M15	4633.50						4628.89400259	4630.38379415	0
1777596312	XAUUSD	M15	4625.44						4626.45571505	4628.41975460	0
1777597212	XAUUSD	M15	4610.99						4624.03267864	4626.22621662	0
1777598112	XAUUSD	M15	4620.39						4622.20196249	4624.21408955	0
1777599012	XAUUSD	M15	4622.81						4620.80082612	4622.50745784	0
1777599912	XAUUSD	M15	4617.70						4619.72100890	4621.11423337	0
1777600812	XAUUSD	M15	4619.59						4618.95240639	4620.03331988	0
