Non_A_timestamp	Non_A_symbol	Non_A_timeframe	Non_A_close	Non_A_Base_FL	Non_A_UOEDT	Non_A_LOEDT	Non_A_horiz_high_map	Non_A_horiz_low_map	Non_A_ssa	Non_A_ema_ssa	Non_A_crossing
1777450569	XAUUSD	M15	4602.15						4603.99087	4603.99087	0
1777451469	XAUUSD	M15	4604.85						4603.32748	4603.65918	1
1777452369	XAUUSD	M15	4601.15				4607.77000		4601.66085	4602.66001	0
1777453269	XAUUSD	M15	4600.72						4599.54313	4601.10157	0
1777454169	XAUUSD	M15	4599.05						4596.84164	4598.97160	0
1777455069	XAUUSD	M15	4590.90						4593.60427	4596.28793	0
1777455969	XAUUSD	M15	4588.73						4590.30792	4593.29793	0
1777456869	XAUUSD	M15	4585.04						4586.97858	4590.13826	0
1777457769	XAUUSD	M15	4585.03						4583.71009	4586.92417	0
1777458669	XAUUSD	M15	4584.52						4580.45335	4583.68876	0
1777459569	XAUUSD	M15	4578.72						4577.25281	4580.47079	0
1777460469	XAUUSD	M15	4575.11						4574.38782	4577.42931	0
1777461369	XAUUSD	M15	4570.56						4572.02749	4574.72840	0
1777462269	XAUUSD	M15	4567.92						4570.30086	4572.51463	0
1777463169	XAUUSD	M15	4565.44						4569.17393	4570.84428	0
1777464069	XAUUSD	M15	4566.65						4568.51984	4569.68206	0
1777464969	XAUUSD	M15	4568.37						4568.08941	4568.88573	0
1777465869	XAUUSD	M15	4573.20						4567.64559	4568.26566	0
1777466769	XAUUSD	M15	4574.20						4566.98542	4567.62554	0
1777467669	XAUUSD	M15	4565.69						4566.12857	4566.87706	0
1777468569	XAUUSD	M15	4558.86						4565.37594	4566.12650	0
1777469469	XAUUSD	M15	4555.94						4564.99471	4565.56060	0
1777470369	XAUUSD	M15	4568.04						4565.12692	4565.34376	0
1777471269	XAUUSD	M15	4571.78						4565.58359	4565.46368	1
1777472169	XAUUSD	M15	4566.36						4566.25657	4565.86012	0
1777473069	XAUUSD	M15	4569.98						4567.10278	4566.48145	0
1777473969	XAUUSD	M15	4568.02						4567.81463	4567.14804	0
1777474869	XAUUSD	M15	4564.76						4568.10008	4567.62406	0
1777475769	XAUUSD	M15	4567.03						4567.64482	4567.63444	0
1777476669	XAUUSD	M15	4561.87						4566.10082	4566.86763	1
1777477569	XAUUSD	M15	4564.41						4563.27031	4565.06897	0
1777478469	XAUUSD	M15	4559.40						4558.96963	4562.01930	0
1777479369	XAUUSD	M15	4557.62						4553.41279	4557.71605	0
1777480269	XAUUSD	M15	4544.90						4546.95995	4552.33800	0
1777481169	XAUUSD	M15	4549.80						4540.44297	4546.39049	0
1777482069	XAUUSD	M15	4537.82						4534.31981	4540.35515	0
1777482969	XAUUSD	M15	4514.81						4529.49275	4534.92395	0
1777483869	XAUUSD	M15	4521.71					4510.28000	4527.00324	4530.96360	0
1777484769	XAUUSD	M15	4526.15						4526.82822	4528.89591	0
1777485669	XAUUSD	M15	4533.20						4528.72240	4528.80915	0
1777486569	XAUUSD	M15	4538.69						4532.16078	4530.48497	1
1777487469	XAUUSD	M15	4539.25						4536.54527	4533.51512	0
1777488369	XAUUSD	M15	4538.08						4541.37693	4537.44602	0
1777489269	XAUUSD	M15	4543.61						4546.21842	4541.83222	0
1777490169	XAUUSD	M15	4553.17						4550.49238	4546.16230	0
1777491069	XAUUSD	M15	4547.48						4553.60137	4549.88184	0
1777491969	XAUUSD	M15	4559.10						4555.46332	4552.67258	0
1777492869	XAUUSD	M15	4560.23						4555.66916	4554.17087	0
1777493769	XAUUSD	M15	4550.51						4554.25157	4554.21122	0
1777494669	XAUUSD	M15	4545.36						4551.68891	4552.95007	1
1777495569	XAUUSD	M15	4550.68						4548.42901	4550.68954	0
1777496469	XAUUSD	M15	4547.23						4544.69097	4547.69025	0
1777497369	XAUUSD	M15	4544.75						4540.94655	4544.31840	0
1777498269	XAUUSD	M15	4547.33						4537.63596	4540.97718	0
1777499169	XAUUSD	M15	4525.75						4535.02714	4538.00216	0
1777500069	XAUUSD	M15	4532.95						4533.91799	4535.96007	0
1777500969	XAUUSD	M15	4520.81						4534.14590	4535.05299	0
1777501869	XAUUSD	M15	4538.19					4518.41000	4535.83797	4535.44548	1
1777502769	XAUUSD	M15	4547.72						4538.16459	4536.80503	0
1777503669	XAUUSD	M15	4542.84						4540.44852	4538.62677	0
1777504569	XAUUSD	M15	4539.61						4542.47662	4540.55170	0
1777505469	XAUUSD	M15	4547.05						4544.12446	4542.33808	0
1777506369	XAUUSD	M15	4546.25						4545.14296	4543.74052	0
1777507269	XAUUSD	M15	4543.25						4545.65025	4544.69539	0
1777508169	XAUUSD	M15	4543.79						4545.93354	4545.31447	0
1777509069	XAUUSD	M15	4543.57						4546.20775	4545.76111	0
1777513569	XAUUSD	M15	4546.40						4546.68975	4546.22543	0
1777514469	XAUUSD	M15	4549.14						4547.45217	4546.83880	0
1777515369	XAUUSD	M15	4548.51						4548.49735	4547.66807	0
1777516269	XAUUSD	M15	4552.08						4549.87645	4548.77226	0
1777517169	XAUUSD	M15	4553.33						4551.51343	4550.14285	0
1777518069	XAUUSD	M15	4551.63						4553.40752	4551.77519	0
1777518969	XAUUSD	M15	4554.44						4555.65259	4553.71389	0
1777519869	XAUUSD	M15	4561.66						4558.22723	4555.97056	0
1777520769	XAUUSD	M15	4557.93						4560.98037	4558.47547	0
1777521669	XAUUSD	M15	4563.57						4564.02055	4561.24801	0
1777522569	XAUUSD	M15	4567.11						4567.15697	4564.20249	0
1777523469	XAUUSD	M15	4569.83						4570.17556	4567.18903	0
1777524369	XAUUSD	M15	4568.52						4572.84909	4570.01906	0
1777525269	XAUUSD	M15	4579.79						4575.03201	4572.52553	0
1777526169	XAUUSD	M15	4576.31						4576.24986	4574.38770	0
1777527069	XAUUSD	M15	4579.13				4582.32000		4576.46892	4575.42831	0
1777527969	XAUUSD	M15	4579.74						4575.57471	4575.50151	0
1777528869	XAUUSD	M15	4573.13						4573.60931	4574.55541	1
1777529769	XAUUSD	M15	4562.53						4570.88276	4572.71909	0
1777530669	XAUUSD	M15	4565.02						4567.84144	4570.28026	0
1777531569	XAUUSD	M15	4564.98						4564.54105	4567.41066	0
1777532469	XAUUSD	M15	4563.32						4561.09241	4564.25154	0
1777533369	XAUUSD	M15	4561.66						4557.64580	4560.94867	0
1777534269	XAUUSD	M15	4556.09						4554.39211	4557.67039	0
1777535169	XAUUSD	M15	4555.41						4551.66406	4554.66722	0
1777536069	XAUUSD	M15	4547.28						4549.68111	4552.17417	0
1777536969	XAUUSD	M15	4544.74					4540.82000	4548.83576	4550.50497	0
1777537869	XAUUSD	M15	4541.91						4549.30558	4549.90527	0
1777538769	XAUUSD	M15	4553.22						4551.18297	4550.54412	1
1777539669	XAUUSD	M15	4555.73						4554.09875	4552.32143	0
1777540569	XAUUSD	M15	4564.04						4557.87999	4555.10071	0
1777541469	XAUUSD	M15	4562.71						4562.21891	4558.65981	0
1777542369	XAUUSD	M15	4566.21						4567.11134	4562.88558	0
1777543269	XAUUSD	M15	4569.57						4572.46263	4567.67411	0
1777544169	XAUUSD	M15	4575.23						4578.19004	4572.93207	0
1777545069	XAUUSD	M15	4589.44						4584.11644	4578.52426	0
1777545969	XAUUSD	M15	4591.59						4589.81992	4584.17209	0
1777546869	XAUUSD	M15	4591.59						4595.20674	4589.68941	0
1777547769	XAUUSD	M15	4596.69						4600.26608	4594.97775	0
1777548669	XAUUSD	M15	4598.44						4604.88404	4599.93089	0
1777549569	XAUUSD	M15	4618.70						4609.06706	4604.49898	0
1777550469	XAUUSD	M15	4617.35						4612.40262	4608.45080	0
1777551369	XAUUSD	M15	4614.82						4615.14446	4611.79763	0
1777552269	XAUUSD	M15	4616.00						4617.64745	4614.72254	0
1777553169	XAUUSD	M15	4618.96						4620.15670	4617.43962	0
1777554069	XAUUSD	M15	4625.41						4622.79961	4620.11961	0
1777554969	XAUUSD	M15	4619.35						4625.50461	4622.81211	0
1777555869	XAUUSD	M15	4624.91						4628.41164	4625.61188	0
1777556769	XAUUSD	M15	4626.92						4631.24537	4628.42862	0
1777557669	XAUUSD	M15	4643.78						4633.76631	4631.09746	0
1777558569	XAUUSD	M15	4636.62				4647.10000		4635.36936	4633.23341	0
1777559469	XAUUSD	M15	4639.68						4636.19859	4634.71600	0
1777560369	XAUUSD	M15	4635.99						4636.25901	4635.48750	0
1777561269	XAUUSD	M15	4637.70						4635.83059	4635.65905	0
1777562169	XAUUSD	M15	4629.82						4635.09314	4635.37609	1
1777563069	XAUUSD	M15	4630.21						4634.44606	4634.91108	0
1777563969	XAUUSD	M15	4635.81						4633.96351	4634.43729	0
1777564869	XAUUSD	M15	4630.51						4633.44622	4633.94175	0
1777565769	XAUUSD	M15	4625.92						4632.89122	4633.41649	0
1777566669	XAUUSD	M15	4639.57						4632.22619	4632.82134	0
1777567569	XAUUSD	M15	4641.50						4630.92583	4631.87359	0
1777568469	XAUUSD	M15	4633.50						4628.89400	4630.38379	0
1777569369	XAUUSD	M15	4625.44						4626.45572	4628.41975	0
1777570269	XAUUSD	M15	4610.99						4624.03268	4626.22622	0
1777571169	XAUUSD	M15	4620.39						4622.20196	4624.21409	0
1777572069	XAUUSD	M15	4622.81						4620.80083	4622.50746	0
1777572969	XAUUSD	M15	4617.70						4619.72101	4621.11423	0
1777573869	XAUUSD	M15	4619.59						4618.95241	4620.03332	0
1777574769	XAUUSD	M15	4620.13						4618.22589	4619.12961	0
1777575669	XAUUSD	M15	4623.09						4617.30060	4618.21510	0
1777576569	XAUUSD	M15	4615.65						4615.96370	4617.08940	0
1777577469	XAUUSD	M15	4615.35						4614.41757	4615.75349	0
1777578369	XAUUSD	M15	4611.63						4612.82759	4614.29054	0
1777579269	XAUUSD	M15	4608.08						4611.54866	4612.91960	0
1777580169	XAUUSD	M15	4609.12						4610.95020	4611.93490	0
1777581069	XAUUSD	M15	4607.62					4605.56000	4611.21113	4611.57301	0
1777581969	XAUUSD	M15	4615.95						4612.43841	4612.00571	1
1777582869	XAUUSD	M15	4618.00						4614.31068	4613.15820	0
1777583769	XAUUSD	M15	4617.86						4616.52823	4614.84321	0
1777584669	XAUUSD	M15	4616.86						4618.76792	4616.80556	0
1777585569	XAUUSD	M15	4620.57						4620.71789	4618.76173	0
1777586469	XAUUSD	M15	4620.79						4622.01058	4620.38615	0
1777587369	XAUUSD	M15	4620.70						4622.49289	4621.43952	0
1777588269	XAUUSD	M15	4622.48						4622.17742	4621.80847	0
1777589169	XAUUSD	M15	4624.33						4621.18076	4621.49461	1
1777590069	XAUUSD	M15	4617.77						4619.75904	4620.62683	0
1777590969	XAUUSD	M15	4622.49						4618.46881	4619.54782	0
1777591869	XAUUSD	M15	4617.07						4617.57427	4618.56104	0
1777592769	XAUUSD	M15	4616.16						4617.53445	4618.04775	0
1777593669	XAUUSD	M15	4616.72						4618.53757	4618.29266	1
1777594569	XAUUSD	M15	4617.33						4620.53739	4619.41502	0
1777595469	XAUUSD	M15	4621.81						4623.30498	4621.36000	0
1777599969	XAUUSD	M15	4631.38						4626.37586	4623.86793	0
