Non_B_timestamp	Non_B_symbol	Non_B_timeframe	Non_B_close	Non_B_Base_FL	Non_B_UOEDT	Non_B_LOEDT	Non_B_horiz_high_map	Non_B_horiz_low_map	Non_B_ssa	Non_B_ema_ssa	Non_B_crossing
1777450629	XAUUSD	M15	4602.15						4603.99087	4603.99087	0
1777451529	XAUUSD	M15	4604.85						4603.32748	4603.65918	1
1777452429	XAUUSD	M15	4601.15				4607.77000		4601.66085	4602.66001	0
1777453329	XAUUSD	M15	4600.72						4599.54313	4601.10157	0
1777454229	XAUUSD	M15	4599.05						4596.84164	4598.97160	0
1777455129	XAUUSD	M15	4590.90						4593.60427	4596.28793	0
1777456029	XAUUSD	M15	4588.73						4590.30792	4593.29793	0
1777456929	XAUUSD	M15	4585.04						4586.97858	4590.13826	0
1777457829	XAUUSD	M15	4585.03						4583.71009	4586.92417	0
1777458729	XAUUSD	M15	4584.52						4580.45335	4583.68876	0
1777459629	XAUUSD	M15	4578.72						4577.25281	4580.47079	0
1777460529	XAUUSD	M15	4575.11						4574.38782	4577.42931	0
1777461429	XAUUSD	M15	4570.56						4572.02749	4574.72840	0
1777462329	XAUUSD	M15	4567.92						4570.30086	4572.51463	0
1777463229	XAUUSD	M15	4565.44						4569.17393	4570.84428	0
1777464129	XAUUSD	M15	4566.65						4568.51984	4569.68206	0
1777465029	XAUUSD	M15	4568.37						4568.08941	4568.88573	0
1777465929	XAUUSD	M15	4573.20						4567.64559	4568.26566	0
1777466829	XAUUSD	M15	4574.20						4566.98542	4567.62554	0
1777467729	XAUUSD	M15	4565.69						4566.12857	4566.87706	0
1777468629	XAUUSD	M15	4558.86						4565.37594	4566.12650	0
1777469529	XAUUSD	M15	4555.94						4564.99471	4565.56060	0
1777470429	XAUUSD	M15	4568.04						4565.12692	4565.34376	0
1777471329	XAUUSD	M15	4571.78						4565.58359	4565.46368	1
1777472229	XAUUSD	M15	4566.36						4566.25657	4565.86012	0
1777473129	XAUUSD	M15	4569.98						4567.10278	4566.48145	0
1777474029	XAUUSD	M15	4568.02						4567.81463	4567.14804	0
1777474929	XAUUSD	M15	4564.76						4568.10008	4567.62406	0
1777475829	XAUUSD	M15	4567.03						4567.64482	4567.63444	0
1777476729	XAUUSD	M15	4561.87						4566.10082	4566.86763	1
1777477629	XAUUSD	M15	4564.41						4563.27031	4565.06897	0
1777478529	XAUUSD	M15	4559.40						4558.96963	4562.01930	0
1777479429	XAUUSD	M15	4557.62						4553.41279	4557.71605	0
1777480329	XAUUSD	M15	4544.90						4546.95995	4552.33800	0
1777481229	XAUUSD	M15	4549.80						4540.44297	4546.39049	0
1777482129	XAUUSD	M15	4537.82						4534.31981	4540.35515	0
1777483029	XAUUSD	M15	4514.81						4529.49275	4534.92395	0
1777483929	XAUUSD	M15	4521.71					4510.28000	4527.00324	4530.96360	0
1777484829	XAUUSD	M15	4526.15						4526.82822	4528.89591	0
1777485729	XAUUSD	M15	4533.20						4528.72240	4528.80915	0
1777486629	XAUUSD	M15	4538.69						4532.16078	4530.48497	1
1777487529	XAUUSD	M15	4539.25						4536.54527	4533.51512	0
1777488429	XAUUSD	M15	4538.08						4541.37693	4537.44602	0
1777489329	XAUUSD	M15	4543.61						4546.21842	4541.83222	0
1777490229	XAUUSD	M15	4553.17						4550.49238	4546.16230	0
1777491129	XAUUSD	M15	4547.48						4553.60137	4549.88184	0
1777492029	XAUUSD	M15	4559.10						4555.46332	4552.67258	0
1777492929	XAUUSD	M15	4560.23						4555.66916	4554.17087	0
1777493829	XAUUSD	M15	4550.51						4554.25157	4554.21122	0
1777494729	XAUUSD	M15	4545.36						4551.68891	4552.95007	1
1777495629	XAUUSD	M15	4550.68						4548.42901	4550.68954	0
1777496529	XAUUSD	M15	4547.23						4544.69097	4547.69025	0
1777497429	XAUUSD	M15	4544.75						4540.94655	4544.31840	0
1777498329	XAUUSD	M15	4547.33						4537.63596	4540.97718	0
1777499229	XAUUSD	M15	4525.75						4535.02714	4538.00216	0
1777500129	XAUUSD	M15	4532.95						4533.91799	4535.96007	0
1777501029	XAUUSD	M15	4520.81						4534.14590	4535.05299	0
1777501929	XAUUSD	M15	4538.19					4518.41000	4535.83797	4535.44548	1
1777502829	XAUUSD	M15	4547.72						4538.16459	4536.80503	0
1777503729	XAUUSD	M15	4542.84						4540.44852	4538.62677	0
1777504629	XAUUSD	M15	4539.61						4542.47662	4540.55170	0
1777505529	XAUUSD	M15	4547.05						4544.12446	4542.33808	0
1777506429	XAUUSD	M15	4546.25						4545.14296	4543.74052	0
1777507329	XAUUSD	M15	4543.25						4545.65025	4544.69539	0
1777508229	XAUUSD	M15	4543.79						4545.93354	4545.31447	0
1777509129	XAUUSD	M15	4543.57						4546.20775	4545.76111	0
1777513629	XAUUSD	M15	4546.40						4546.68975	4546.22543	0
1777514529	XAUUSD	M15	4549.14						4547.45217	4546.83880	0
1777515429	XAUUSD	M15	4548.51						4548.49735	4547.66807	0
1777516329	XAUUSD	M15	4552.08						4549.87645	4548.77226	0
1777517229	XAUUSD	M15	4553.33						4551.51343	4550.14285	0
1777518129	XAUUSD	M15	4551.63						4553.40752	4551.77519	0
1777519029	XAUUSD	M15	4554.44						4555.65259	4553.71389	0
1777519929	XAUUSD	M15	4561.66						4558.22723	4555.97056	0
1777520829	XAUUSD	M15	4557.93						4560.98037	4558.47547	0
1777521729	XAUUSD	M15	4563.57						4564.02055	4561.24801	0
1777522629	XAUUSD	M15	4567.11						4567.15697	4564.20249	0
1777523529	XAUUSD	M15	4569.83						4570.17556	4567.18903	0
1777524429	XAUUSD	M15	4568.52						4572.84909	4570.01906	0
1777525329	XAUUSD	M15	4579.79						4575.03201	4572.52553	0
1777526229	XAUUSD	M15	4576.31						4576.24986	4574.38770	0
1777527129	XAUUSD	M15	4579.13				4582.32000		4576.46892	4575.42831	0
1777528029	XAUUSD	M15	4579.74						4575.57471	4575.50151	0
1777528929	XAUUSD	M15	4573.13						4573.60931	4574.55541	1
1777529829	XAUUSD	M15	4562.53						4570.88276	4572.71909	0
1777530729	XAUUSD	M15	4565.02						4567.84144	4570.28026	0
1777531629	XAUUSD	M15	4564.98						4564.54105	4567.41066	0
1777532529	XAUUSD	M15	4563.32						4561.09241	4564.25154	0
1777533429	XAUUSD	M15	4561.66						4557.64580	4560.94867	0
1777534329	XAUUSD	M15	4556.09						4554.39211	4557.67039	0
1777535229	XAUUSD	M15	4555.41						4551.66406	4554.66722	0
1777536129	XAUUSD	M15	4547.28						4549.68111	4552.17417	0
1777537029	XAUUSD	M15	4544.74					4540.82000	4548.83576	4550.50497	0
1777537929	XAUUSD	M15	4541.91						4549.30558	4549.90527	0
1777538829	XAUUSD	M15	4553.22						4551.18297	4550.54412	1
1777539729	XAUUSD	M15	4555.73						4554.09875	4552.32143	0
1777540629	XAUUSD	M15	4564.04						4557.87999	4555.10071	0
1777541529	XAUUSD	M15	4562.71						4562.21891	4558.65981	0
1777542429	XAUUSD	M15	4566.21						4567.11134	4562.88558	0
1777543329	XAUUSD	M15	4569.57						4572.46263	4567.67411	0
1777544229	XAUUSD	M15	4575.23						4578.19004	4572.93207	0
1777545129	XAUUSD	M15	4589.44						4584.11644	4578.52426	0
1777546029	XAUUSD	M15	4591.59						4589.81992	4584.17209	0
1777546929	XAUUSD	M15	4591.59						4595.20674	4589.68941	0
1777547829	XAUUSD	M15	4596.69						4600.26608	4594.97775	0
1777548729	XAUUSD	M15	4598.44						4604.88404	4599.93089	0
1777549629	XAUUSD	M15	4618.70						4609.06706	4604.49898	0
1777550529	XAUUSD	M15	4617.35						4612.40262	4608.45080	0
1777551429	XAUUSD	M15	4614.82						4615.14446	4611.79763	0
1777552329	XAUUSD	M15	4616.00						4617.64745	4614.72254	0
1777553229	XAUUSD	M15	4618.96						4620.15670	4617.43962	0
1777554129	XAUUSD	M15	4625.41						4622.79961	4620.11961	0
1777555029	XAUUSD	M15	4619.35						4625.50461	4622.81211	0
1777555929	XAUUSD	M15	4624.91						4628.41164	4625.61188	0
1777556829	XAUUSD	M15	4626.92						4631.24537	4628.42862	0
1777557729	XAUUSD	M15	4643.78						4633.76631	4631.09746	0
1777558629	XAUUSD	M15	4636.62				4647.10000		4635.36936	4633.23341	0
1777559529	XAUUSD	M15	4639.68						4636.19859	4634.71600	0
1777560429	XAUUSD	M15	4635.99						4636.25901	4635.48750	0
1777561329	XAUUSD	M15	4637.70						4635.83059	4635.65905	0
1777562229	XAUUSD	M15	4629.82						4635.09314	4635.37609	1
1777563129	XAUUSD	M15	4630.21						4634.44606	4634.91108	0
1777564029	XAUUSD	M15	4635.81						4633.96351	4634.43729	0
1777564929	XAUUSD	M15	4630.51						4633.44622	4633.94175	0
1777565829	XAUUSD	M15	4625.92						4632.89122	4633.41649	0
1777566729	XAUUSD	M15	4639.57						4632.22619	4632.82134	0
1777567629	XAUUSD	M15	4641.50						4630.92583	4631.87359	0
1777568529	XAUUSD	M15	4633.50						4628.89400	4630.38379	0
1777569429	XAUUSD	M15	4625.44						4626.45572	4628.41975	0
1777570329	XAUUSD	M15	4610.99						4624.03268	4626.22622	0
1777571229	XAUUSD	M15	4620.39						4622.20196	4624.21409	0
1777572129	XAUUSD	M15	4622.81						4620.80083	4622.50746	0
1777573029	XAUUSD	M15	4617.70						4619.72101	4621.11423	0
1777573929	XAUUSD	M15	4619.59						4618.95241	4620.03332	0
1777574829	XAUUSD	M15	4620.13						4618.22589	4619.12961	0
1777575729	XAUUSD	M15	4623.09						4617.30060	4618.21510	0
1777576629	XAUUSD	M15	4615.65						4615.96370	4617.08940	0
1777577529	XAUUSD	M15	4615.35						4614.41757	4615.75349	0
1777578429	XAUUSD	M15	4611.63						4612.82759	4614.29054	0
1777579329	XAUUSD	M15	4608.08						4611.54866	4612.91960	0
