z-score_timestamp	z-score_symbol	z-score_timeframe	z-score_close	z-score_open	z-score_high	z-score_low	body_direction	body_size	body_classification
1780671849	XAUUSD	M15	4461.42	4466.62	4467.15	4461.20	-1	0.31552	3
1780672749	XAUUSD	M15	4466.09	4461.42	4466.09	4458.56	1	0.17223	0
1780673649	XAUUSD	M15	4464.95	4466.10	4467.20	4463.26	-1	0.76616	3
1780674549	XAUUSD	M15	4470.13	4464.95	4475.30	4464.09	1	0.30809	0
1780675449	XAUUSD	M15	4469.28	4470.01	4471.08	4464.12	-1	0.87496	3
1780676349	XAUUSD	M15	4465.15	4469.39	4475.64	4461.67	-1	0.05939	3
1780677249	XAUUSD	M15	4445.81	4465.28	4465.96	4439.75	-1	4.02872	5
1780678149	XAUUSD	M15	4406.35	4446.11	4449.06	4404.92	-1	8.49548	5
1780679049	XAUUSD	M15	4418.53	4406.37	4420.64	4400.15	1	1.90144	1
1780679949	XAUUSD	M15	4405.16	4418.53	4421.12	4404.07	-1	2.17322	4
1780680849	XAUUSD	M15	4389.52	4404.43	4409.54	4386.05	-1	2.51238	5
1780681749	XAUUSD	M15	4365.81	4389.50	4391.06	4365.54	-1	4.45500	5
1780682649	XAUUSD	M15	4366.17	4365.57	4379.22	4364.03	1	0.83256	0
1780683549	XAUUSD	M15	4361.01	4366.04	4370.33	4352.93	-1	0.18341	3
1780684449	XAUUSD	M15	4349.26	4361.12	4363.93	4344.73	-1	1.74215	4
1780685349	XAUUSD	M15	4369.70	4349.13	4370.19	4348.33	1	3.67100	2
1780686249	XAUUSD	M15	4353.29	4369.72	4372.60	4353.29	-1	2.70996	5
1780687149	XAUUSD	M15	4351.89	4352.99	4357.47	4348.27	-1	0.72021	3
1780688049	XAUUSD	M15	4338.81	4351.76	4354.85	4335.56	-1	1.91780	4
1780688949	XAUUSD	M15	4335.51	4338.81	4341.94	4333.94	-1	0.23273	3
1780689849	XAUUSD	M15	4333.58	4335.62	4338.92	4328.97	-1	0.51400	3
1780690749	XAUUSD	M15	4329.73	4333.01	4333.88	4325.35	-1	0.23803	3
1780691649	XAUUSD	M15	4327.87	4329.73	4332.23	4323.64	-1	0.55187	3
1780692549	XAUUSD	M15	4344.61	4327.85	4345.00	4325.30	1	2.73935	2
1780693449	XAUUSD	M15	4339.56	4344.76	4346.88	4336.55	-1	0.18554	3
1780694349	XAUUSD	M15	4342.45	4339.57	4343.00	4335.65	1	0.32609	0
1780695249	XAUUSD	M15	4341.28	4342.54	4347.32	4339.67	-1	0.68212	3
1780696149	XAUUSD	M15	4341.68	4341.15	4343.65	4337.86	1	0.83957	0
1780697049	XAUUSD	M15	4323.31	4341.96	4342.04	4323.07	-1	3.12130	5
1780697949	XAUUSD	M15	4325.94	4322.87	4330.68	4321.92	1	0.28222	0
1780698849	XAUUSD	M15	4318.16	4325.71	4326.93	4315.29	-1	0.69645	3
1780699749	XAUUSD	M15	4322.37	4318.07	4326.93	4315.98	1	0.01490	0
1780700649	XAUUSD	M15	4315.37	4322.86	4323.80	4315.34	-1	0.67957	3
1780701549	XAUUSD	M15	4323.85	4315.37	4324.32	4313.96	1	0.89193	0
1780702449	XAUUSD	M15	4318.85	4323.94	4325.18	4314.06	-1	0.15427	3
1780703349	XAUUSD	M15	4318.75	4318.83	4323.78	4316.92	-1	0.93774	3
1780704249	XAUUSD	M15	4315.59	4318.49	4318.85	4311.79	-1	0.32227	3
1780705149	XAUUSD	M15	4322.47	4315.83	4326.38	4314.10	1	0.49254	0
1780706049	XAUUSD	M15	4324.13	4322.65	4325.36	4321.23	1	0.63561	0
1780706949	XAUUSD	M15	4328.74	4324.12	4330.93	4324.12	1	0.04863	0
1780884249	XAUUSD	M15	4330.05	4332.27	4336.07	4310.29	-1	0.47574	3
1780885149	XAUUSD	M15	4316.74	4330.21	4330.65	4316.34	-1	1.97166	4
1780886049	XAUUSD	M15	4326.26	4316.74	4329.20	4315.38	1	1.10588	0
1780886949	XAUUSD	M15	4317.47	4326.20	4326.86	4315.88	-1	0.92976	3
1780887849	XAUUSD	M15	4330.85	4317.51	4334.25	4317.51	1	1.92002	1
1780888749	XAUUSD	M15	4334.02	4330.81	4334.73	4328.68	1	0.27675	0
1780889649	XAUUSD	M15	4338.96	4334.02	4340.57	4333.05	1	0.10108	0
1780890549	XAUUSD	M15	4343.96	4338.96	4347.03	4335.23	1	0.11305	0
1780891449	XAUUSD	M15	4343.65	4344.11	4346.93	4340.79	-1	0.86998	3
1780892349	XAUUSD	M15	4351.37	4343.68	4353.21	4341.83	1	0.69693	0
1780893249	XAUUSD	M15	4345.29	4351.33	4352.34	4342.03	-1	0.33878	3
1780894149	XAUUSD	M15	4342.43	4345.29	4345.80	4339.74	-1	0.35007	3
1780895049	XAUUSD	M15	4327.14	4342.24	4345.65	4326.97	-1	2.28887	4
1780895949	XAUUSD	M15	4314.77	4327.11	4327.58	4311.43	-1	1.68345	4
1780896849	XAUUSD	M15	4326.20	4314.77	4327.49	4299.83	1	1.48012	0
1780897749	XAUUSD	M15	4325.44	4326.15	4329.57	4319.37	-1	0.82023	3
1780898649	XAUUSD	M15	4316.75	4325.57	4330.64	4314.71	-1	0.91597	3
1780899549	XAUUSD	M15	4315.09	4316.76	4319.83	4311.47	-1	0.61658	3
1780900449	XAUUSD	M15	4315.99	4315.08	4317.89	4307.31	1	0.77878	0
1780901349	XAUUSD	M15	4310.65	4316.00	4320.81	4309.20	-1	0.17141	3
1780902249	XAUUSD	M15	4304.81	4310.65	4314.28	4304.32	-1	0.27631	3
1780903149	XAUUSD	M15	4307.23	4304.81	4311.99	4303.52	1	0.45800	0
1780904049	XAUUSD	M15	4309.95	4307.26	4310.04	4304.90	1	0.39891	0
1780904949	XAUUSD	M15	4316.92	4309.92	4317.08	4309.55	1	0.52294	0
1780905849	XAUUSD	M15	4318.68	4316.92	4320.35	4313.61	1	0.60150	0
1780906749	XAUUSD	M15	4319.96	4318.68	4321.74	4316.05	1	0.70185	0
1780907649	XAUUSD	M15	4307.82	4319.96	4320.35	4307.67	-1	1.61773	4
1780908549	XAUUSD	M15	4312.80	4307.81	4313.98	4307.78	1	0.08737	0
1780909449	XAUUSD	M15	4305.19	4312.66	4316.03	4305.19	-1	0.61526	3
1780910349	XAUUSD	M15	4311.93	4304.50	4314.13	4304.50	1	0.60409	0
1780911249	XAUUSD	M15	4287.87	4311.95	4312.89	4268.66	-1	4.07380	5
1780912149	XAUUSD	M15	4291.94	4287.85	4295.67	4284.92	1	0.11787	0
1780913049	XAUUSD	M15	4303.37	4291.93	4308.02	4291.93	1	1.43638	0
