Cherry_B_timestamp	Cherry_B_symbol	Cherry_B_timeframe	Cherry_B_close	Cherry_B_Base_FL	Cherry_B_UOEDT	Cherry_B_LOEDT	Cherry_B_horiz_high_map	Cherry_B_horiz_low_map	Cherry_B_ssa	Cherry_B_ema_ssa	Cherry_B_crossing
1780029677	XAUUSD	M5	4500.90						4510.79693	4510.79693	0
1780029977	XAUUSD	M5	4508.78						4512.24832	4511.52263	1
1780030277	XAUUSD	M5	4515.01						4512.45454	4511.98858	0
1780030577	XAUUSD	M5	4518.56				4520.75000		4511.53514	4511.76186	1
1780030877	XAUUSD	M5	4512.77						4509.83487	4510.79836	0
1780031177	XAUUSD	M5	4505.50						4508.16229	4509.48033	0
1780031477	XAUUSD	M5	4504.25						4507.01138	4508.24585	0
1780031777	XAUUSD	M5	4507.06						4506.37242	4507.30914	0
1780032077	XAUUSD	M5	4506.37						4506.03967	4506.67440	0
1780032377	XAUUSD	M5	4502.10						4505.95463	4506.31452	0
1780032677	XAUUSD	M5	4506.03						4506.12867	4506.22160	0
1780032977	XAUUSD	M5	4506.47						4506.29308	4506.25734	1
1780033277	XAUUSD	M5	4510.81						4506.36535	4506.31135	0
1780033577	XAUUSD	M5	4505.80						4506.22297	4506.26716	1
1780033877	XAUUSD	M5	4506.83						4506.02600	4506.14658	0
1780034177	XAUUSD	M5	4505.83						4505.79473	4505.97065	0
1780034477	XAUUSD	M5	4504.64						4505.59102	4505.78084	0
1780034777	XAUUSD	M5	4502.98						4505.43969	4505.61026	0
1780035077	XAUUSD	M5	4504.00						4505.31608	4505.46317	0
1780035377	XAUUSD	M5	4506.21						4505.12401	4505.29359	0
1780035677	XAUUSD	M5	4505.00						4504.73329	4505.01344	0
1780035977	XAUUSD	M5	4506.39						4504.08842	4504.55093	0
1780036277	XAUUSD	M5	4503.31						4503.14033	4503.84563	0
1780036577	XAUUSD	M5	4501.72						4501.96622	4502.90593	0
1780036877	XAUUSD	M5	4501.64						4500.66578	4501.78585	0
1780037177	XAUUSD	M5	4498.22						4499.35521	4500.57053	0
1780037477	XAUUSD	M5	4496.29						4498.20743	4499.38898	0
1780037777	XAUUSD	M5	4496.51						4497.34451	4498.36674	0
1780038077	XAUUSD	M5	4498.38						4496.82608	4497.59641	0
1780038377	XAUUSD	M5	4496.95						4496.64045	4497.11843	0
1780038677	XAUUSD	M5	4497.40						4496.81276	4496.96560	0
1780038977	XAUUSD	M5	4496.27					4494.93000	4497.30215	4497.13387	1
1780039277	XAUUSD	M5	4498.26						4498.07462	4497.60425	0
1780039577	XAUUSD	M5	4499.93						4499.02536	4498.31480	0
1780039877	XAUUSD	M5	4499.79						4500.07983	4499.19732	0
1780040177	XAUUSD	M5	4501.44						4501.22075	4500.20904	0
1780040477	XAUUSD	M5	4502.66						4502.41121	4501.31012	0
1780040777	XAUUSD	M5	4503.27						4503.61825	4502.46419	0
1780041077	XAUUSD	M5	4502.39						4504.81993	4503.64206	0
1780041377	XAUUSD	M5	4504.67						4506.02450	4504.83328	0
1780041677	XAUUSD	M5	4510.57						4507.17079	4506.00204	0
1780041977	XAUUSD	M5	4509.10						4508.11665	4507.05934	0
1780042277	XAUUSD	M5	4508.89						4508.91529	4507.98732	0
1780042577	XAUUSD	M5	4509.76						4509.61249	4508.79990	0
1780042877	XAUUSD	M5	4510.60						4510.23244	4509.51617	0
1780043177	XAUUSD	M5	4509.31						4510.77347	4510.14482	0
1780043477	XAUUSD	M5	4509.36						4511.24458	4510.69470	0
1780043777	XAUUSD	M5	4514.16						4511.58723	4511.14097	0
1780044077	XAUUSD	M5	4509.71						4511.61331	4511.37714	0
1780044377	XAUUSD	M5	4510.09						4511.35434	4511.36574	1
1780044677	XAUUSD	M5	4511.97						4510.79245	4511.07909	0
1780044977	XAUUSD	M5	4511.84						4509.95740	4510.51825	0
1780045277	XAUUSD	M5	4509.89						4509.00967	4509.76396	0
1780045577	XAUUSD	M5	4510.15						4508.21116	4508.98756	0
1780045877	XAUUSD	M5	4508.44						4507.77104	4508.37930	0
1780046177	XAUUSD	M5	4503.72						4507.88695	4508.13312	0
1780046477	XAUUSD	M5	4506.80						4508.71034	4508.42173	1
1780046777	XAUUSD	M5	4505.97						4510.07468	4509.24821	0
1780047077	XAUUSD	M5	4514.98						4511.78399	4510.51610	0
1780047377	XAUUSD	M5	4514.93						4513.37173	4511.94391	0
1780047677	XAUUSD	M5	4519.16						4514.62284	4513.28338	0
1780047977	XAUUSD	M5	4514.48						4515.34769	4514.31554	0
1780048277	XAUUSD	M5	4515.75						4515.70185	4515.00869	0
1780048577	XAUUSD	M5	4511.42						4515.82287	4515.41578	0
1780048877	XAUUSD	M5	4518.71						4516.02766	4515.72172	0
1780049177	XAUUSD	M5	4516.61						4516.34141	4516.03157	0
1780049477	XAUUSD	M5	4517.76						4516.90893	4516.47025	0
1780049777	XAUUSD	M5	4515.02						4517.67715	4517.07370	0
1780050077	XAUUSD	M5	4516.65						4518.56158	4517.81764	0
1780050377	XAUUSD	M5	4517.66						4519.31177	4518.56471	0
1780050677	XAUUSD	M5	4522.00						4519.70422	4519.13446	0
1780050977	XAUUSD	M5	4523.69						4519.53775	4519.33610	0
1780051277	XAUUSD	M5	4519.41						4518.82037	4519.07824	1
1780051577	XAUUSD	M5	4519.17						4517.85319	4518.46571	0
