ohlcv_timestamp	ohlcv_symbol	ohlcv_timeframe	ohlcv_close	ohlcv_open	ohlcv_high	ohlcv_low	ohlcv_volume
1780057106	XAUUSD	M5	4500.90000	4496.25000	4503.35000	4492.46000	863
1780057406	XAUUSD	M5	4508.78000	4500.89000	4509.28000	4498.92000	761
1780057706	XAUUSD	M5	4515.01000	4508.84000	4515.22000	4508.12000	781
1780058006	XAUUSD	M5	4518.56000	4514.95000	4520.75000	4514.50000	755
1780058306	XAUUSD	M5	4512.77000	4518.57000	4520.33000	4512.77000	641
1780058606	XAUUSD	M5	4505.50000	4512.70000	4513.29000	4505.37000	659
1780058906	XAUUSD	M5	4504.25000	4505.25000	4505.67000	4502.56000	710
1780059206	XAUUSD	M5	4507.06000	4504.25000	4508.36000	4503.29000	623
1780059506	XAUUSD	M5	4506.37000	4507.11000	4508.40000	4505.40000	642
1780059806	XAUUSD	M5	4502.10000	4506.28000	4506.79000	4501.67000	647
1780060106	XAUUSD	M5	4506.03000	4502.10000	4506.59000	4501.28000	601
1780060406	XAUUSD	M5	4506.47000	4506.04000	4507.63000	4503.88000	585
1780060706	XAUUSD	M5	4510.81000	4506.22000	4510.98000	4506.00000	615
1780061006	XAUUSD	M5	4505.80000	4510.83000	4511.22000	4505.13000	568
1780061306	XAUUSD	M5	4506.83000	4505.83000	4508.04000	4504.13000	547
1780061606	XAUUSD	M5	4505.83000	4506.84000	4508.92000	4505.14000	444
1780061906	XAUUSD	M5	4504.64000	4505.83000	4506.03000	4502.96000	412
1780062206	XAUUSD	M5	4502.98000	4504.63000	4504.97000	4501.80000	325
1780062506	XAUUSD	M5	4504.00000	4502.98000	4505.14000	4498.40000	637
1780062806	XAUUSD	M5	4506.21000	4503.98000	4506.52000	4503.12000	527
1780063106	XAUUSD	M5	4505.00000	4506.21000	4507.75000	4504.93000	515
1780063406	XAUUSD	M5	4506.39000	4505.00000	4508.08000	4504.69000	472
1780063706	XAUUSD	M5	4503.31000	4506.39000	4506.41000	4502.16000	563
