Resistance_timestamp	Resistance_symbol	Resistance_timeframe	Resistance_close	Best_Resistance
1781218237	XAUUSD	M5	4161.80	
1781218537	XAUUSD	M5	4174.33	
1781218837	XAUUSD	M5	4174.18	
1781219137	XAUUSD	M5	4188.24	
1781219437	XAUUSD	M5	4195.56	
1781219737	XAUUSD	M5	4191.80	
1781220037	XAUUSD	M5	4195.57	
1781220337	XAUUSD	M5	4214.77	
1781220637	XAUUSD	M5	4208.51	4219.98000
1781220937	XAUUSD	M5	4210.32	4219.95564
1781221237	XAUUSD	M5	4210.09	4219.93128
1781221537	XAUUSD	M5	4215.31	4219.90691
1781221837	XAUUSD	M5	4209.02	4219.88255
1781222137	XAUUSD	M5	4208.40	4219.85819
1781222437	XAUUSD	M5	4214.85	4219.83383
1781222737	XAUUSD	M5	4213.76	4219.80947
1781223037	XAUUSD	M5	4213.41	4219.78511
1781223337	XAUUSD	M5	4215.75	4219.76074
1781223637	XAUUSD	M5	4214.11	4219.73638
1781223937	XAUUSD	M5	4213.68	4219.71202
1781224237	XAUUSD	M5	4211.03	4219.68766
1781224537	XAUUSD	M5	4209.73	4219.66330
1781224837	XAUUSD	M5	4211.29	4219.63894
1781225137	XAUUSD	M5	4212.17	4219.61457
1781225437	XAUUSD	M5	4210.88	4219.59021
1781229337	XAUUSD	M5	4208.50	4219.56585
1781229637	XAUUSD	M5	4209.46	4219.54149
1781229937	XAUUSD	M5	4209.72	4219.51713
1781230237	XAUUSD	M5	4208.19	4219.49277
1781230537	XAUUSD	M5	4206.47	4219.46840
1781230837	XAUUSD	M5	4214.85	4219.44404
1781231137	XAUUSD	M5	4214.12	4219.41968
1781231437	XAUUSD	M5	4215.57	4219.39532
1781231737	XAUUSD	M5	4225.95	4219.37096
1781232037	XAUUSD	M5	4232.06	4219.34660
1781232337	XAUUSD	M5	4235.64	4219.32223
1781232637	XAUUSD	M5	4243.42	4219.29787
1781232937	XAUUSD	M5	4227.21	4219.27351
1781233237	XAUUSD	M5	4225.92	4219.24915
1781233537	XAUUSD	M5	4223.82	4219.22479
1781233837	XAUUSD	M5	4222.45	4219.20043
1781234137	XAUUSD	M5	4216.09	4219.17606
1781234437	XAUUSD	M5	4216.80	4219.15170
1781234737	XAUUSD	M5	4216.63	4219.12734
1781235037	XAUUSD	M5	4216.64	4219.10298
1781235337	XAUUSD	M5	4219.28	4219.07862
1781235637	XAUUSD	M5	4219.33	4219.05426
1781235937	XAUUSD	M5	4216.29	4219.02989
1781236237	XAUUSD	M5	4219.85	4219.00553
1781236537	XAUUSD	M5	4219.16	4218.98117
1781236837	XAUUSD	M5	4217.27	4218.95681
1781237137	XAUUSD	M5	4216.87	4218.93245
1781237437	XAUUSD	M5	4216.42	4218.90809
1781237737	XAUUSD	M5	4223.84	4218.88372
1781238037	XAUUSD	M5	4220.39	4218.85936
1781238337	XAUUSD	M5	4221.43	4218.83500
1781238637	XAUUSD	M5	4214.81	4218.81064
1781238937	XAUUSD	M5	4203.54	4218.78628
1781239237	XAUUSD	M5	4201.96	4218.76191
1781239537	XAUUSD	M5	4200.88	4218.73755
1781239837	XAUUSD	M5	4208.28	4218.71319
1781240137	XAUUSD	M5	4185.07	4218.68883
1781240437	XAUUSD	M5	4193.19	4218.66447
1781240737	XAUUSD	M5	4186.98	4218.64011
1781241037	XAUUSD	M5	4189.29	4218.61574
1781241337	XAUUSD	M5	4189.49	4218.59138
1781241637	XAUUSD	M5	4181.08	4218.56702
1781241937	XAUUSD	M5	4179.96	4218.54266
1781242237	XAUUSD	M5	4179.15	4218.51830
1781242537	XAUUSD	M5	4179.27	4218.49394
1781242837	XAUUSD	M5	4191.42	4218.46957
1781243137	XAUUSD	M5	4186.37	4218.44521
1781243437	XAUUSD	M5	4186.75	4218.42085
1781243737	XAUUSD	M5	4191.14	4218.39649
1781244037	XAUUSD	M5	4197.35	4218.37213
1781244337	XAUUSD	M5	4193.93	4218.34777
1781244637	XAUUSD	M5	4192.78	4218.32340
1781244937	XAUUSD	M5	4191.27	4218.29904
1781245237	XAUUSD	M5	4188.66	4218.27468
1781245537	XAUUSD	M5	4183.07	4218.25032
1781245837	XAUUSD	M5	4188.97	4218.22596
1781246137	XAUUSD	M5	4186.14	4218.20160
1781246437	XAUUSD	M5	4190.62	4218.17723
1781246737	XAUUSD	M5	4188.90	4218.15287
1781247037	XAUUSD	M5	4191.58	4218.12851
1781247337	XAUUSD	M5	4192.08	4218.10415
1781247637	XAUUSD	M5	4192.72	4218.07979
1781247937	XAUUSD	M5	4194.01	4218.05543
1781248237	XAUUSD	M5	4196.24	4218.03106
1781248537	XAUUSD	M5	4197.63	4218.00670
1781248837	XAUUSD	M5	4203.50	4217.98234
1781249137	XAUUSD	M5	4203.86	4217.95798
1781249437	XAUUSD	M5	4202.13	4217.93362
1781249737	XAUUSD	M5	4199.23	4217.90926
1781250037	XAUUSD	M5	4197.43	4217.88489
1781250337	XAUUSD	M5	4200.59	4217.86053
1781250637	XAUUSD	M5	4197.00	4217.83617
1781250937	XAUUSD	M5	4197.21	4217.81181
1781251237	XAUUSD	M5	4196.35	4217.78745
1781251537	XAUUSD	M5	4194.32	4217.76309
1781251837	XAUUSD	M5	4192.11	4217.73872
1781252137	XAUUSD	M5	4193.15	4217.71436
1781252437	XAUUSD	M5	4192.74	4217.69000
1781252737	XAUUSD	M5	4195.74	4217.66564
1781253037	XAUUSD	M5	4195.38	4217.64128
1781253337	XAUUSD	M5	4193.50	4217.61691
1781253637	XAUUSD	M5	4191.07	4217.59255
1781253937	XAUUSD	M5	4192.44	4217.56819
1781254237	XAUUSD	M5	4190.09	4217.54383
1781254537	XAUUSD	M5	4188.10	4217.51947
1781254837	XAUUSD	M5	4185.29	4217.49511
1781255137	XAUUSD	M5	4188.81	4217.47074
1781255437	XAUUSD	M5	4186.06	4217.44638
1781255737	XAUUSD	M5	4187.09	4217.42202
1781256037	XAUUSD	M5	4187.11	4217.39766
1781256337	XAUUSD	M5	4180.40	4217.37330
1781256637	XAUUSD	M5	4174.99	4217.34894
1781256937	XAUUSD	M5	4180.37	4217.32457
1781257237	XAUUSD	M5	4179.09	4217.30021
1781257537	XAUUSD	M5	4175.31	4217.27585
1781257837	XAUUSD	M5	4173.40	4217.25149
1781258137	XAUUSD	M5	4181.28	4217.22713
1781258437	XAUUSD	M5	4181.83	4217.20277
1781258737	XAUUSD	M5	4182.93	4217.17840
1781259037	XAUUSD	M5	4180.68	4217.15404
1781259337	XAUUSD	M5	4180.37	4217.12968
1781259637	XAUUSD	M5	4182.10	4217.10532
1781259937	XAUUSD	M5	4177.50	4217.08096
1781260237	XAUUSD	M5	4177.97	4217.05660
1781260537	XAUUSD	M5	4176.49	4217.03223
1781260837	XAUUSD	M5	4176.39	4217.00787
1781261137	XAUUSD	M5	4178.48	4216.98351
1781261437	XAUUSD	M5	4184.20	4216.95915
1781261737	XAUUSD	M5	4178.35	4216.93479
1781262037	XAUUSD	M5	4180.60	4216.91043
1781262337	XAUUSD	M5	4178.24	4216.88606
1781262637	XAUUSD	M5	4177.36	4216.86170
1781262937	XAUUSD	M5	4178.19	4216.83734
1781263237	XAUUSD	M5	4174.07	4216.81298
1781263537	XAUUSD	M5	4173.88	4216.78862
1781263837	XAUUSD	M5	4178.58	4216.76426
1781264137	XAUUSD	M5	4183.10	4216.73989
1781264437	XAUUSD	M5	4175.14	4216.71553
1781264737	XAUUSD	M5	4175.63	4216.69117
1781265037	XAUUSD	M5	4193.89	4216.66681
1781265337	XAUUSD	M5	4197.91	4216.64245
1781265637	XAUUSD	M5	4201.94	4216.61809
1781265937	XAUUSD	M5	4203.73	4216.59372
1781266237	XAUUSD	M5	4217.95	4216.56936
1781266537	XAUUSD	M5	4218.09	4216.54500
1781266837	XAUUSD	M5	4213.23	4216.52064
1781267137	XAUUSD	M5	4218.40	4216.49628
1781267437	XAUUSD	M5	4221.42	4216.47191
1781267737	XAUUSD	M5	4218.37	4216.44755
1781268037	XAUUSD	M5	4218.54	4216.42319
1781268337	XAUUSD	M5	4221.71	4216.39883
1781268637	XAUUSD	M5	4219.59	4216.37447
1781268937	XAUUSD	M5	4221.55	4216.35011
1781269237	XAUUSD	M5	4222.58	4216.32574
1781269537	XAUUSD	M5	4224.25	4216.30138
1781269837	XAUUSD	M5	4223.55	4216.27702
1781270137	XAUUSD	M5	4222.32	4216.25266
1781270437	XAUUSD	M5	4220.94	4216.22830
1781270737	XAUUSD	M5	4225.82	4216.20394
1781271037	XAUUSD	M5	4223.41	4216.17957
1781271337	XAUUSD	M5	4225.36	4216.15521
1781271637	XAUUSD	M5	4223.89	4216.13085
1781271937	XAUUSD	M5	4223.49	4216.10649
1781272237	XAUUSD	M5	4221.95	4216.08213
1781272537	XAUUSD	M5	4222.18	4216.05777
1781272837	XAUUSD	M5	4224.67	4216.03340
1781273137	XAUUSD	M5	4221.64	4216.00904
1781273437	XAUUSD	M5	4217.82	4215.98468
1781273737	XAUUSD	M5	4213.50	4215.96032
1781274037	XAUUSD	M5	4206.87	4215.93596
