Support_timestamp	Support_symbol	Support_timeframe	Support_close	Best_Support
1780716051	XAUUSD	M5	4334.14	
1780716351	XAUUSD	M5	4332.83	
1780716651	XAUUSD	M5	4333.58	
1780716951	XAUUSD	M5	4330.50	
1780717251	XAUUSD	M5	4328.59	
1780717551	XAUUSD	M5	4329.73	
1780717851	XAUUSD	M5	4328.76	
1780718151	XAUUSD	M5	4331.87	
1780718451	XAUUSD	M5	4327.87	
1780718751	XAUUSD	M5	4333.99	
1780719051	XAUUSD	M5	4338.16	
1780719351	XAUUSD	M5	4344.61	
1780719651	XAUUSD	M5	4344.23	
1780719951	XAUUSD	M5	4339.10	
1780720251	XAUUSD	M5	4339.56	
1780720551	XAUUSD	M5	4338.42	
1780720851	XAUUSD	M5	4339.17	
1780721151	XAUUSD	M5	4342.45	
1780721451	XAUUSD	M5	4343.12	
1780721751	XAUUSD	M5	4345.12	
1780722051	XAUUSD	M5	4341.28	
1780722351	XAUUSD	M5	4339.94	
1780722651	XAUUSD	M5	4343.45	
1780722951	XAUUSD	M5	4341.68	
1780723251	XAUUSD	M5	4333.58	
1780723551	XAUUSD	M5	4329.99	
1780723851	XAUUSD	M5	4323.31	
1780724151	XAUUSD	M5	4326.24	
1780724451	XAUUSD	M5	4327.31	
1780724751	XAUUSD	M5	4325.94	
1780725051	XAUUSD	M5	4325.10	
1780725351	XAUUSD	M5	4320.38	
1780725651	XAUUSD	M5	4318.16	
1780725951	XAUUSD	M5	4321.70	
1780726251	XAUUSD	M5	4320.66	
1780726551	XAUUSD	M5	4322.37	
1780726851	XAUUSD	M5	4320.86	
1780727151	XAUUSD	M5	4319.85	
1780727451	XAUUSD	M5	4315.37	
1780727751	XAUUSD	M5	4318.53	
1780728051	XAUUSD	M5	4319.19	
1780728351	XAUUSD	M5	4323.85	
1780728651	XAUUSD	M5	4322.93	
1780728951	XAUUSD	M5	4322.24	
1780729251	XAUUSD	M5	4318.85	
1780729551	XAUUSD	M5	4320.78	
1780729851	XAUUSD	M5	4318.33	
1780730151	XAUUSD	M5	4318.75	
1780730451	XAUUSD	M5	4313.73	
1780730751	XAUUSD	M5	4314.04	
1780731051	XAUUSD	M5	4315.59	
1780731351	XAUUSD	M5	4315.45	
1780731651	XAUUSD	M5	4319.86	
1780731951	XAUUSD	M5	4322.47	
1780732251	XAUUSD	M5	4322.48	
1780732551	XAUUSD	M5	4323.10	
1780732851	XAUUSD	M5	4324.13	
1780733151	XAUUSD	M5	4327.47	
1780733451	XAUUSD	M5	4327.66	
1780733751	XAUUSD	M5	4328.74	
1780910451	XAUUSD	M5	4320.90	
1780910751	XAUUSD	M5	4319.03	4310.29000
1780911051	XAUUSD	M5	4330.05	4310.32376
1780911351	XAUUSD	M5	4327.66	4310.35752
1780911651	XAUUSD	M5	4323.06	4310.39129
1780911951	XAUUSD	M5	4316.74	4310.42505
1780912251	XAUUSD	M5	4323.38	4310.45881
1780912551	XAUUSD	M5	4325.88	4310.49257
1780912851	XAUUSD	M5	4326.26	4310.52633
1780913151	XAUUSD	M5	4322.59	4310.56010
1780913451	XAUUSD	M5	4323.37	4310.59386
1780913751	XAUUSD	M5	4317.47	4310.62762
1780914051	XAUUSD	M5	4325.96	4310.66138
1780914351	XAUUSD	M5	4326.78	4310.69515
1780914651	XAUUSD	M5	4330.85	4310.72891
1780914951	XAUUSD	M5	4331.38	4310.76267
1780915251	XAUUSD	M5	4330.21	4310.79643
1780915551	XAUUSD	M5	4334.02	4310.83019
1780915851	XAUUSD	M5	4333.84	4310.86396
