zigzag_TimeStamp	zigzag_symbol	zigzag_timeframe	zigzag_close	zigzag_Type	CurrentPoint	CurrentPrChg	Current%Chg	Current%ChgClass	CurrentBars	CurrentBarsClass	CurrentPrPerBar	CurrentPrPerBarClass	CurrentSlope	CurrentCategory
1780058176	XAUUSD	M5	4518.56000	Peak	4520.75000	31.56000	0.70	0	18	0	1.75333	0	60.3021	HH
1780066576	XAUUSD	M5	4496.27000	Bottom	4494.93000	-25.82000	-0.57	3	28	3	-0.92214	3	-42.6805	HL
1780071676	XAUUSD	M5	4509.71000	Peak	4515.41000	20.48000	0.46	0	17	0	1.20471	0	50.3047	LH
1780073776	XAUUSD	M5	4503.72000	Bottom	4502.84000	-12.57000	-0.28	3	7	3	-1.79571	3	-60.8874	HL
1780078576	XAUUSD	M5	4523.69000	Peak	4524.16000	21.32000	0.47	0	16	0	1.33250	0	53.1129	HH
1780080376	XAUUSD	M5	4514.03000	Bottom	4510.91000	-13.25000	-0.29	3	6	3	-2.20833	3	-65.6375	HL
1780081576	XAUUSD	M5	4524.22000	Peak	4526.21000	15.30000	0.34	0	4	0	3.82500	0	75.3486	HH
1780085476	XAUUSD	M5	4513.87000	Bottom	4510.03000	-16.18000	-0.36	3	13	3	-1.24462	3	-51.2195	LL
1780091776	XAUUSD	M5	4541.41000	Peak	4543.31000	33.28000	0.74	0	21	0	1.58476	0	57.7477	HH
1780099276	XAUUSD	M5	4514.13000	Bottom	4512.71000	-30.60000	-0.67	3	25	3	-1.22400	3	-50.7514	HL
1780108276	XAUUSD	M5	4590.10000	Peak	4595.19000	82.48000	1.83	2	30	0	2.74933	0	70.0124	HH
1780118176	XAUUSD	M5	4553.44000	Bottom	4551.59000	-43.60000	-0.95	3	33	3	-1.32121	3	-52.8786	HL
1780120576	XAUUSD	M5	4560.13000	Peak	4561.66000	10.07000	0.22	0	8	0	1.25875	0	51.5350	LH
1780305676	XAUUSD	M5	4520.88000	Bottom	4518.31000	-43.35000	-0.95	3	29	3	-1.49483	3	-56.2185	LL
1780311076	XAUUSD	M5	4539.25000	Peak	4545.77000	27.46000	0.61	0	18	0	1.52556	0	56.7552	LH
1780329976	XAUUSD	M5	4510.51000	Bottom	4508.68000	-37.09000	-0.82	3	63	5	-0.58873	3	-30.4866	LL
1780333576	XAUUSD	M5	4524.26000	Peak	4525.25000	16.57000	0.37	0	12	0	1.38083	0	54.0879	LH
1780342876	XAUUSD	M5	4492.84000	Bottom	4490.55000	-34.70000	-0.77	3	31	3	-1.11935	3	-48.2233	LL
1780346476	XAUUSD	M5	4499.68000	Peak	4506.27000	15.72000	0.35	0	12	0	1.31000	0	52.6434	LH
1780347076	XAUUSD	M5	4490.65000	Bottom	4489.39000	-16.88000	-0.37	3	2	3	-8.44000	4	-83.2429	LL
1780353676	XAUUSD	M5	4508.61000	Peak	4512.95000	23.56000	0.52	0	22	0	1.07091	0	46.9611	HH
