timestamp|symbol|open|high|low|close|volume|timeframe|tema|hrma|smma|Z-Score of body size|Candle classification|diag_asc_line_1|diag_asc_line_2|diag_asc_line_3|diag_desc_line_1|diag_desc_line_2|diag_desc_line_3|diag_high_map|diag_low_map|horiz_peak_line_1|horiz_peak_line_2|horiz_peak_line_3|horiz_bottom_line_1|horiz_bottom_line_2|horiz_bottom_line_3|horiz_high_map|horiz_low_map|ha_open|ha_high|ha_low|ha_close|ha_classification|ha_body_size|ha_body_zscore|kc_ultra_extreme_upper|kc_extreme_upper|kc_uppermost|kc_upper|kc_upper_middle|kc_lower_middle|kc_lower|kc_lowermost|kc_extreme_lower|kc_ultra_extreme_lower|sr_support_4|sr_support_3|sr_support_2|sr_support_1|sr_resistance_1|sr_resistance_2|sr_resistance_3|sr_resistance_4|zigzag_high|zigzag_low|ema|dual_tema_high|dual_tema_low|pinbar|collected_at
1770595200|XAUUSD|2650.43|2655.52|2649.28|2654.03|8732|M15|2653.12949|2650.84942|2653.81158|0.58578|0|2645.83818|2644.43192|2646.90863|2652.63132|2646.95057|2652.10686|0.0|0.0|2657.73007|2656.43901|2662.36165|2650.82681|2644.46738|2642.88641|0.0|0.0|2652.23|2655.52|2649.28|2652.315|1|0.085|1.59039|2678.99|2672.75|2666.51|2660.27|2657.15|2650.91|2647.79|2641.55|2635.31|2629.07|2636.8|2639.92|2643.04|2646.16|2658.64|2661.76|2664.88|2668.0|0.0|2645.8935|2649.01977|2655.18435|2649.60856|0|1770869869
1770596100|XAUUSD|2653.69|2654.72|2650.71|2651.16|2477|M15|2645.18931|2646.24183|2662.73341|2.29805|1|2650.44743|2653.728|2635.07532|2657.20862|2653.16021|2643.73762|0.0|0.0|2655.57841|2652.62439|2651.4947|2653.02593|2649.65077|2649.98775|2655.33255|0.0|2652.425|2654.72|2650.71|2652.57|1|0.145|-0.65409|2667.2|2663.19|2659.18|2655.17|2653.165|2649.155|2647.15|2643.14|2639.13|2635.12|2642.69|2644.695|2646.7|2648.705|2656.725|2658.73|2660.735|2662.74|0.0|0.0|2653.38581|2654.42866|2650.62203|0|1770869869
1770597000|XAUUSD|2648.85|2656.56|2644.69|2652.8|8249|M15|2648.11392|2656.36595|2662.93866|2.35024|0|2649.04804|2649.1005|2634.42282|2661.36329|2664.19588|2670.01771|0.0|0.0|2656.03972|2656.70152|2660.62722|2646.74485|2641.63366|2641.8663|2656.72382|0.0|2650.825|2656.56|2644.69|2650.725|-1|0.1|0.92976|2700.28|2688.41|2676.54|2664.67|2658.735|2646.865|2640.93|2629.06|2617.19|2605.32|2620.95|2626.885|2632.82|2638.755|2662.495|2668.43|2674.365|2680.3|2656.6579|0.0|2646.18549|2655.83642|2645.59258|0|1770869869
1770597900|XAUUSD|2659.34|2663.25|2649.04|2650.26|9919|M15|2645.49206|2651.45368|2638.74799|-0.96003|-2|2647.16644|2643.82049|2655.44583|2667.77267|2673.8626|2676.65868|0.0|0.0|2665.79803|2660.77106|2663.3278|2650.62704|2646.74571|2650.5532|2663.76202|0.0|2654.8|2663.25|2649.04|2655.4725|1|0.6725|1.85288|2707.1|2692.89|2678.68|2664.47|2657.365|2643.155|2636.05|2621.84|2607.63|2593.42|2620.62|2627.725|2634.83|2641.935|2670.355|2677.46|2684.565|2691.67|0.0|0.0|2646.63563|2663.48054|2648.56637|0|1770869869
1770598800|XAUUSD|2655.03|2663.61|2653.11|2660.21|9431|M15|2653.35392|2656.15018|2664.15018|-2.03081|2|2651.87114|2657.38629|2662.77469|2662.22802|2655.47601|2676.99346|2665.27993|0.0|2661.97579|2666.29601|2663.3117|2654.51971|2657.46616|2657.07741|0.0|0.0|2657.62|2663.61|2653.11|2657.99|1|0.37|1.09249|2702.21|2691.71|2681.21|2670.71|2665.46|2654.96|2649.71|2639.21|2628.71|2618.21|2632.11|2637.36|2642.61|2647.86|2668.86|2674.11|2679.36|2684.61|0.0|0.0|2665.49824|2663.44286|2653.16328|0|1770869869
1770599700|XAUUSD|2665.42|2669.33|2653.98|2657.47|9020|M15|2659.62532|2647.70333|2650.493|-1.91894|-1|2655.65415|2646.90804|2658.97179|2669.55386|2662.40306|2658.11012|0.0|0.0|2669.0921|2666.97554|2671.61871|2652.25813|2658.6612|2657.38046|0.0|2653.65392|2661.445|2669.33|2653.98|2661.55|1|0.105|-1.98858|2718.87|2703.52|2688.17|2672.82|2665.145|2649.795|2642.12|2626.77|2611.42|2596.07|2623.28|2630.955|2638.63|2646.305|2677.005|2684.68|2692.355|2700.03|2673.0524|2650.9361|2651.26577|2670.24707|2654.12958|0|1770869869
1770600600|XAUUSD|2658.29|2663.24|2654.94|2657.71|7033|M15|2656.96894|2651.07026|2662.1041|1.79423|0|2653.0135|2645.28437|2664.99348|2664.92253|2667.75555|2672.34818|0.0|0.0|2665.15733|2662.09108|2665.17156|2653.69993|2654.02274|2660.94775|2663.24763|2654.80909|2658.0|2663.24|2654.94|2658.545|1|0.545|1.51645|2690.91|2682.61|2674.31|2666.01|2661.86|2653.56|2649.41|2641.11|2632.81|2624.51|2638.34|2642.49|2646.64|2650.79|2667.39|2671.54|2675.69|2679.84|0.0|2652.26293|2655.64857|2663.12431|2654.33276|1|1770869869
1770601500|XAUUSD|2656.77|2666.12|2652.56|2664.71|1382|M15|2666.10048|2658.53493|2652.83805|-0.5914|1|2654.27972|2648.83958|2664.24844|2670.87451|2663.1997|2666.7036|0.0|0.0|2666.39099|2662.70624|2670.42365|2652.36198|2652.69485|2656.05115|0.0|0.0|2660.74|2666.12|2652.56|2660.04|-1|0.7|-1.99144|2718.95|2705.39|2691.83|2678.27|2671.49|2657.93|2651.15|2637.59|2624.03|2610.47|2625.44|2632.22|2639.0|2645.78|2672.9|2679.68|2686.46|2693.24|0.0|0.0|2661.52651|2666.82657|2652.7262|0|1770869869
1770602400|XAUUSD|2666.63|2667.07|2665.58|2666.66|7937|M15|2671.69722|2662.47467|2658.31007|2.04822|-2|2664.15638|2666.76019|2679.89565|2662.50587|2669.64456|2662.42655|0.0|0.0|2667.75352|2669.15729|2662.27947|2662.9598|2669.6965|2670.74088|0.0|2665.23302|2666.645|2667.07|2665.58|2666.485|-1|0.16|1.93019|2672.62|2671.13|2669.64|2668.15|2667.405|2665.915|2665.17|2663.68|2662.19|2660.7|2662.6|2663.345|2664.09|2664.835|2667.815|2668.56|2669.305|2670.05|2669.63421|0.0|2670.02389|2667.1639|2664.8204|0|1770869869
1770603300|XAUUSD|2669.71|2672.85|2663.78|2665.83|5662|M15|2660.80228|2666.73095|2674.45235|-0.06628|2|2666.54636|2673.03826|2649.43861|2675.52125|2680.18208|2682.58728|0.0|2663.67633|2671.94163|2671.57135|2666.83426|2664.50494|2666.93833|2663.30109|0.0|0.0|2667.77|2672.85|2663.78|2668.0425|1|0.2725|1.62765|2702.11|2693.04|2683.97|2674.9|2670.365|2661.295|2656.76|2647.69|2638.62|2629.55|2645.64|2650.175|2654.71|2659.245|2677.385|2681.92|2686.455|2690.99|2674.09322|2661.29609|2667.51261|2671.88857|2664.49224|0|1770869869
1770604200|XAUUSD|2666.43|2666.5|2661.13|2662.55|3645|M15|2660.49953|2667.46564|2665.55557|-1.40395|1|2662.2555|2659.24487|2669.08405|2661.99691|2663.08574|2661.20597|0.0|2661.1102|2667.26768|2668.67744|2667.72819|2659.1655|2660.33499|2656.45719|2667.3941|0.0|2664.49|2666.5|2661.13|2664.1525|-1|0.3375|1.5546|2684.03|2678.66|2673.29|2667.92|2665.235|2659.865|2657.18|2651.81|2646.44|2641.07|2650.39|2653.075|2655.76|2658.445|2669.185|2671.87|2674.555|2677.24|0.0|0.0|2666.95804|2667.27108|2661.60199|0|1770869869
1770605100|XAUUSD|2665.0|2671.49|2662.81|2667.58|4653|M15|2664.19028|2676.40858|2660.43874|-2.69568|-2|2667.8738|2659.03474|2670.20201|2670.98265|2673.2049|2670.53409|0.0|0.0|2669.29567|2675.91194|2667.71416|2665.28913|2660.28099|2658.08602|0.0|0.0|2666.29|2671.49|2662.81|2666.72|1|0.43|-0.20163|2702.3|2693.62|2684.94|2676.26|2671.92|2663.24|2658.9|2650.22|2641.54|2632.86|2645.45|2649.79|2654.13|2658.47|2675.83|2680.17|2684.51|2688.85|2672.98687|0.0|2660.20668|2672.44062|2662.35511|0|1770869869
1770606000|XAUUSD|2670.74|2674.0|2659.58|2663.77|1444|M15|2666.89211|2660.53775|2668.87927|-0.11073|-1|2662.30243|2669.75709|2663.71713|2670.8621|2683.75623|2668.44016|0.0|0.0|2674.55572|2672.71788|2675.49806|2657.66538|2660.31695|2659.37583|2674.23099|0.0|2667.255|2674.0|2659.58|2667.0225|-1|0.2325|0.29227|2721.45|2707.03|2692.61|2678.19|2670.98|2656.56|2649.35|2634.93|2620.51|2606.09|2630.74|2637.95|2645.16|2652.37|2681.21|2688.42|2695.63|2702.84|0.0|0.0|2677.30778|2674.00898|2659.32755|0|1770869869
1770606900|XAUUSD|2669.54|2672.26|2657.63|2661.33|7762|M15|2667.55192|2651.78608|2664.03343|2.60954|0|2660.50875|2653.13182|2650.54176|2669.73101|2668.5589|2660.77951|2673.84832|2655.94682|2670.46246|2672.19598|2675.26898|2659.30464|2656.77471|2662.21556|2672.99928|2657.54455|2665.435|2672.26|2657.63|2665.19|-1|0.245|0.23295|2719.85|2705.22|2690.59|2675.96|2668.645|2654.015|2646.7|2632.07|2617.44|2602.81|2628.37|2635.685|2643.0|2650.315|2679.575|2686.89|2694.205|2701.52|0.0|0.0|2660.56939|2673.24213|2657.70435|0|1770869869
1770607800|XAUUSD|2664.59|2669.39|2660.98|2663.29|3428|M15|2669.87078|2652.99569|2670.76052|1.12233|2|2660.04611|2669.26972|2660.12917|2667.09098|2679.30707|2662.17905|0.0|2660.75533|2670.64594|2667.10398|2665.83076|2661.10188|2657.13105|2657.88126|0.0|0.0|2663.94|2669.39|2660.98|2664.5625|1|0.6225|0.5804|2696.93|2688.52|2680.11|2671.7|2667.495|2659.085|2654.88|2646.47|2638.06|2629.65|2644.16|2648.365|2652.57|2656.775|2673.595|2677.8|2682.005|2686.21|0.0|2659.51641|2671.59063|2669.09309|2661.88029|0|1770869869
1770608700|XAUUSD|2660.81|2661.36|2654.08|2656.99|3117|M15|2657.39865|2660.85126|2669.10481|-2.99624|-1|2657.80799|2652.94415|2669.11854|2657.04665|2668.76572|2674.51623|0.0|2652.58367|2659.63352|2659.98405|2661.01051|2655.15346|2659.01159|2654.65233|2662.00276|2653.69649|2658.9|2661.36|2654.08|2658.31|-1|0.59|-0.48831|2686.11|2678.83|2671.55|2664.27|2660.63|2653.35|2649.71|2642.43|2635.15|2627.87|2639.52|2643.16|2646.8|2650.44|2665.0|2668.64|2672.28|2675.92|2665.11169|0.0|2666.18136|2661.08525|2654.10423|0|1770869869
